Date,Cisco Systems,Price
2004-01-09,63,
2004-01-16,59,
2004-01-23,90,
2004-01-30,61,
2004-02-06,100,24.74
2004-02-13,68,24.06
2004-02-20,71,23.19
2004-02-27,69,23.16
2004-03-05,76,22.89
2004-03-12,60,23.13
2004-03-19,62,22.50
2004-03-26,58,23.40
2004-04-02,77,24.43
2004-04-09,75,
2004-04-16,69,22.48
2004-04-23,65,23.32
2004-04-30,85,20.91
2004-05-07,83,21.69
2004-05-14,73,21.24
2004-05-21,66,21.64
2004-05-28,55,22.37
2004-06-04,70,22.78
2004-06-11,67,
2004-06-18,74,23.42
2004-06-25,69,23.43
2004-07-02,63,22.95
2004-07-09,99,22.36
2004-07-16,93,21.53
2004-07-23,63,20.93
2004-07-30,68,20.92
2004-08-06,66,19.93
2004-08-13,71,17.86
2004-08-20,65,18.88
2004-08-27,54,19.47
2004-09-03,71,18.75
2004-09-10,66,20.46
2004-09-17,66,19.16
2004-09-24,67,18.40
2004-10-01,74,18.93
2004-10-08,66,18.78
2004-10-15,84,18.48
2004-10-22,67,18.27
2004-10-29,64,19.21
2004-11-05,54,19.97
2004-11-12,63,19.26
2004-11-19,66,19.01
2004-11-26,52,19.23
2004-12-03,78,19.43
2004-12-10,56,19.42
2004-12-17,51,18.99
2004-12-24,45,
2004-12-31,38,19.32
2005-01-07,58,18.72
2005-01-14,52,18.88
2005-01-21,66,18.01
2005-01-28,65,17.90
2005-02-04,55,17.90
2005-02-11,68,17.70
2005-02-18,61,17.30
2005-02-25,64,17.20
2005-03-04,64,18.04
2005-03-11,61,18.45
2005-03-18,77,17.80
2005-03-25,58,
2005-04-01,64,17.70
2005-04-08,78,17.90
2005-04-15,69,17.20
2005-04-22,62,17.43
2005-04-29,78,17.27
2005-05-06,77,18.02
2005-05-13,64,18.89
2005-05-20,54,19.47
2005-05-27,49,19.79
2005-06-03,67,19.40
2005-06-10,57,19.24
2005-06-17,56,19.53
2005-06-24,66,19.30
2005-07-01,55,18.99
2005-07-08,63,19.31
2005-07-15,74,19.89
2005-07-22,52,19.32
2005-07-29,62,19.15
2005-08-05,68,19.30
2005-08-12,80,17.80
2005-08-19,70,17.82
2005-08-26,69,17.40
2005-09-02,61,17.72
2005-09-09,56,18.58
2005-09-16,63,18.42
2005-09-23,66,18.05
2005-09-30,68,17.92
2005-10-07,59,17.63
2005-10-14,61,17.27
2005-10-21,64,17.03
2005-10-28,67,17.14
2005-11-04,56,17.87
2005-11-11,62,17.47
2005-11-18,67,17.02
2005-11-25,54,17.55
2005-12-02,51,17.64
2005-12-09,66,17.55
2005-12-16,59,17.52
2005-12-23,55,17.35
2005-12-30,40,17.12
2006-01-06,49,18.77
2006-01-13,58,18.92
2006-01-20,56,18.51
2006-01-27,63,18.78
2006-02-03,56,18.15
2006-02-10,58,19.76
2006-02-17,59,19.86
2006-02-24,63,19.85
2006-03-03,54,21.04
2006-03-10,47,20.82
2006-03-17,59,21.62
2006-03-24,54,21.36
2006-03-31,62,21.67
2006-04-07,61,20.81
2006-04-14,62,
2006-04-21,61,20.68
2006-04-28,56,20.95
2006-05-05,52,21.75
2006-05-12,57,20.34
2006-05-19,45,20.87
2006-05-26,53,20.31
2006-06-02,50,20.44
2006-06-09,51,19.97
2006-06-16,53,19.98
2006-06-23,54,19.61
2006-06-30,52,19.53
2006-07-07,46,19.39
2006-07-14,60,17.94
2006-07-21,54,17.46
2006-07-28,58,18.08
2006-08-04,56,17.24
2006-08-11,59,19.54
2006-08-18,63,20.86
2006-08-25,42,21.05
2006-09-01,53,22.27
2006-09-08,47,21.75
2006-09-15,57,22.72
2006-09-22,59,22.88
2006-09-29,62,22.98
2006-10-06,56,24.09
2006-10-13,60,24.53
2006-10-20,59,24.55
2006-10-27,60,23.72
2006-11-03,48,23.77
2006-11-10,62,26.74
2006-11-17,60,26.93
2006-11-24,51,26.84
2006-12-01,67,26.69
2006-12-08,57,26.98
2006-12-15,55,27.56
2006-12-22,50,26.93
2006-12-29,41,27.33
