Date,sell FAST,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,49.53
2004-02-13,0,48.99
2004-02-20,0,48.49
2004-02-27,0,48.44
2004-03-05,0,48.43
2004-03-12,0,44.69
2004-03-19,0,47.84
2004-03-26,0,49.80
2004-04-02,0,52.96
2004-04-09,0,
2004-04-16,0,55.20
2004-04-23,0,55.45
2004-04-30,0,54.85
2004-05-07,0,51.46
2004-05-14,0,50.11
2004-05-21,0,49.46
2004-05-28,0,51.76
2004-06-04,0,52.81
2004-06-11,0,
2004-06-18,0,55.01
2004-06-25,0,55.19
2004-07-02,0,55.56
2004-07-09,0,54.74
2004-07-16,0,60.82
2004-07-23,0,59.02
2004-07-30,0,62.38
2004-08-06,0,58.53
2004-08-13,0,59.33
2004-08-20,0,61.89
2004-08-27,0,61.52
2004-09-03,0,63.10
2004-09-10,0,59.05
2004-09-17,0,59.01
2004-09-24,0,57.04
2004-10-01,0,57.00
2004-10-08,0,57.84
2004-10-15,0,52.61
2004-10-22,0,54.45
2004-10-29,0,55.23
2004-11-05,0,57.67
2004-11-12,0,61.00
2004-11-19,0,60.29
2004-11-26,0,62.32
2004-12-03,0,63.19
2004-12-10,0,61.44
2004-12-17,0,61.81
2004-12-24,0,
2004-12-31,0,61.56
2005-01-07,0,61.19
2005-01-14,0,60.52
2005-01-21,0,59.79
2005-01-28,0,60.01
2005-02-04,0,61.44
2005-02-11,0,60.57
2005-02-18,0,57.66
2005-02-25,0,58.69
2005-03-04,0,57.95
2005-03-11,0,57.72
2005-03-18,0,56.66
2005-03-25,59,
2005-04-01,59,55.40
2005-04-08,59,55.43
2005-04-15,60,51.13
2005-04-22,60,53.16
2005-04-29,60,53.52
2005-05-06,39,54.29
2005-05-13,39,52.96
2005-05-20,41,56.36
2005-05-27,43,57.27
2005-06-03,45,58.86
2005-06-10,47,59.10
2005-06-17,64,62.12
2005-06-24,50,58.96
2005-07-01,50,61.37
2005-07-08,50,62.43
2005-07-15,53,63.40
2005-07-22,45,63.16
2005-07-29,45,65.64
2005-08-05,41,64.91
2005-08-12,43,63.61
2005-08-19,45,61.63
2005-08-26,47,60.43
2005-09-02,49,61.58
2005-09-09,56,62.50
2005-09-16,63,62.03
2005-09-23,57,59.93
2005-09-30,41,61.09
2005-10-07,41,61.56
2005-10-14,61,66.91
2005-10-21,33,68.63
2005-10-28,33,68.65
2005-11-04,33,73.19
2005-11-11,42,78.79
2005-11-18,44,41.19
2005-11-25,40,41.14
2005-12-02,40,40.38
2005-12-09,41,39.74
2005-12-16,36,40.16
2005-12-23,36,39.68
2005-12-30,36,39.13
2006-01-06,36,40.37
2006-01-13,36,40.08
2006-01-20,43,38.37
2006-01-27,34,38.49
2006-02-03,48,39.63
2006-02-10,50,41.06
2006-02-17,38,42.17
2006-02-24,39,43.35
2006-03-03,42,43.77
2006-03-10,45,42.41
2006-03-17,34,46.13
2006-03-24,31,45.48
2006-03-31,26,47.34
2006-04-07,47,46.64
2006-04-14,45,
2006-04-21,41,47.10
2006-04-28,52,46.81
2006-05-05,59,47.14
2006-05-12,29,46.70
2006-05-19,25,43.31
2006-05-26,41,42.95
2006-06-02,34,44.56
2006-06-09,31,40.15
2006-06-16,34,39.34
2006-06-23,39,38.83
2006-06-30,47,40.29
2006-07-07,46,38.67
2006-07-14,52,35.35
2006-07-21,48,33.23
2006-07-28,34,35.29
2006-08-04,59,36.93
2006-08-11,48,35.02
2006-08-18,44,37.06
2006-08-25,44,35.28
2006-09-01,40,36.63
2006-09-08,36,36.75
2006-09-15,49,39.58
2006-09-22,58,38.07
2006-09-29,43,38.59
2006-10-06,47,39.58
2006-10-13,31,42.58
2006-10-20,49,41.40
2006-10-27,39,40.72
2006-11-03,39,37.40
2006-11-10,27,36.70
2006-11-17,41,37.41
2006-11-24,29,37.18
2006-12-01,30,36.46
2006-12-08,22,35.77
2006-12-15,52,35.50
2006-12-22,39,34.99
2006-12-29,26,35.88
2007-01-05,47,36.43
2007-01-12,34,37.81
2007-01-19,65,36.74
2007-01-26,32,35.49
2007-02-02,53,38.18
2007-02-09,25,36.41
2007-02-16,48,36.72
2007-02-23,44,37.15
2007-03-02,50,34.75
2007-03-09,37,35.55
2007-03-16,51,34.97
2007-03-23,52,36.24
2007-03-30,38,35.05
2007-04-06,59,
2007-04-13,41,39.48
2007-04-20,29,40.52
2007-04-27,44,41.65
2007-05-04,59,41.80
2007-05-11,58,41.59
2007-05-18,40,42.35
2007-05-25,47,42.47
2007-06-01,54,42.96
2007-06-08,53,41.06
2007-06-15,70,42.22
2007-06-22,62,41.80
2007-06-29,55,41.86
2007-07-06,58,42.44
2007-07-13,44,47.32
2007-07-20,60,47.50
2007-07-27,60,45.83
2007-08-03,69,44.82
2007-08-10,49,47.89
2007-08-17,60,46.25
2007-08-24,47,46.14
2007-08-31,63,45.61
2007-09-07,55,43.48
2007-09-14,55,43.80
2007-09-21,61,44.87
2007-09-28,47,45.41
2007-10-05,50,48.90
2007-10-12,60,45.11
2007-10-19,65,41.67
2007-10-26,55,43.18
2007-11-02,46,43.88
2007-11-09,47,40.11
2007-11-16,56,39.11
2007-11-23,35,38.47
2007-11-30,39,39.64
2007-12-07,32,42.63
2007-12-14,49,42.57
2007-12-21,49,41.94
2007-12-28,34,40.77
2008-01-04,54,37.59
2008-01-11,56,34.69
2008-01-18,51,33.61
2008-01-25,51,39.07
2008-02-01,58,41.91
2008-02-08,50,40.89
2008-02-15,44,41.03
2008-02-22,54,41.90
2008-02-29,54,40.66
2008-03-07,47,39.27
2008-03-14,52,41.82
2008-03-21,50,
2008-03-28,41,45.76
2008-04-04,33,47.89
2008-04-11,45,49.69
2008-04-18,54,50.01
2008-04-25,32,49.52
2008-05-02,41,51.76
2008-05-09,36,49.81
2008-05-16,47,50.90
2008-05-23,48,45.50
2008-05-30,44,49.44
2008-06-06,48,48.77
2008-06-13,48,48.51
2008-06-20,60,48.69
2008-06-27,56,44.77
2008-07-04,52,
2008-07-11,72,43.97
2008-07-18,44,49.29
2008-07-25,39,48.31
2008-08-01,48,48.42
2008-08-08,41,50.60
2008-08-15,38,50.85
2008-08-22,53,51.48
2008-08-29,47,51.93
2008-09-05,44,50.85
2008-09-12,47,53.57
2008-09-19,56,53.62
2008-09-26,50,50.38
2008-10-03,46,41.96
2008-10-10,53,37.22
2008-10-17,46,37.82
2008-10-24,48,31.93
2008-10-31,43,40.26
2008-11-07,37,36.46
2008-11-14,36,33.32
2008-11-21,36,35.59
2008-11-28,31,38.51
2008-12-05,45,35.49
2008-12-12,45,31.90
2008-12-19,54,33.96
2008-12-26,35,34.02
2009-01-02,49,36.51
2009-01-09,43,33.03
2009-01-16,50,33.15
2009-01-23,54,32.47
2009-01-30,49,34.18
2009-02-06,42,37.13
2009-02-13,41,34.49
2009-02-20,46,32.19
2009-02-27,56,30.12
2009-03-06,48,26.38
2009-03-13,52,29.44
2009-03-20,50,29.19
2009-03-27,47,32.80
2009-04-03,55,37.00
2009-04-10,61,
2009-04-17,63,35.65
2009-04-24,49,37.35
2009-05-01,50,37.56
2009-05-08,53,36.62
2009-05-15,48,33.59
2009-05-22,57,32.27
2009-05-29,52,33.22
2009-06-05,49,34.19
2009-06-12,66,34.73
2009-06-19,58,33.33
2009-06-26,59,33.43
2009-07-03,60,
2009-07-10,60,31.73
2009-07-17,69,33.09
2009-07-24,64,35.64
2009-07-31,62,35.57
2009-08-07,58,38.54
2009-08-14,69,36.81
2009-08-21,65,37.17
2009-08-28,65,36.64
2009-09-04,55,37.16
2009-09-11,52,37.80
2009-09-18,51,38.98
2009-09-25,58,38.66
2009-10-02,48,36.64
2009-10-09,63,39.39
2009-10-16,62,38.75
2009-10-23,59,37.60
2009-10-30,59,34.50
2009-11-06,52,36.40
2009-11-13,63,36.91
2009-11-20,56,37.01
2009-11-27,43,37.02
2009-12-04,56,38.93
2009-12-11,46,39.01
2009-12-18,52,39.95
2009-12-25,46,
2010-01-01,58,
2010-01-08,57,46.98
2010-01-15,49,45.86
2010-01-22,56,42.55
2010-01-29,66,41.48
2010-02-05,64,41.99
2010-02-12,59,41.83
2010-02-19,57,43.87
2010-02-26,58,44.37
2010-03-05,56,45.70
2010-03-12,59,45.27
2010-03-19,57,46.98
2010-03-26,58,48.28
2010-04-02,56,
2010-04-09,70,51.15
2010-04-16,69,54.32
2010-04-23,62,56.20
2010-04-30,61,54.69
2010-05-07,57,50.22
2010-05-14,57,53.66
2010-05-21,67,50.35
2010-05-28,59,50.44
2010-06-04,61,49.41
2010-06-11,66,51.71
2010-06-18,77,54.67
2010-06-25,63,52.25
2010-07-02,65,49.22
2010-07-09,68,52.07
2010-07-16,71,47.66
2010-07-23,69,49.36
2010-07-30,77,49.08
2010-08-06,70,51.16
2010-08-13,78,48.16
2010-08-20,59,48.01
2010-08-27,55,45.96
2010-09-03,54,49.36
2010-09-10,64,50.92
2010-09-17,53,51.54
2010-09-24,65,53.41
2010-10-01,56,53.38
2010-10-08,59,54.52
2010-10-15,49,52.10
2010-10-22,56,52.90
2010-10-29,57,51.48
2010-11-05,67,53.74
2010-11-12,60,52.33
2010-11-19,59,52.47
2010-11-26,53,54.02
2010-12-03,54,57.78
2010-12-10,56,59.17
2010-12-17,42,59.54
2010-12-24,46,
2010-12-31,45,59.91
2011-01-07,60,59.28
2011-01-14,64,59.89
2011-01-21,64,59.51
2011-01-28,68,57.76
2011-02-04,53,61.58
2011-02-11,63,63.36
2011-02-18,62,63.70
2011-02-25,49,61.51
2011-03-04,67,61.85
2011-03-11,58,61.82
2011-03-18,62,60.93
2011-03-25,74,63.21
2011-04-01,59,65.85
2011-04-08,57,67.33
2011-04-15,62,64.95
2011-04-22,61,
2011-04-29,58,67.09
2011-05-06,61,66.36
2011-05-13,62,66.61
2011-05-20,58,65.71
2011-05-27,60,32.85
2011-06-03,60,31.36
2011-06-10,66,30.97
2011-06-17,70,32.81
2011-06-24,62,33.42
2011-07-01,60,36.65
2011-07-08,51,36.63
2011-07-15,73,34.30
2011-07-22,68,34.25
2011-07-29,66,33.65
2011-08-05,61,31.59
2011-08-12,57,32.35
2011-08-19,71,29.86
2011-08-26,73,32.17
2011-09-02,60,32.06
2011-09-09,57,32.31
2011-09-16,64,36.31
2011-09-23,61,34.45
2011-09-30,53,33.28
2011-10-07,62,33.55
2011-10-14,55,33.40
2011-10-21,55,35.51
2011-10-28,55,38.62
2011-11-04,61,40.27
2011-11-11,47,41.18
2011-11-18,68,40.04
2011-11-25,56,38.42
2011-12-02,60,41.60
2011-12-09,63,42.05
2011-12-16,59,41.42
2011-12-23,53,43.69
2011-12-30,59,43.61
2012-01-06,62,45.21
2012-01-13,66,46.59
2012-01-20,55,45.86
2012-01-27,77,46.69
2012-02-03,61,48.30
2012-02-10,63,48.42
2012-02-17,71,50.73
2012-02-24,79,51.97
2012-03-02,74,53.10
2012-03-09,76,52.88
2012-03-16,66,52.22
2012-03-23,70,53.64
2012-03-30,67,54.10
2012-04-06,73,
2012-04-13,84,48.79
2012-04-20,80,48.21
2012-04-27,79,47.69
2012-05-04,66,44.29
2012-05-11,56,43.82
2012-05-18,76,41.86
2012-05-25,69,44.40
2012-06-01,86,43.18
2012-06-08,72,40.27
2012-06-15,72,39.60
2012-06-22,79,38.92
2012-06-29,73,40.31
2012-07-06,59,40.68
2012-07-13,80,43.26
2012-07-20,89,43.96
2012-07-27,73,44.21
2012-08-03,76,43.09
2012-08-10,75,42.08
2012-08-17,84,44.31
2012-08-24,83,44.71
2012-08-31,82,43.09
2012-09-07,71,42.13
2012-09-14,80,44.26
2012-09-21,68,43.64
2012-09-28,68,42.99
2012-10-05,73,44.18
2012-10-12,71,45.32
2012-10-19,62,43.76
2012-10-26,66,43.24
2012-11-02,60,43.80
2012-11-09,70,42.31
2012-11-16,67,41.00
2012-11-23,48,41.14
2012-11-30,68,41.81
2012-12-07,60,42.12
2012-12-14,69,43.12
2012-12-21,55,46.08
2012-12-28,53,46.18
2013-01-04,71,48.04
2013-01-11,72,46.50
2013-01-18,70,48.60
2013-01-25,77,48.96
2013-02-01,90,50.66
2013-02-08,68,50.69
2013-02-15,78,52.76
2013-02-22,78,51.47
2013-03-01,83,51.74
2013-03-08,63,51.54
2013-03-15,80,50.80
2013-03-22,70,51.51
2013-03-29,77,
2013-04-05,65,49.19
2013-04-12,77,49.49
2013-04-19,72,48.14
2013-04-26,71,49.47
2013-05-03,73,47.86
2013-05-10,75,50.78
2013-05-17,59,51.11
2013-05-24,82,51.91
2013-05-31,74,52.18
2013-06-07,68,48.41
2013-06-14,77,47.69
2013-06-21,78,45.07
2013-06-28,78,45.79
2013-07-05,75,45.81
2013-07-12,75,47.13
2013-07-19,83,46.81
2013-07-26,87,46.68
2013-08-02,82,50.24
2013-08-09,78,47.53
2013-08-16,73,44.80
2013-08-23,74,45.17
2013-08-30,64,43.99
2013-09-06,64,47.89
2013-09-13,69,50.08
2013-09-20,82,50.16
2013-09-27,71,50.00
2013-10-04,75,51.26
2013-10-11,79,47.31
2013-10-18,79,49.20
2013-10-25,76,50.63
2013-11-01,72,49.39
2013-11-08,73,47.13
2013-11-15,73,46.96
2013-11-22,81,47.36
2013-11-29,71,46.53
2013-12-06,78,47.45
2013-12-13,55,46.24
2013-12-20,62,45.62
2013-12-27,57,47.39
2014-01-03,77,46.49
2014-01-10,75,47.70
2014-01-17,86,47.61
2014-01-24,81,45.09
2014-01-31,88,43.93
2014-02-07,73,44.23
2014-02-14,78,44.98
2014-02-21,69,45.61
2014-02-28,78,47.19
2014-03-07,79,49.05
2014-03-14,77,48.52
2014-03-21,66,49.12
2014-03-28,77,48.98
2014-04-04,81,51.00
2014-04-11,65,49.86
2014-04-18,70,
2014-04-25,73,49.11
2014-05-02,100,
