Date,buy MS,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,70,
2004-02-06,63,57.36
2004-02-13,63,59.75
2004-02-20,63,61.19
2004-02-27,64,59.76
2004-03-05,65,62.22
2004-03-12,66,60.66
2004-03-19,67,59.61
2004-03-26,64,56.73
2004-04-02,64,56.75
2004-04-09,64,
2004-04-16,64,54.53
2004-04-23,64,53.03
2004-04-30,64,51.39
2004-05-07,57,51.94
2004-05-14,57,52.08
2004-05-21,57,52.53
2004-05-28,57,53.51
2004-06-04,57,53.03
2004-06-11,57,
2004-06-18,62,51.65
2004-06-25,70,52.44
2004-07-02,71,51.67
2004-07-09,71,50.00
2004-07-16,71,47.07
2004-07-23,71,48.00
2004-07-30,71,49.33
2004-08-06,71,46.80
2004-08-13,63,47.27
2004-08-20,63,50.30
2004-08-27,63,51.57
2004-09-03,64,51.00
2004-09-10,55,52.95
2004-09-17,55,51.45
2004-09-24,58,50.03
2004-10-01,61,50.56
2004-10-08,64,48.30
2004-10-15,68,48.24
2004-10-22,71,48.32
2004-10-29,57,51.09
2004-11-05,57,53.75
2004-11-12,53,53.13
2004-11-19,53,52.26
2004-11-26,62,51.12
2004-12-03,50,53.07
2004-12-10,50,53.70
2004-12-17,50,54.11
2004-12-24,56,
2004-12-31,61,55.52
2005-01-07,67,56.06
2005-01-14,50,56.07
2005-01-21,50,54.48
2005-01-28,45,54.37
2005-02-04,77,58.68
2005-02-11,49,60.32
2005-02-18,49,57.65
2005-02-25,51,57.66
2005-03-04,53,58.39
2005-03-11,54,58.49
2005-03-18,58,57.78
2005-03-25,63,
2005-04-01,48,56.87
2005-04-08,52,55.67
2005-04-15,57,51.49
2005-04-22,42,50.25
2005-04-29,45,52.62
2005-05-06,47,50.05
2005-05-13,49,48.22
2005-05-20,51,50.00
2005-05-27,64,49.26
2005-06-03,54,48.91
2005-06-10,54,49.88
2005-06-17,54,51.38
2005-06-24,54,53.12
2005-07-01,38,53.03
2005-07-08,38,53.12
2005-07-15,57,53.64
2005-07-22,41,54.00
2005-07-29,49,53.05
2005-08-05,60,52.65
2005-08-12,62,52.85
2005-08-19,55,52.04
2005-08-26,38,51.56
2005-09-02,38,50.83
2005-09-09,48,52.52
2005-09-16,32,52.00
2005-09-23,53,51.94
2005-09-30,38,53.94
2005-10-07,58,53.45
2005-10-14,35,52.20
2005-10-21,31,52.10
2005-10-28,49,53.93
2005-11-04,46,52.41
2005-11-11,56,55.28
2005-11-18,38,55.50
2005-11-25,64,57.77
2005-12-02,31,57.28
2005-12-09,52,55.96
2005-12-16,47,56.88
2005-12-23,61,58.41
2005-12-30,37,56.74
2006-01-06,36,58.57
2006-01-13,55,59.38
2006-01-20,58,57.85
2006-01-27,37,60.78
2006-02-03,39,61.44
2006-02-10,49,60.31
2006-02-17,43,60.81
2006-02-24,39,60.83
2006-03-03,58,59.72
2006-03-10,49,59.12
2006-03-17,37,60.26
2006-03-24,39,61.47
2006-03-31,34,62.82
2006-04-07,39,63.77
2006-04-14,26,
2006-04-21,25,65.03
2006-04-28,43,64.30
2006-05-05,28,65.53
2006-05-12,36,63.29
2006-05-19,47,59.94
2006-05-26,41,60.57
2006-06-02,32,60.59
2006-06-09,41,59.19
2006-06-16,42,56.99
2006-06-23,53,59.70
2006-06-30,65,63.21
2006-07-07,63,63.95
2006-07-14,44,60.69
2006-07-21,44,62.51
2006-07-28,29,66.23
2006-08-04,41,67.69
2006-08-11,35,65.36
2006-08-18,29,67.14
2006-08-25,52,66.98
2006-09-01,46,66.83
2006-09-08,57,66.69
2006-09-15,45,70.95
2006-09-22,60,71.78
2006-09-29,50,72.91
2006-10-06,48,74.41
2006-10-13,39,76.57
2006-10-20,56,76.40
2006-10-27,46,76.44
2006-11-03,46,74.28
2006-11-10,40,76.68
2006-11-17,54,79.12
2006-11-24,39,78.95
2006-12-01,37,75.27
2006-12-08,50,78.61
2006-12-15,77,79.26
2006-12-22,45,79.70
2006-12-29,36,81.43
2007-01-05,47,80.86
2007-01-12,52,82.86
2007-01-19,62,81.50
2007-01-26,47,82.12
2007-02-02,58,84.04
2007-02-09,48,81.78
2007-02-16,42,82.36
2007-02-23,48,80.97
2007-03-02,55,73.40
2007-03-09,43,76.00
2007-03-16,39,74.41
2007-03-23,63,81.10
2007-03-30,39,78.76
2007-04-06,41,
2007-04-13,40,79.99
2007-04-20,51,82.91
2007-04-27,56,85.01
2007-05-04,46,86.57
2007-05-11,45,85.15
2007-05-18,50,85.05
2007-05-25,51,84.26
2007-06-01,50,86.07
2007-06-08,57,87.10
2007-06-15,45,88.48
2007-06-22,39,84.60
2007-06-29,45,83.88
2007-07-06,39,73.09
2007-07-13,47,73.26
2007-07-20,45,67.57
2007-07-27,34,64.37
2007-08-03,66,60.62
2007-08-10,37,60.03
2007-08-17,54,62.23
2007-08-24,51,64.54
2007-08-31,44,62.37
2007-09-07,33,62.50
2007-09-14,44,66.11
2007-09-21,58,64.44
2007-09-28,49,63.00
2007-10-05,51,68.90
2007-10-12,48,67.25
2007-10-19,55,61.95
2007-10-26,49,64.78
2007-11-02,64,58.90
2007-11-09,55,54.20
2007-11-16,54,52.90
2007-11-23,45,49.89
2007-11-30,43,52.72
2007-12-07,43,51.69
2007-12-14,47,50.30
2007-12-21,52,54.37
2007-12-28,65,53.22
2008-01-04,60,49.30
2008-01-11,53,48.39
2008-01-18,52,45.11
2008-01-25,52,48.89
2008-02-01,61,48.25
2008-02-08,53,43.19
2008-02-15,53,42.32
2008-02-22,45,44.19
2008-02-29,46,42.12
2008-03-07,50,39.86
2008-03-14,55,39.55
2008-03-21,44,
2008-03-28,59,44.74
2008-04-04,58,47.60
2008-04-11,35,43.63
2008-04-18,39,47.77
2008-04-25,52,50.65
2008-05-02,44,50.31
2008-05-09,41,45.96
2008-05-16,38,47.21
2008-05-23,49,41.83
2008-05-30,44,44.23
2008-06-06,47,40.81
2008-06-13,42,41.04
2008-06-20,49,38.68
2008-06-27,45,36.71
2008-07-04,43,
2008-07-11,57,33.44
2008-07-18,55,38.57
2008-07-25,45,36.75
2008-08-01,36,41.11
2008-08-08,58,45.04
2008-08-15,68,40.88
2008-08-22,46,38.89
2008-08-29,62,40.83
2008-09-05,52,41.36
2008-09-12,58,37.23
2008-09-19,58,27.21
2008-09-26,54,24.75
2008-10-03,52,23.92
2008-10-10,42,9.68
2008-10-17,58,19.24
2008-10-24,48,16.52
2008-10-31,52,17.47
2008-11-07,62,15.98
2008-11-14,45,12.03
2008-11-21,47,10.05
2008-11-28,64,14.75
2008-12-05,55,15.72
2008-12-12,59,13.85
2008-12-19,54,15.45
2008-12-26,61,14.65
2009-01-02,48,16.99
2009-01-09,81,19.06
2009-01-16,56,15.59
2009-01-23,54,18.71
2009-01-30,51,20.23
2009-02-06,57,22.87
2009-02-13,58,22.93
2009-02-20,59,19.43
2009-02-27,58,19.54
2009-03-06,61,17.18
2009-03-13,52,25.43
2009-03-20,63,20.24
2009-03-27,45,24.35
2009-04-03,61,24.06
2009-04-10,55,
2009-04-17,57,25.00
2009-04-24,49,21.96
2009-05-01,41,25.82
2009-05-08,46,28.20
2009-05-15,52,26.13
2009-05-22,41,28.23
2009-05-29,48,30.32
2009-06-05,42,30.97
2009-06-12,45,29.70
2009-06-19,51,28.27
2009-06-26,58,28.62
2009-07-03,54,
2009-07-10,62,25.94
2009-07-17,53,27.99
2009-07-24,50,28.25
2009-07-31,50,28.50
2009-08-07,55,31.22
2009-08-14,57,29.79
2009-08-21,62,29.69
2009-08-28,57,29.51
2009-09-04,55,27.65
2009-09-11,52,28.82
2009-09-18,55,31.38
2009-09-25,53,30.55
2009-10-02,54,29.46
2009-10-09,48,32.09
2009-10-16,61,32.99
2009-10-23,49,35.00
2009-10-30,59,32.12
2009-11-06,52,32.60
2009-11-13,63,33.09
2009-11-20,61,32.10
2009-11-27,52,30.51
2009-12-04,62,30.97
2009-12-11,57,29.78
2009-12-18,66,29.21
2009-12-25,62,
2010-01-01,49,
2010-01-08,57,32.25
2010-01-15,54,30.38
2010-01-22,49,27.80
2010-01-29,47,26.78
2010-02-05,52,27.26
2010-02-12,53,27.16
2010-02-19,57,27.41
2010-02-26,55,28.18
2010-03-05,52,29.41
2010-03-12,56,29.91
2010-03-19,56,29.63
2010-03-26,56,28.85
2010-04-02,69,
2010-04-09,59,30.98
2010-04-16,51,29.16
2010-04-23,51,31.94
2010-04-30,59,30.22
2010-05-07,57,27.75
2010-05-14,48,27.08
2010-05-21,63,27.11
2010-05-28,43,27.11
2010-06-04,56,25.99
2010-06-11,62,26.00
2010-06-18,64,25.70
2010-06-25,57,25.01
2010-07-02,57,22.83
2010-07-09,61,24.70
2010-07-16,56,24.74
2010-07-23,52,26.89
2010-07-30,81,26.99
2010-08-06,58,27.65
2010-08-13,62,25.90
2010-08-20,78,25.92
2010-08-27,56,25.03
2010-09-03,48,26.66
2010-09-10,65,27.19
2010-09-17,50,26.47
2010-09-24,57,25.15
2010-10-01,61,25.02
2010-10-08,67,25.32
2010-10-15,66,25.02
2010-10-22,62,24.52
2010-10-29,59,24.87
2010-11-05,64,27.28
2010-11-12,68,25.57
2010-11-19,53,25.62
2010-11-26,74,24.70
2010-12-03,75,25.64
2010-12-10,80,26.95
2010-12-17,78,26.24
2010-12-24,91,
2010-12-31,84,27.21
2011-01-07,69,28.20
2011-01-14,68,28.98
2011-01-21,66,30.01
2011-01-28,54,29.04
2011-02-04,79,29.85
2011-02-11,55,30.16
2011-02-18,65,30.99
2011-02-25,60,29.87
2011-03-04,54,28.44
2011-03-11,72,28.34
2011-03-18,58,27.43
2011-03-25,59,27.13
2011-04-01,59,27.26
2011-04-08,62,27.25
2011-04-15,55,26.98
2011-04-22,57,
2011-04-29,54,26.15
2011-05-06,66,25.24
2011-05-13,64,24.13
2011-05-20,57,23.83
2011-05-27,58,24.07
2011-06-03,73,23.12
2011-06-10,66,22.69
2011-06-17,59,22.83
2011-06-24,63,22.21
2011-07-01,67,23.76
2011-07-08,65,22.30
2011-07-15,61,21.09
2011-07-22,62,23.90
2011-07-29,61,22.25
2011-08-05,65,20.02
2011-08-12,58,16.89
2011-08-19,62,16.00
2011-08-26,76,16.61
2011-09-02,65,15.96
2011-09-09,63,15.28
2011-09-16,66,16.45
2011-09-23,62,13.72
2011-09-30,58,13.51
2011-10-07,61,14.24
2011-10-14,61,15.22
2011-10-21,62,17.02
2011-10-28,49,19.31
2011-11-04,52,16.72
2011-11-11,63,16.36
2011-11-18,68,14.21
2011-11-25,76,13.26
2011-12-02,76,15.52
2011-12-09,69,16.38
2011-12-16,69,14.98
2011-12-23,84,15.76
2011-12-30,83,15.13
2012-01-06,67,15.90
2012-01-13,63,16.63
2012-01-20,71,18.39
2012-01-27,56,18.56
2012-02-03,65,20.31
2012-02-10,68,19.66
2012-02-17,64,19.16
2012-02-24,63,18.49
2012-03-02,67,18.87
2012-03-09,56,18.37
2012-03-16,71,19.53
2012-03-23,61,20.33
2012-03-30,65,19.64
2012-04-06,60,
2012-04-13,65,17.28
2012-04-20,54,17.48
2012-04-27,54,16.95
2012-05-04,54,16.00
2012-05-11,59,14.95
2012-05-18,59,13.35
2012-05-25,61,13.25
2012-06-01,57,12.73
2012-06-08,56,13.71
2012-06-15,64,14.30
2012-06-22,62,14.14
2012-06-29,64,14.59
2012-07-06,72,14.14
2012-07-13,62,14.05
2012-07-20,67,12.78
2012-07-27,76,13.49
2012-08-03,63,13.78
2012-08-10,68,14.61
2012-08-17,59,14.59
2012-08-24,72,14.56
2012-08-31,60,15.00
2012-09-07,60,17.08
2012-09-14,57,18.24
2012-09-21,58,17.08
2012-09-28,66,16.74
2012-10-05,60,17.50
2012-10-12,56,17.31
2012-10-19,56,17.53
2012-10-26,65,17.04
2012-11-02,64,17.78
2012-11-09,64,16.61
2012-11-16,66,16.18
2012-11-23,99,16.43
2012-11-30,80,16.87
2012-12-07,78,16.97
2012-12-14,77,18.05
2012-12-21,94,18.92
2012-12-28,95,18.62
2013-01-04,72,20.19
2013-01-11,75,20.17
2013-01-18,67,22.38
2013-01-25,64,22.70
2013-02-01,67,23.51
2013-02-08,69,23.32
2013-02-15,71,23.87
2013-02-22,69,23.58
2013-03-01,74,22.43
2013-03-08,67,23.03
2013-03-15,68,23.59
2013-03-22,63,22.18
2013-03-29,59,
2013-04-05,66,21.56
2013-04-12,59,21.82
2013-04-19,60,20.58
2013-04-26,61,21.40
2013-05-03,62,22.76
2013-05-10,65,23.94
2013-05-17,49,25.19
2013-05-24,62,24.35
2013-05-31,62,25.90
2013-06-07,64,27.00
2013-06-14,64,25.83
2013-06-21,58,24.91
2013-06-28,66,24.43
2013-07-05,64,24.57
2013-07-12,63,26.13
2013-07-19,70,27.60
2013-07-26,58,27.70
2013-08-02,64,27.85
2013-08-09,60,26.76
2013-08-16,70,26.47
2013-08-23,67,26.32
2013-08-30,69,25.76
2013-09-06,61,26.81
2013-09-13,63,28.13
2013-09-20,65,28.19
2013-09-27,58,27.08
2013-10-04,59,26.99
2013-10-11,58,27.95
2013-10-18,62,29.69
2013-10-25,62,29.23
2013-11-01,52,29.20
2013-11-08,57,29.44
2013-11-15,73,30.30
2013-11-22,78,31.34
2013-11-29,90,31.30
2013-12-06,84,30.46
2013-12-13,72,31.09
2013-12-20,86,30.93
2013-12-27,100,31.06
2014-01-03,74,31.51
2014-01-10,58,31.30
2014-01-17,62,33.40
2014-01-24,56,30.45
2014-01-31,55,29.51
2014-02-07,59,29.69
2014-02-14,69,29.69
2014-02-21,64,29.62
2014-02-28,65,30.80
2014-03-07,56,32.21
2014-03-14,59,31.10
2014-03-21,63,32.60
2014-03-28,71,30.91
2014-04-04,49,30.37
2014-04-11,60,28.47
2014-04-18,64,
2014-04-25,52,30.58
2014-05-02,62,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
