Date,F,Price
2004-01-09,20,
2004-01-16,21,
2004-01-23,21,
2004-01-30,21,
2004-02-06,21,14.28
2004-02-13,21,14.36
2004-02-20,20,14.17
2004-02-27,21,13.75
2004-03-05,21,14.10
2004-03-12,20,13.29
2004-03-19,20,13.06
2004-03-26,20,13.28
2004-04-02,19,13.66
2004-04-09,20,
2004-04-16,20,13.34
2004-04-23,21,15.70
2004-04-30,20,15.36
2004-05-07,21,14.40
2004-05-14,20,14.70
2004-05-21,20,14.24
2004-05-28,20,14.85
2004-06-04,19,14.91
2004-06-11,20,
2004-06-18,19,15.89
2004-06-25,20,15.85
2004-07-02,19,14.95
2004-07-09,19,15.16
2004-07-16,19,14.85
2004-07-23,18,14.67
2004-07-30,19,14.72
2004-08-06,19,14.07
2004-08-13,19,13.80
2004-08-20,19,14.11
2004-08-27,19,14.12
2004-09-03,19,14.21
2004-09-10,19,13.96
2004-09-17,20,14.22
2004-09-24,19,13.80
2004-10-01,20,14.19
2004-10-08,20,13.95
2004-10-15,20,13.25
2004-10-22,20,12.97
2004-10-29,19,13.03
2004-11-05,19,13.81
2004-11-12,19,14.23
2004-11-19,19,14.15
2004-11-26,20,14.25
2004-12-03,19,14.31
2004-12-10,19,14.22
2004-12-17,19,14.34
2004-12-24,19,
2004-12-31,18,14.64
2005-01-07,18,14.65
2005-01-14,19,14.06
2005-01-21,20,13.11
2005-01-28,20,13.14
2005-02-04,20,13.22
2005-02-11,20,13.06
2005-02-18,19,12.96
2005-02-25,20,13.00
2005-03-04,19,12.40
2005-03-11,20,12.39
2005-03-18,20,11.39
2005-03-25,20,
2005-04-01,20,11.18
2005-04-08,20,11.03
2005-04-15,19,9.50
2005-04-22,20,9.89
2005-04-29,20,9.11
2005-05-06,21,9.76
2005-05-13,20,9.30
2005-05-20,21,10.00
2005-05-27,22,10.07
2005-06-03,23,9.90
2005-06-10,20,10.33
2005-06-17,20,11.28
2005-06-24,21,10.21
2005-07-01,21,10.31
2005-07-08,20,10.42
2005-07-15,21,11.00
2005-07-22,21,10.72
2005-07-29,20,10.74
2005-08-05,20,10.36
2005-08-12,20,10.14
2005-08-19,20,9.76
2005-08-26,20,9.77
2005-09-02,20,9.86
2005-09-09,20,9.90
2005-09-16,20,9.93
2005-09-23,20,9.79
2005-09-30,20,9.86
2005-10-07,21,9.23
2005-10-14,21,8.61
2005-10-21,21,8.25
2005-10-28,20,8.02
2005-11-04,21,8.29
2005-11-11,21,7.97
2005-11-18,20,8.40
2005-11-25,20,8.32
2005-12-02,21,8.15
2005-12-09,22,8.18
2005-12-16,21,8.30
2005-12-23,20,7.90
2005-12-30,19,7.72
2006-01-06,20,8.52
2006-01-13,21,8.55
2006-01-20,21,7.90
2006-01-27,22,8.65
2006-02-03,21,8.26
2006-02-10,21,8.27
2006-02-17,21,8.45
2006-02-24,21,8.10
2006-03-03,20,7.57
2006-03-10,21,7.84
2006-03-17,20,7.81
2006-03-24,21,8.09
2006-03-31,20,7.96
2006-04-07,21,7.60
2006-04-14,20,
2006-04-21,20,7.32
2006-04-28,20,6.95
2006-05-05,20,6.93
2006-05-12,21,7.11
2006-05-19,21,7.03
2006-05-26,20,7.31
2006-06-02,20,7.10
2006-06-09,20,6.76
2006-06-16,20,6.69
2006-06-23,20,6.52
2006-06-30,20,6.93
2006-07-07,20,6.73
2006-07-14,20,6.38
2006-07-21,21,6.28
2006-07-28,21,6.89
2006-08-04,21,7.13
2006-08-11,21,7.37
2006-08-18,21,8.00
2006-08-25,21,8.00
2006-09-01,20,8.27
2006-09-08,21,8.77
2006-09-15,22,8.02
2006-09-22,21,8.00
2006-09-29,21,8.09
2006-10-06,22,8.31
2006-10-13,21,8.17
2006-10-20,21,8.01
2006-10-27,21,8.29
2006-11-03,21,8.38
2006-11-10,21,8.58
2006-11-17,21,8.89
2006-11-24,21,8.52
2006-12-01,21,8.04
2006-12-08,20,7.23
2006-12-15,21,7.08
2006-12-22,20,7.42
2006-12-29,20,7.51
2007-01-05,20,7.62
2007-01-12,20,7.89
2007-01-19,21,8.30
2007-01-26,21,8.42
2007-02-02,21,8.23
2007-02-09,21,8.73
2007-02-16,20,8.53
2007-02-23,21,8.30
2007-03-02,20,7.59
2007-03-09,21,7.93
2007-03-16,21,7.55
2007-03-23,20,7.89
2007-03-30,20,7.89
2007-04-06,21,
2007-04-13,20,8.02
2007-04-20,21,7.75
2007-04-27,21,8.05
2007-05-04,21,8.22
2007-05-11,22,8.37
2007-05-18,22,8.69
2007-05-25,22,8.45
2007-06-01,23,8.35
2007-06-08,22,8.24
2007-06-15,22,8.92
2007-06-22,22,9.13
2007-06-29,21,9.42
2007-07-06,22,9.11
2007-07-13,21,8.97
2007-07-20,21,8.40
2007-07-27,21,8.23
2007-08-03,21,8.06
2007-08-10,21,8.23
2007-08-17,21,7.83
2007-08-24,20,7.90
2007-08-31,21,7.81
2007-09-07,20,7.52
2007-09-14,22,8.03
2007-09-21,22,8.23
2007-09-28,21,8.49
2007-10-05,22,8.37
2007-10-12,22,9.20
2007-10-19,21,8.37
2007-10-26,21,8.67
2007-11-02,22,8.95
2007-11-09,22,8.20
2007-11-16,21,7.70
2007-11-23,24,7.19
2007-11-30,25,7.51
2007-12-07,24,7.06
2007-12-14,22,6.89
2007-12-21,22,6.79
2007-12-28,22,6.70
2008-01-04,22,6.13
2008-01-11,22,6.06
