Date,CMI,Price
2004-01-09,84,
2004-01-16,89,
2004-01-23,86,
2004-01-30,91,
2004-02-06,92,50.51
2004-02-13,92,51.71
2004-02-20,100,50.64
2004-02-27,82,49.40
2004-03-05,86,53.04
2004-03-12,80,53.92
2004-03-19,74,55.60
2004-03-26,83,56.30
2004-04-02,76,59.73
2004-04-09,92,
2004-04-16,92,65.74
2004-04-23,81,62.99
2004-04-30,81,59.81
2004-05-07,81,58.45
2004-05-14,81,57.68
2004-05-21,77,54.68
2004-05-28,67,58.24
2004-06-04,91,59.47
2004-06-11,78,
2004-06-18,82,61.56
2004-06-25,81,63.49
2004-07-02,78,60.55
2004-07-09,87,60.13
2004-07-16,87,63.75
2004-07-23,78,64.90
2004-07-30,86,69.43
2004-08-06,94,65.69
2004-08-13,85,65.38
2004-08-20,81,67.87
2004-08-27,86,68.70
2004-09-03,70,71.00
2004-09-10,89,71.29
2004-09-17,85,70.99
2004-09-24,88,71.71
2004-10-01,83,75.30
2004-10-08,92,73.30
2004-10-15,87,72.29
2004-10-22,88,66.25
2004-10-29,93,70.08
2004-11-05,74,74.27
2004-11-12,87,76.56
2004-11-19,80,76.95
2004-11-26,90,79.65
2004-12-03,82,79.88
2004-12-10,84,77.50
2004-12-17,77,81.80
2004-12-24,80,
2004-12-31,82,83.79
2005-01-07,78,75.05
2005-01-14,84,76.40
2005-01-21,85,74.77
2005-01-28,84,74.76
2005-02-04,77,73.99
2005-02-11,80,74.51
2005-02-18,83,72.05
2005-02-25,74,74.20
2005-03-04,81,76.03
2005-03-11,77,75.11
2005-03-18,83,73.27
2005-03-25,82,
2005-04-01,76,70.79
2005-04-08,73,66.90
2005-04-15,70,63.85
2005-04-22,76,71.29
2005-04-29,81,68.00
2005-05-06,83,68.28
2005-05-13,72,64.06
2005-05-20,67,68.40
2005-05-27,65,68.91
2005-06-03,71,71.37
2005-06-10,71,71.45
2005-06-17,60,74.03
2005-06-24,75,72.30
2005-07-01,71,74.76
2005-07-08,60,75.02
2005-07-15,68,78.25
2005-07-22,69,86.11
2005-07-29,76,85.44
2005-08-05,73,84.21
2005-08-12,68,85.64
2005-08-19,67,85.19
2005-08-26,66,84.71
2005-09-02,71,86.17
2005-09-09,73,88.68
2005-09-16,65,92.02
2005-09-23,72,89.75
2005-09-30,59,87.99
2005-10-07,69,83.13
2005-10-14,62,81.42
2005-10-21,74,78.21
2005-10-28,69,83.41
2005-11-04,72,86.51
2005-11-11,67,87.07
2005-11-18,66,87.29
2005-11-25,64,88.65
2005-12-02,68,90.06
2005-12-09,65,87.60
2005-12-16,61,89.01
2005-12-23,64,91.03
2005-12-30,66,89.73
2006-01-06,66,95.30
2006-01-13,63,96.57
2006-01-20,74,93.71
2006-01-27,62,99.91
2006-02-03,65,100.10
2006-02-10,57,99.88
2006-02-17,72,104.47
2006-02-24,62,107.54
2006-03-03,66,108.58
2006-03-10,63,104.66
2006-03-17,63,107.80
2006-03-24,55,105.13
2006-03-31,71,105.10
2006-04-07,55,105.37
2006-04-14,72,
2006-04-21,64,109.67
2006-04-28,61,104.50
2006-05-05,63,108.27
2006-05-12,57,113.80
2006-05-19,68,109.72
2006-05-26,58,110.05
2006-06-02,66,112.10
2006-06-09,51,104.51
