Date,K,Price
2004-01-09,64,
2004-01-16,66,
2004-01-23,64,
2004-01-30,62,
2004-02-06,62,38.05
2004-02-13,63,38.49
2004-02-20,64,38.95
2004-02-27,63,39.49
2004-03-05,61,39.30
2004-03-12,58,39.55
2004-03-19,62,38.87
2004-03-26,62,38.42
2004-04-02,61,39.19
2004-04-09,61,
2004-04-16,62,41.34
2004-04-23,62,42.82
2004-04-30,62,42.90
2004-05-07,60,42.34
2004-05-14,61,42.02
2004-05-21,61,42.31
2004-05-28,61,42.40
2004-06-04,61,42.46
2004-06-11,63,
2004-06-18,62,41.07
2004-06-25,63,41.17
2004-07-02,66,41.31
2004-07-09,65,41.85
2004-07-16,63,41.21
2004-07-23,61,40.23
2004-07-30,63,41.66
2004-08-06,66,40.76
2004-08-13,60,40.89
2004-08-20,63,41.58
2004-08-27,62,42.01
2004-09-03,62,42.01
2004-09-10,64,42.12
2004-09-17,63,42.71
2004-09-24,64,41.44
2004-10-01,63,42.70
2004-10-08,65,42.09
2004-10-15,64,42.05
2004-10-22,64,42.41
2004-10-29,63,43.00
2004-11-05,63,44.27
2004-11-12,64,45.00
2004-11-19,63,44.29
2004-11-26,63,45.01
2004-12-03,66,44.48
2004-12-10,67,43.38
2004-12-17,62,44.02
2004-12-24,67,
2004-12-31,63,44.66
2005-01-07,66,44.21
2005-01-14,63,44.30
2005-01-21,62,44.30
2005-01-28,64,45.29
2005-02-04,65,44.45
2005-02-11,66,44.90
2005-02-18,64,44.01
2005-02-25,65,44.30
2005-03-04,61,44.58
2005-03-11,65,43.35
2005-03-18,63,42.81
2005-03-25,65,
2005-04-01,66,42.69
2005-04-08,66,43.30
2005-04-15,62,43.43
2005-04-22,62,42.92
2005-04-29,62,44.95
2005-05-06,69,45.46
2005-05-13,65,44.90
2005-05-20,65,45.19
2005-05-27,67,45.75
2005-06-03,66,46.18
2005-06-10,67,45.52
2005-06-17,68,45.50
2005-06-24,66,44.47
2005-07-01,68,44.64
2005-07-08,69,44.63
2005-07-15,71,44.80
2005-07-22,70,44.49
2005-07-29,69,45.31
2005-08-05,69,44.82
2005-08-12,67,45.30
2005-08-19,65,45.74
2005-08-26,66,45.16
2005-09-02,67,45.17
2005-09-09,64,45.83
2005-09-16,65,45.00
2005-09-23,67,44.06
2005-09-30,66,46.13
2005-10-07,66,45.61
2005-10-14,66,45.81
2005-10-21,66,46.09
2005-10-28,65,46.46
2005-11-04,63,43.90
2005-11-11,67,44.87
2005-11-18,69,44.57
2005-11-25,69,45.18
2005-12-02,69,44.56
2005-12-09,69,43.89
2005-12-16,68,44.63
2005-12-23,68,44.13
2005-12-30,69,43.22
2006-01-06,68,44.40
2006-01-13,68,43.76
2006-01-20,67,43.33
2006-01-27,69,43.75
2006-02-03,70,43.29
2006-02-10,69,43.01
2006-02-17,69,44.50
2006-02-24,72,44.93
2006-03-03,67,44.23
2006-03-10,67,45.28
2006-03-17,66,45.48
2006-03-24,66,44.98
2006-03-31,65,44.04
2006-04-07,67,43.90
2006-04-14,66,
2006-04-21,68,44.20
2006-04-28,67,46.31
2006-05-05,66,46.39
2006-05-12,67,46.06
2006-05-19,65,45.89
2006-05-26,66,47.31
2006-06-02,67,47.67
2006-06-09,63,47.00
2006-06-16,63,47.37
2006-06-23,64,47.83
2006-06-30,64,48.43
2006-07-07,62,47.53
2006-07-14,63,48.07
2006-07-21,65,48.74
2006-07-28,66,48.38
2006-08-04,65,48.28
2006-08-11,66,48.94
2006-08-18,64,49.67
2006-08-25,67,49.80
2006-09-01,64,50.52
2006-09-08,68,49.96
2006-09-15,66,49.71
2006-09-22,67,49.92
2006-09-29,66,49.52
2006-10-06,69,49.69
2006-10-13,66,47.90
2006-10-20,65,49.39
2006-10-27,68,50.00
2006-11-03,67,49.37
2006-11-10,69,49.36
2006-11-17,70,50.15
2006-11-24,70,50.10
2006-12-01,68,49.60
2006-12-08,68,49.92
2006-12-15,69,50.58
2006-12-22,72,50.11
2006-12-29,70,50.06
2007-01-05,71,49.72
2007-01-12,69,50.23
2007-01-19,66,50.00
2007-01-26,69,50.32
2007-02-02,69,48.98
2007-02-09,71,48.89
2007-02-16,72,49.78
2007-02-23,73,49.84
2007-03-02,69,49.24
2007-03-09,72,50.47
2007-03-16,72,50.55
2007-03-23,71,51.74
2007-03-30,71,51.43
2007-04-06,71,
2007-04-13,70,51.56
2007-04-20,68,52.54
2007-04-27,69,53.08
2007-05-04,70,53.21
2007-05-11,69,53.07
2007-05-18,71,53.65
2007-05-25,72,53.49
2007-06-01,68,54.32
2007-06-08,72,52.05
2007-06-15,68,52.17
2007-06-22,68,51.36
2007-06-29,69,51.79
2007-07-06,69,51.69
2007-07-13,71,52.23
2007-07-20,70,51.76
2007-07-27,70,51.95
2007-08-03,70,52.58
2007-08-10,68,53.32
2007-08-17,69,54.20
2007-08-24,69,54.60
2007-08-31,72,54.93
2007-09-07,69,54.60
2007-09-14,70,56.15
2007-09-21,69,55.99
2007-09-28,71,56.00
2007-10-05,71,55.13
2007-10-12,72,54.99
2007-10-19,71,53.50
2007-10-26,71,54.44
2007-11-02,71,52.58
2007-11-09,70,52.39
2007-11-16,72,52.77
2007-11-23,83,52.96
2007-11-30,79,54.04
2007-12-07,87,54.22
2007-12-14,74,53.62
2007-12-21,72,53.54
2007-12-28,74,52.92
2008-01-04,74,51.17
2008-01-11,75,50.89
2008-01-18,74,48.56
2008-01-25,72,47.59
2008-02-01,72,49.02
2008-02-08,72,49.18
2008-02-15,72,51.73
2008-02-22,73,51.04
2008-02-29,71,50.72
2008-03-07,71,49.45
2008-03-14,70,49.89
2008-03-21,71,
2008-03-28,73,52.48
2008-04-04,71,53.15
2008-04-11,72,51.95
2008-04-18,71,52.66
2008-04-25,73,51.37
2008-05-02,72,52.40
2008-05-09,74,50.87
2008-05-16,70,51.49
2008-05-23,70,50.56
2008-05-30,70,51.81
2008-06-06,73,50.05
2008-06-13,70,52.00
2008-06-20,71,51.00
2008-06-27,72,47.96
2008-07-04,73,
2008-07-11,71,50.87
2008-07-18,73,51.60
2008-07-25,76,52.27
2008-08-01,74,52.46
2008-08-08,75,55.71
2008-08-15,72,55.50
2008-08-22,74,54.39
2008-08-29,72,54.44
2008-09-05,70,55.01
2008-09-12,71,56.21
2008-09-19,74,56.68
2008-09-26,73,57.39
2008-10-03,76,57.21
2008-10-10,75,48.49
2008-10-17,74,50.46
2008-10-24,75,48.22
2008-10-31,73,50.42
2008-11-07,74,49.54
2008-11-14,74,46.93
2008-11-21,77,43.02
2008-11-28,76,43.43
2008-12-05,77,42.73
2008-12-12,79,42.53
2008-12-19,77,42.63
2008-12-26,80,42.30
2009-01-02,80,45.05
2009-01-09,80,43.54
2009-01-16,80,44.63
2009-01-23,82,44.23
2009-01-30,81,43.69
2009-02-06,83,43.58
2009-02-13,78,41.38
2009-02-20,78,40.17
2009-02-27,81,38.92
2009-03-06,78,37.16
2009-03-13,82,36.99
2009-03-20,86,36.43
2009-03-27,84,36.89
2009-04-03,81,38.01
2009-04-10,79,
2009-04-17,79,40.10
2009-04-24,80,38.94
2009-05-01,78,43.40
2009-05-08,77,42.83
2009-05-15,81,43.19
2009-05-22,79,43.68
2009-05-29,80,43.25
2009-06-05,80,43.78
2009-06-12,77,44.55
2009-06-19,78,45.09
2009-06-26,74,46.23
2009-07-03,75,
2009-07-10,76,47.24
2009-07-17,78,47.18
2009-07-24,79,47.92
2009-07-31,79,47.50
2009-08-07,78,46.16
2009-08-14,80,46.06
2009-08-21,79,47.35
2009-08-28,77,46.52
2009-09-04,79,47.22
2009-09-11,78,48.39
2009-09-18,80,48.82
2009-09-25,80,49.09
2009-10-02,78,48.66
2009-10-09,81,49.82
2009-10-16,77,50.48
2009-10-23,76,50.20
2009-10-30,80,51.54
2009-11-06,79,52.20
2009-11-13,78,53.37
2009-11-20,79,53.12
2009-11-27,79,52.97
2009-12-04,80,52.96
2009-12-11,82,53.70
2009-12-18,81,52.27
2009-12-25,84,
2010-01-01,83,
2010-01-08,83,53.38
2010-01-15,82,54.34
2010-01-22,81,54.34
2010-01-29,79,54.42
2010-02-05,83,52.72
2010-02-12,81,52.34
2010-02-19,81,53.20
2010-02-26,81,52.15
2010-03-05,80,52.93
2010-03-12,82,52.49
2010-03-19,80,53.43
2010-03-26,83,53.76
2010-04-02,83,
2010-04-09,83,52.81
2010-04-16,76,54.04
2010-04-23,79,53.62
2010-04-30,80,54.94
2010-05-07,79,52.84
2010-05-14,77,54.50
2010-05-21,78,54.08
2010-05-28,79,53.43
2010-06-04,81,53.22
2010-06-11,81,53.66
2010-06-18,79,54.47
2010-06-25,76,52.42
2010-07-02,79,50.67
2010-07-09,79,51.77
2010-07-16,75,51.05
2010-07-23,78,51.10
2010-07-30,78,50.05
2010-08-06,80,50.15
2010-08-13,78,50.64
2010-08-20,79,49.75
2010-08-27,79,50.49
2010-09-03,78,50.41
2010-09-10,80,51.27
2010-09-17,82,50.58
2010-09-24,82,51.00
2010-10-01,81,50.91
2010-10-08,82,49.97
2010-10-15,82,50.08
2010-10-22,81,49.55
2010-10-29,79,50.26
2010-11-05,79,49.32
2010-11-12,80,48.95
2010-11-19,81,48.98
2010-11-26,81,49.48
2010-12-03,79,49.50
2010-12-10,79,49.78
2010-12-17,80,51.23
2010-12-24,81,
2010-12-31,83,51.08
2011-01-07,84,51.00
2011-01-14,84,51.00
2011-01-21,85,51.95
2011-01-28,84,50.49
2011-02-04,84,53.42
2011-02-11,86,53.09
2011-02-18,83,53.01
2011-02-25,83,53.15
2011-03-04,82,54.33
2011-03-11,81,55.04
2011-03-18,79,54.17
2011-03-25,81,53.39
2011-04-01,83,54.00
2011-04-08,82,53.94
2011-04-15,82,55.37
2011-04-22,82,
2011-04-29,83,57.27
2011-05-06,83,56.75
2011-05-13,84,57.56
2011-05-20,84,57.14
2011-05-27,84,56.44
2011-06-03,86,54.92
2011-06-10,82,54.89
2011-06-17,85,54.92
2011-06-24,85,54.76
2011-07-01,83,55.40
2011-07-08,81,55.17
2011-07-15,82,55.24
2011-07-22,85,55.91
2011-07-29,83,55.78
2011-08-05,84,53.36
2011-08-12,85,52.89
2011-08-19,87,52.26
2011-08-26,86,53.18
2011-09-02,87,53.61
2011-09-09,89,53.09
2011-09-16,90,53.99
2011-09-23,91,52.60
2011-09-30,90,53.19
2011-10-07,88,53.61
2011-10-14,85,54.84
2011-10-21,90,54.98
2011-10-28,88,54.78
2011-11-04,90,49.91
2011-11-11,94,49.72
2011-11-18,92,49.37
2011-11-25,91,48.75
2011-12-02,95,49.12
2011-12-09,93,49.81
2011-12-16,92,48.77
2011-12-23,92,50.34
2011-12-30,97,50.57
2012-01-06,97,50.51
2012-01-13,95,50.81
2012-01-20,95,51.07
2012-01-27,93,49.73
2012-02-03,93,50.84
2012-02-10,93,49.81
2012-02-17,93,52.53
2012-02-24,94,52.75
2012-03-02,93,52.11
2012-03-09,95,52.44
2012-03-16,94,52.62
2012-03-23,93,52.41
2012-03-30,92,53.63
2012-04-06,91,
2012-04-13,91,53.24
2012-04-20,91,53.99
2012-04-27,91,50.35
2012-05-04,95,50.39
2012-05-11,91,50.99
2012-05-18,92,50.37
2012-05-25,92,50.27
2012-06-01,91,48.22
2012-06-08,91,48.63
2012-06-15,89,49.25
2012-06-22,93,48.97
2012-06-29,89,49.33
2012-07-06,92,49.12
2012-07-13,91,49.50
2012-07-20,91,47.64
2012-07-27,89,47.19
2012-08-03,92,50.35
2012-08-10,93,50.98
2012-08-17,97,51.10
2012-08-24,98,51.48
2012-08-31,98,50.65
2012-09-07,92,50.39
2012-09-14,95,50.19
2012-09-21,92,51.45
2012-09-28,93,51.66
2012-10-05,93,51.95
2012-10-12,90,51.73
2012-10-19,90,52.09
2012-10-26,96,52.90
2012-11-02,89,53.69
2012-11-09,90,53.48
2012-11-16,91,54.17
2012-11-23,93,55.26
2012-11-30,94,55.46
2012-12-07,91,55.97
2012-12-14,95,56.72
2012-12-21,97,56.18
2012-12-28,100,55.33
2013-01-04,97,56.64
2013-01-11,94,57.02
2013-01-18,92,58.21
2013-01-25,92,58.84
2013-02-01,95,58.65
2013-02-08,92,58.91
2013-02-15,92,59.77
2013-02-22,92,60.01
2013-03-01,94,60.58
2013-03-08,92,61.52
2013-03-15,95,62.20
2013-03-22,93,63.39
2013-03-29,92,
2013-04-05,94,63.64
2013-04-12,95,64.70
2013-04-19,93,66.10
2013-04-26,92,65.70
2013-05-03,94,63.66
2013-05-10,91,64.29
2013-05-17,89,65.66
2013-05-24,91,64.45
2013-05-31,94,62.05
2013-06-07,92,63.39
2013-06-14,92,64.24
2013-06-21,92,63.25
2013-06-28,89,64.23
2013-07-05,90,65.34
2013-07-12,89,66.50
2013-07-19,93,67.32
2013-07-26,90,66.98
2013-08-02,89,65.23
2013-08-09,88,65.68
2013-08-16,96,62.95
2013-08-23,92,62.73
2013-08-30,93,60.71
2013-09-06,90,60.23
2013-09-13,91,60.64
2013-09-20,91,60.57
2013-09-27,88,59.02
2013-10-04,91,59.36
2013-10-11,90,60.76
2013-10-18,92,61.45
2013-10-25,89,62.43
2013-11-01,91,62.29
2013-11-08,92,62.19
2013-11-15,90,62.61
2013-11-22,94,62.47
2013-11-29,93,60.64
2013-12-06,92,61.64
2013-12-13,91,60.50
2013-12-20,90,60.52
2013-12-27,95,60.98
2014-01-03,93,60.58
2014-01-10,92,60.78
2014-01-17,92,60.47
2014-01-24,92,59.83
2014-01-31,93,57.98
2014-02-07,92,58.36
2014-02-14,91,60.19
2014-02-21,92,59.95
2014-02-28,93,60.69
2014-03-07,91,61.60
2014-03-14,89,60.90
2014-03-21,90,61.58
2014-03-28,92,62.13
2014-04-04,92,63.77
2014-04-11,95,65.68
2014-04-18,96,
2014-04-25,96,66.71
2014-05-02,94,
