Date,GILD,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,56.56
2004-02-13,30,58.30
2004-02-20,30,55.66
2004-02-27,30,54.27
2004-03-05,0,57.33
2004-03-12,0,57.50
2004-03-19,0,55.30
2004-03-26,0,53.79
2004-04-02,0,57.37
2004-04-09,0,
2004-04-16,0,57.32
2004-04-23,25,60.12
2004-04-30,25,60.94
2004-05-07,26,55.55
2004-05-14,27,55.73
2004-05-21,34,63.33
2004-05-28,28,65.33
2004-06-04,28,64.54
2004-06-11,24,
2004-06-18,24,64.40
2004-06-25,0,64.95
2004-07-02,0,67.42
2004-07-09,0,65.33
2004-07-16,0,62.44
2004-07-23,0,58.19
2004-07-30,0,64.64
2004-08-06,28,61.63
2004-08-13,30,62.99
2004-08-20,28,66.21
2004-08-27,28,69.39
2004-09-03,42,70.32
2004-09-10,41,35.49
2004-09-17,41,36.89
2004-09-24,32,36.50
2004-10-01,25,37.69
2004-10-08,28,37.80
2004-10-15,27,37.49
2004-10-22,27,33.25
2004-10-29,31,34.63
2004-11-05,25,37.42
2004-11-12,26,36.94
2004-11-19,27,34.35
2004-11-26,29,34.51
2004-12-03,33,35.48
2004-12-10,37,36.38
2004-12-17,28,34.85
2004-12-24,19,
2004-12-31,19,34.99
2005-01-07,19,33.55
2005-01-14,35,32.67
2005-01-21,25,32.89
2005-01-28,29,32.51
2005-02-04,33,33.26
2005-02-11,27,32.80
2005-02-18,28,33.55
2005-02-25,28,35.56
2005-03-04,23,34.86
2005-03-11,38,34.57
2005-03-18,26,35.40
2005-03-25,22,
2005-04-01,28,35.33
2005-04-08,30,37.12
2005-04-15,26,35.33
2005-04-22,33,39.55
2005-04-29,34,37.11
2005-05-06,39,38.72
2005-05-13,49,38.80
2005-05-20,52,40.18
2005-05-27,52,41.01
2005-06-03,44,41.43
2005-06-10,79,43.32
2005-06-17,70,45.49
2005-06-24,58,41.75
2005-07-01,33,44.13
2005-07-08,51,46.63
2005-07-15,33,45.47
2005-07-22,32,44.47
2005-07-29,26,44.81
2005-08-05,62,42.63
2005-08-12,62,42.41
2005-08-19,30,42.50
2005-08-26,41,41.05
2005-09-02,38,42.59
2005-09-09,41,44.28
2005-09-16,39,46.32
2005-09-23,48,46.03
2005-09-30,53,48.76
2005-10-07,37,47.51
2005-10-14,46,47.42
2005-10-21,50,45.62
2005-10-28,29,47.12
2005-11-04,63,49.68
2005-11-11,53,54.08
2005-11-18,62,54.36
2005-11-25,45,54.23
2005-12-02,34,53.58
2005-12-09,28,51.98
2005-12-16,50,50.69
2005-12-23,41,54.56
2005-12-30,38,52.57
2006-01-06,55,57.03
2006-01-13,60,59.40
2006-01-20,56,57.56
2006-01-27,71,59.74
2006-02-03,66,60.70
2006-02-10,48,59.10
2006-02-17,50,61.46
2006-02-24,29,61.66
2006-03-03,53,60.09
2006-03-10,49,61.09
2006-03-17,53,63.31
2006-03-24,43,62.34
2006-03-31,55,62.22
2006-04-07,56,61.50
2006-04-14,44,
2006-04-21,57,64.52
2006-04-28,50,57.50
2006-05-05,70,56.25
2006-05-12,40,55.54
2006-05-19,51,54.94
2006-05-26,48,57.16
2006-06-02,44,58.40
2006-06-09,46,57.31
2006-06-16,46,57.86
2006-06-23,39,55.57
2006-06-30,50,59.16
2006-07-07,55,60.76
2006-07-14,57,59.91
2006-07-21,57,59.71
2006-07-28,47,62.48
2006-08-04,51,61.33
2006-08-11,41,62.05
2006-08-18,39,63.65
2006-08-25,49,63.20
2006-09-01,31,63.33
2006-09-08,44,63.69
2006-09-15,47,64.75
2006-09-22,44,64.78
2006-09-29,48,68.77
2006-10-06,52,65.35
2006-10-13,38,66.89
2006-10-20,46,68.99
2006-10-27,43,68.18
2006-11-03,39,67.86
2006-11-10,44,67.34
2006-11-17,33,69.43
2006-11-24,37,66.15
2006-12-01,42,65.22
2006-12-08,31,66.12
2006-12-15,43,64.49
2006-12-22,38,64.50
2006-12-29,37,64.93
2007-01-05,39,64.21
2007-01-12,46,66.16
2007-01-19,44,65.58
2007-01-26,45,62.73
2007-02-02,49,70.67
2007-02-09,47,71.16
2007-02-16,44,72.06
2007-02-23,50,73.63
2007-03-02,40,70.44
2007-03-09,38,70.26
2007-03-16,36,69.54
2007-03-23,44,74.58
2007-03-30,43,76.50
2007-04-06,37,
2007-04-13,38,78.42
2007-04-20,51,82.39
2007-04-27,45,81.86
2007-05-04,36,83.12
2007-05-11,43,82.14
2007-05-18,45,83.02
2007-05-25,39,81.74
2007-06-01,36,83.00
2007-06-08,54,79.00
2007-06-15,45,80.83
2007-06-22,37,78.48
2007-06-29,43,38.80
2007-07-06,52,39.12
2007-07-13,29,39.96
2007-07-20,51,38.75
2007-07-27,35,36.96
2007-08-03,37,36.93
2007-08-10,27,37.06
2007-08-17,42,38.00
2007-08-24,39,37.29
2007-08-31,35,36.37
2007-09-07,28,37.66
2007-09-14,33,38.02
2007-09-21,41,40.13
2007-09-28,44,40.87
2007-10-05,40,42.11
2007-10-12,39,43.30
2007-10-19,40,42.00
2007-10-26,41,46.37
2007-11-02,35,46.91
2007-11-09,35,43.57
2007-11-16,27,44.64
2007-11-23,44,43.32
2007-11-30,43,46.54
2007-12-07,46,47.07
2007-12-14,40,45.85
2007-12-21,35,46.46
2007-12-28,40,46.33
2008-01-04,39,45.90
2008-01-11,50,48.68
2008-01-18,34,46.17
2008-01-25,47,43.07
2008-02-01,53,45.93
2008-02-08,42,44.53
2008-02-15,43,44.62
2008-02-22,32,42.92
2008-02-29,45,47.32
2008-03-07,44,48.70
2008-03-14,50,47.55
2008-03-21,48,
2008-03-28,40,49.61
2008-04-04,50,52.35
2008-04-11,40,50.64
2008-04-18,38,51.76
2008-04-25,55,51.40
2008-05-02,41,53.63
2008-05-09,42,53.64
2008-05-16,38,53.09
2008-05-23,37,52.98
2008-05-30,35,55.32
2008-06-06,46,54.76
2008-06-13,50,54.14
2008-06-20,39,54.72
2008-06-27,39,52.86
2008-07-04,42,
2008-07-11,44,53.70
2008-07-18,50,49.53
2008-07-25,51,54.51
2008-08-01,49,53.69
2008-08-08,49,56.77
2008-08-15,56,56.26
2008-08-22,41,54.31
2008-08-29,41,52.68
2008-09-05,37,47.85
2008-09-12,47,48.12
2008-09-19,48,46.46
2008-09-26,45,48.64
2008-10-03,40,45.75
2008-10-10,49,37.47
2008-10-17,47,43.03
2008-10-24,36,43.32
2008-10-31,48,45.85
2008-11-07,37,45.04
2008-11-14,43,46.92
2008-11-21,43,41.46
2008-11-28,37,44.79
2008-12-05,33,47.39
2008-12-12,37,45.03
2008-12-19,33,49.65
2008-12-26,39,50.01
2009-01-02,39,52.18
2009-01-09,42,47.77
2009-01-16,37,48.28
2009-01-23,36,48.25
2009-01-30,46,50.77
2009-02-06,42,52.45
2009-02-13,43,50.25
2009-02-20,35,50.00
2009-02-27,41,44.80
2009-03-06,43,44.01
2009-03-13,38,45.43
2009-03-20,37,44.31
2009-03-27,35,44.37
2009-04-03,35,46.98
2009-04-10,44,
2009-04-17,41,44.69
2009-04-24,46,45.80
2009-05-01,50,44.81
2009-05-08,36,44.01
2009-05-15,40,43.75
2009-05-22,43,42.33
2009-05-29,35,43.10
2009-06-05,32,44.58
2009-06-12,31,44.94
2009-06-19,32,47.02
2009-06-26,30,47.52
2009-07-03,32,
2009-07-10,30,44.44
2009-07-17,34,47.83
2009-07-24,37,48.43
2009-07-31,30,48.93
2009-08-07,41,45.76
2009-08-14,33,44.95
2009-08-21,36,46.09
2009-08-28,39,45.25
2009-09-04,32,46.13
2009-09-11,36,46.10
2009-09-18,42,45.76
2009-09-25,34,46.20
2009-10-02,38,44.51
2009-10-09,29,45.30
2009-10-16,32,46.17
2009-10-23,36,43.83
2009-10-30,39,42.55
2009-11-06,35,46.26
2009-11-13,32,47.05
2009-11-20,29,46.39
2009-11-27,29,46.56
2009-12-04,31,46.59
2009-12-11,33,46.42
2009-12-18,39,42.83
2009-12-25,26,
2010-01-01,30,
2010-01-08,35,44.54
2010-01-15,23,45.52
2010-01-22,29,46.08
2010-01-29,31,48.27
2010-02-05,29,46.38
2010-02-12,37,47.01
2010-02-19,31,48.84
2010-02-26,35,47.61
2010-03-05,27,47.61
2010-03-12,26,47.42
2010-03-19,26,47.87
2010-03-26,23,45.34
2010-04-02,30,
2010-04-09,30,45.80
2010-04-16,26,45.70
2010-04-23,41,41.67
2010-04-30,40,39.71
2010-05-07,33,38.37
2010-05-14,31,37.78
2010-05-21,27,36.57
2010-05-28,29,35.92
2010-06-04,31,34.71
2010-06-11,31,34.53
2010-06-18,32,36.02
2010-06-25,24,36.35
2010-07-02,33,34.87
2010-07-09,42,34.74
2010-07-16,36,31.94
2010-07-23,42,33.43
2010-07-30,46,33.32
2010-08-06,43,35.82
2010-08-13,41,34.31
2010-08-20,36,32.64
2010-08-27,40,32.52
2010-09-03,42,34.02
2010-09-10,40,34.39
2010-09-17,40,34.56
2010-09-24,42,36.55
2010-10-01,41,35.76
2010-10-08,40,36.33
2010-10-15,39,37.73
2010-10-22,46,39.11
2010-10-29,45,39.67
2010-11-05,42,38.95
2010-11-12,44,37.80
2010-11-19,42,38.08
2010-11-26,37,37.10
2010-12-03,38,37.25
2010-12-10,38,37.61
2010-12-17,42,37.19
2010-12-24,39,
2010-12-31,41,36.24
2011-01-07,38,37.50
2011-01-14,39,38.22
2011-01-21,35,38.19
2011-01-28,46,38.21
2011-02-04,47,38.79
2011-02-11,43,38.39
2011-02-18,42,39.30
2011-02-25,41,39.01
2011-03-04,37,40.71
2011-03-11,52,40.83
2011-03-18,41,40.15
2011-03-25,40,42.08
2011-04-01,42,42.66
2011-04-08,45,41.25
2011-04-15,35,41.70
2011-04-22,40,
2011-04-29,36,38.84
2011-05-06,33,41.01
2011-05-13,36,41.20
2011-05-20,36,40.98
2011-05-27,41,41.19
2011-06-03,41,41.05
2011-06-10,37,40.23
2011-06-17,41,39.54
2011-06-24,47,39.71
2011-07-01,39,41.95
2011-07-08,40,42.44
2011-07-15,39,41.00
2011-07-22,43,43.21
2011-07-29,42,42.36
2011-08-05,39,37.76
2011-08-12,49,37.43
2011-08-19,43,37.20
2011-08-26,41,38.73
2011-09-02,36,38.82
2011-09-09,41,37.81
2011-09-16,39,40.41
2011-09-23,40,38.43
2011-09-30,38,38.80
2011-10-07,38,39.31
2011-10-14,41,40.43
2011-10-21,40,41.47
2011-10-28,36,42.79
2011-11-04,39,40.72
2011-11-11,38,41.08
2011-11-18,42,39.88
2011-11-25,43,39.28
2011-12-02,43,39.40
2011-12-09,36,39.01
2011-12-16,40,37.16
2011-12-23,42,39.29
2011-12-30,43,40.93
2012-01-06,44,42.78
2012-01-13,41,44.89
2012-01-20,43,47.44
2012-01-27,36,48.72
2012-02-03,43,54.70
2012-02-10,49,53.75
2012-02-17,45,47.00
2012-02-24,45,45.26
2012-03-02,43,46.99
2012-03-09,41,46.09
2012-03-16,41,46.73
2012-03-23,41,46.85
2012-03-30,38,48.86
2012-04-06,40,
2012-04-13,38,45.51
2012-04-20,44,51.00
2012-04-27,40,52.16
2012-05-04,42,50.27
2012-05-11,44,51.84
2012-05-18,40,49.94
2012-05-25,36,50.49
2012-06-01,38,48.67
2012-06-08,36,49.64
2012-06-15,36,50.29
2012-06-22,35,50.52
2012-06-29,36,51.28
2012-07-06,34,50.96
2012-07-13,32,51.17
2012-07-20,41,53.08
2012-07-27,45,55.50
2012-08-03,49,56.87
2012-08-10,48,56.77
2012-08-17,46,56.75
2012-08-24,45,57.29
2012-08-31,60,57.69
2012-09-07,52,59.26
2012-09-14,46,62.02
2012-09-21,50,67.76
2012-09-28,52,66.33
2012-10-05,47,69.43
2012-10-12,42,67.94
2012-10-19,42,66.59
2012-10-26,43,67.07
2012-11-02,37,67.01
2012-11-09,33,65.01
2012-11-16,46,74.40
2012-11-23,40,76.12
2012-11-30,38,75.00
2012-12-07,37,73.92
2012-12-14,36,74.24
2012-12-21,36,72.78
2012-12-28,38,72.38
2013-01-04,36,75.72
2013-01-11,42,78.08
2013-01-18,39,78.28
2013-01-25,42,79.36
2013-02-01,48,40.56
2013-02-08,45,40.90
2013-02-15,43,41.60
2013-02-22,44,42.45
2013-03-01,41,43.45
2013-03-08,42,45.43
2013-03-15,41,45.17
2013-03-22,37,45.51
2013-03-29,49,
2013-04-05,40,47.37
2013-04-12,41,51.93
2013-04-19,49,53.17
2013-04-26,46,51.38
2013-05-03,59,55.15
2013-05-10,51,52.88
2013-05-17,46,56.30
2013-05-24,42,55.81
2013-05-31,43,54.48
2013-06-07,44,52.89
2013-06-14,40,52.23
2013-06-21,42,48.83
2013-06-28,39,51.27
2013-07-05,36,53.32
2013-07-12,42,57.34
2013-07-19,40,60.10
2013-07-26,42,62.57
2013-08-02,47,61.75
2013-08-09,41,59.21
2013-08-16,44,56.91
2013-08-23,47,59.64
2013-08-30,43,60.27
2013-09-06,37,61.12
2013-09-13,46,63.53
2013-09-20,49,63.86
2013-09-27,45,63.54
2013-10-04,49,63.04
2013-10-11,48,62.69
2013-10-18,46,68.21
2013-10-25,47,69.68
2013-11-01,56,70.97
2013-11-08,48,67.37
2013-11-15,45,69.89
2013-11-22,54,74.27
2013-11-29,44,74.81
2013-12-06,51,73.99
2013-12-13,55,71.40
2013-12-20,50,74.66
2013-12-27,43,74.45
2014-01-03,45,74.32
2014-01-10,52,74.87
2014-01-17,54,78.40
2014-01-24,64,80.62
2014-01-31,58,80.65
2014-02-07,63,78.75
2014-02-14,63,81.21
2014-02-21,63,82.59
2014-02-28,63,82.79
2014-03-07,58,79.58
2014-03-14,59,75.05
2014-03-21,65,72.07
2014-03-28,70,68.55
2014-04-04,69,72.20
2014-04-11,69,66.03
2014-04-18,63,
2014-04-25,100,73.90
2014-05-02,58,
