Date,EL,Price
2004-01-09,46,
2004-01-16,50,
2004-01-23,51,
2004-01-30,50,
2004-02-06,49,41.47
2004-02-13,52,41.42
2004-02-20,55,40.85
2004-02-27,52,42.60
2004-03-05,54,43.57
2004-03-12,69,42.55
2004-03-19,60,43.10
2004-03-26,57,43.07
2004-04-02,58,43.86
2004-04-09,48,
2004-04-16,61,44.25
2004-04-23,62,43.72
2004-04-30,63,45.71
2004-05-07,61,46.45
2004-05-14,61,45.15
2004-05-21,62,44.34
2004-05-28,62,45.79
2004-06-04,64,44.48
2004-06-11,63,
2004-06-18,58,47.14
2004-06-25,55,47.10
2004-07-02,53,48.35
2004-07-09,53,48.51
2004-07-16,52,46.64
2004-07-23,51,44.25
2004-07-30,51,43.90
2004-08-06,50,42.94
2004-08-13,53,43.30
2004-08-20,56,42.75
2004-08-27,61,44.02
2004-09-03,60,44.70
2004-09-10,63,44.48
2004-09-17,57,44.00
2004-09-24,61,42.27
2004-10-01,62,42.13
2004-10-08,63,41.26
2004-10-15,62,41.45
2004-10-22,64,42.78
2004-10-29,63,42.95
2004-11-05,59,44.32
2004-11-12,64,44.60
2004-11-19,62,44.89
2004-11-26,65,44.40
2004-12-03,59,45.11
2004-12-10,50,45.97
2004-12-17,51,46.53
2004-12-24,49,
2004-12-31,50,45.77
2005-01-07,48,44.79
2005-01-14,52,45.61
2005-01-21,53,45.85
2005-01-28,55,46.81
2005-02-04,54,45.39
2005-02-11,58,43.03
2005-02-18,58,44.38
2005-02-25,57,44.15
2005-03-04,60,43.00
2005-03-11,59,42.68
2005-03-18,59,43.40
2005-03-25,51,
2005-04-01,64,44.92
2005-04-08,67,45.19
2005-04-15,67,43.70
2005-04-22,70,41.85
2005-04-29,67,38.41
2005-05-06,64,37.62
2005-05-13,64,37.00
2005-05-20,66,40.04
2005-05-27,66,39.43
2005-06-03,67,39.38
2005-06-10,65,39.38
2005-06-17,65,39.50
2005-06-24,63,38.94
2005-07-01,59,38.50
2005-07-08,59,37.93
2005-07-15,58,38.27
2005-07-22,57,38.25
2005-07-29,53,39.14
2005-08-05,55,38.30
2005-08-12,58,37.32
2005-08-19,58,41.46
2005-08-26,60,39.91
2005-09-02,64,40.53
2005-09-09,65,40.32
2005-09-16,61,40.58
2005-09-23,64,35.40
2005-09-30,66,34.83
2005-10-07,66,35.12
2005-10-14,67,35.21
2005-10-21,68,33.76
2005-10-28,68,32.42
2005-11-04,65,33.00
2005-11-11,67,33.37
2005-11-18,68,33.32
2005-11-25,68,33.72
2005-12-02,62,34.07
2005-12-09,57,33.32
2005-12-16,55,33.90
2005-12-23,54,33.31
2005-12-30,54,33.48
2006-01-06,50,34.25
2006-01-13,55,34.85
2006-01-20,57,34.10
2006-01-27,59,35.93
2006-02-03,60,36.70
2006-02-10,60,37.86
2006-02-17,60,38.28
2006-02-24,62,38.56
2006-03-03,60,37.20
2006-03-10,61,37.11
2006-03-17,66,37.61
2006-03-24,67,37.56
2006-03-31,66,37.19
2006-04-07,67,36.86
2006-04-14,56,
2006-04-21,69,36.34
2006-04-28,70,37.12
2006-05-05,70,39.88
2006-05-12,72,40.00
2006-05-19,71,41.13
2006-05-26,71,41.35
2006-06-02,75,40.16
2006-06-09,73,38.92
2006-06-16,69,38.35
2006-06-23,63,38.16
2006-06-30,59,38.67
2006-07-07,62,38.50
2006-07-14,57,36.76
2006-07-21,57,36.34
2006-07-28,57,37.54
2006-08-04,57,37.60
2006-08-11,57,36.77
2006-08-18,59,35.60
2006-08-25,61,34.94
2006-09-01,62,37.49
2006-09-08,63,37.11
2006-09-15,64,38.81
2006-09-22,64,39.45
2006-09-29,64,40.33
2006-10-06,69,40.49
2006-10-13,66,39.64
2006-10-20,66,40.00
2006-10-27,69,40.00
2006-11-03,65,39.19
2006-11-10,65,39.96
2006-11-17,65,41.04
2006-11-24,67,41.82
2006-12-01,62,40.85
2006-12-08,57,41.54
2006-12-15,57,41.04
