Date,DRI,Price
2004-01-09,72,
2004-01-16,56,
2004-01-23,54,
2004-01-30,53,
2004-02-06,79,21.95
2004-02-13,61,22.19
2004-02-20,61,22.02
2004-02-27,62,24.40
2004-03-05,57,25.37
2004-03-12,75,24.55
2004-03-19,68,24.30
2004-03-26,68,24.53
2004-04-02,60,23.95
2004-04-09,66,
2004-04-16,65,23.87
2004-04-23,56,23.91
2004-04-30,70,22.66
2004-05-07,61,21.96
2004-05-14,65,22.00
2004-05-21,65,21.78
2004-05-28,66,22.50
2004-06-04,71,21.61
2004-06-11,59,
2004-06-18,53,21.36
2004-06-25,67,20.61
2004-07-02,69,20.33
2004-07-09,58,20.55
2004-07-16,57,21.36
2004-07-23,69,21.51
2004-07-30,63,21.33
2004-08-06,75,20.11
2004-08-13,55,19.42
2004-08-20,65,20.23
2004-08-27,60,21.28
2004-09-03,72,21.21
2004-09-10,61,21.00
2004-09-17,63,21.04
2004-09-24,55,23.13
2004-10-01,66,23.50
2004-10-08,60,24.45
2004-10-15,57,24.54
2004-10-22,55,23.49
2004-10-29,67,24.50
2004-11-05,67,26.92
2004-11-12,64,27.08
2004-11-19,60,25.98
2004-11-26,60,27.41
2004-12-03,64,27.41
2004-12-10,63,28.11
2004-12-17,59,26.62
2004-12-24,51,
2004-12-31,46,27.74
2005-01-07,60,28.37
2005-01-14,52,28.74
2005-01-21,48,27.72
2005-01-28,64,29.08
2005-02-04,54,28.19
2005-02-11,54,28.77
2005-02-18,62,27.14
2005-02-25,62,27.49
2005-03-04,64,28.64
2005-03-11,55,27.55
2005-03-18,59,27.04
2005-03-25,59,
2005-04-01,52,31.05
2005-04-08,53,30.81
2005-04-15,63,30.52
2005-04-22,58,30.44
2005-04-29,51,30.00
2005-05-06,54,30.80
2005-05-13,58,30.03
2005-05-20,58,31.96
2005-05-27,50,32.80
2005-06-03,55,32.91
2005-06-10,62,33.44
2005-06-17,46,33.00
2005-06-24,52,32.70
2005-07-01,55,33.03
2005-07-08,53,32.08
2005-07-15,63,34.10
2005-07-22,59,34.47
2005-07-29,56,34.70
2005-08-05,60,33.09
2005-08-12,58,33.51
2005-08-19,56,32.42
2005-08-26,61,31.59
2005-09-02,66,29.88
2005-09-09,56,31.62
2005-09-16,55,30.65
2005-09-23,52,29.72
2005-09-30,51,30.37
2005-10-07,54,29.84
2005-10-14,63,31.01
2005-10-21,53,31.19
2005-10-28,50,31.88
2005-11-04,53,34.47
2005-11-11,47,34.08
2005-11-18,55,35.35
2005-11-25,47,36.09
2005-12-02,51,36.56
2005-12-09,55,34.98
2005-12-16,42,38.81
2005-12-23,40,38.55
2005-12-30,43,38.88
2006-01-06,51,40.40
2006-01-13,51,40.46
2006-01-20,47,38.87
2006-01-27,51,41.03
2006-02-03,51,41.34
2006-02-10,55,41.98
2006-02-17,47,41.44
2006-02-24,52,42.75
2006-03-03,49,41.64
2006-03-10,53,40.83
2006-03-17,53,41.21
2006-03-24,50,41.58
2006-03-31,47,41.03
2006-04-07,50,40.31
2006-04-14,53,
2006-04-21,50,40.68
2006-04-28,58,39.60
2006-05-05,50,39.09
2006-05-12,52,36.81
2006-05-19,50,36.25
2006-05-26,50,36.51
2006-06-02,50,35.51
2006-06-09,50,35.63
2006-06-16,59,36.05
2006-06-23,53,37.15
2006-06-30,51,39.40
2006-07-07,49,37.94
2006-07-14,57,34.68
2006-07-21,54,33.29
2006-07-28,54,33.85
2006-08-04,63,35.21
2006-08-11,59,34.38
2006-08-18,47,37.00
2006-08-25,48,34.65
2006-09-01,48,35.96
2006-09-08,44,36.47
2006-09-15,51,38.78
2006-09-22,54,42.38
2006-09-29,53,42.47
2006-10-06,54,43.81
2006-10-13,51,43.54
2006-10-20,54,41.57
2006-10-27,59,41.00
2006-11-03,60,39.91
2006-11-10,52,40.92
2006-11-17,53,40.78
2006-11-24,48,40.25
2006-12-01,52,40.06
2006-12-08,51,40.20
2006-12-15,52,40.44
2006-12-22,49,40.42
2006-12-29,47,40.17
2007-01-05,44,39.13
2007-01-12,48,39.43
2007-01-19,46,39.91
2007-01-26,48,38.32
2007-02-02,54,40.28
2007-02-09,55,41.38
2007-02-16,51,42.71
2007-02-23,52,42.66
2007-03-02,48,39.79
2007-03-09,50,39.80
2007-03-16,57,39.43
2007-03-23,53,41.32
2007-03-30,48,41.19
2007-04-06,50,
2007-04-13,50,40.79
2007-04-20,48,41.25
2007-04-27,53,42.32
2007-05-04,47,43.22
2007-05-11,51,45.80
2007-05-18,46,45.34
2007-05-25,46,45.32
2007-06-01,54,45.80
2007-06-08,49,45.22
2007-06-15,50,46.86
2007-06-22,50,42.93
2007-06-29,47,43.99
2007-07-06,42,44.41
2007-07-13,48,44.84
2007-07-20,45,43.53
2007-07-27,50,42.01
2007-08-03,48,44.56
2007-08-10,52,42.94
2007-08-17,53,38.93
2007-08-24,41,42.33
2007-08-31,49,41.60
2007-09-07,47,40.87
2007-09-14,46,42.44
2007-09-21,49,43.82
2007-09-28,54,41.86
2007-10-05,54,44.06
2007-10-12,49,43.27
2007-10-19,46,43.10
2007-10-26,52,42.91
2007-11-02,51,41.01
2007-11-09,47,40.13
2007-11-16,46,39.79
2007-11-23,48,39.40
2007-11-30,48,39.79
2007-12-07,55,39.26
2007-12-14,44,35.79
2007-12-21,50,27.51
2007-12-28,41,27.62
2008-01-04,45,25.59
2008-01-11,50,22.19
2008-01-18,44,22.19
2008-01-25,43,26.21
2008-02-01,45,28.84
2008-02-08,48,26.86
2008-02-15,46,30.54
2008-02-22,52,31.38
2008-02-29,44,30.83
2008-03-07,47,28.25
2008-03-14,43,29.28
2008-03-21,47,
2008-03-28,46,31.69
2008-04-04,46,34.41
2008-04-11,51,33.95
2008-04-18,50,35.72
2008-04-25,49,35.74
2008-05-02,47,36.53
2008-05-09,49,35.77
2008-05-16,48,36.02
2008-05-23,43,31.74
2008-05-30,39,34.25
2008-06-06,45,32.16
2008-06-13,48,32.47
2008-06-20,47,31.64
2008-06-27,48,32.26
2008-07-04,49,
2008-07-11,47,29.21
2008-07-18,47,31.52
2008-07-25,45,31.10
2008-08-01,49,32.07
2008-08-08,45,35.65
2008-08-15,49,36.04
2008-08-22,43,33.57
2008-08-29,44,29.29
2008-09-05,45,29.75
2008-09-12,45,30.43
2008-09-19,48,31.72
2008-09-26,43,28.56
2008-10-03,43,27.45
2008-10-10,43,21.43
2008-10-17,42,21.21
2008-10-24,45,18.71
2008-10-31,42,22.17
2008-11-07,42,19.59
2008-11-14,44,17.36
2008-11-21,48,14.30
2008-11-28,38,18.29
2008-12-05,44,20.50
2008-12-12,47,22.00
2008-12-19,43,28.55
2008-12-26,37,28.50
2009-01-02,42,29.54
2009-01-09,48,26.68
2009-01-16,42,25.97
2009-01-23,45,26.63
2009-01-30,43,26.22
2009-02-06,47,28.69
2009-02-13,42,29.32
2009-02-20,46,28.23
2009-02-27,46,27.14
2009-03-06,48,24.86
2009-03-13,46,28.60
2009-03-20,45,33.88
2009-03-27,46,35.41
2009-04-03,43,36.49
2009-04-10,47,
2009-04-17,48,39.53
2009-04-24,49,39.72
2009-05-01,45,36.12
2009-05-08,45,36.02
2009-05-15,43,34.10
2009-05-22,46,33.04
2009-05-29,43,36.17
2009-06-05,44,34.93
2009-06-12,45,33.80
2009-06-19,45,34.70
2009-06-26,43,32.21
2009-07-03,41,
2009-07-10,47,32.36
2009-07-17,48,33.71
2009-07-24,45,33.52
2009-07-31,47,32.39
2009-08-07,44,31.92
2009-08-14,46,31.71
2009-08-21,46,33.27
2009-08-28,47,33.52
2009-09-04,44,34.41
2009-09-11,44,34.55
2009-09-18,46,37.12
2009-09-25,44,35.60
2009-10-02,41,33.20
2009-10-09,46,32.99
2009-10-16,45,33.21
2009-10-23,40,31.29
2009-10-30,41,30.31
2009-11-06,40,32.65
2009-11-13,46,32.10
2009-11-20,45,31.44
2009-11-27,38,31.15
2009-12-04,44,32.21
2009-12-11,47,32.45
2009-12-18,47,35.13
2009-12-25,36,
2010-01-01,38,
2010-01-08,41,34.13
2010-01-15,43,35.30
2010-01-22,49,36.16
2010-01-29,42,36.96
2010-02-05,43,37.59
2010-02-12,43,38.99
2010-02-19,44,41.05
2010-02-26,41,40.55
