Date,MCD,Price
2004-01-09,23,
2004-01-16,21,
2004-01-23,20,
2004-01-30,20,
2004-02-06,19,27.16
2004-02-13,23,26.63
2004-02-20,17,27.16
2004-02-27,18,28.30
2004-03-05,20,29.85
2004-03-12,25,29.01
2004-03-19,17,28.10
2004-03-26,17,27.87
2004-04-02,22,28.94
2004-04-09,19,
2004-04-16,18,27.46
2004-04-23,21,27.34
2004-04-30,20,27.23
2004-05-07,19,26.71
2004-05-14,19,26.17
2004-05-21,17,25.45
2004-05-28,21,26.40
2004-06-04,20,26.86
2004-06-11,20,
2004-06-18,22,26.92
2004-06-25,19,26.99
2004-07-02,19,26.12
2004-07-09,21,26.51
2004-07-16,20,27.81
2004-07-23,19,27.08
2004-07-30,19,27.50
2004-08-06,19,26.34
2004-08-13,18,25.81
2004-08-20,17,27.07
2004-08-27,21,27.17
2004-09-03,17,27.76
2004-09-10,22,27.05
2004-09-17,24,27.67
2004-09-24,20,27.60
2004-10-01,19,28.14
2004-10-08,23,27.94
2004-10-15,22,28.99
2004-10-22,22,28.52
2004-10-29,20,29.15
2004-11-05,19,30.06
2004-11-12,16,30.50
2004-11-19,19,29.30
2004-11-26,20,30.57
2004-12-03,23,31.28
2004-12-10,21,31.65
2004-12-17,18,32.54
2004-12-24,19,
2004-12-31,20,32.06
2005-01-07,20,31.87
2005-01-14,17,31.31
2005-01-21,20,31.25
2005-01-28,20,32.00
2005-02-04,20,32.57
2005-02-11,17,32.25
2005-02-18,20,32.33
2005-02-25,20,32.98
2005-03-04,19,33.96
2005-03-11,19,32.59
2005-03-18,20,31.90
2005-03-25,17,
2005-04-01,21,31.00
2005-04-08,20,31.14
2005-04-15,20,30.30
2005-04-22,20,30.06
2005-04-29,24,29.31
2005-05-06,19,29.38
2005-05-13,20,29.65
2005-05-20,21,30.94
2005-05-27,15,31.26
2005-06-03,22,30.51
2005-06-10,17,29.53
2005-06-17,21,29.00
2005-06-24,21,28.28
2005-07-01,21,27.94
2005-07-08,24,28.65
2005-07-15,19,30.99
2005-07-22,22,30.94
2005-07-29,20,31.17
2005-08-05,20,31.30
2005-08-12,18,33.25
2005-08-19,16,33.38
2005-08-26,18,33.48
2005-09-02,18,31.90
2005-09-09,20,34.14
2005-09-16,14,34.24
2005-09-23,17,32.64
2005-09-30,19,33.49
2005-10-07,22,32.22
2005-10-14,21,32.32
2005-10-21,22,32.48
2005-10-28,25,32.29
2005-11-04,23,33.43
2005-11-11,21,33.80
2005-11-18,21,33.09
2005-11-25,19,33.46
2005-12-02,20,34.91
2005-12-09,22,34.84
2005-12-16,19,34.75
2005-12-23,19,34.55
2005-12-30,19,33.72
2006-01-06,22,34.06
2006-01-13,21,34.47
2006-01-20,22,35.86
2006-01-27,54,35.05
2006-02-03,56,35.97
2006-02-10,36,36.33
2006-02-17,28,36.06
2006-02-24,27,35.34
2006-03-03,22,34.85
2006-03-10,26,34.65
2006-03-17,22,35.10
2006-03-24,25,34.70
2006-03-31,24,34.36
2006-04-07,29,34.88
2006-04-14,25,
2006-04-21,22,34.60
2006-04-28,24,34.57
2006-05-05,22,35.21
2006-05-12,22,34.88
2006-05-19,22,34.15
2006-05-26,20,32.92
2006-06-02,23,33.51
2006-06-09,24,33.38
2006-06-16,20,33.14
2006-06-23,22,32.60
2006-06-30,23,33.60
2006-07-07,22,33.18
2006-07-14,25,33.04
2006-07-21,25,34.70
2006-07-28,24,35.29
2006-08-04,20,35.41
2006-08-11,20,34.69
2006-08-18,22,36.18
2006-08-25,24,35.23
2006-09-01,22,36.76
2006-09-08,21,37.50
2006-09-15,25,37.73
2006-09-22,25,38.21
2006-09-29,27,39.12
2006-10-06,25,40.11
2006-10-13,30,42.11
2006-10-20,26,41.47
2006-10-27,29,41.47
2006-11-03,26,41.24
2006-11-10,26,41.97
2006-11-17,24,41.82
2006-11-24,24,41.88
2006-12-01,26,42.08
2006-12-08,26,43.76
2006-12-15,25,43.41
2006-12-22,27,43.57
2006-12-29,41,44.33
2007-01-05,35,43.54
2007-01-12,25,44.22
2007-01-19,26,44.81
2007-01-26,25,42.93
2007-02-02,26,44.54
2007-02-09,25,44.56
2007-02-16,23,45.32
2007-02-23,22,46.01
2007-03-02,24,43.67
2007-03-09,23,44.15
2007-03-16,24,43.48
2007-03-23,23,45.05
2007-03-30,25,45.05
2007-04-06,38,
2007-04-13,27,47.64
2007-04-20,28,48.36
2007-04-27,25,48.95
2007-05-04,22,49.92
2007-05-11,23,50.65
2007-05-18,23,52.33
2007-05-25,26,50.90
2007-06-01,25,50.95
2007-06-08,26,51.41
2007-06-15,30,52.17
2007-06-22,32,50.42
2007-06-29,52,50.76
2007-07-06,26,51.43
2007-07-13,24,51.91
2007-07-20,25,52.09
2007-07-27,25,48.76
2007-08-03,24,48.52
2007-08-10,23,49.41
2007-08-17,21,47.57
2007-08-24,22,50.12
2007-08-31,22,49.25
2007-09-07,20,49.24
2007-09-14,21,55.45
