Date,Dominion Resources,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,63.30
2004-02-13,0,63.02
2004-02-20,0,62.80
2004-02-27,0,62.83
2004-03-05,0,65.08
2004-03-12,0,64.02
2004-03-19,0,63.87
2004-03-26,0,62.50
2004-04-02,0,64.31
2004-04-09,0,
2004-04-16,0,63.90
2004-04-23,100,63.57
2004-04-30,0,63.81
2004-05-07,0,62.98
2004-05-14,0,62.46
2004-05-21,0,61.60
2004-05-28,0,62.97
2004-06-04,0,61.49
2004-06-11,0,
2004-06-18,0,63.18
2004-06-25,0,63.91
2004-07-02,0,63.25
2004-07-09,0,62.36
2004-07-16,0,63.79
2004-07-23,0,62.68
2004-07-30,0,63.46
2004-08-06,0,63.31
2004-08-13,0,63.54
2004-08-20,0,64.70
2004-08-27,0,64.69
2004-09-03,0,64.76
2004-09-10,0,65.69
2004-09-17,0,64.96
2004-09-24,0,64.60
2004-10-01,0,65.70
2004-10-08,0,65.97
2004-10-15,0,65.19
2004-10-22,0,63.71
2004-10-29,0,64.32
2004-11-05,0,65.12
2004-11-12,0,67.54
2004-11-19,0,66.10
2004-11-26,70,66.67
2004-12-03,0,64.53
2004-12-10,0,67.50
2004-12-17,0,68.24
2004-12-24,0,
2004-12-31,0,67.74
2005-01-07,0,66.91
2005-01-14,96,69.10
2005-01-21,56,68.26
2005-01-28,0,68.53
2005-02-04,0,69.89
2005-02-11,0,70.63
2005-02-18,0,71.60
2005-02-25,0,72.74
2005-03-04,0,74.25
2005-03-11,0,73.76
2005-03-18,51,75.81
2005-03-25,53,
2005-04-01,54,75.27
2005-04-08,65,75.27
2005-04-15,76,73.58
2005-04-22,50,74.25
2005-04-29,50,75.40
2005-05-06,56,70.88
2005-05-13,63,69.22
2005-05-20,50,71.40
2005-05-27,50,70.12
2005-06-03,50,71.10
2005-06-10,54,73.05
2005-06-17,57,72.60
2005-06-24,61,73.00
2005-07-01,0,74.10
2005-07-08,0,74.80
2005-07-15,0,74.73
2005-07-22,0,73.88
2005-07-29,0,73.86
2005-08-05,0,75.73
2005-08-12,0,74.53
2005-08-19,0,75.07
2005-08-26,0,75.86
2005-09-02,46,78.19
2005-09-09,49,80.78
2005-09-16,52,82.56
2005-09-23,54,83.85
2005-09-30,57,86.14
2005-10-07,59,80.50
2005-10-14,42,78.15
2005-10-21,43,75.78
2005-10-28,44,75.34
2005-11-04,45,75.30
2005-11-11,39,75.10
2005-11-18,39,77.48
2005-11-25,39,78.24
2005-12-02,39,75.98
2005-12-09,39,79.06
2005-12-16,43,80.87
2005-12-23,44,78.78
2005-12-30,45,77.20
2006-01-06,47,78.26
2006-01-13,48,78.11
2006-01-20,52,78.64
2006-01-27,56,75.26
2006-02-03,38,75.05
2006-02-10,34,74.44
2006-02-17,38,74.75
2006-02-24,41,74.35
2006-03-03,50,73.85
2006-03-10,33,71.41
2006-03-17,34,73.25
2006-03-24,35,71.55
2006-03-31,41,69.03
2006-04-07,46,70.96
2006-04-14,53,
2006-04-21,61,74.29
2006-04-28,0,74.87
2006-05-05,0,75.90
2006-05-12,0,73.57
2006-05-19,0,73.66
2006-05-26,0,72.86
2006-06-02,0,74.20
2006-06-09,35,72.80
2006-06-16,0,74.02
2006-06-23,0,72.68
2006-06-30,0,74.79
2006-07-07,0,75.37
2006-07-14,0,75.61
2006-07-21,40,77.72
2006-07-28,42,78.60
2006-08-04,41,78.86
2006-08-11,31,79.27
2006-08-18,32,79.27
2006-08-25,32,80.88
2006-09-01,32,79.58
2006-09-08,35,77.71
2006-09-15,37,77.16
2006-09-22,39,76.30
2006-09-29,42,76.49
2006-10-06,28,76.21
2006-10-13,38,77.85
2006-10-20,29,80.16
2006-10-27,27,80.64
2006-11-03,61,80.67
2006-11-10,46,81.22
2006-11-17,25,80.88
2006-11-24,28,81.00
2006-12-01,30,80.88
2006-12-08,30,81.13
2006-12-15,45,82.90
2006-12-22,33,82.36
2006-12-29,33,83.84
2007-01-05,33,82.24
2007-01-12,33,80.00
2007-01-19,39,80.76
2007-01-26,46,82.07
2007-02-02,36,86.54
2007-02-09,24,87.46
2007-02-16,36,86.56
2007-02-23,37,85.68
2007-03-02,43,85.00
2007-03-09,26,84.59
2007-03-16,31,84.97
2007-03-23,30,88.91
2007-03-30,39,88.77
2007-04-06,41,
2007-04-13,33,89.14
2007-04-20,32,90.86
2007-04-27,29,91.55
2007-05-04,51,90.82
2007-05-11,27,90.53
2007-05-18,25,91.06
2007-05-25,23,86.57
2007-06-01,23,87.64
2007-06-08,51,82.47
2007-06-15,25,85.63
2007-06-22,30,80.55
2007-06-29,43,86.31
2007-07-06,44,86.19
2007-07-13,29,88.60
2007-07-20,38,87.19
2007-07-27,35,82.19
2007-08-03,55,84.00
2007-08-10,29,90.25
2007-08-17,49,87.37
2007-08-24,26,88.90
2007-08-31,19,85.18
2007-09-07,19,84.48
2007-09-14,19,85.72
2007-09-21,19,86.16
2007-09-28,17,84.30
2007-10-05,17,87.07
2007-10-12,24,87.55
2007-10-19,32,85.99
2007-10-26,32,88.64
2007-11-02,32,90.69
2007-11-09,24,92.14
2007-11-16,27,91.30
2007-11-23,56,45.71
2007-11-30,47,47.23
2007-12-07,49,48.77
2007-12-14,28,47.82
2007-12-21,28,48.70
2007-12-28,25,47.60
2008-01-04,25,46.44
2008-01-11,29,47.29
2008-01-18,25,44.24
2008-01-25,27,41.03
2008-02-01,44,43.57
2008-02-08,20,42.11
2008-02-15,32,42.67
2008-02-22,22,42.27
2008-02-29,34,39.94
2008-03-07,28,39.10
2008-03-14,37,39.57
2008-03-21,21,
2008-03-28,30,40.50
2008-04-04,39,43.21
2008-04-11,33,42.95
2008-04-18,31,44.19
2008-04-25,21,43.54
2008-05-02,36,45.59
2008-05-09,18,44.99
2008-05-16,21,45.97
2008-05-23,21,45.44
2008-05-30,23,46.30
2008-06-06,29,45.92
2008-06-13,28,46.13
2008-06-20,24,47.08
2008-06-27,24,46.20
2008-07-04,18,
2008-07-11,34,46.87
2008-07-18,23,44.47
2008-07-25,33,43.31
2008-08-01,27,42.59
2008-08-08,26,42.77
2008-08-15,28,42.55
2008-08-22,17,43.58
2008-08-29,27,43.53
2008-09-05,27,40.94
2008-09-12,19,43.11
2008-09-19,22,44.17
2008-09-26,34,43.40
2008-10-03,34,41.88
2008-10-10,38,33.67
2008-10-17,41,35.95
2008-10-24,29,35.14
2008-10-31,31,36.28
2008-11-07,23,35.83
2008-11-14,19,36.39
2008-11-21,35,36.93
2008-11-28,15,36.82
2008-12-05,19,35.23
2008-12-12,23,34.60
2008-12-19,18,34.98
2008-12-26,17,34.90
2009-01-02,23,36.54
2009-01-09,29,35.11
2009-01-16,14,34.60
2009-01-23,15,35.00
2009-01-30,26,35.18
2009-02-06,20,36.93
2009-02-13,22,34.54
2009-02-20,18,31.69
2009-02-27,30,30.18
2009-03-06,30,28.12
2009-03-13,30,29.53
2009-03-20,15,30.99
2009-03-27,19,31.07
2009-04-03,24,30.44
2009-04-10,24,
2009-04-17,32,29.94
2009-04-24,32,29.29
2009-05-01,32,31.09
2009-05-08,26,31.87
2009-05-15,27,30.52
2009-05-22,26,30.81
2009-05-29,22,31.79
2009-06-05,23,32.02
2009-06-12,30,33.39
2009-06-19,27,32.72
2009-06-26,21,33.39
2009-07-03,16,
2009-07-10,10,32.45
2009-07-17,21,32.87
2009-07-24,20,34.59
2009-07-31,27,33.80
2009-08-07,10,33.60
2009-08-14,16,33.56
2009-08-21,29,34.22
2009-08-28,25,33.22
2009-09-04,23,33.00
2009-09-11,24,32.79
2009-09-18,24,34.33
2009-09-25,19,34.19
2009-10-02,20,33.49
2009-10-09,18,34.70
2009-10-16,14,34.52
2009-10-23,21,35.17
2009-10-30,18,34.09
2009-11-06,22,35.97
2009-11-13,25,36.26
2009-11-20,18,36.37
2009-11-27,21,36.14
2009-12-04,21,37.75
2009-12-11,27,39.08
2009-12-18,32,39.13
2009-12-25,15,
2010-01-01,21,
2010-01-08,20,38.56
2010-01-15,12,38.85
2010-01-22,23,37.80
2010-01-29,24,37.46
2010-02-05,14,36.75
2010-02-12,17,37.14
2010-02-19,15,39.17
2010-02-26,16,37.99
2010-03-05,20,39.11
2010-03-12,25,39.69
2010-03-19,38,40.70
2010-03-26,24,40.60
2010-04-02,18,
2010-04-09,21,41.59
2010-04-16,28,41.18
2010-04-23,28,41.77
2010-04-30,22,41.80
2010-05-07,28,40.22
2010-05-14,17,40.99
2010-05-21,17,39.53
2010-05-28,20,38.96
2010-06-04,21,39.01
2010-06-11,16,40.60
2010-06-18,22,42.00
2010-06-25,16,40.17
2010-07-02,16,38.67
2010-07-09,12,40.90
2010-07-16,11,40.43
2010-07-23,17,42.41
2010-07-30,19,41.99
2010-08-06,19,43.67
2010-08-13,22,43.91
2010-08-20,16,43.93
2010-08-27,25,43.42
2010-09-03,19,43.99
2010-09-10,17,43.29
2010-09-17,15,43.42
2010-09-24,17,44.23
2010-10-01,22,44.03
2010-10-08,22,44.68
2010-10-15,12,44.54
2010-10-22,11,44.51
2010-10-29,9,43.46
2010-11-05,11,43.50
2010-11-12,9,42.86
2010-11-19,19,42.76
2010-11-26,14,41.84
2010-12-03,14,42.42
2010-12-10,16,41.62
2010-12-17,19,42.57
2010-12-24,9,
2010-12-31,10,42.72
2011-01-07,14,43.23
2011-01-14,23,42.98
2011-01-21,14,43.35
2011-01-28,23,43.39
2011-02-04,17,43.61
2011-02-11,29,44.12
2011-02-18,17,44.37
2011-02-25,14,45.00
2011-03-04,14,45.54
2011-03-11,18,45.51
2011-03-18,19,43.78
2011-03-25,17,44.54
2011-04-01,23,44.70
2011-04-08,20,44.82
2011-04-15,18,44.47
2011-04-22,22,
2011-04-29,24,46.42
2011-05-06,22,46.92
2011-05-13,25,47.99
2011-05-20,15,48.28
2011-05-27,17,47.23
2011-06-03,9,47.15
2011-06-10,19,47.53
2011-06-17,12,47.66
2011-06-24,16,47.25
2011-07-01,18,48.99
2011-07-08,10,48.63
2011-07-15,14,48.46
2011-07-22,18,49.78
2011-07-29,16,48.45
2011-08-05,20,48.59
2011-08-12,21,47.71
2011-08-19,14,47.99
2011-08-26,16,48.46
2011-09-02,22,47.98
2011-09-09,14,47.19
2011-09-16,15,49.84
2011-09-23,16,49.99
2011-09-30,19,50.77
2011-10-07,13,50.27
2011-10-14,20,50.49
2011-10-21,16,52.07
2011-10-28,17,51.37
2011-11-04,16,51.56
2011-11-11,18,52.06
2011-11-18,16,51.04
2011-11-25,10,49.51
2011-12-02,13,50.56
2011-12-09,17,50.77
2011-12-16,17,50.65
2011-12-23,18,52.95
2011-12-30,12,53.08
2012-01-06,18,51.43
2012-01-13,12,50.60
2012-01-20,15,50.57
2012-01-27,21,49.56
2012-02-03,22,50.38
2012-02-10,17,49.91
2012-02-17,17,50.57
2012-02-24,19,51.32
2012-03-02,17,50.52
2012-03-09,16,50.76
2012-03-16,15,50.32
2012-03-23,22,50.28
2012-03-30,16,51.21
2012-04-06,15,
2012-04-13,18,50.28
2012-04-20,19,51.02
2012-04-27,15,52.07
2012-05-04,18,51.99
2012-05-11,12,52.22
2012-05-18,17,52.29
2012-05-25,15,52.55
2012-06-01,17,51.63
2012-06-08,14,53.23
2012-06-15,15,53.78
2012-06-22,15,53.61
2012-06-29,12,54.00
2012-07-06,16,53.83
2012-07-13,10,54.19
2012-07-20,14,53.96
2012-07-27,9,54.97
2012-08-03,18,54.41
2012-08-10,14,53.72
2012-08-17,11,53.92
2012-08-24,12,53.49
2012-08-31,11,52.48
2012-09-07,13,53.16
2012-09-14,14,52.82
2012-09-21,14,52.70
2012-09-28,15,52.94
2012-10-05,15,53.26
2012-10-12,13,52.68
2012-10-19,8,53.51
2012-10-26,12,52.07
2012-11-02,9,51.70
2012-11-09,11,49.33
2012-11-16,10,50.15
2012-11-23,9,50.12
2012-11-30,14,51.11
2012-12-07,16,51.69
2012-12-14,16,51.19
2012-12-21,10,51.94
2012-12-28,11,51.08
2013-01-04,11,53.54
2013-01-11,17,52.43
2013-01-18,10,52.92
2013-01-25,13,53.88
2013-02-01,12,54.17
2013-02-08,14,54.31
2013-02-15,12,54.92
2013-02-22,14,56.38
2013-03-01,14,56.42
2013-03-08,13,55.87
2013-03-15,14,56.79
2013-03-22,15,56.77
2013-03-29,14,
2013-04-05,19,59.63
2013-04-12,18,60.12
2013-04-19,13,61.07
2013-04-26,16,61.01
2013-05-03,16,60.91
2013-05-10,16,59.75
2013-05-17,16,61.17
2013-05-24,11,57.62
2013-05-31,10,56.55
2013-06-07,16,55.64
2013-06-14,13,56.04
2013-06-21,12,55.01
2013-06-28,12,56.82
2013-07-05,10,56.25
2013-07-12,13,58.80
2013-07-19,14,59.68
2013-07-26,13,59.52
2013-08-02,11,59.43
2013-08-09,13,60.33
2013-08-16,10,57.44
2013-08-23,8,58.86
2013-08-30,11,58.35
2013-09-06,13,57.53
2013-09-13,14,61.28
2013-09-20,13,62.27
2013-09-27,15,62.43
2013-10-04,13,62.22
2013-10-11,13,62.95
2013-10-18,14,63.68
2013-10-25,19,64.66
2013-11-01,8,64.09
2013-11-08,12,65.41
2013-11-15,15,67.52
2013-11-22,13,66.62
2013-11-29,11,64.91
2013-12-06,14,64.42
2013-12-13,10,63.58
2013-12-20,18,64.55
2013-12-27,11,64.41
2014-01-03,9,63.51
2014-01-10,13,67.78
2014-01-17,11,66.29
2014-01-24,16,65.93
2014-01-31,16,67.91
2014-02-07,12,66.93
2014-02-14,16,71.11
2014-02-21,16,71.39
2014-02-28,17,69.40
2014-03-07,13,68.44
2014-03-14,17,69.89
2014-03-21,11,70.06
2014-03-28,17,71.09
2014-04-04,19,69.62
2014-04-11,19,69.42
2014-04-18,17,
2014-04-25,16,72.33
2014-05-02,17,
