Date,KMX,Price
2004-01-09,0,
2004-01-16,82,
2004-01-23,53,
2004-01-30,42,
2004-02-06,45,34.05
2004-02-13,46,34.21
2004-02-20,100,34.70
2004-02-27,52,34.00
2004-03-05,52,33.78
2004-03-12,52,30.85
2004-03-19,52,28.28
2004-03-26,60,28.58
2004-04-02,67,28.99
2004-04-09,53,
2004-04-16,53,28.51
2004-04-23,53,27.44
2004-04-30,62,25.92
2004-05-07,42,24.83
2004-05-14,41,22.25
2004-05-21,49,22.42
2004-05-28,43,22.87
2004-06-04,43,21.71
2004-06-11,61,
2004-06-18,71,21.42
2004-06-25,57,21.04
2004-07-02,42,20.51
2004-07-09,63,19.86
2004-07-16,64,18.45
2004-07-23,51,19.43
2004-07-30,51,20.80
2004-08-06,39,18.93
2004-08-13,44,18.76
2004-08-20,49,19.40
2004-08-27,58,19.45
2004-09-03,43,20.50
2004-09-10,46,20.71
2004-09-17,53,21.60
2004-09-24,52,20.96
2004-10-01,58,22.86
2004-10-08,46,22.59
2004-10-15,43,22.80
2004-10-22,35,24.55
2004-10-29,40,26.34
2004-11-05,43,27.24
2004-11-12,46,27.08
2004-11-19,39,28.59
2004-11-26,38,28.90
2004-12-03,33,28.11
2004-12-10,45,26.55
2004-12-17,45,30.06
2004-12-24,52,
2004-12-31,59,31.05
2005-01-07,48,29.88
2005-01-14,39,30.30
2005-01-21,53,29.86
2005-01-28,30,28.38
2005-02-04,38,33.05
2005-02-11,41,32.60
2005-02-18,27,31.52
2005-02-25,62,32.94
2005-03-04,43,33.32
2005-03-11,33,32.14
2005-03-18,59,32.67
2005-03-25,67,
2005-04-01,49,30.60
2005-04-08,43,31.15
2005-04-15,43,28.32
2005-04-22,43,28.20
2005-04-29,37,27.28
2005-05-06,64,28.46
2005-05-13,48,26.80
2005-05-20,53,26.50
2005-05-27,60,25.20
2005-06-03,50,26.14
2005-06-10,51,25.12
2005-06-17,64,25.85
2005-06-24,35,25.94
2005-07-01,53,26.75
2005-07-08,56,26.46
2005-07-15,63,27.31
2005-07-22,52,27.17
2005-07-29,67,29.22
2005-08-05,55,29.45
2005-08-12,46,30.41
2005-08-19,63,29.01
2005-08-26,36,31.40
2005-09-02,48,30.48
2005-09-09,63,31.10
2005-09-16,51,30.73
2005-09-23,72,31.45
2005-09-30,44,31.27
2005-10-07,44,28.72
2005-10-14,59,27.04
2005-10-21,71,27.58
