Date,NEM,Price
2004-01-09,14,
2004-01-16,14,
2004-01-23,13,
2004-01-30,12,
2004-02-06,15,44.10
2004-02-13,12,44.26
2004-02-20,14,42.75
2004-02-27,16,43.45
2004-03-05,11,43.96
2004-03-12,14,42.69
2004-03-19,13,44.38
2004-03-26,12,46.15
2004-04-02,15,45.88
2004-04-09,11,
2004-04-16,13,43.06
2004-04-23,11,40.40
2004-04-30,16,37.40
2004-05-07,12,35.41
2004-05-14,14,36.95
2004-05-21,14,38.40
2004-05-28,14,39.71
2004-06-04,15,39.41
2004-06-11,15,
2004-06-18,15,39.12
2004-06-25,16,39.80
2004-07-02,19,39.16
2004-07-09,19,42.34
2004-07-16,15,42.26
2004-07-23,16,39.00
2004-07-30,19,40.47
2004-08-06,16,40.64
2004-08-13,18,40.92
2004-08-20,14,44.38
2004-08-27,17,43.96
2004-09-03,16,43.66
2004-09-10,18,43.30
2004-09-17,14,41.55
2004-09-24,15,42.34
2004-10-01,15,45.04
2004-10-08,19,46.25
2004-10-15,17,44.78
2004-10-22,15,46.12
2004-10-29,15,47.52
2004-11-05,14,49.05
2004-11-12,16,49.65
2004-11-19,16,49.17
2004-11-26,17,48.99
2004-12-03,19,46.38
2004-12-10,17,44.58
2004-12-17,15,44.65
2004-12-24,17,
2004-12-31,16,44.41
2005-01-07,16,41.50
2005-01-14,18,41.87
2005-01-21,15,42.50
2005-01-28,16,42.00
2005-02-04,15,41.38
2005-02-11,14,42.13
2005-02-18,15,42.47
2005-02-25,19,44.82
2005-03-04,17,44.63
2005-03-11,15,45.68
2005-03-18,16,44.76
2005-03-25,16,
2005-04-01,16,42.45
2005-04-08,15,41.98
2005-04-15,16,39.77
2005-04-22,17,40.73
2005-04-29,18,37.97
2005-05-06,17,38.12
2005-05-13,17,35.31
2005-05-20,15,35.43
2005-05-27,16,37.59
2005-06-03,17,38.05
2005-06-10,18,38.07
2005-06-17,18,39.99
2005-06-24,17,39.71
2005-07-01,18,38.93
2005-07-08,15,38.05
2005-07-15,16,36.86
2005-07-22,13,38.43
2005-07-29,15,37.55
2005-08-05,16,39.19
2005-08-12,15,41.47
2005-08-19,14,40.32
