Date,United Parcel Service,Price
2004-01-09,50,
2004-01-16,65,
2004-01-23,45,
2004-01-30,56,
2004-02-06,55,71.35
2004-02-13,43,70.82
2004-02-20,56,70.16
2004-02-27,52,70.63
2004-03-05,62,69.64
2004-03-12,42,68.95
2004-03-19,57,68.92
2004-03-26,40,69.07
2004-04-02,46,70.47
2004-04-09,63,
2004-04-16,50,71.62
2004-04-23,53,71.80
2004-04-30,58,70.15
2004-05-07,49,69.69
2004-05-14,52,69.37
2004-05-21,59,69.12
2004-05-28,52,71.72
2004-06-04,44,71.74
2004-06-11,38,
2004-06-18,55,73.42
2004-06-25,61,74.77
2004-07-02,44,74.27
2004-07-09,40,73.06
2004-07-16,42,73.79
2004-07-23,52,71.41
2004-07-30,46,71.96
2004-08-06,43,70.26
2004-08-13,55,69.25
2004-08-20,39,71.31
2004-08-27,34,72.77
2004-09-03,45,73.04
2004-09-10,43,73.77
2004-09-17,51,75.04
2004-09-24,42,73.60
2004-10-01,44,76.76
2004-10-08,50,76.03
2004-10-15,38,77.74
2004-10-22,43,76.49
2004-10-29,46,79.18
2004-11-05,39,81.76
2004-11-12,43,84.55
2004-11-19,41,83.08
2004-11-26,42,83.64
2004-12-03,56,85.63
2004-12-10,60,86.61
2004-12-17,60,85.90
2004-12-24,67,
2004-12-31,49,85.46
2005-01-07,46,83.50
2005-01-14,32,75.95
2005-01-21,35,74.99
2005-01-28,43,74.10
2005-02-04,35,74.10
2005-02-11,41,75.20
2005-02-18,41,77.22
2005-02-25,41,77.19
2005-03-04,42,77.91
2005-03-11,30,76.06
2005-03-18,38,73.50
2005-03-25,35,
2005-04-01,43,71.90
2005-04-08,38,71.70
2005-04-15,43,68.75
2005-04-22,39,67.90
2005-04-29,41,71.31
2005-05-06,36,71.52
2005-05-13,25,72.15
2005-05-20,43,74.99
2005-05-27,30,74.69
2005-06-03,31,72.82
2005-06-10,37,70.96
2005-06-17,35,70.98
2005-06-24,39,68.60
2005-07-01,37,69.21
2005-07-08,35,69.95
2005-07-15,36,70.15
2005-07-22,46,72.92
2005-07-29,40,72.97
2005-08-05,30,73.44
2005-08-12,40,73.06
2005-08-19,41,71.48
2005-08-26,36,71.33
2005-09-02,38,68.98
2005-09-09,46,68.50
2005-09-16,44,68.98
2005-09-23,39,68.37
2005-09-30,36,69.13
2005-10-07,40,68.44
2005-10-14,42,70.01
2005-10-21,43,71.68
2005-10-28,39,72.82
2005-11-04,36,74.10
2005-11-11,31,76.26
2005-11-18,34,78.15
2005-11-25,35,79.54
2005-12-02,45,77.45
2005-12-09,44,75.79
2005-12-16,54,76.02
2005-12-23,64,77.14
2005-12-30,35,75.15
2006-01-06,42,75.23
2006-01-13,40,74.50
2006-01-20,37,75.24
2006-01-27,38,75.40
2006-02-03,34,73.06
2006-02-10,34,74.78
2006-02-17,35,76.25
2006-02-24,38,75.32
2006-03-03,35,75.51
2006-03-10,34,77.36
2006-03-17,32,78.14
2006-03-24,40,78.82
2006-03-31,29,79.38
2006-04-07,29,81.74
2006-04-14,34,
2006-04-21,33,82.03
2006-04-28,33,81.07
2006-05-05,37,83.35
2006-05-12,25,80.86
2006-05-19,35,79.94
2006-05-26,27,81.03
2006-06-02,25,81.05
2006-06-09,32,78.99
2006-06-16,29,79.28
2006-06-23,27,80.40
2006-06-30,31,82.33
2006-07-07,30,81.09
2006-07-14,27,78.57
2006-07-21,33,78.73
2006-07-28,33,70.01
2006-08-04,28,67.74
2006-08-11,25,66.51
2006-08-18,32,71.08
2006-08-25,31,70.57
2006-09-01,34,71.08
2006-09-08,24,69.56
2006-09-15,31,72.51
2006-09-22,30,70.89
2006-09-29,31,71.94
2006-10-06,26,74.27
2006-10-13,26,73.40
2006-10-20,26,76.10
2006-10-27,27,74.87
2006-11-03,30,73.20
2006-11-10,29,75.56
2006-11-17,28,79.13
2006-11-24,22,78.84
2006-12-01,34,77.31
2006-12-08,30,78.11
2006-12-15,42,76.67
2006-12-22,48,73.87
2006-12-29,27,74.98
2007-01-05,26,74.15
2007-01-12,28,74.44
2007-01-19,24,75.02
2007-01-26,25,72.49
2007-02-02,20,74.17
2007-02-09,25,73.56
2007-02-16,26,74.04
2007-02-23,22,73.34
2007-03-02,25,69.47
2007-03-09,23,70.63
2007-03-16,25,69.26
2007-03-23,20,71.47
2007-03-30,21,70.10
2007-04-06,21,
2007-04-13,24,70.31
2007-04-20,24,72.82
2007-04-27,24,71.50
2007-05-04,25,71.09
2007-05-11,22,71.27
2007-05-18,21,70.05
2007-05-25,22,71.08
2007-06-01,19,72.36
2007-06-08,23,72.32
2007-06-15,20,74.05
2007-06-22,24,72.85
2007-06-29,20,73.00
2007-07-06,20,73.70
2007-07-13,21,75.15
2007-07-20,23,75.01
2007-07-27,20,75.67
2007-08-03,24,75.17
2007-08-10,19,76.75
2007-08-17,21,76.32
2007-08-24,19,77.03
2007-08-31,22,75.86
2007-09-07,18,74.13
2007-09-14,16,74.38
2007-09-21,17,75.75
2007-09-28,19,75.10
2007-10-05,20,76.41
2007-10-12,21,76.62
2007-10-19,22,75.03
2007-10-26,21,74.97
2007-11-02,17,74.03
2007-11-09,16,70.71
2007-11-16,18,72.01
2007-11-23,13,70.92
2007-11-30,21,73.68
2007-12-07,19,74.17
2007-12-14,24,72.61
2007-12-21,33,72.40
2007-12-28,20,71.56
2008-01-04,20,68.01
2008-01-11,19,69.59
2008-01-18,15,67.16
2008-01-25,16,69.97
2008-02-01,17,73.78
2008-02-08,14,70.58
2008-02-15,16,72.42
2008-02-22,15,71.89
2008-02-29,18,70.24
2008-03-07,18,71.96
2008-03-14,14,69.61
2008-03-21,15,
2008-03-28,16,72.26
2008-04-04,15,74.41
2008-04-11,14,70.89
2008-04-18,15,73.19
2008-04-25,17,72.72
2008-05-02,16,73.28
2008-05-09,14,70.29
2008-05-16,15,70.77
2008-05-23,16,67.02
2008-05-30,14,71.02
2008-06-06,14,68.59
2008-06-13,15,68.31
2008-06-20,16,66.37
2008-06-27,15,60.36
2008-07-04,14,
2008-07-11,16,57.99
2008-07-18,21,60.81
2008-07-25,43,62.55
2008-08-01,18,62.26
2008-08-08,17,65.70
2008-08-15,19,66.14
2008-08-22,19,63.52
2008-08-29,17,64.12
2008-09-05,15,63.89
2008-09-12,15,68.60
2008-09-19,14,67.70
2008-09-26,14,64.39
2008-10-03,14,60.76
2008-10-10,15,51.70
2008-10-17,17,50.54
2008-10-24,18,46.55
2008-10-31,17,52.78
2008-11-07,13,51.92
2008-11-14,15,53.14
2008-11-21,12,52.31
2008-11-28,11,57.60
2008-12-05,16,57.83
2008-12-12,15,52.03
2008-12-19,24,53.33
2008-12-26,17,53.16
2009-01-02,15,56.11
2009-01-09,15,50.93
2009-01-16,14,48.20
2009-01-23,13,46.92
2009-01-30,12,42.49
2009-02-06,14,47.07
2009-02-13,13,44.84
2009-02-20,11,42.80
2009-02-27,12,41.18
2009-03-06,12,39.38
2009-03-13,12,43.09
2009-03-20,12,44.71
2009-03-27,12,50.11
2009-04-03,14,52.75
2009-04-10,13,
2009-04-17,18,54.65
2009-04-24,11,53.28
2009-05-01,15,51.66
2009-05-08,13,57.62
2009-05-15,12,51.99
2009-05-22,11,49.65
2009-05-29,19,51.14
2009-06-05,19,51.52
2009-06-12,13,50.53
2009-06-19,13,48.14
2009-06-26,12,49.86
2009-07-03,12,
2009-07-10,12,48.57
2009-07-17,11,52.17
2009-07-24,14,53.40
2009-07-31,14,53.73
2009-08-07,12,54.11
2009-08-14,11,53.53
2009-08-21,12,53.62
2009-08-28,11,53.71
2009-09-04,11,53.81
2009-09-11,12,58.80
2009-09-18,12,58.77
2009-09-25,11,56.81
2009-10-02,12,54.94
2009-10-09,14,55.97
2009-10-16,14,57.12
2009-10-23,12,55.70
2009-10-30,12,53.68
2009-11-06,12,54.86
2009-11-13,11,56.69
