Date,sell SEE,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,49.38
2004-02-13,0,47.48
2004-02-20,0,47.20
2004-02-27,0,49.85
2004-03-05,0,50.46
2004-03-12,0,47.97
2004-03-19,0,48.25
2004-03-26,0,49.07
2004-04-02,0,51.80
2004-04-09,0,
2004-04-16,0,49.55
2004-04-23,0,49.66
2004-04-30,0,49.08
2004-05-07,0,48.14
2004-05-14,0,48.57
2004-05-21,0,49.25
2004-05-28,0,50.27
2004-06-04,0,51.18
2004-06-11,0,
2004-06-18,0,52.80
2004-06-25,0,52.93
2004-07-02,0,51.06
2004-07-09,0,50.19
2004-07-16,0,49.92
2004-07-23,0,47.87
2004-07-30,0,47.44
2004-08-06,0,46.94
2004-08-13,0,47.16
2004-08-20,0,48.35
2004-08-27,0,48.82
2004-09-03,0,49.87
2004-09-10,0,49.70
2004-09-17,0,45.49
2004-09-24,0,45.70
2004-10-01,0,46.55
2004-10-08,0,46.25
2004-10-15,0,45.55
2004-10-22,0,45.50
2004-10-29,0,49.54
2004-11-05,0,52.49
2004-11-12,0,52.83
2004-11-19,0,50.61
2004-11-26,0,51.75
2004-12-03,0,52.57
2004-12-10,0,51.61
2004-12-17,0,51.95
2004-12-24,0,
2004-12-31,0,53.27
2005-01-07,0,50.99
2005-01-14,0,49.36
2005-01-21,0,48.23
2005-01-28,0,47.15
2005-02-04,100,52.25
2005-02-11,94,52.38
2005-02-18,0,53.13
2005-02-25,0,52.93
2005-03-04,0,52.84
2005-03-11,0,51.87
2005-03-18,0,51.66
2005-03-25,0,
2005-04-01,0,52.03
2005-04-08,0,52.92
2005-04-15,0,52.00
2005-04-22,0,50.78
2005-04-29,0,48.44
2005-05-06,0,49.05
2005-05-13,0,47.75
2005-05-20,0,51.70
2005-05-27,0,52.41
2005-06-03,0,51.99
2005-06-10,0,51.42
2005-06-17,0,52.18
2005-06-24,0,49.67
2005-07-01,0,50.04
2005-07-08,0,50.20
2005-07-15,0,50.18
2005-07-22,0,51.40
2005-07-29,0,53.06
2005-08-05,0,53.51
2005-08-12,0,53.31
2005-08-19,91,50.97
2005-08-26,0,50.03
2005-09-02,0,49.99
2005-09-09,0,49.97
2005-09-16,0,48.24
2005-09-23,0,47.00
2005-09-30,0,47.46
2005-10-07,0,46.41
2005-10-14,0,46.69
2005-10-21,0,46.87
2005-10-28,0,49.51
2005-11-04,0,49.75
2005-11-11,0,50.81
2005-11-18,0,51.89
2005-11-25,0,51.68
2005-12-02,0,52.83
2005-12-09,78,52.72
2005-12-16,62,54.26
2005-12-23,62,55.86
2005-12-30,62,56.17
2006-01-06,62,56.49
2006-01-13,62,54.52
2006-01-20,64,54.99
2006-01-27,66,56.00
2006-02-03,59,54.26
2006-02-10,63,54.73
2006-02-17,73,56.07
2006-02-24,57,56.56
2006-03-03,57,57.78
2006-03-10,83,57.16
2006-03-17,59,58.75
2006-03-24,59,57.55
2006-03-31,59,57.87
2006-04-07,0,58.06
2006-04-14,0,
2006-04-21,0,57.85
2006-04-28,0,53.85
2006-05-05,0,56.20
2006-05-12,0,52.72
2006-05-19,0,50.89
2006-05-26,0,51.44
2006-06-02,0,52.38
2006-06-09,0,51.05
2006-06-16,0,52.01
2006-06-23,0,51.28
2006-06-30,54,52.08
2006-07-07,0,50.80
2006-07-14,0,49.34
2006-07-21,0,49.28
2006-07-28,0,46.90
2006-08-04,0,50.00
2006-08-11,0,50.01
2006-08-18,0,51.56
2006-08-25,66,50.98
2006-09-01,0,52.63
2006-09-08,0,52.29
2006-09-15,0,52.95
2006-09-22,0,53.16
2006-09-29,0,54.12
2006-10-06,0,55.58
2006-10-13,0,55.25
2006-10-20,0,55.24
2006-10-27,62,59.09
2006-11-03,51,58.90
2006-11-10,51,60.15
2006-11-17,48,60.80
2006-11-24,48,60.39
2006-12-01,41,59.15
2006-12-08,54,63.09
2006-12-15,42,63.11
2006-12-22,63,63.63
2006-12-29,64,64.92
2007-01-05,69,63.89
2007-01-12,61,65.34
2007-01-19,61,65.70
2007-01-26,61,64.14
2007-02-02,52,65.79
2007-02-09,52,64.08
2007-02-16,71,66.25
2007-02-23,42,66.82
2007-03-02,86,63.04
2007-03-09,58,62.61
2007-03-16,66,63.33
2007-03-23,47,32.55
2007-03-30,47,31.60
2007-04-06,38,
2007-04-13,37,31.87
2007-04-20,42,32.44
2007-04-27,35,33.21
2007-05-04,32,33.07
2007-05-11,32,33.53
2007-05-18,36,33.28
2007-05-25,33,32.17
2007-06-01,33,32.08
2007-06-08,33,31.15
2007-06-15,42,31.18
2007-06-22,32,31.25
2007-06-29,32,31.02
2007-07-06,37,31.33
2007-07-13,46,31.25
2007-07-20,43,29.90
2007-07-27,36,27.11
2007-08-03,33,25.47
2007-08-10,36,26.43
2007-08-17,49,26.91
2007-08-24,41,26.75
2007-08-31,44,26.45
2007-09-07,41,25.44
2007-09-14,41,25.37
2007-09-21,58,26.12
2007-09-28,29,25.56
2007-10-05,34,27.19
2007-10-12,40,26.54
2007-10-19,31,25.35
2007-10-26,38,24.72
2007-11-02,34,24.32
2007-11-09,40,24.19
2007-11-16,56,23.61
2007-11-23,43,23.18
2007-11-30,34,23.37
2007-12-07,44,23.57
2007-12-14,42,23.45
2007-12-21,46,23.51
2007-12-28,51,23.19
2008-01-04,68,21.74
2008-01-11,47,20.37
2008-01-18,59,22.04
2008-01-25,57,23.25
2008-02-01,42,26.41
2008-02-08,50,26.01
2008-02-15,42,25.78
2008-02-22,29,25.21
2008-02-29,48,24.21
2008-03-07,59,24.20
2008-03-14,31,24.66
2008-03-21,32,
2008-03-28,43,25.00
2008-04-04,52,27.06
2008-04-11,35,25.96
2008-04-18,31,28.11
2008-04-25,31,28.18
2008-05-02,34,24.53
2008-05-09,38,24.00
2008-05-16,51,25.32
2008-05-23,23,23.37
2008-05-30,23,24.36
2008-06-06,32,22.97
2008-06-13,35,22.63
2008-06-20,45,20.78
2008-06-27,52,19.53
2008-07-04,42,
2008-07-11,40,18.70
2008-07-18,55,20.10
2008-07-25,34,21.04
2008-08-01,59,21.71
2008-08-08,55,23.12
2008-08-15,44,23.72
2008-08-22,70,23.16
2008-08-29,47,24.23
2008-09-05,39,23.83
2008-09-12,38,25.01
2008-09-19,38,23.25
2008-09-26,42,23.13
2008-10-03,46,21.35
2008-10-10,52,21.80
2008-10-17,37,19.32
2008-10-24,48,18.95
2008-10-31,38,16.92
2008-11-07,76,16.42
2008-11-14,49,15.99
2008-11-21,72,12.70
2008-11-28,41,15.83
2008-12-05,57,15.00
2008-12-12,68,14.75
2008-12-19,55,14.85
2008-12-26,46,14.66
2009-01-02,50,15.25
2009-01-09,50,15.11
2009-01-16,71,14.32
2009-01-23,61,13.70
2009-01-30,51,13.55
2009-02-06,54,14.08
2009-02-13,38,12.85
2009-02-20,53,11.48
2009-02-27,56,11.16
2009-03-06,42,10.64
2009-03-13,46,12.59
2009-03-20,41,12.91
2009-03-27,55,14.17
2009-04-03,57,14.92
2009-04-10,28,
2009-04-17,45,15.73
2009-04-24,31,17.93
2009-05-01,46,19.15
2009-05-08,33,20.96
2009-05-15,45,18.73
2009-05-22,51,19.65
2009-05-29,41,20.01
2009-06-05,36,19.74
2009-06-12,49,19.12
2009-06-19,47,17.85
2009-06-26,30,17.81
2009-07-03,58,
2009-07-10,52,19.12
2009-07-17,58,20.53
2009-07-24,38,21.58
2009-07-31,63,18.39
2009-08-07,28,18.59
2009-08-14,63,18.37
2009-08-21,47,18.78
2009-08-28,43,19.24
2009-09-04,39,18.58
2009-09-11,58,19.05
2009-09-18,35,20.58
2009-09-25,58,19.41
2009-10-02,42,18.78
2009-10-09,42,19.80
2009-10-16,55,20.22
2009-10-23,48,20.24
2009-10-30,43,19.23
2009-11-06,39,20.96
2009-11-13,45,21.80
2009-11-20,45,22.15
2009-11-27,48,22.31
2009-12-04,62,22.62
2009-12-11,53,22.30
2009-12-18,47,21.75
2009-12-25,48,
2010-01-01,48,
2010-01-08,70,21.68
2010-01-15,37,21.12
2010-01-22,51,20.44
2010-01-29,51,19.84
2010-02-05,61,19.05
2010-02-12,55,19.57
2010-02-19,40,20.17
2010-02-26,38,20.43
2010-03-05,55,20.91
2010-03-12,64,21.10
2010-03-19,36,21.60
2010-03-26,39,21.31
2010-04-02,35,
2010-04-09,43,21.70
2010-04-16,33,22.45
2010-04-23,41,23.26
2010-04-30,39,21.50
2010-05-07,43,20.58
2010-05-14,33,21.14
2010-05-21,29,20.96
2010-05-28,32,20.84
2010-06-04,32,20.11
2010-06-11,40,20.85
2010-06-18,33,21.52
2010-06-25,61,20.69
2010-07-02,41,19.49
2010-07-09,45,20.85
2010-07-16,61,21.12
2010-07-23,62,22.68
2010-07-30,52,21.63
2010-08-06,67,22.36
2010-08-13,56,21.64
2010-08-20,52,21.22
2010-08-27,50,20.90
2010-09-03,62,21.16
2010-09-10,53,21.69
2010-09-17,51,22.50
2010-09-24,43,22.71
2010-10-01,42,22.73
2010-10-08,55,22.86
2010-10-15,58,23.77
2010-10-22,34,23.76
2010-10-29,54,23.15
2010-11-05,50,23.59
2010-11-12,50,22.52
2010-11-19,77,22.87
2010-11-26,53,23.26
2010-12-03,43,24.28
2010-12-10,47,24.32
2010-12-17,80,25.05
2010-12-24,50,
2010-12-31,56,25.45
2011-01-07,64,25.93
2011-01-14,57,26.86
2011-01-21,75,25.45
2011-01-28,56,26.64
2011-02-04,45,28.17
2011-02-11,61,28.39
2011-02-18,59,28.24
2011-02-25,53,27.45
2011-03-04,57,26.90
2011-03-11,60,26.18
2011-03-18,55,25.83
2011-03-25,56,26.43
2011-04-01,48,26.90
2011-04-08,63,26.19
2011-04-15,42,26.09
2011-04-22,62,
2011-04-29,69,25.77
2011-05-06,51,25.71
2011-05-13,54,25.60
2011-05-20,50,25.74
2011-05-27,40,25.35
2011-06-03,59,21.89
2011-06-10,60,23.42
2011-06-17,55,22.98
2011-06-24,51,22.51
2011-07-01,74,23.87
2011-07-08,50,23.53
2011-07-15,53,23.04
2011-07-22,56,23.05
2011-07-29,55,21.53
2011-08-05,65,19.62
2011-08-12,48,18.46
2011-08-19,59,17.37
2011-08-26,61,17.02
2011-09-02,54,17.75
2011-09-09,50,17.45
2011-09-16,58,19.13
2011-09-23,51,17.42
2011-09-30,60,16.70
2011-10-07,60,16.47
2011-10-14,60,17.52
2011-10-21,56,17.34
2011-10-28,53,18.35
2011-11-04,44,17.70
2011-11-11,56,18.15
2011-11-18,61,16.88
2011-11-25,65,16.31
2011-12-02,60,17.82
2011-12-09,60,18.15
2011-12-16,49,17.42
2011-12-23,47,17.05
2011-12-30,58,17.21
2012-01-06,77,17.54
2012-01-13,67,17.98
2012-01-20,54,19.30
2012-01-27,73,19.90
2012-02-03,66,20.71
2012-02-10,57,20.08
2012-02-17,64,21.04
2012-02-24,72,19.83
2012-03-02,59,19.78
2012-03-09,66,19.50
2012-03-16,48,20.32
2012-03-23,49,19.56
2012-03-30,55,19.31
2012-04-06,58,
2012-04-13,48,18.73
2012-04-20,49,19.11
2012-04-27,53,19.24
2012-05-04,49,17.69
2012-05-11,53,17.80
2012-05-18,62,16.03
2012-05-25,52,16.00
2012-06-01,50,15.26
2012-06-08,60,15.63
2012-06-15,39,15.54
2012-06-22,47,15.58
2012-06-29,58,15.44
2012-07-06,50,15.82
2012-07-13,61,15.36
2012-07-20,56,15.58
2012-07-27,57,15.94
2012-08-03,63,13.82
2012-08-10,58,13.99
2012-08-17,60,13.58
2012-08-24,52,13.26
2012-08-31,56,14.27
2012-09-07,48,15.06
2012-09-14,48,16.30
2012-09-21,56,16.67
2012-09-28,46,15.46
2012-10-05,56,15.91
2012-10-12,56,15.35
2012-10-19,48,15.95
2012-10-26,47,15.84
2012-11-02,49,16.67
2012-11-09,56,16.68
2012-11-16,54,16.39
2012-11-23,59,17.16
2012-11-30,48,16.82
2012-12-07,52,16.51
2012-12-14,49,16.13
2012-12-21,48,17.35
2012-12-28,42,17.09
2013-01-04,50,18.11
2013-01-11,53,18.22
2013-01-18,60,18.80
2013-01-25,59,18.62
2013-02-01,59,19.08
2013-02-08,56,19.25
2013-02-15,44,19.40
2013-02-22,41,21.02
2013-03-01,64,22.38
2013-03-08,55,22.50
2013-03-15,54,24.27
2013-03-22,52,23.71
2013-03-29,50,
2013-04-05,46,21.90
2013-04-12,57,22.65
2013-04-19,45,21.48
2013-04-26,62,21.79
2013-05-03,62,22.51
2013-05-10,54,23.10
2013-05-17,39,23.86
2013-05-24,47,23.76
2013-05-31,57,24.02
2013-06-07,48,24.41
2013-06-14,42,23.88
2013-06-21,55,23.47
2013-06-28,50,23.95
2013-07-05,50,25.56
2013-07-12,45,27.51
2013-07-19,58,27.55
2013-07-26,47,27.12
2013-08-02,54,30.36
2013-08-09,55,30.09
2013-08-16,56,29.16
2013-08-23,63,29.41
2013-08-30,59,28.40
2013-09-06,47,29.52
2013-09-13,53,30.04
2013-09-20,54,28.56
2013-09-27,40,27.49
2013-10-04,52,27.07
2013-10-11,48,27.44
2013-10-18,50,27.93
2013-10-25,57,28.33
2013-11-01,50,31.21
2013-11-08,52,30.82
2013-11-15,51,31.73
2013-11-22,56,31.78
2013-11-29,54,32.11
2013-12-06,42,32.52
2013-12-13,47,31.85
2013-12-20,52,32.95
2013-12-27,47,33.82
2014-01-03,57,33.67
2014-01-10,57,34.02
2014-01-17,54,33.06
2014-01-24,57,31.07
2014-01-31,54,31.19
2014-02-07,48,31.45
2014-02-14,66,32.27
2014-02-21,48,32.78
2014-02-28,51,34.04
2014-03-07,53,33.52
2014-03-14,49,32.09
2014-03-21,40,32.23
2014-03-28,58,31.53
2014-04-04,48,32.38
2014-04-11,45,30.36
2014-04-18,44,
2014-04-25,50,32.52
2014-05-02,51,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
