Date,sell USB,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,27.86
2004-02-13,0,27.50
2004-02-20,0,28.03
2004-02-27,0,28.53
2004-03-05,0,29.36
2004-03-12,0,28.22
2004-03-19,0,27.66
2004-03-26,0,27.60
2004-04-02,0,27.01
2004-04-09,0,
2004-04-16,0,26.30
2004-04-23,0,26.14
2004-04-30,0,25.64
2004-05-07,0,25.45
2004-05-14,0,26.41
2004-05-21,0,26.94
2004-05-28,0,28.10
2004-06-04,0,28.37
2004-06-11,0,
2004-06-18,0,28.32
2004-06-25,0,27.79
2004-07-02,0,28.11
2004-07-09,0,27.86
2004-07-16,0,27.99
2004-07-23,0,27.80
2004-07-30,0,28.30
2004-08-06,0,28.15
2004-08-13,0,28.76
2004-08-20,0,28.85
2004-08-27,0,29.32
2004-09-03,0,29.54
2004-09-10,0,29.41
2004-09-17,0,29.24
2004-09-24,0,28.59
2004-10-01,0,29.27
2004-10-08,0,29.42
2004-10-15,0,29.37
2004-10-22,0,27.86
2004-10-29,0,28.61
2004-11-05,0,29.77
2004-11-12,0,30.48
2004-11-19,0,29.60
2004-11-26,0,29.94
2004-12-03,0,29.67
2004-12-10,0,29.40
2004-12-17,0,29.90
2004-12-24,0,
2004-12-31,0,31.32
2005-01-07,0,30.45
2005-01-14,0,30.19
2005-01-21,0,29.96
2005-01-28,0,29.80
2005-02-04,0,30.46
2005-02-11,0,30.30
2005-02-18,0,29.41
2005-02-25,0,29.85
2005-03-04,0,29.65
2005-03-11,0,29.56
2005-03-18,0,29.29
2005-03-25,0,
2005-04-01,0,28.50
2005-04-08,0,28.38
2005-04-15,0,27.97
2005-04-22,0,27.20
2005-04-29,0,27.90
2005-05-06,0,28.42
2005-05-13,0,28.27
2005-05-20,0,29.75
2005-05-27,0,29.53
2005-06-03,0,29.27
2005-06-10,0,29.10
2005-06-17,0,29.52
2005-06-24,0,29.14
2005-07-01,0,29.05
2005-07-08,0,29.27
2005-07-15,0,30.64
2005-07-22,0,30.59
2005-07-29,0,30.06
2005-08-05,0,29.65
2005-08-12,0,30.22
2005-08-19,0,29.90
2005-08-26,0,29.11
2005-09-02,0,29.75
2005-09-09,0,29.88
2005-09-16,0,29.95
2005-09-23,0,29.09
2005-09-30,0,28.08
2005-10-07,0,27.88
2005-10-14,0,27.96
2005-10-21,0,28.93
2005-10-28,0,29.57
2005-11-04,0,28.69
2005-11-11,0,30.37
2005-11-18,0,30.00
2005-11-25,0,30.72
2005-12-02,0,30.48
2005-12-09,0,30.14
2005-12-16,0,30.92
2005-12-23,0,30.90
2005-12-30,0,29.89
2006-01-06,0,30.78
2006-01-13,0,30.59
2006-01-20,0,29.03
2006-01-27,0,29.77
2006-02-03,0,29.30
2006-02-10,0,29.96
2006-02-17,0,30.47
2006-02-24,0,30.93
2006-03-03,0,30.40
2006-03-10,0,30.68
2006-03-17,0,31.16
2006-03-24,0,30.90
2006-03-31,0,30.50
2006-04-07,0,30.50
2006-04-14,0,
2006-04-21,0,30.53
2006-04-28,0,31.44
2006-05-05,0,31.36
2006-05-12,0,31.37
2006-05-19,0,31.10
2006-05-26,0,31.03
2006-06-02,0,31.68
2006-06-09,0,31.58
2006-06-16,0,31.28
2006-06-23,0,31.02
2006-06-30,0,30.88
2006-07-07,0,30.99
2006-07-14,0,30.77
2006-07-21,0,31.81
2006-07-28,0,32.00
2006-08-04,0,32.31
2006-08-11,0,31.90
2006-08-18,0,32.50
2006-08-25,0,32.12
2006-09-01,0,32.05
2006-09-08,0,32.19
2006-09-15,0,33.26
2006-09-22,0,33.14
2006-09-29,0,33.22
2006-10-06,0,33.67
2006-10-13,0,33.76
2006-10-20,0,33.43
2006-10-27,0,34.00
2006-11-03,0,33.57
2006-11-10,0,33.66
2006-11-17,0,33.91
2006-11-24,0,33.72
2006-12-01,0,33.66
2006-12-08,0,33.96
2006-12-15,0,35.79
2006-12-22,0,36.65
2006-12-29,0,36.19
2007-01-05,0,35.77
2007-01-12,0,35.55
2007-01-19,0,35.46
2007-01-26,0,35.54
2007-02-02,0,35.81
2007-02-09,0,35.84
2007-02-16,0,36.62
2007-02-23,0,36.55
2007-03-02,0,35.39
2007-03-09,0,35.53
2007-03-16,0,35.10
2007-03-23,0,35.91
2007-03-30,0,34.97
2007-04-06,0,
2007-04-13,0,34.47
2007-04-20,0,34.55
2007-04-27,0,34.55
2007-05-04,0,34.49
2007-05-11,0,34.66
2007-05-18,0,34.78
2007-05-25,0,34.39
2007-06-01,0,34.63
2007-06-08,0,34.21
2007-06-15,0,34.12
2007-06-22,0,33.42
2007-06-29,0,32.95
2007-07-06,0,33.39
2007-07-13,0,33.18
2007-07-20,0,31.89
2007-07-27,0,29.99
2007-08-03,0,29.26
2007-08-10,0,29.96
2007-08-17,0,32.81
2007-08-24,0,33.05
2007-08-31,0,32.35
2007-09-07,0,31.46
2007-09-14,0,32.27
2007-09-21,0,33.10
2007-09-28,0,32.53
2007-10-05,0,33.71
2007-10-12,0,32.88
2007-10-19,0,31.27
2007-10-26,0,32.38
2007-11-02,0,31.30
2007-11-09,0,30.92
2007-11-16,68,31.43
2007-11-23,0,31.21
2007-11-30,0,33.09
2007-12-07,0,32.86
2007-12-14,0,32.68
2007-12-21,0,32.28
2007-12-28,0,31.81
2008-01-04,0,29.44
2008-01-11,0,29.85
2008-01-18,0,30.19
2008-01-25,0,32.96
2008-02-01,0,34.00
2008-02-08,0,32.34
2008-02-15,0,32.68
2008-02-22,0,32.91
2008-02-29,0,32.02
2008-03-07,0,30.88
2008-03-14,0,31.57
2008-03-21,0,
2008-03-28,0,32.66
2008-04-04,0,33.20
2008-04-11,0,32.62
2008-04-18,0,33.56
2008-04-25,0,34.89
2008-05-02,0,34.60
2008-05-09,0,33.55
2008-05-16,0,33.91
2008-05-23,0,32.68
2008-05-30,0,33.19
2008-06-06,0,32.07
2008-06-13,0,30.83
2008-06-20,0,29.67
2008-06-27,0,28.31
2008-07-04,0,
2008-07-11,0,25.74
2008-07-18,0,28.39
2008-07-25,0,28.90
2008-08-01,0,30.80
2008-08-08,0,31.46
2008-08-15,0,31.58
2008-08-22,0,31.44
2008-08-29,0,31.86
2008-09-05,62,32.74
2008-09-12,0,33.83
2008-09-19,0,37.99
2008-09-26,0,36.20
2008-10-03,0,35.06
2008-10-10,0,30.36
2008-10-17,0,30.55
2008-10-24,57,29.45
2008-10-31,0,29.81
2008-11-07,0,27.21
2008-11-14,0,26.30
2008-11-21,0,22.53
2008-11-28,0,26.98
2008-12-05,55,28.91
2008-12-12,60,25.84
2008-12-19,64,24.85
2008-12-26,68,24.25
2009-01-02,52,25.25
2009-01-09,52,22.35
2009-01-16,52,18.32
2009-01-23,52,14.64
2009-01-30,52,14.84
2009-02-06,53,16.19
2009-02-13,53,12.40
2009-02-20,54,10.58
2009-02-27,54,14.31
2009-03-06,55,8.82
2009-03-13,60,13.57
2009-03-20,61,13.42
2009-03-27,0,15.64
2009-04-03,0,15.97
2009-04-10,0,
2009-04-17,0,18.60
2009-04-24,0,18.97
2009-05-01,0,17.96
2009-05-08,0,20.54
2009-05-15,0,17.67
2009-05-22,0,17.83
2009-05-29,0,19.20
2009-06-05,0,18.00
2009-06-12,0,18.58
2009-06-19,52,17.95
2009-06-26,60,18.02
2009-07-03,68,
2009-07-10,0,16.59
2009-07-17,0,17.96
2009-07-24,0,19.77
2009-07-31,0,20.41
2009-08-07,0,23.25
2009-08-14,50,22.49
2009-08-21,51,22.28
2009-08-28,52,22.43
2009-09-04,78,21.45
2009-09-11,45,21.86
2009-09-18,58,22.76
2009-09-25,56,22.06
2009-10-02,56,21.23
2009-10-09,56,22.93
2009-10-16,56,23.41
2009-10-23,42,24.95
2009-10-30,55,23.22
2009-11-06,55,23.73
2009-11-13,55,23.48
2009-11-20,55,23.29
2009-11-27,56,22.95
2009-12-04,49,23.50
2009-12-11,54,23.05
2009-12-18,59,22.30
2009-12-25,68,
2010-01-01,47,
2010-01-08,47,24.21
2010-01-15,47,24.62
2010-01-22,54,24.67
2010-01-29,72,25.08
2010-02-05,62,23.97
2010-02-12,69,23.26
2010-02-19,39,24.14
2010-02-26,49,24.61
2010-03-05,45,25.20
2010-03-12,45,25.67
2010-03-19,45,26.14
2010-03-26,49,26.05
2010-04-02,41,
2010-04-09,41,27.16
2010-04-16,41,27.45
2010-04-23,41,27.30
2010-04-30,38,26.77
2010-05-07,41,25.15
2010-05-14,43,25.51
2010-05-21,43,23.98
2010-05-28,43,23.96
2010-06-04,39,22.85
2010-06-11,39,23.31
2010-06-18,55,23.57
2010-06-25,51,23.36
2010-07-02,49,21.88
2010-07-09,49,23.91
2010-07-16,37,23.04
2010-07-23,52,23.70
2010-07-30,48,23.90
2010-08-06,51,23.22
2010-08-13,55,22.22
2010-08-20,41,21.74
2010-08-27,78,21.66
2010-09-03,86,22.67
2010-09-10,46,22.63
2010-09-17,37,22.81
2010-09-24,57,22.41
2010-10-01,53,21.71
2010-10-08,35,22.31
2010-10-15,35,22.54
2010-10-22,35,23.59
2010-10-29,45,24.20
2010-11-05,32,26.10
2010-11-12,41,24.62
2010-11-19,38,24.87
2010-11-26,41,23.97
2010-12-03,34,24.76
2010-12-10,53,26.45
2010-12-17,31,26.20
2010-12-24,45,
2010-12-31,50,26.97
2011-01-07,47,26.09
2011-01-14,65,27.37
2011-01-21,85,26.96
2011-01-28,53,26.80
2011-02-04,53,27.42
2011-02-11,49,28.37
2011-02-18,49,28.56
2011-02-25,42,27.52
2011-03-04,34,27.04
2011-03-11,60,27.16
2011-03-18,45,26.65
2011-03-25,42,26.92
2011-04-01,31,26.68
2011-04-08,49,26.18
2011-04-15,31,25.93
2011-04-22,63,
2011-04-29,36,25.82
2011-05-06,40,25.19
2011-05-13,68,25.02
2011-05-20,42,25.20
2011-05-27,51,25.42
2011-06-03,38,24.55
2011-06-10,53,24.33
2011-06-17,37,24.49
2011-06-24,28,23.92
2011-07-01,37,26.06
2011-07-08,32,25.35
2011-07-15,35,24.74
2011-07-22,28,26.91
2011-07-29,57,26.06
2011-08-05,40,23.72
2011-08-12,50,21.91
2011-08-19,56,20.56
2011-08-26,70,22.42
2011-09-02,85,21.61
2011-09-09,72,22.00
2011-09-16,49,24.11
2011-09-23,33,23.21
2011-09-30,33,23.54
2011-10-07,40,23.33
2011-10-14,63,24.70
2011-10-21,61,25.39
2011-10-28,28,26.03
2011-11-04,40,25.53
2011-11-11,45,25.94
2011-11-18,27,25.38
2011-11-25,39,24.03
2011-12-02,48,25.72
2011-12-09,70,26.29
2011-12-16,41,26.00
2011-12-23,53,27.49
2011-12-30,51,27.05
2012-01-06,41,27.75
2012-01-13,55,29.03
2012-01-20,63,28.74
2012-01-27,66,27.86
2012-02-03,40,29.20
2012-02-10,59,29.01
2012-02-17,68,29.35
2012-02-24,45,28.73
2012-03-02,65,29.27
2012-03-09,50,29.72
2012-03-16,38,31.65
2012-03-23,36,31.70
2012-03-30,36,31.68
2012-04-06,32,
2012-04-13,37,30.90
2012-04-20,53,31.29
2012-04-27,32,32.43
2012-05-04,32,31.67
2012-05-11,33,32.21
2012-05-18,48,30.27
2012-05-25,42,30.93
2012-06-01,45,29.60
2012-06-08,50,30.10
2012-06-15,46,31.58
2012-06-22,46,31.72
2012-06-29,42,32.16
2012-07-06,47,32.01
2012-07-13,48,32.70
2012-07-20,57,33.60
2012-07-27,49,33.92
2012-08-03,34,33.49
2012-08-10,43,33.16
2012-08-17,45,33.11
2012-08-24,66,33.03
2012-08-31,78,33.41
2012-09-07,67,33.98
2012-09-14,74,34.93
2012-09-21,49,33.85
2012-09-28,56,34.30
2012-10-05,50,34.92
2012-10-12,67,33.72
2012-10-19,60,34.23
2012-10-26,50,33.15
2012-11-02,65,33.43
2012-11-09,53,32.10
2012-11-16,59,31.55
2012-11-23,80,32.58
2012-11-30,54,32.26
2012-12-07,48,32.02
2012-12-14,56,31.40
2012-12-21,48,32.48
2012-12-28,59,31.68
2013-01-04,81,33.22
2013-01-11,52,33.50
2013-01-18,66,32.87
2013-01-25,53,33.17
2013-02-01,57,33.40
2013-02-08,50,33.65
2013-02-15,59,33.91
2013-02-22,55,33.88
2013-03-01,57,34.01
2013-03-08,50,34.23
2013-03-15,46,34.22
2013-03-22,53,33.57
2013-03-29,37,
2013-04-05,41,33.36
2013-04-12,59,34.08
2013-04-19,68,32.51
2013-04-26,55,33.13
2013-05-03,54,32.77
2013-05-10,57,33.49
2013-05-17,42,34.67
2013-05-24,69,35.41
2013-05-31,66,35.06
2013-06-07,34,35.87
2013-06-14,56,35.01
2013-06-21,52,35.57
2013-06-28,34,36.15
2013-07-05,49,36.76
2013-07-12,49,37.66
2013-07-19,76,37.26
2013-07-26,58,37.54
2013-08-02,49,37.77
2013-08-09,71,37.17
2013-08-16,69,36.92
2013-08-23,77,37.32
2013-08-30,62,36.13
2013-09-06,69,36.47
2013-09-13,68,37.14
2013-09-20,100,37.85
2013-09-27,80,36.50
2013-10-04,51,36.62
2013-10-11,66,37.05
2013-10-18,71,37.92
2013-10-25,58,37.83
2013-11-01,44,37.37
2013-11-08,47,38.08
2013-11-15,48,38.31
2013-11-22,59,38.95
2013-11-29,63,39.22
2013-12-06,68,39.66
2013-12-13,69,39.06
2013-12-20,47,40.05
2013-12-27,89,40.37
2014-01-03,75,40.06
2014-01-10,56,41.02
2014-01-17,66,41.45
2014-01-24,60,40.14
2014-01-31,61,39.73
2014-02-07,84,40.00
2014-02-14,75,40.79
2014-02-21,57,40.34
2014-02-28,48,41.14
2014-03-07,45,42.17
2014-03-14,41,41.54
2014-03-21,57,43.02
2014-03-28,63,42.30
2014-04-04,60,42.55
2014-04-11,59,40.51
2014-04-18,52,
2014-04-25,59,40.22
2014-05-02,53,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
