Date,ISRG,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,18.00
2004-02-13,0,18.27
2004-02-20,0,17.71
2004-02-27,0,17.91
2004-03-05,0,18.26
2004-03-12,0,18.14
2004-03-19,0,17.29
2004-03-26,0,16.47
2004-04-02,0,17.38
2004-04-09,0,
2004-04-16,0,15.80
2004-04-23,0,15.59
2004-04-30,0,16.21
2004-05-07,0,16.60
2004-05-14,0,16.54
2004-05-21,0,16.13
2004-05-28,0,16.54
2004-06-04,0,17.79
2004-06-11,0,
2004-06-18,0,17.83
2004-06-25,0,18.74
2004-07-02,0,18.67
2004-07-09,0,19.48
2004-07-16,0,20.01
2004-07-23,0,18.84
2004-07-30,0,22.88
2004-08-06,0,21.20
2004-08-13,0,21.92
2004-08-20,0,24.88
2004-08-27,0,24.61
2004-09-03,0,26.95
2004-09-10,0,26.85
2004-09-17,0,26.51
2004-09-24,0,26.07
2004-10-01,0,25.15
2004-10-08,0,26.29
2004-10-15,0,24.62
2004-10-22,0,22.09
2004-10-29,0,29.18
2004-11-05,0,30.83
2004-11-12,0,31.99
2004-11-19,0,32.38
2004-11-26,0,35.47
2004-12-03,0,36.79
2004-12-10,0,33.94
2004-12-17,0,36.11
2004-12-24,0,
2004-12-31,0,40.02
2005-01-07,0,37.20
2005-01-14,0,40.95
2005-01-21,0,40.55
2005-01-28,0,38.49
2005-02-04,0,41.72
2005-02-11,0,48.81
2005-02-18,0,47.45
2005-02-25,0,48.00
2005-03-04,0,46.96
2005-03-11,0,45.10
2005-03-18,0,44.45
2005-03-25,0,
2005-04-01,0,46.79
2005-04-08,0,50.38
2005-04-15,0,47.92
2005-04-22,0,41.22
2005-04-29,0,42.94
2005-05-06,0,43.61
2005-05-13,0,41.80
2005-05-20,0,46.81
2005-05-27,0,49.64
2005-06-03,0,49.18
2005-06-10,0,48.17
2005-06-17,0,50.40
2005-06-24,0,47.37
2005-07-01,0,46.73
2005-07-08,0,51.77
2005-07-15,0,50.48
2005-07-22,0,50.17
2005-07-29,30,69.40
2005-08-05,0,69.36
2005-08-12,0,74.95
2005-08-19,0,74.61
2005-08-26,0,72.85
2005-09-02,0,71.10
2005-09-09,0,70.30
2005-09-16,0,68.99
2005-09-23,0,71.25
2005-09-30,0,73.29
2005-10-07,0,70.41
2005-10-14,0,66.90
2005-10-21,0,69.71
2005-10-28,23,88.11
2005-11-04,19,92.32
2005-11-11,21,99.34
2005-11-18,22,108.00
2005-11-25,23,115.65
2005-12-02,18,115.88
2005-12-09,20,116.49
2005-12-16,22,115.85
2005-12-23,18,122.27
2005-12-30,25,117.27
2006-01-06,31,120.07
2006-01-13,36,127.95
2006-01-20,20,128.08
2006-01-27,33,135.93
2006-02-03,36,114.69
2006-02-10,38,103.18
2006-02-17,28,96.92
2006-02-24,24,94.81
2006-03-03,30,90.37
2006-03-10,18,92.98
2006-03-17,21,104.15
2006-03-24,21,112.06
2006-03-31,21,118.00
2006-04-07,28,108.74
2006-04-14,22,
2006-04-21,17,106.82
2006-04-28,33,127.00
2006-05-05,34,127.83
2006-05-12,24,118.02
2006-05-19,24,115.91
2006-05-26,14,112.76
2006-06-02,14,117.08
2006-06-09,15,111.27
2006-06-16,0,104.76
2006-06-23,0,107.51
2006-06-30,0,115.00
2006-07-07,0,115.08
2006-07-14,0,116.60
2006-07-21,0,117.20
2006-07-28,35,101.54
2006-08-04,34,99.54
2006-08-11,28,94.40
2006-08-18,12,96.76
2006-08-25,12,92.10
2006-09-01,12,95.05
2006-09-08,12,93.34
2006-09-15,12,99.38
2006-09-22,13,102.36
2006-09-29,14,105.45
2006-10-06,12,106.22
2006-10-13,15,112.08
2006-10-20,18,107.73
2006-10-27,24,100.68
2006-11-03,13,96.60
2006-11-10,12,97.35
2006-11-17,12,95.79
2006-11-24,14,99.06
2006-12-01,11,101.55
2006-12-08,13,104.97
2006-12-15,15,103.87
2006-12-22,18,97.02
2006-12-29,20,95.90
2007-01-05,23,94.08
2007-01-12,25,94.03
2007-01-19,16,93.41
2007-01-26,16,94.98
2007-02-02,21,116.77
2007-02-09,17,112.06
2007-02-16,10,114.41
2007-02-23,13,113.08
2007-03-02,11,107.52
2007-03-09,11,110.75
2007-03-16,11,111.67
2007-03-23,11,121.67
2007-03-30,11,121.57
2007-04-06,15,
2007-04-13,10,124.74
2007-04-20,22,131.75
2007-04-27,18,133.31
2007-05-04,14,133.94
2007-05-11,10,130.90
2007-05-18,10,132.64
2007-05-25,14,136.99
2007-06-01,8,139.03
2007-06-08,16,139.00
2007-06-15,8,140.56
2007-06-22,9,137.55
2007-06-29,12,138.77
2007-07-06,15,144.90
2007-07-13,19,148.37
2007-07-20,25,198.59
2007-07-27,45,202.55
2007-08-03,20,204.38
2007-08-10,14,197.10
2007-08-17,23,199.13
2007-08-24,21,211.46
2007-08-31,21,221.28
2007-09-07,17,221.97
2007-09-14,20,214.00
2007-09-21,17,221.91
2007-09-28,18,230.00
2007-10-05,23,247.03
2007-10-12,29,249.39
2007-10-19,63,269.34
2007-10-26,100,329.09
2007-11-02,80,311.80
2007-11-09,48,282.27
2007-11-16,37,280.65
2007-11-23,27,283.71
2007-11-30,47,327.68
2007-12-07,39,353.00
2007-12-14,35,324.89
2007-12-21,42,325.44
2007-12-28,36,325.14
2008-01-04,33,305.00
2008-01-11,40,262.19
2008-01-18,27,262.07
2008-01-25,35,269.00
2008-02-01,65,305.61
2008-02-08,43,300.68
2008-02-15,23,303.27
2008-02-22,22,291.57
2008-02-29,21,281.92
2008-03-07,24,264.75
2008-03-14,27,283.07
2008-03-21,19,
2008-03-28,28,322.71
2008-04-04,31,338.44
2008-04-11,29,333.58
2008-04-18,73,288.50
2008-04-25,50,279.78
2008-05-02,37,290.03
2008-05-09,17,289.10
2008-05-16,23,299.75
2008-05-23,22,284.77
2008-05-30,18,293.59
2008-06-06,15,280.91
2008-06-13,17,281.00
2008-06-20,15,282.51
2008-06-27,12,269.59
2008-07-04,14,
2008-07-11,14,269.98
2008-07-18,21,288.49
2008-07-25,40,322.07
2008-08-01,22,300.43
2008-08-08,14,308.26
2008-08-15,11,299.17
2008-08-22,10,303.32
2008-08-29,8,295.27
2008-09-05,10,268.86
2008-09-12,12,278.19
2008-09-19,11,290.71
2008-09-26,11,275.01
2008-10-03,16,225.70
2008-10-10,21,175.01
2008-10-17,28,189.13
2008-10-24,25,158.68
2008-10-31,23,172.79
2008-11-07,15,182.47
2008-11-14,15,148.41
2008-11-21,20,118.26
2008-11-28,12,132.53
2008-12-05,17,137.46
2008-12-12,14,134.38
2008-12-19,11,125.51
2008-12-26,11,121.80
2009-01-02,8,132.41
2009-01-09,19,101.80
2009-01-16,10,99.97
2009-01-23,15,93.29
2009-01-30,15,103.23
2009-02-06,16,114.62
2009-02-13,12,112.09
2009-02-20,7,106.01
2009-02-27,11,90.96
2009-03-06,13,95.89
2009-03-13,14,103.03
2009-03-20,11,93.68
2009-03-27,13,96.42
2009-04-03,11,96.73
2009-04-10,12,
2009-04-17,21,130.35
2009-04-24,23,150.24
2009-05-01,14,142.80
2009-05-08,16,158.77
2009-05-15,9,149.92
2009-05-22,8,142.20
2009-05-29,7,149.68
2009-06-05,12,156.01
2009-06-12,12,166.51
2009-06-19,9,161.15
2009-06-26,13,159.72
2009-07-03,8,
2009-07-10,8,142.60
2009-07-17,8,155.54
2009-07-24,33,222.53
2009-07-31,20,227.32
2009-08-07,12,230.10
2009-08-14,12,223.80
2009-08-21,9,230.74
2009-08-28,10,224.90
2009-09-04,10,227.41
2009-09-11,13,240.40
2009-09-18,8,247.92
2009-09-25,11,257.50
2009-10-02,8,252.14
2009-10-09,9,253.99
2009-10-16,7,255.43
2009-10-23,20,262.96
2009-10-30,11,246.35
2009-11-06,8,256.00
2009-11-13,8,274.52
2009-11-20,5,276.44
2009-11-27,6,280.11
2009-12-04,4,292.00
2009-12-11,6,292.29
2009-12-18,7,289.17
2009-12-25,7,
2010-01-01,7,
2010-01-08,11,308.96
2010-01-15,8,308.58
2010-01-22,16,340.35
2010-01-29,12,328.06
2010-02-05,8,325.41
2010-02-12,8,331.82
2010-02-19,14,346.52
2010-02-26,7,347.14
2010-03-05,10,358.40
2010-03-12,9,358.90
2010-03-19,10,349.18
2010-03-26,8,342.00
2010-04-02,7,
2010-04-09,9,350.62
2010-04-16,22,360.39
2010-04-23,12,364.98
2010-04-30,7,360.56
2010-05-07,12,324.32
2010-05-14,11,340.12
2010-05-21,9,321.08
2010-05-28,10,322.77
2010-06-04,8,324.67
2010-06-11,9,337.11
2010-06-18,9,349.90
2010-06-25,9,337.42
2010-07-02,7,309.90
2010-07-09,5,318.89
2010-07-16,10,324.61
2010-07-23,12,334.37
2010-07-30,8,328.37
2010-08-06,9,332.16
2010-08-13,6,315.70
2010-08-20,8,293.50
2010-08-27,11,273.07
2010-09-03,9,281.18
2010-09-10,5,280.03
2010-09-17,11,295.77
2010-09-24,9,305.58
2010-10-01,9,289.61
2010-10-08,9,289.82
2010-10-15,7,279.81
2010-10-22,14,265.84
2010-10-29,8,262.95
2010-11-05,6,278.27
2010-11-12,5,267.68
2010-11-19,9,247.50
2010-11-26,7,254.84
2010-12-03,7,271.32
2010-12-10,4,260.07
2010-12-17,7,265.76
2010-12-24,5,
2010-12-31,5,257.75
2011-01-07,10,267.40
2011-01-14,8,288.28
2011-01-21,23,326.58
2011-01-28,15,327.93
2011-02-04,6,331.26
2011-02-11,8,345.27
2011-02-18,12,340.92
2011-02-25,7,334.93
2011-03-04,6,332.04
2011-03-11,4,325.43
2011-03-18,5,316.90
2011-03-25,5,329.82
2011-04-01,8,344.84
2011-04-08,8,367.67
2011-04-15,9,360.36
2011-04-22,12,
2011-04-29,6,349.70
2011-05-06,6,348.38
2011-05-13,6,356.00
2011-05-20,6,348.26
2011-05-27,7,344.26
2011-06-03,6,342.24
2011-06-10,5,338.23
2011-06-17,6,344.46
2011-06-24,6,347.40
2011-07-01,5,378.65
2011-07-08,9,368.70
2011-07-15,6,358.79
2011-07-22,14,405.10
2011-07-29,9,400.55
2011-08-05,8,358.57
2011-08-12,8,346.83
2011-08-19,6,329.49
2011-08-26,6,356.93
2011-09-02,5,370.63
2011-09-09,5,369.22
2011-09-16,8,390.54
2011-09-23,10,375.01
2011-09-30,6,364.28
2011-10-07,7,364.45
2011-10-14,5,393.38
2011-10-21,18,415.63
2011-10-28,9,436.53
2011-11-04,4,432.23
2011-11-11,6,439.99
2011-11-18,7,423.06
2011-11-25,4,413.26
2011-12-02,5,433.85
2011-12-09,3,440.40
2011-12-16,5,432.12
2011-12-23,7,457.66
2011-12-30,6,463.01
2012-01-06,6,460.46
2012-01-13,7,459.44
2012-01-20,13,445.68
2012-01-27,8,459.00
2012-02-03,8,492.01
2012-02-10,7,490.83
2012-02-17,10,505.99
2012-02-24,6,512.76
2012-03-02,8,516.91
2012-03-09,5,523.83
2012-03-16,7,529.74
2012-03-23,7,533.40
2012-03-30,5,541.75
2012-04-06,7,
2012-04-13,5,546.56
2012-04-20,20,576.57
2012-04-27,10,585.82
2012-05-04,8,565.16
2012-05-11,7,558.95
2012-05-18,10,511.24
2012-05-25,5,526.55
2012-06-01,6,503.01
2012-06-08,6,536.70
2012-06-15,5,531.66
2012-06-22,7,550.12
2012-06-29,6,553.79
2012-07-06,6,551.47
2012-07-13,9,540.04
2012-07-20,13,498.50
2012-07-27,9,498.94
2012-08-03,7,492.85
2012-08-10,6,498.58
2012-08-17,7,511.73
2012-08-24,6,505.52
2012-08-31,5,491.79
2012-09-07,7,500.74
2012-09-14,7,501.65
2012-09-21,7,517.76
2012-09-28,5,495.63
2012-10-05,5,511.31
2012-10-12,5,494.58
2012-10-19,14,538.35
2012-10-26,7,535.84
2012-11-02,4,541.47
2012-11-09,6,529.60
2012-11-16,7,533.92
2012-11-23,4,537.50
2012-11-30,6,529.00
2012-12-07,5,518.29
2012-12-14,4,533.11
2012-12-21,14,496.79
2012-12-28,6,479.50
2013-01-04,6,500.28
2013-01-11,6,506.00
2013-01-18,7,508.33
2013-01-25,15,577.82
2013-02-01,9,583.67
2013-02-08,7,578.75
2013-02-15,4,569.21
2013-02-22,6,574.05
2013-03-01,12,553.40
2013-03-08,11,514.63
2013-03-15,13,459.44
2013-03-22,18,489.39
2013-03-29,7,
2013-04-05,9,489.97
2013-04-12,7,512.05
2013-04-19,12,484.75
2013-04-26,8,486.76
2013-05-03,9,503.82
2013-05-10,6,499.57
2013-05-17,7,484.00
2013-05-24,10,501.53
2013-05-31,8,497.53
2013-06-07,6,513.49
2013-06-14,6,498.31
2013-06-21,6,502.88
2013-06-28,8,506.13
2013-07-05,4,504.01
2013-07-12,23,429.04
2013-07-19,21,392.67
2013-07-26,13,382.29
2013-08-02,11,393.65
2013-08-09,7,391.87
2013-08-16,8,378.33
2013-08-23,8,390.09
2013-08-30,4,386.52
2013-09-06,3,384.69
2013-09-13,5,375.00
2013-09-20,6,374.69
2013-09-27,9,367.46
2013-10-04,8,364.28
2013-10-11,11,390.18
2013-10-18,16,376.52
2013-10-25,8,369.13
2013-11-01,5,372.03
2013-11-08,7,389.83
2013-11-15,5,394.44
2013-11-22,5,389.71
2013-11-29,5,376.90
2013-12-06,6,377.38
2013-12-13,4,362.94
2013-12-20,7,364.35
2013-12-27,4,379.99
2014-01-03,6,373.46
2014-01-10,9,420.15
2014-01-17,13,430.14
2014-01-24,13,410.76
2014-01-31,6,407.58
2014-02-07,6,417.68
2014-02-14,9,438.83
2014-02-21,5,435.19
2014-02-28,4,444.83
2014-03-07,6,443.98
2014-03-14,5,423.07
2014-03-21,6,428.89
2014-03-28,6,434.99
2014-04-04,19,505.52
2014-04-11,17,439.63
2014-04-18,9,
2014-04-25,16,366.37
2014-05-02,7,
