Date,buy AN,Price
2004-01-09,30,
2004-01-16,45,
2004-01-23,40,
2004-01-30,42,
2004-02-06,36,17.14
2004-02-13,34,16.32
2004-02-20,40,16.40
2004-02-27,34,16.68
2004-03-05,45,16.68
2004-03-12,50,16.40
2004-03-19,37,16.61
2004-03-26,43,16.94
2004-04-02,31,17.23
2004-04-09,38,
2004-04-16,43,17.10
2004-04-23,38,17.00
2004-04-30,37,17.02
2004-05-07,35,16.30
2004-05-14,44,15.61
2004-05-21,33,16.11
2004-05-28,33,16.67
2004-06-04,38,16.93
2004-06-11,38,
2004-06-18,43,17.06
2004-06-25,35,17.07
2004-07-02,37,16.84
2004-07-09,41,15.92
2004-07-16,45,15.58
2004-07-23,50,15.42
2004-07-30,40,16.12
2004-08-06,43,15.76
2004-08-13,31,15.67
2004-08-20,31,16.05
2004-08-27,36,16.45
2004-09-03,31,16.46
2004-09-10,44,16.12
2004-09-17,32,17.04
2004-09-24,35,16.81
2004-10-01,38,17.32
2004-10-08,40,16.99
2004-10-15,31,16.66
2004-10-22,32,16.49
2004-10-29,33,17.23
2004-11-05,35,17.68
2004-11-12,37,17.61
2004-11-19,48,18.50
2004-11-26,46,18.56
2004-12-03,39,18.64
2004-12-10,51,18.05
2004-12-17,44,18.58
2004-12-24,43,
2004-12-31,49,19.21
2005-01-07,39,18.66
2005-01-14,39,19.06
2005-01-21,38,18.69
2005-01-28,44,18.61
2005-02-04,38,19.79
2005-02-11,43,19.66
2005-02-18,34,19.74
2005-02-25,37,19.37
2005-03-04,44,19.99
2005-03-11,44,19.28
2005-03-18,39,18.50
2005-03-25,37,
2005-04-01,37,18.72
2005-04-08,29,18.97
2005-04-15,37,17.92
2005-04-22,39,18.04
2005-04-29,35,18.27
2005-05-06,37,18.94
2005-05-13,34,19.22
2005-05-20,35,19.74
2005-05-27,33,19.80
2005-06-03,34,19.90
2005-06-10,35,20.21
2005-06-17,36,20.34
2005-06-24,36,20.32
2005-07-01,38,20.63
2005-07-08,36,20.86
2005-07-15,45,21.13
2005-07-22,38,21.46
2005-07-29,38,21.59
2005-08-05,44,21.19
2005-08-12,43,21.08
2005-08-19,34,20.67
2005-08-26,39,20.45
2005-09-02,27,20.61
2005-09-09,30,20.73
2005-09-16,33,20.47
2005-09-23,40,20.05
2005-09-30,36,19.97
2005-10-07,31,19.30
2005-10-14,33,18.94
2005-10-21,41,18.53
2005-10-28,39,19.68
2005-11-04,34,20.07
2005-11-11,34,19.87
2005-11-18,48,20.17
2005-11-25,60,20.65
2005-12-02,59,21.13
2005-12-09,51,21.58
2005-12-16,49,22.60
2005-12-23,46,22.08
2005-12-30,40,21.73
2006-01-06,35,22.40
2006-01-13,42,22.70
2006-01-20,35,22.22
2006-01-27,37,22.39
2006-02-03,35,22.26
2006-02-10,36,21.44
2006-02-17,34,21.69
2006-02-24,35,21.35
2006-03-03,36,21.13
2006-03-10,34,21.82
2006-03-17,32,21.95
2006-03-24,30,21.53
2006-03-31,39,21.55
2006-04-07,37,22.48
2006-04-14,34,
2006-04-21,38,22.15
2006-04-28,39,22.52
2006-05-05,31,22.66
2006-05-12,40,22.54
2006-05-19,31,21.73
2006-05-26,29,21.74
2006-06-02,37,21.44
2006-06-09,33,21.00
2006-06-16,40,20.90
2006-06-23,29,20.88
2006-06-30,29,21.44
2006-07-07,35,20.91
2006-07-14,33,20.21
2006-07-21,34,19.99
2006-07-28,38,20.08
2006-08-04,37,19.90
2006-08-11,40,19.43
2006-08-18,38,19.88
2006-08-25,34,19.01
2006-09-01,34,19.49
2006-09-08,32,19.64
2006-09-15,32,20.70
2006-09-22,34,20.17
2006-09-29,36,20.90
2006-10-06,30,20.82
2006-10-13,34,20.85
2006-10-20,31,20.70
2006-10-27,35,19.98
2006-11-03,29,19.54
2006-11-10,34,20.26
2006-11-17,36,20.49
2006-11-24,37,20.63
2006-12-01,37,20.55
2006-12-08,40,20.67
2006-12-15,40,20.89
2006-12-22,38,21.31
2006-12-29,41,21.32
2007-01-05,32,20.87
2007-01-12,35,21.56
2007-01-19,31,21.89
2007-01-26,32,21.95
2007-02-02,36,22.90
2007-02-09,33,22.74
2007-02-16,33,22.90
2007-02-23,36,22.73
2007-03-02,29,21.83
2007-03-09,30,21.67
2007-03-16,28,21.00
2007-03-23,31,21.71
2007-03-30,30,21.24
2007-04-06,37,
2007-04-13,31,20.76
2007-04-20,32,22.00
2007-04-27,37,21.23
2007-05-04,34,20.83
2007-05-11,35,20.96
2007-05-18,35,21.63
2007-05-25,31,21.70
2007-06-01,34,22.49
2007-06-08,38,22.23
2007-06-15,37,22.55
2007-06-22,41,22.50
2007-06-29,47,22.44
2007-07-06,38,22.45
2007-07-13,36,21.89
2007-07-20,38,21.40
2007-07-27,36,19.21
2007-08-03,34,18.79
2007-08-10,41,19.93
2007-08-17,38,19.12
2007-08-24,34,19.65
2007-08-31,38,18.98
2007-09-07,37,18.03
2007-09-14,36,18.23
2007-09-21,39,17.69
2007-09-28,33,17.72
2007-10-05,36,18.50
2007-10-12,37,17.97
2007-10-19,36,17.14
2007-10-26,39,17.12
2007-11-02,36,17.16
2007-11-09,37,16.51
2007-11-16,37,16.56
2007-11-23,53,16.37
2007-11-30,50,16.50
2007-12-07,52,17.42
2007-12-14,47,15.20
2007-12-21,43,15.48
2007-12-28,45,15.47
2008-01-04,43,13.90
2008-01-11,38,12.98
2008-01-18,37,12.50
2008-01-25,37,14.25
2008-02-01,38,16.59
2008-02-08,37,15.51
2008-02-15,41,15.10
2008-02-22,41,15.46
2008-02-29,39,14.57
2008-03-07,42,14.03
2008-03-14,39,13.74
2008-03-21,45,
2008-03-28,40,14.65
2008-04-04,39,15.95
2008-04-11,39,14.95
2008-04-18,41,15.70
2008-04-25,43,15.70
2008-05-02,43,16.57
2008-05-09,43,16.03
2008-05-16,44,16.46
2008-05-23,43,15.51
2008-05-30,43,15.79
2008-06-06,42,14.45
2008-06-13,48,13.91
2008-06-20,43,11.97
2008-06-27,46,10.44
2008-07-04,41,
2008-07-11,53,8.09
2008-07-18,54,8.25
2008-07-25,53,9.75
2008-08-01,50,10.39
2008-08-08,47,11.87
2008-08-15,50,12.37
2008-08-22,46,11.93
2008-08-29,50,11.35
2008-09-05,42,12.28
2008-09-12,50,12.40
2008-09-19,46,13.32
2008-09-26,44,12.83
2008-10-03,48,10.93
2008-10-10,43,8.10
2008-10-17,47,7.34
2008-10-24,46,4.43
2008-10-31,44,6.87
2008-11-07,42,6.55
2008-11-14,49,6.35
2008-11-21,47,6.45
2008-11-28,49,8.54
2008-12-05,51,9.51
2008-12-12,54,8.88
2008-12-19,55,9.65
2008-12-26,57,8.56
2009-01-02,55,10.64
2009-01-09,54,9.65
2009-01-16,52,8.42
2009-01-23,48,8.14
2009-01-30,47,9.28
2009-02-06,46,11.38
2009-02-13,46,10.68
2009-02-20,48,9.78
2009-02-27,50,9.98
2009-03-06,49,9.72
2009-03-13,46,12.10
2009-03-20,50,12.07
