Date,"AvalonBay Communities, Inc.",Price
2004-01-09,92,
2004-01-16,93,
2004-01-23,96,
2004-01-30,95,
2004-02-06,94,50.60
2004-02-13,95,50.26
2004-02-20,96,50.45
2004-02-27,94,50.38
2004-03-05,100,53.50
2004-03-12,90,52.58
2004-03-19,92,54.46
2004-03-26,82,53.10
2004-04-02,94,53.99
2004-04-09,94,
2004-04-16,88,51.10
2004-04-23,89,50.25
2004-04-30,89,49.63
2004-05-07,91,50.01
2004-05-14,84,51.16
2004-05-21,86,52.45
2004-05-28,85,54.45
2004-06-04,83,54.04
2004-06-11,87,
2004-06-18,88,55.90
2004-06-25,90,57.50
2004-07-02,84,57.25
2004-07-09,86,57.53
2004-07-16,92,57.90
2004-07-23,89,56.88
2004-07-30,91,58.20
2004-08-06,90,58.70
2004-08-13,90,58.88
2004-08-20,91,61.10
2004-08-27,89,59.99
2004-09-03,83,61.06
2004-09-10,76,60.75
2004-09-17,80,60.70
2004-09-24,82,59.25
2004-10-01,81,61.40
2004-10-08,80,62.71
2004-10-15,74,64.10
2004-10-22,76,65.51
2004-10-29,78,65.47
2004-11-05,74,67.15
2004-11-12,68,70.46
2004-11-19,77,69.15
2004-11-26,61,71.05
2004-12-03,75,74.06
2004-12-10,74,73.43
2004-12-17,72,73.83
2004-12-24,62,
2004-12-31,66,75.30
2005-01-07,78,71.05
2005-01-14,79,68.85
2005-01-21,75,69.63
2005-01-28,83,66.80
2005-02-04,79,69.32
2005-02-11,79,69.95
2005-02-18,78,71.12
2005-02-25,79,69.12
2005-03-04,74,70.51
2005-03-11,77,67.76
2005-03-18,75,67.60
2005-03-25,76,
2005-04-01,73,66.68
2005-04-08,69,67.25
2005-04-15,72,68.39
2005-04-22,73,70.05
2005-04-29,73,72.00
2005-05-06,75,72.74
2005-05-13,72,73.78
2005-05-20,75,76.57
2005-05-27,74,74.84
2005-06-03,70,75.90
2005-06-10,73,79.12
2005-06-17,74,81.52
2005-06-24,77,79.52
2005-07-01,71,80.86
2005-07-08,68,83.60
2005-07-15,79,83.35
2005-07-22,80,86.03
2005-07-29,77,87.56
2005-08-05,75,82.15
2005-08-12,77,80.83
2005-08-19,75,80.77
2005-08-26,72,81.60
2005-09-02,66,83.90
2005-09-09,64,85.40
2005-09-16,69,85.11
2005-09-23,71,83.96
2005-09-30,68,85.70
2005-10-07,71,83.35
2005-10-14,70,82.00
2005-10-21,70,82.38
2005-10-28,68,85.64
2005-11-04,67,86.04
2005-11-11,65,89.44
2005-11-18,67,90.84
2005-11-25,52,92.19
2005-12-02,67,92.43
2005-12-09,62,92.07
2005-12-16,61,91.63
2005-12-23,56,90.93
2005-12-30,53,89.25
2006-01-06,64,95.57
2006-01-13,68,95.19
2006-01-20,64,95.00
2006-01-27,67,100.30
2006-02-03,68,97.96
2006-02-10,68,99.39
2006-02-17,64,102.82
2006-02-24,65,103.70
2006-03-03,64,101.99
2006-03-10,64,104.80
2006-03-17,62,110.25
2006-03-24,62,107.45
2006-03-31,64,109.10
2006-04-07,62,106.02
2006-04-14,62,
2006-04-21,63,108.37
2006-04-28,62,107.70
2006-05-05,64,107.60
2006-05-12,62,104.23
2006-05-19,59,102.50
2006-05-26,57,106.33
2006-06-02,55,108.79
2006-06-09,63,109.14
2006-06-16,61,107.73
2006-06-23,62,105.75
2006-06-30,57,110.62
2006-07-07,53,112.71
2006-07-14,63,111.48
2006-07-21,65,111.03
2006-07-28,62,117.05
2006-08-04,61,118.46
2006-08-11,60,112.28
2006-08-18,63,115.55
2006-08-25,59,119.20
2006-09-01,56,120.00
2006-09-08,51,122.39
2006-09-15,56,122.65
2006-09-22,56,121.40
2006-09-29,58,120.40
2006-10-06,55,121.98
2006-10-13,55,126.70
2006-10-20,57,127.45
2006-10-27,56,129.49
2006-11-03,55,123.06
2006-11-10,52,124.00
2006-11-17,54,124.54
2006-11-24,42,133.28
2006-12-01,52,131.89
2006-12-08,50,130.43
2006-12-15,50,129.65
2006-12-22,47,126.17
2006-12-29,41,130.05
2007-01-05,51,130.21
2007-01-12,56,136.57
2007-01-19,54,143.49
2007-01-26,54,146.79
2007-02-02,55,145.59
2007-02-09,53,145.99
2007-02-16,52,145.04
2007-02-23,53,141.18
2007-03-02,51,131.29
2007-03-09,55,131.08
2007-03-16,52,128.36
2007-03-23,52,134.98
2007-03-30,52,130.00
2007-04-06,52,
2007-04-13,52,128.74
2007-04-20,53,130.35
2007-04-27,53,125.95
2007-05-04,52,119.03
2007-05-11,50,123.84
