Date,buy KEY,Price
2004-01-09,77,
2004-01-16,30,
2004-01-23,31,
2004-01-30,32,
2004-02-06,39,31.30
2004-02-13,42,31.65
2004-02-20,46,31.90
2004-02-27,41,32.42
2004-03-05,40,32.94
2004-03-12,40,31.31
2004-03-19,40,30.65
2004-03-26,27,29.87
2004-04-02,27,29.73
2004-04-09,40,
2004-04-16,44,29.26
2004-04-23,49,30.14
2004-04-30,40,29.70
2004-05-07,47,29.52
2004-05-14,39,30.35
2004-05-21,40,31.52
2004-05-28,37,31.41
2004-06-04,48,30.53
2004-06-11,35,
2004-06-18,39,29.95
2004-06-25,40,30.00
2004-07-02,36,29.74
2004-07-09,44,29.41
2004-07-16,40,29.09
2004-07-23,45,29.33
2004-07-30,34,30.18
2004-08-06,48,29.75
2004-08-13,38,30.28
2004-08-20,46,31.25
2004-08-27,40,31.51
2004-09-03,42,31.45
2004-09-10,46,31.43
2004-09-17,39,31.93
2004-09-24,42,31.11
2004-10-01,40,31.78
2004-10-08,44,31.81
2004-10-15,39,32.38
2004-10-22,68,32.27
2004-10-29,36,33.59
2004-11-05,31,33.87
2004-11-12,30,34.24
2004-11-19,33,33.20
2004-11-26,59,33.21
2004-12-03,54,33.53
2004-12-10,45,32.98
2004-12-17,48,33.27
2004-12-24,42,
2004-12-31,54,33.90
2005-01-07,43,32.45
2005-01-14,44,31.69
2005-01-21,50,32.53
2005-01-28,36,32.70
2005-02-04,41,33.92
2005-02-11,29,33.79
2005-02-18,37,32.93
2005-02-25,41,32.94
2005-03-04,50,33.85
2005-03-11,42,32.82
2005-03-18,42,32.40
2005-03-25,44,
2005-04-01,43,32.01
2005-04-08,40,31.98
2005-04-15,39,32.27
2005-04-22,34,32.71
2005-04-29,39,33.16
2005-05-06,44,32.96
2005-05-13,35,32.06
2005-05-20,51,33.32
2005-05-27,37,32.80
2005-06-03,45,32.77
2005-06-10,44,32.70
2005-06-17,41,33.42
2005-06-24,38,32.84
2005-07-01,38,33.14
2005-07-08,46,33.37
2005-07-15,40,34.34
2005-07-22,51,34.45
2005-07-29,35,34.24
2005-08-05,50,33.92
2005-08-12,53,33.73
2005-08-19,53,33.72
2005-08-26,39,32.60
2005-09-02,50,33.23
2005-09-09,45,33.46
2005-09-16,50,33.32
2005-09-23,46,32.00
2005-09-30,50,32.25
2005-10-07,39,31.72
2005-10-14,35,31.44
2005-10-21,41,31.25
2005-10-28,41,32.12
2005-11-04,36,32.23
2005-11-11,38,33.43
2005-11-18,43,33.38
2005-11-25,47,33.47
2005-12-02,57,33.38
2005-12-09,42,33.13
2005-12-16,45,34.04
2005-12-23,41,33.80
2005-12-30,50,32.93
2006-01-06,48,34.05
2006-01-13,65,33.69
2006-01-20,35,34.17
2006-01-27,57,35.68
2006-02-03,34,35.34
2006-02-10,36,35.98
2006-02-17,44,36.73
2006-02-24,32,37.04
2006-03-03,44,36.30
2006-03-10,35,36.70
2006-03-17,49,37.37
2006-03-24,37,37.31
2006-03-31,39,36.80
2006-04-07,35,36.85
2006-04-14,38,
2006-04-21,40,36.39
2006-04-28,46,38.22
2006-05-05,47,37.33
2006-05-12,37,36.55
2006-05-19,47,35.89
2006-05-26,47,35.95
2006-06-02,40,36.58
2006-06-09,42,36.23
2006-06-16,42,35.17
2006-06-23,35,34.82
2006-06-30,40,35.68
2006-07-07,44,35.41
2006-07-14,46,34.94
2006-07-21,37,36.29
2006-07-28,30,37.28
2006-08-04,49,37.77
2006-08-11,54,36.97
2006-08-18,50,36.93
2006-08-25,46,36.79
2006-09-01,50,36.69
2006-09-08,43,36.62
2006-09-15,43,37.27
2006-09-22,52,37.15
2006-09-29,45,37.44
2006-10-06,38,37.45
2006-10-13,35,37.02
2006-10-20,35,37.39
2006-10-27,42,37.23
2006-11-03,38,36.73
2006-11-10,42,37.01
2006-11-17,45,36.89
2006-11-24,39,36.40
2006-12-01,43,36.13
2006-12-08,46,35.93
2006-12-15,58,37.86
2006-12-22,45,37.70
2006-12-29,43,38.03
2007-01-05,54,37.32
2007-01-12,45,37.59
2007-01-19,85,37.88
2007-01-26,63,38.00
2007-02-02,53,38.77
2007-02-09,55,39.05
2007-02-16,40,39.50
2007-02-23,58,39.08
2007-03-02,37,37.60
2007-03-09,46,37.94
2007-03-16,47,36.89
2007-03-23,36,38.55
2007-03-30,48,37.47
2007-04-06,49,
2007-04-13,44,37.55
2007-04-20,42,36.74
2007-04-27,40,36.10
2007-05-04,49,36.34
2007-05-11,42,36.64
2007-05-18,45,36.83
2007-05-25,46,35.72
2007-06-01,47,36.23
2007-06-08,46,35.44
2007-06-15,34,36.06
2007-06-22,39,34.99
2007-06-29,53,34.33
2007-07-06,58,34.93
2007-07-13,47,35.29
2007-07-20,61,36.20
2007-07-27,53,34.99
2007-08-03,53,33.34
2007-08-10,67,33.29
2007-08-17,62,34.43
2007-08-24,50,34.39
2007-08-31,47,33.30
2007-09-07,52,32.31
2007-09-14,57,32.85
2007-09-21,57,33.70
2007-09-28,49,32.33
2007-10-05,54,33.77
2007-10-12,46,33.04
2007-10-19,48,28.69
2007-10-26,47,28.55
2007-11-02,46,26.27
2007-11-09,54,26.50
2007-11-16,54,25.50
2007-11-23,67,25.05
2007-11-30,56,26.34
2007-12-07,66,25.28
2007-12-14,54,22.67
2007-12-21,58,23.46
2007-12-28,66,23.65
2008-01-04,64,21.84
2008-01-11,53,23.23
2008-01-18,56,21.10
2008-01-25,51,25.03
2008-02-01,46,26.42
2008-02-08,59,24.65
2008-02-15,52,24.34
2008-02-22,54,23.95
2008-02-29,57,22.05
2008-03-07,55,20.94
2008-03-14,48,21.24
2008-03-21,52,
2008-03-28,53,21.88
2008-04-04,48,23.72
2008-04-11,47,23.61
2008-04-18,44,24.68
2008-04-25,55,24.34
2008-05-02,51,25.48
2008-05-09,50,23.99
2008-05-16,49,23.72
2008-05-23,58,21.87
2008-05-30,56,19.47
2008-06-06,57,17.30
2008-06-13,62,11.73
2008-06-20,45,11.53
2008-06-27,54,11.14
2008-07-04,64,
2008-07-11,57,9.84
2008-07-18,68,11.36
2008-07-25,63,11.16
2008-08-01,51,10.97
2008-08-08,52,11.94
2008-08-15,55,11.73
2008-08-22,57,11.47
2008-08-29,54,12.01
2008-09-05,48,12.97
2008-09-12,59,13.37
2008-09-19,66,14.88
2008-09-26,58,14.70
