Date,ETFC,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,14.15
2004-02-13,0,14.73
2004-02-20,0,14.31
2004-02-27,0,14.31
2004-03-05,0,14.30
2004-03-12,0,12.50
2004-03-19,0,12.66
2004-03-26,0,13.10
2004-04-02,0,13.36
2004-04-09,0,
2004-04-16,0,12.32
2004-04-23,0,12.16
2004-04-30,0,11.36
2004-05-07,0,11.11
2004-05-14,0,10.80
2004-05-21,0,10.99
2004-05-28,0,11.41
2004-06-04,0,11.32
2004-06-11,0,
2004-06-18,0,10.91
2004-06-25,0,11.25
2004-07-02,0,11.06
2004-07-09,0,10.13
2004-07-16,0,9.99
2004-07-23,0,10.67
2004-07-30,0,11.07
2004-08-06,0,10.50
2004-08-13,0,10.81
2004-08-20,0,11.90
2004-08-27,0,12.13
2004-09-03,0,11.55
2004-09-10,0,12.14
2004-09-17,0,11.89
2004-09-24,0,11.37
2004-10-01,0,11.72
2004-10-08,0,11.27
2004-10-15,0,11.62
2004-10-22,0,12.02
2004-10-29,0,12.90
2004-11-05,0,13.19
2004-11-12,0,14.10
2004-11-19,0,13.95
2004-11-26,0,14.50
2004-12-03,0,14.47
2004-12-10,0,14.80
2004-12-17,0,14.67
2004-12-24,0,
2004-12-31,0,14.95
2005-01-07,0,13.65
2005-01-14,0,13.22
2005-01-21,0,13.10
2005-01-28,0,13.55
2005-02-04,0,13.00
2005-02-11,0,13.39
2005-02-18,0,13.12
2005-02-25,0,13.46
2005-03-04,0,13.61
2005-03-11,0,12.87
2005-03-18,0,12.35
2005-03-25,0,
2005-04-01,0,11.80
2005-04-08,0,11.80
2005-04-15,0,11.02
2005-04-22,0,11.03
2005-04-29,0,11.11
2005-05-06,0,11.93
2005-05-13,0,12.10
2005-05-20,0,12.27
2005-05-27,0,12.10
2005-06-03,0,12.40
2005-06-10,0,13.12
2005-06-17,0,13.13
2005-06-24,0,13.63
2005-07-01,0,14.09
2005-07-08,0,15.05
2005-07-15,0,14.93
2005-07-22,0,15.67
2005-07-29,0,15.51
2005-08-05,0,14.86
2005-08-12,0,16.33
2005-08-19,0,16.50
2005-08-26,0,16.08
2005-09-02,0,16.34
2005-09-09,0,17.24
2005-09-16,0,16.93
2005-09-23,0,16.40
2005-09-30,0,17.60
2005-10-07,0,17.26
2005-10-14,0,16.28
2005-10-21,0,17.88
2005-10-28,0,18.07
2005-11-04,0,18.60
2005-11-11,0,19.33
2005-11-18,0,19.18
2005-11-25,0,19.47
2005-12-02,0,20.02
2005-12-09,0,20.15
2005-12-16,0,21.22
2005-12-23,0,21.55
2005-12-30,0,20.86
2006-01-06,0,22.30
2006-01-13,0,22.35
2006-01-20,0,21.50
2006-01-27,0,23.35
2006-02-03,0,23.09
2006-02-10,0,23.41
2006-02-17,0,24.23
2006-02-24,0,25.00
2006-03-03,0,25.62
2006-03-10,0,24.34
2006-03-17,0,26.33
2006-03-24,0,25.85
2006-03-31,0,26.98
2006-04-07,0,26.94
2006-04-14,0,
2006-04-21,0,27.57
2006-04-28,0,24.88
2006-05-05,0,26.11
2006-05-12,0,24.90
2006-05-19,0,24.40
2006-05-26,0,24.35
2006-06-02,0,24.45
2006-06-09,0,22.76
2006-06-16,0,21.20
2006-06-23,0,22.17
2006-06-30,0,22.82
2006-07-07,0,22.26
2006-07-14,0,20.53
2006-07-21,0,21.95
2006-07-28,0,23.25
2006-08-04,0,23.58
2006-08-11,0,22.36
2006-08-18,0,23.91
2006-08-25,0,22.99
2006-09-01,0,23.74
2006-09-08,0,22.61
2006-09-15,0,24.33
2006-09-22,0,24.20
2006-09-29,0,23.92
2006-10-06,0,24.69
2006-10-13,0,22.86
2006-10-20,0,21.85
2006-10-27,0,23.83
2006-11-03,0,22.71
2006-11-10,0,23.42
2006-11-17,0,23.85
2006-11-24,0,25.33
2006-12-01,0,23.23
2006-12-08,0,23.05
2006-12-15,0,23.19
2006-12-22,0,22.61
2006-12-29,0,22.42
2007-01-05,0,23.09
2007-01-12,0,25.02
2007-01-19,5,24.08
2007-01-26,5,23.88
2007-02-02,5,24.24
2007-02-09,4,24.10
2007-02-16,4,24.20
2007-02-23,4,24.05
2007-03-02,4,22.68
2007-03-09,0,22.72
2007-03-16,0,21.68
2007-03-23,0,22.56
2007-03-30,0,21.22
2007-04-06,0,
2007-04-13,0,21.73
2007-04-20,5,21.62
2007-04-27,5,22.01
2007-05-04,3,22.91
2007-05-11,3,23.25
2007-05-18,3,22.78
2007-05-25,3,22.60
2007-06-01,4,24.06
2007-06-08,4,25.21
2007-06-15,0,24.18
2007-06-22,0,23.09
2007-06-29,0,22.09
2007-07-06,0,22.93
2007-07-13,0,23.09
2007-07-20,0,22.32
2007-07-27,5,19.16
2007-08-03,5,15.95
2007-08-10,6,17.01
2007-08-17,12,14.50
2007-08-24,11,15.24
2007-08-31,7,15.58
2007-09-07,7,14.68
2007-09-14,7,14.39
2007-09-21,8,13.53
2007-09-28,11,13.05
2007-10-05,6,13.35
2007-10-12,8,13.63
2007-10-19,8,10.71
2007-10-26,9,10.70
2007-11-02,11,9.46
2007-11-09,11,8.59
2007-11-16,100,5.44
2007-11-23,54,5.33
2007-11-30,86,4.60
2007-12-07,82,4.13
2007-12-14,49,3.87
2007-12-21,46,3.60
2007-12-28,38,3.54
2008-01-04,37,3.23
2008-01-11,65,3.08
2008-01-18,41,2.84
2008-01-25,57,3.76
2008-02-01,59,4.97
2008-02-08,57,5.17
2008-02-15,61,5.13
2008-02-22,37,4.79
2008-02-29,45,4.27
2008-03-07,46,3.74
2008-03-14,37,3.63
2008-03-21,38,
2008-03-28,34,3.74
2008-04-04,31,4.25
2008-04-11,36,3.75
2008-04-18,46,3.97
2008-04-25,30,4.00
2008-05-02,36,4.21
2008-05-09,30,3.85
2008-05-16,33,4.31
2008-05-23,27,3.92
2008-05-30,20,4.10
2008-06-06,26,3.98
2008-06-13,24,3.70
2008-06-20,23,3.59
2008-06-27,25,3.10
2008-07-04,23,
2008-07-11,27,2.72
2008-07-18,43,3.66
2008-07-25,38,3.09
2008-08-01,31,3.05
2008-08-08,22,3.05
2008-08-15,22,3.10
2008-08-22,17,3.00
2008-08-29,17,3.20
2008-09-05,18,3.35
2008-09-12,23,3.30
2008-09-19,28,3.91
2008-09-26,25,3.45
2008-10-03,27,3.05
2008-10-10,30,2.23
2008-10-17,27,2.37
2008-10-24,23,1.97
2008-10-31,29,1.82
2008-11-07,16,1.71
2008-11-14,17,1.35
2008-11-21,23,0.90
2008-11-28,25,1.35
2008-12-05,21,1.27
2008-12-12,16,1.08
2008-12-19,15,1.19
2008-12-26,12,1.11
2009-01-02,20,1.31
2009-01-09,16,1.34
2009-01-16,13,1.14
2009-01-23,13,1.16
2009-01-30,14,1.14
2009-02-06,9,1.27
2009-02-13,10,1.14
2009-02-20,9,0.89
2009-02-27,15,0.80
2009-03-06,12,0.61
2009-03-13,12,0.75
2009-03-20,23,1.18
2009-03-27,17,1.32
2009-04-03,15,1.36
2009-04-10,11,
2009-04-17,29,2.58
2009-04-24,24,2.48
2009-05-01,33,1.58
2009-05-08,26,1.97
2009-05-15,20,1.46
2009-05-22,18,1.38
2009-05-29,17,1.44
2009-06-05,17,1.48
2009-06-12,17,1.97
2009-06-19,24,1.26
2009-06-26,22,1.28
2009-07-03,14,
2009-07-10,14,1.19
2009-07-17,18,1.23
2009-07-24,23,1.42
2009-07-31,24,1.50
2009-08-07,18,1.38
2009-08-14,17,1.35
2009-08-21,21,1.41
2009-08-28,21,1.64
2009-09-04,27,1.55
2009-09-11,20,1.66
2009-09-18,28,1.84
2009-09-25,33,1.77
2009-10-02,22,1.68
2009-10-09,24,1.70
2009-10-16,21,1.75
2009-10-23,18,1.66
2009-10-30,21,1.46
2009-11-06,21,1.55
2009-11-13,17,1.53
2009-11-20,24,1.64
2009-11-27,15,1.59
2009-12-04,19,1.70
2009-12-11,14,1.66
2009-12-18,15,1.78
2009-12-25,17,
2010-01-01,13,
2010-01-08,16,1.80
2010-01-15,15,1.84
2010-01-22,15,1.64
2010-01-29,14,1.52
2010-02-05,15,1.46
2010-02-12,13,1.49
2010-02-19,13,1.56
2010-02-26,12,1.61
2010-03-05,13,1.66
2010-03-12,13,1.65
2010-03-19,11,1.57
2010-03-26,16,1.55
2010-04-02,11,
2010-04-09,11,1.71
2010-04-16,15,1.74
2010-04-23,18,1.90
2010-04-30,16,1.69
2010-05-07,15,1.50
2010-05-14,12,1.57
2010-05-21,11,1.46
2010-05-28,10,1.48
2010-06-04,14,14.06
2010-06-11,6,13.88
2010-06-18,3,13.83
2010-06-25,3,13.03
2010-07-02,4,11.61
2010-07-09,7,12.20
2010-07-16,8,12.96
2010-07-23,10,14.36
2010-07-30,9,14.63
2010-08-06,9,15.12
2010-08-13,7,13.95
2010-08-20,8,13.62
2010-08-27,5,12.84
2010-09-03,5,14.13
2010-09-10,5,14.19
2010-09-17,5,14.00
2010-09-24,5,15.27
2010-10-01,5,14.89
2010-10-08,7,14.80
2010-10-15,6,14.67
2010-10-22,6,14.04
2010-10-29,5,14.30
2010-11-05,6,15.30
2010-11-12,4,14.98
2010-11-19,5,15.15
2010-11-26,3,14.84
2010-12-03,4,15.59
2010-12-10,5,15.97
2010-12-17,4,15.42
2010-12-24,3,
2010-12-31,5,16.00
2011-01-07,5,16.34
2011-01-14,4,16.70
2011-01-21,4,15.92
2011-01-28,5,16.35
2011-02-04,3,17.17
2011-02-11,5,17.89
2011-02-18,4,17.73
2011-02-25,3,15.89
2011-03-04,3,15.73
2011-03-11,2,15.50
2011-03-18,3,15.11
2011-03-25,3,15.80
2011-04-01,3,15.94
2011-04-08,3,16.01
2011-04-15,3,15.81
2011-04-22,4,
2011-04-29,5,16.24
2011-05-06,4,15.92
2011-05-13,3,16.06
2011-05-20,3,15.60
2011-05-27,2,15.71
2011-06-03,1,14.49
2011-06-10,3,13.66
2011-06-17,3,13.72
2011-06-24,2,13.38
2011-07-01,3,14.45
2011-07-08,2,13.80
2011-07-15,2,12.91
2011-07-22,6,15.64
2011-07-29,6,15.88
2011-08-05,3,12.59
2011-08-12,5,11.39
2011-08-19,3,10.41
2011-08-26,3,10.82
2011-09-02,3,11.40
2011-09-09,2,10.74
2011-09-16,3,11.63
2011-09-23,3,9.72
2011-09-30,3,9.11
2011-10-07,4,8.72
2011-10-14,3,9.80
2011-10-21,4,10.01
2011-10-28,4,11.63
2011-11-04,3,10.57
2011-11-11,4,9.09
2011-11-18,3,8.23
2011-11-25,2,8.14
2011-12-02,2,9.07
2011-12-09,3,8.91
2011-12-16,3,7.72
2011-12-23,2,7.95
2011-12-30,3,7.96
2012-01-06,3,8.48
2012-01-13,2,9.24
2012-01-20,2,9.66
2012-01-27,4,8.19
2012-02-03,2,9.19
2012-02-10,3,9.21
2012-02-17,2,9.35
2012-02-24,2,9.66
2012-03-02,2,9.99
2012-03-09,2,9.67
2012-03-16,3,11.04
2012-03-23,2,11.27
2012-03-30,2,10.95
2012-04-06,2,
2012-04-13,2,10.06
2012-04-20,2,10.48
2012-04-27,2,10.73
2012-05-04,2,9.98
2012-05-11,2,9.59
2012-05-18,2,8.46
2012-05-25,2,8.68
2012-06-01,2,8.05
2012-06-08,2,8.19
2012-06-15,2,7.97
2012-06-22,2,7.82
2012-06-29,2,8.04
2012-07-06,2,7.84
2012-07-13,2,7.87
2012-07-20,2,7.39
2012-07-27,2,7.53
2012-08-03,2,7.86
2012-08-10,3,8.42
2012-08-17,2,8.57
2012-08-24,2,8.50
2012-08-31,2,8.57
2012-09-07,2,9.06
2012-09-14,2,9.88
2012-09-21,1,9.27
2012-09-28,1,8.80
2012-10-05,1,9.12
2012-10-12,1,9.00
2012-10-19,2,8.57
2012-10-26,2,8.26
2012-11-02,1,8.40
2012-11-09,1,8.08
2012-11-16,1,7.88
2012-11-23,1,8.14
2012-11-30,1,8.42
2012-12-07,1,8.38
2012-12-14,1,8.32
2012-12-21,2,8.83
2012-12-28,1,8.76
2013-01-04,2,9.39
2013-01-11,1,9.58
2013-01-18,1,10.18
2013-01-25,2,10.33
2013-02-01,1,10.80
2013-02-08,1,11.02
2013-02-15,2,11.22
2013-02-22,2,10.84
2013-03-01,1,10.63
2013-03-08,1,11.30
2013-03-15,2,10.66
2013-03-22,2,10.66
2013-03-29,1,
2013-04-05,2,9.95
2013-04-12,2,10.17
2013-04-19,1,9.83
2013-04-26,2,10.20
2013-05-03,2,10.85
2013-05-10,1,11.16
2013-05-17,1,11.53
2013-05-24,1,11.31
2013-05-31,1,11.62
2013-06-07,1,11.76
2013-06-14,1,11.44
2013-06-21,1,12.24
2013-06-28,2,12.66
2013-07-05,1,13.16
2013-07-12,2,13.42
2013-07-19,2,13.49
2013-07-26,2,14.85
2013-08-02,1,15.29
2013-08-09,2,14.68
2013-08-16,2,14.56
2013-08-23,1,14.65
2013-08-30,1,14.04
2013-09-06,2,16.26
2013-09-13,2,17.11
2013-09-20,2,16.71
2013-09-27,2,16.76
2013-10-04,1,17.13
2013-10-11,1,17.00
2013-10-18,2,17.49
2013-10-25,2,17.31
2013-11-01,2,17.13
2013-11-08,2,17.76
2013-11-15,1,17.64
2013-11-22,1,17.75
2013-11-29,1,17.92
2013-12-06,1,18.28
2013-12-13,2,18.53
2013-12-20,2,19.34
2013-12-27,2,19.45
2014-01-03,2,20.30
2014-01-10,2,20.91
2014-01-17,2,21.02
2014-01-24,2,20.97
2014-01-31,2,20.02
2014-02-07,2,20.27
2014-02-14,2,21.81
2014-02-21,2,22.37
2014-02-28,1,22.47
2014-03-07,2,23.50
2014-03-14,1,23.49
2014-03-21,2,24.86
2014-03-28,1,22.59
2014-04-04,2,20.43
2014-04-11,2,19.79
2014-04-18,2,
2014-04-25,3,22.40
2014-05-02,3,
