Date,Boeing Company,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,79,
2004-01-30,100,
2004-02-06,55,44.35
2004-02-13,61,44.45
2004-02-20,51,44.34
2004-02-27,51,43.37
2004-03-05,48,42.72
2004-03-12,48,40.30
2004-03-19,48,39.43
2004-03-26,48,39.35
2004-04-02,48,41.84
2004-04-09,0,
2004-04-16,0,41.50
2004-04-23,0,42.45
2004-04-30,0,42.69
2004-05-07,0,43.40
2004-05-14,42,43.44
2004-05-21,42,43.40
2004-05-28,50,45.80
2004-06-04,57,46.90
2004-06-11,0,
2004-06-18,0,49.80
2004-06-25,0,51.30
2004-07-02,0,49.52
2004-07-09,0,50.04
2004-07-16,72,49.13
2004-07-23,43,47.06
2004-07-30,66,50.75
2004-08-06,67,48.33
2004-08-13,68,49.72
2004-08-20,40,50.46
2004-08-27,40,51.99
2004-09-03,40,53.10
2004-09-10,40,54.15
2004-09-17,59,55.15
2004-09-24,47,53.14
2004-10-01,73,52.48
2004-10-08,44,50.10
2004-10-15,62,50.19
2004-10-22,39,49.51
2004-10-29,54,49.90
2004-11-05,57,51.15
2004-11-12,67,53.93
2004-11-19,59,53.77
2004-11-26,36,54.02
2004-12-03,50,55.26
2004-12-10,60,52.42
2004-12-17,50,53.10
2004-12-24,50,
2004-12-31,50,51.77
2005-01-07,50,50.31
2005-01-14,41,50.91
2005-01-21,44,50.07
2005-01-28,36,49.92
2005-02-04,42,52.58
2005-02-11,68,54.14
2005-02-18,36,52.78
2005-02-25,57,54.99
2005-03-04,42,58.38
2005-03-11,43,57.49
2005-03-18,49,57.16
2005-03-25,34,
2005-04-01,33,58.78
2005-04-08,42,58.60
2005-04-15,51,57.00
2005-04-22,57,57.88
2005-04-29,53,59.52
2005-05-06,69,61.01
2005-05-13,35,59.50
2005-05-20,43,61.90
2005-05-27,37,63.02
2005-06-03,44,64.66
2005-06-10,38,64.65
2005-06-17,38,64.62
2005-06-24,45,60.59
2005-07-01,37,64.68
2005-07-08,28,65.07
2005-07-15,40,64.75
2005-07-22,28,66.20
2005-07-29,36,66.01
2005-08-05,45,66.19
2005-08-12,33,66.54
2005-08-19,44,67.15
2005-08-26,46,66.31
2005-09-02,44,64.34
2005-09-09,38,65.40
2005-09-16,38,64.80
2005-09-23,47,63.20
2005-09-30,40,67.95
2005-10-07,33,67.30
2005-10-14,26,67.50
2005-10-21,55,66.02
2005-10-28,48,65.64
2005-11-04,48,65.28
2005-11-11,44,65.35
2005-11-18,61,66.95
2005-11-25,47,69.06
2005-12-02,38,69.44
2005-12-09,50,69.65
2005-12-16,43,70.75
2005-12-23,45,71.49
2005-12-30,35,70.24
2006-01-06,40,69.35
2006-01-13,37,69.48
2006-01-20,33,66.50
2006-01-27,31,68.56
2006-02-03,39,70.87
2006-02-10,36,72.53
2006-02-17,19,72.96
2006-02-24,38,74.31
2006-03-03,45,73.39
2006-03-10,51,74.79
2006-03-17,46,77.85
2006-03-24,38,78.73
2006-03-31,18,77.93
2006-04-07,35,79.57
2006-04-14,33,
2006-04-21,54,86.46
2006-04-28,25,83.45
2006-05-05,33,88.47
2006-05-12,23,87.01
2006-05-19,31,84.61
2006-05-26,37,83.50
2006-06-02,33,83.80
2006-06-09,25,80.50
2006-06-16,31,85.54
2006-06-23,23,83.39
2006-06-30,39,81.91
2006-07-07,30,79.99
2006-07-14,36,77.25
2006-07-21,46,79.08
2006-07-28,42,78.91
2006-08-04,34,79.49
2006-08-11,32,75.96
2006-08-18,39,77.62
2006-08-25,19,73.93
2006-09-01,28,75.43
2006-09-08,31,72.80
2006-09-15,43,75.01
2006-09-22,23,77.25
2006-09-29,32,78.85
2006-10-06,26,83.68
2006-10-13,30,82.39
2006-10-20,28,81.74
2006-10-27,27,79.74
2006-11-03,34,79.97
2006-11-10,33,85.62
2006-11-17,22,89.52
2006-11-24,26,89.77
2006-12-01,26,89.55
2006-12-08,33,90.13
2006-12-15,22,90.70
2006-12-22,29,88.76
2006-12-29,21,88.84
2007-01-05,29,89.15
2007-01-12,31,88.13
2007-01-19,19,88.63
2007-01-26,50,85.43
2007-02-02,24,90.05
2007-02-09,30,90.00
2007-02-16,33,90.94
2007-02-23,29,90.28
2007-03-02,21,87.03
2007-03-09,18,89.51
2007-03-16,33,90.00
2007-03-23,34,90.98
2007-03-30,22,88.91
2007-04-06,27,
2007-04-13,29,91.03
2007-04-20,34,93.29
2007-04-27,35,94.02
2007-05-04,27,93.61
2007-05-11,29,93.40
2007-05-18,33,96.63
2007-05-25,30,98.25
2007-06-01,24,99.83
2007-06-08,29,98.19
2007-06-15,27,98.15
2007-06-22,37,95.92
2007-06-29,27,96.16
2007-07-06,36,98.88
2007-07-13,40,101.88
2007-07-20,43,103.86
2007-07-27,34,103.71
2007-08-03,42,104.24
2007-08-10,32,98.44
2007-08-17,28,95.93
2007-08-24,28,98.47
2007-08-31,41,96.70
2007-09-07,33,94.84
2007-09-14,35,99.35
2007-09-21,30,102.59
2007-09-28,32,104.99
2007-10-05,22,102.25
2007-10-12,40,96.69
2007-10-19,32,93.90
2007-10-26,26,96.02
2007-11-02,41,97.76
2007-11-09,27,94.21
2007-11-16,40,89.99
2007-11-23,24,89.54
2007-11-30,40,92.54
2007-12-07,34,93.16
2007-12-14,32,88.42
2007-12-21,24,89.07
2007-12-28,30,88.25
2008-01-04,23,85.82
2008-01-11,32,80.52
2008-01-18,34,78.40
2008-01-25,38,77.03
2008-02-01,39,82.76
2008-02-08,36,79.33
2008-02-15,31,85.18
2008-02-22,31,83.04
2008-02-29,34,82.79
2008-03-07,33,76.60
2008-03-14,29,76.23
2008-03-21,34,
2008-03-28,28,73.47
2008-04-04,33,75.65
2008-04-11,37,76.86
2008-04-18,38,78.66
2008-04-25,28,84.84
2008-05-02,27,85.69
2008-05-09,21,84.06
2008-05-16,35,85.17
2008-05-23,24,81.48
2008-05-30,30,82.77
2008-06-06,34,73.16
2008-06-13,20,75.12
2008-06-20,29,75.83
2008-06-27,24,66.92
2008-07-04,20,
2008-07-11,26,63.28
2008-07-18,26,68.14
2008-07-25,33,63.83
2008-08-01,31,62.01
2008-08-08,25,67.86
2008-08-15,24,64.45
2008-08-22,29,65.55
2008-08-29,26,65.56
2008-09-05,34,62.89
2008-09-12,36,63.30
2008-09-19,30,59.76
2008-09-26,33,58.32
2008-10-03,26,53.83
2008-10-10,30,41.80
2008-10-17,34,44.55
2008-10-24,26,45.24
2008-10-31,31,52.42
2008-11-07,32,46.58
2008-11-14,27,41.04
2008-11-21,23,39.58
2008-11-28,19,42.63
2008-12-05,24,39.53
2008-12-12,28,39.20
2008-12-19,23,41.24
2008-12-26,19,40.53
2009-01-02,20,45.25
2009-01-09,22,44.45
2009-01-16,20,42.46
2009-01-23,26,41.98
2009-01-30,30,42.31
2009-02-06,24,42.92
2009-02-13,24,40.48
2009-02-20,31,36.31
2009-02-27,25,31.44
2009-03-06,26,30.10
2009-03-13,27,33.40
2009-03-20,24,32.55
2009-03-27,23,37.53
2009-04-03,24,37.69
2009-04-10,26,
2009-04-17,33,38.32
2009-04-24,23,38.72
2009-05-01,23,41.21
2009-05-08,31,45.83
2009-05-15,26,43.00
2009-05-22,22,42.94
2009-05-29,21,44.85
2009-06-05,26,52.65
2009-06-12,26,51.44
2009-06-19,23,48.44
2009-06-26,22,41.88
2009-07-03,18,
2009-07-10,25,39.65
2009-07-17,22,41.36
2009-07-24,22,42.37
2009-07-31,17,42.91
2009-08-07,19,46.69
2009-08-14,23,44.87
2009-08-21,19,45.87
2009-08-28,29,51.04
2009-09-04,19,49.15
2009-09-11,22,51.35
2009-09-18,31,53.02
2009-09-25,20,51.52
2009-10-02,22,51.40
2009-10-09,29,52.69
2009-10-16,26,53.19
2009-10-23,23,49.89
2009-10-30,27,47.80
2009-11-06,23,49.68
2009-11-13,29,50.68
2009-11-20,31,51.70
2009-11-27,19,52.45
2009-12-04,23,54.68
2009-12-11,22,55.60
2009-12-18,31,53.44
2009-12-25,15,
2010-01-01,17,
2010-01-08,26,61.60
2010-01-15,20,60.82
2010-01-22,24,57.77
2010-01-29,25,60.60
2010-02-05,28,58.40
2010-02-12,25,59.65
2010-02-19,19,63.59
2010-02-26,24,63.16
2010-03-05,24,67.93
2010-03-12,21,69.83
2010-03-19,16,70.72
2010-03-26,26,72.59
2010-04-02,27,
2010-04-09,26,72.42
2010-04-16,30,70.79
2010-04-23,21,75.13
2010-04-30,23,72.43
2010-05-07,21,66.72
2010-05-14,20,69.82
2010-05-21,29,64.56
2010-05-28,20,64.18
2010-06-04,23,61.15
2010-06-11,19,65.38
2010-06-18,16,67.96
2010-06-25,18,68.77
2010-07-02,23,61.94
2010-07-09,18,64.66
2010-07-16,24,61.90
2010-07-23,23,67.93
2010-07-30,21,68.14
2010-08-06,15,68.70
2010-08-13,21,64.84
2010-08-20,22,64.60
2010-08-27,18,63.16
2010-09-03,24,64.64
2010-09-10,19,63.84
2010-09-17,29,62.95
2010-09-24,18,64.60
2010-10-01,20,66.83
2010-10-08,18,69.23
2010-10-15,22,70.11
2010-10-22,26,71.26
2010-10-29,19,70.64
2010-11-05,20,71.27
2010-11-12,23,63.09
2010-11-19,20,63.59
2010-11-26,15,64.80
2010-12-03,17,66.54
2010-12-10,17,64.16
2010-12-17,17,65.03
2010-12-24,14,
2010-12-31,13,65.26
2011-01-07,18,69.38
2011-01-14,15,70.07
2011-01-21,23,71.68
2011-01-28,18,69.23
2011-02-04,20,71.38
2011-02-11,18,72.14
2011-02-18,23,73.04
2011-02-25,25,72.30
2011-03-04,19,71.80
2011-03-11,21,71.64
2011-03-18,16,69.10
2011-03-25,24,73.34
2011-04-01,18,74.01
2011-04-08,22,73.47
2011-04-15,24,72.60
2011-04-22,20,
2011-04-29,24,79.78
2011-05-06,20,79.31
2011-05-13,16,79.03
2011-05-20,19,77.52
2011-05-27,20,76.99
2011-06-03,20,74.84
2011-06-10,22,72.69
2011-06-17,18,74.16
2011-06-24,18,71.26
2011-07-01,15,74.27
2011-07-08,17,75.07
2011-07-15,21,71.28
2011-07-22,22,72.67
2011-07-29,16,70.47
2011-08-05,20,62.75
2011-08-12,16,61.75
2011-08-19,14,57.54
2011-08-26,20,62.80
2011-09-02,19,64.03
2011-09-09,22,61.79
2011-09-16,23,65.38
2011-09-23,23,59.51
2011-09-30,23,60.51
2011-10-07,21,61.81
2011-10-14,19,63.89
2011-10-21,20,64.59
2011-10-28,20,68.17
2011-11-04,16,65.80
2011-11-11,15,66.92
2011-11-18,20,67.46
2011-11-25,17,62.78
2011-12-02,21,71.30
2011-12-09,23,71.93
2011-12-16,18,71.01
2011-12-23,17,73.97
2011-12-30,14,73.35
2012-01-06,15,73.98
2012-01-13,19,74.60
2012-01-20,24,75.52
2012-01-27,19,74.55
2012-02-03,22,76.34
2012-02-10,21,74.95
2012-02-17,22,75.35
2012-02-24,23,76.06
2012-03-02,23,74.90
2012-03-09,17,73.29
2012-03-16,20,75.20
2012-03-23,14,73.97
2012-03-30,19,74.37
2012-04-06,15,
2012-04-13,20,72.92
2012-04-20,21,73.55
2012-04-27,19,77.27
2012-05-04,18,75.84
2012-05-11,21,73.56
2012-05-18,19,69.15
2012-05-25,15,70.00
2012-06-01,17,67.24
2012-06-08,21,69.94
2012-06-15,16,71.99
2012-06-22,18,71.96
2012-06-29,12,74.30
2012-07-06,15,73.69
2012-07-13,19,73.51
2012-07-20,14,73.89
2012-07-27,20,75.51
2012-08-03,11,72.81
2012-08-10,18,74.21
2012-08-17,17,73.91
2012-08-24,17,71.09
2012-08-31,15,71.40
2012-09-07,21,72.89
2012-09-14,25,71.28
2012-09-21,21,69.97
2012-09-28,22,69.60
2012-10-05,17,70.89
2012-10-12,20,71.85
2012-10-19,19,74.01
2012-10-26,21,71.11
2012-11-02,19,70.05
2012-11-09,17,73.25
2012-11-16,15,70.77
2012-11-23,18,73.74
2012-11-30,18,74.28
2012-12-07,19,74.64
2012-12-14,14,74.02
2012-12-21,17,76.17
2012-12-28,7,74.69
2013-01-04,14,77.69
2013-01-11,18,75.16
2013-01-18,21,75.04
2013-01-25,19,75.03
2013-02-01,22,74.87
2013-02-08,21,76.56
2013-02-15,20,75.03
2013-02-22,19,76.66
2013-03-01,18,77.28
2013-03-08,17,81.23
2013-03-15,17,86.43
2013-03-22,15,84.82
2013-03-29,20,
2013-04-05,16,86.17
2013-04-12,19,88.89
2013-04-19,19,87.96
2013-04-26,18,92.85
2013-05-03,17,93.74
2013-05-10,14,94.24
2013-05-17,15,98.92
2013-05-24,15,100.00
2013-05-31,18,99.02
2013-06-07,15,102.49
2013-06-14,12,101.83
2013-06-21,14,99.98
2013-06-28,14,102.44
2013-07-05,12,104.20
2013-07-12,21,101.87
2013-07-19,18,106.96
2013-07-26,14,105.60
2013-08-02,14,107.90
2013-08-09,14,105.33
2013-08-16,14,103.47
2013-08-23,11,105.48
2013-08-30,16,103.92
2013-09-06,16,106.07
2013-09-13,14,111.33
2013-09-20,20,116.63
2013-09-27,18,118.74
2013-10-04,12,117.20
2013-10-11,18,117.98
2013-10-18,20,122.52
2013-10-25,14,131.19
2013-11-01,19,133.03
2013-11-08,17,133.49
2013-11-15,19,136.08
2013-11-22,22,135.97
2013-11-29,18,134.25
2013-12-06,17,135.18
2013-12-13,14,133.83
2013-12-20,12,136.67
2013-12-27,9,136.90
2014-01-03,11,137.62
2014-01-10,18,141.90
2014-01-17,17,140.46
2014-01-24,16,136.65
2014-01-31,14,125.26
2014-02-07,16,127.02
2014-02-14,12,130.16
2014-02-21,15,128.28
2014-02-28,20,128.92
2014-03-07,17,128.54
2014-03-14,26,123.11
2014-03-21,18,122.58
2014-03-28,17,124.46
2014-04-04,20,127.38
2014-04-11,18,122.07
2014-04-18,15,
2014-04-25,16,128.66
2014-05-02,13,
