Date,ETN,Price
2004-01-09,25,
2004-01-16,19,
2004-01-23,30,
2004-01-30,38,
2004-02-06,24,118.38
2004-02-13,25,119.08
2004-02-20,18,120.61
2004-02-27,35,58.54
2004-03-05,21,60.56
2004-03-12,25,56.05
2004-03-19,28,56.25
2004-03-26,39,54.27
2004-04-02,50,57.70
2004-04-09,34,
2004-04-16,28,60.02
2004-04-23,32,60.95
2004-04-30,39,59.38
2004-05-07,30,57.90
2004-05-14,27,57.78
2004-05-21,31,56.13
2004-05-28,40,58.35
2004-06-04,29,59.53
2004-06-11,21,
2004-06-18,32,61.75
2004-06-25,27,62.81
2004-07-02,54,62.26
2004-07-09,42,62.12
2004-07-16,57,62.40
2004-07-23,47,62.21
2004-07-30,48,64.64
2004-08-06,37,60.97
2004-08-13,25,59.66
2004-08-20,32,61.04
2004-08-27,25,60.57
2004-09-03,20,62.75
2004-09-10,21,63.61
2004-09-17,28,62.68
2004-09-24,19,61.00
2004-10-01,38,64.41
2004-10-08,26,64.82
2004-10-15,42,62.70
2004-10-22,30,61.45
2004-10-29,28,63.95
2004-11-05,30,66.12
2004-11-12,30,68.00
2004-11-19,24,67.33
2004-11-26,24,67.61
2004-12-03,43,68.56
2004-12-10,41,68.04
2004-12-17,38,69.67
2004-12-24,28,
2004-12-31,34,72.36
2005-01-07,29,67.77
2005-01-14,25,69.30
2005-01-21,40,65.40
2005-01-28,36,67.00
2005-02-04,28,68.60
2005-02-11,41,70.02
2005-02-18,35,68.62
2005-02-25,31,70.04
2005-03-04,40,70.10
2005-03-11,36,69.50
2005-03-18,41,68.00
2005-03-25,46,
2005-04-01,42,65.04
2005-04-08,38,64.08
2005-04-15,29,57.55
2005-04-22,32,60.31
2005-04-29,26,58.65
2005-05-06,34,59.44
2005-05-13,40,57.70
2005-05-20,31,59.36
2005-05-27,40,60.65
2005-06-03,29,59.49
2005-06-10,36,59.68
2005-06-17,40,61.34
2005-06-24,39,58.72
2005-07-01,46,60.13
2005-07-08,43,61.83
2005-07-15,43,62.04
2005-07-22,49,66.32
2005-07-29,45,65.34
2005-08-05,48,65.43
2005-08-12,53,66.36
2005-08-19,41,65.09
2005-08-26,36,64.33
2005-09-02,27,63.83
2005-09-09,39,64.98
2005-09-16,34,64.06
2005-09-23,37,62.38
2005-09-30,39,63.55
2005-10-07,34,61.60
2005-10-14,39,59.85
2005-10-21,37,57.65
2005-10-28,30,57.82
2005-11-04,33,59.40
2005-11-11,28,62.37
2005-11-18,37,63.44
2005-11-25,36,63.72
2005-12-02,38,64.13
2005-12-09,31,65.01
2005-12-16,37,67.26
2005-12-23,45,67.82
2005-12-30,35,67.09
2006-01-06,27,67.56
2006-01-13,38,65.05
2006-01-20,36,64.88
2006-01-27,40,66.85
2006-02-03,40,66.55
2006-02-10,35,66.90
2006-02-17,37,69.35
2006-02-24,34,70.79
2006-03-03,46,70.32
2006-03-10,40,69.30
2006-03-17,49,71.93
2006-03-24,36,70.94
2006-03-31,37,72.97
2006-04-07,67,73.61
2006-04-14,47,
2006-04-21,53,77.15
2006-04-28,43,76.65
2006-05-05,48,78.10
2006-05-12,44,76.62
2006-05-19,52,75.75
2006-05-26,46,74.85
2006-06-02,43,74.55
2006-06-09,47,70.80
2006-06-16,40,72.44
2006-06-23,44,72.69
2006-06-30,49,75.40
2006-07-07,65,72.45
2006-07-14,50,68.05
2006-07-21,65,63.93
2006-07-28,58,64.91
2006-08-04,55,64.94
2006-08-11,40,64.50
2006-08-18,46,67.30
2006-08-25,47,65.32
2006-09-01,50,67.83
2006-09-08,41,66.46
2006-09-15,48,69.05
2006-09-22,44,67.41
2006-09-29,38,68.85
2006-10-06,46,70.47
2006-10-13,53,70.30
2006-10-20,50,72.41
2006-10-27,45,72.99
2006-11-03,45,71.44
2006-11-10,44,74.80
2006-11-17,50,75.60
2006-11-24,42,76.52
2006-12-01,51,76.84
2006-12-08,53,78.38
2006-12-15,49,74.80
2006-12-22,65,74.46
2006-12-29,56,75.14
2007-01-05,44,74.62
2007-01-12,41,74.52
2007-01-19,49,77.65
2007-01-26,47,75.65
2007-02-02,45,78.62
2007-02-09,40,77.43
2007-02-16,45,79.48
2007-02-23,47,84.04
2007-03-02,49,79.73
2007-03-09,50,83.03
2007-03-16,64,82.52
2007-03-23,54,85.53
2007-03-30,72,83.56
2007-04-06,72,
2007-04-13,62,85.16
2007-04-20,44,87.07
2007-04-27,51,90.60
2007-05-04,47,90.60
2007-05-11,58,90.99
2007-05-18,55,92.40
2007-05-25,57,92.49
2007-06-01,56,93.51
2007-06-08,61,89.13
2007-06-15,61,94.12
2007-06-22,53,92.95
2007-06-29,66,93.00
2007-07-06,65,94.46
2007-07-13,73,98.10
2007-07-20,87,100.56
2007-07-27,64,94.67
2007-08-03,72,96.74
2007-08-10,64,93.45
2007-08-17,62,90.14
2007-08-24,52,94.60
2007-08-31,55,94.22
2007-09-07,56,91.38
2007-09-14,60,92.53
2007-09-21,55,98.82
2007-09-28,63,99.04
2007-10-05,61,100.86
2007-10-12,65,96.40
2007-10-19,66,92.42
2007-10-26,53,92.49
2007-11-02,65,90.83
2007-11-09,58,88.50
2007-11-16,68,87.38
2007-11-23,66,87.96
2007-11-30,70,89.31
2007-12-07,69,94.64
2007-12-14,59,89.62
2007-12-21,72,99.41
2007-12-28,68,97.72
2008-01-04,59,92.12
2008-01-11,62,86.04
2008-01-18,60,81.08
2008-01-25,54,82.72
2008-02-01,54,86.02
2008-02-08,53,80.48
2008-02-15,63,79.22
2008-02-22,62,80.55
2008-02-29,66,80.63
2008-03-07,70,78.71
2008-03-14,84,81.85
2008-03-21,79,
2008-03-28,69,79.35
2008-04-04,60,82.33
2008-04-11,58,78.94
2008-04-18,65,90.63
2008-04-25,69,86.49
2008-05-02,77,88.69
2008-05-09,67,85.66
2008-05-16,65,88.43
2008-05-23,63,88.45
2008-05-30,68,96.68
2008-06-06,65,93.37
2008-06-13,62,96.04
2008-06-20,69,93.44
2008-06-27,80,84.20
2008-07-04,84,
2008-07-11,87,80.93
2008-07-18,93,72.92
2008-07-25,87,71.00
2008-08-01,86,69.44
2008-08-08,72,72.65
