Date,LSI,Price
2004-01-09,81,
2004-01-16,85,
2004-01-23,100,
2004-01-30,86,
2004-02-06,92,10.68
2004-02-13,98,10.51
2004-02-20,88,10.42
2004-02-27,80,10.10
2004-03-05,73,10.29
2004-03-12,80,9.44
2004-03-19,87,8.92
2004-03-26,86,9.46
2004-04-02,88,9.84
2004-04-09,98,
2004-04-16,67,8.85
2004-04-23,97,8.98
2004-04-30,83,7.44
2004-05-07,81,7.47
2004-05-14,99,7.33
2004-05-21,95,7.40
2004-05-28,87,8.20
2004-06-04,99,7.63
2004-06-11,87,
2004-06-18,79,7.40
2004-06-25,74,7.53
2004-07-02,94,7.23
2004-07-09,75,6.75
2004-07-16,89,6.38
2004-07-23,100,6.14
2004-07-30,100,5.09
2004-08-06,92,4.71
2004-08-13,80,4.52
2004-08-20,81,5.01
2004-08-27,92,5.02
2004-09-03,83,4.58
2004-09-10,86,5.19
2004-09-17,78,4.43
2004-09-24,72,4.21
2004-10-01,74,4.41
2004-10-08,87,4.36
2004-10-15,81,4.29
2004-10-22,81,4.72
2004-10-29,98,4.55
2004-11-05,69,4.79
2004-11-12,66,4.88
2004-11-19,71,5.67
2004-11-26,77,5.43
2004-12-03,75,5.39
2004-12-10,73,5.09
2004-12-17,75,5.24
2004-12-24,68,
2004-12-31,60,5.48
2005-01-07,61,5.83
2005-01-14,87,5.56
2005-01-21,76,5.45
2005-01-28,71,5.82
2005-02-04,79,6.03
2005-02-11,73,6.40
2005-02-18,75,6.26
2005-02-25,72,6.38
2005-03-04,72,6.38
2005-03-11,70,6.06
2005-03-18,81,6.03
2005-03-25,74,
2005-04-01,67,5.51
2005-04-08,57,5.58
2005-04-15,75,5.12
2005-04-22,71,5.31
2005-04-29,72,5.36
2005-05-06,65,5.67
2005-05-13,71,6.09
2005-05-20,79,6.16
2005-05-27,85,6.91
2005-06-03,75,7.58
2005-06-10,75,7.91
2005-06-17,77,7.93
2005-06-24,85,8.45
2005-07-01,83,8.69
2005-07-08,74,9.77
2005-07-15,82,10.11
2005-07-22,79,10.22
2005-07-29,65,9.76
2005-08-05,61,9.50
2005-08-12,61,9.12
2005-08-19,69,9.70
2005-08-26,76,9.67
2005-09-02,73,9.66
2005-09-09,63,10.00
2005-09-16,75,9.50
2005-09-23,64,9.28
2005-09-30,64,9.85
2005-10-07,63,8.99
2005-10-14,64,8.53
2005-10-21,65,8.36
2005-10-28,67,7.89
2005-11-04,62,8.41
2005-11-11,67,7.90
2005-11-18,68,7.97
2005-11-25,61,8.25
2005-12-02,58,8.71
2005-12-09,62,8.59
2005-12-16,55,8.17
2005-12-23,55,8.21
2005-12-30,56,8.00
2006-01-06,56,9.06
2006-01-13,68,8.86
2006-01-20,61,8.62
2006-01-27,59,9.37
2006-02-03,65,9.08
2006-02-10,67,9.26
2006-02-17,66,9.50
2006-02-24,63,9.56
2006-03-03,57,9.76
2006-03-10,59,10.31
2006-03-17,60,11.18
2006-03-24,65,11.00
2006-03-31,62,11.56
2006-04-07,64,11.39
2006-04-14,59,
2006-04-21,59,10.00
2006-04-28,64,10.65
2006-05-05,57,10.92
2006-05-12,60,10.36
2006-05-19,61,9.78
2006-05-26,52,10.10
2006-06-02,58,9.98
2006-06-09,57,8.93
2006-06-16,53,8.84
2006-06-23,58,8.60
2006-06-30,58,8.95
2006-07-07,53,8.83
2006-07-14,58,8.19
2006-07-21,59,7.73
2006-07-28,54,7.98
2006-08-04,61,8.41
2006-08-11,55,7.82
2006-08-18,50,8.05
2006-08-25,58,7.46
2006-09-01,51,8.01
2006-09-08,55,8.09
2006-09-15,59,8.49
2006-09-22,55,8.24
2006-09-29,57,8.22
2006-10-06,56,8.08
2006-10-13,52,8.59
2006-10-20,55,8.44
2006-10-27,54,9.90
2006-11-03,56,9.61
2006-11-10,60,10.23
2006-11-17,57,10.94
2006-11-24,50,10.84
2006-12-01,53,10.56
2006-12-08,75,9.35
2006-12-15,61,9.44
2006-12-22,55,9.24
2006-12-29,48,9.00
2007-01-05,46,9.20
2007-01-12,55,10.39
2007-01-19,57,10.26
2007-01-26,60,9.74
2007-02-02,58,9.28
2007-02-09,52,9.19
2007-02-16,59,9.35
2007-02-23,54,9.77
2007-03-02,53,9.96
2007-03-09,54,9.79
2007-03-16,58,10.09
2007-03-23,51,10.27
2007-03-30,55,10.44
2007-04-06,53,
2007-04-13,58,9.78
2007-04-20,59,9.85
2007-04-27,60,8.79
2007-05-04,54,8.38
2007-05-11,55,8.39
2007-05-18,59,8.24
2007-05-25,55,8.25
2007-06-01,53,8.95
2007-06-08,57,8.36
2007-06-15,57,8.25
2007-06-22,61,8.34
2007-06-29,62,7.51
2007-07-06,58,7.87
2007-07-13,58,7.79
2007-07-20,60,7.91
2007-07-27,55,7.51
2007-08-03,60,6.62
2007-08-10,58,6.57
2007-08-17,51,6.20
2007-08-24,55,6.81
2007-08-31,54,6.89
2007-09-07,48,6.81
2007-09-14,54,7.11
2007-09-21,54,6.79
2007-09-28,50,7.42
2007-10-05,55,7.71
2007-10-12,54,7.47
2007-10-19,51,7.10
2007-10-26,56,6.55
2007-11-02,51,6.51
2007-11-09,53,6.19
2007-11-16,54,6.05
2007-11-23,54,5.78
2007-11-30,59,5.55
2007-12-07,51,5.85
2007-12-14,50,5.60
2007-12-21,46,5.49
2007-12-28,37,5.26
2008-01-04,39,4.48
2008-01-11,55,4.03
2008-01-18,53,3.97
2008-01-25,54,4.84
2008-02-01,48,5.55
2008-02-08,51,4.89
2008-02-15,50,5.00
2008-02-22,50,5.04
2008-02-29,46,5.04
2008-03-07,48,4.99
2008-03-14,53,4.96
2008-03-21,49,
2008-03-28,53,4.98
2008-04-04,51,5.49
2008-04-11,55,5.46
2008-04-18,59,5.02
2008-04-25,51,6.18
2008-05-02,49,6.45
2008-05-09,50,6.69
2008-05-16,52,6.94
2008-05-23,46,6.73
2008-05-30,49,7.27
2008-06-06,49,7.24
2008-06-13,51,7.00
2008-06-20,47,7.03
2008-06-27,49,6.33
2008-07-04,47,
2008-07-11,48,5.84
2008-07-18,53,6.42
2008-07-25,48,6.96
2008-08-01,48,6.91
2008-08-08,46,7.24
2008-08-15,50,7.65
2008-08-22,46,7.41
2008-08-29,45,6.65
2008-09-05,47,6.47
2008-09-12,46,6.41
2008-09-19,45,5.95
2008-09-26,43,5.73
2008-10-03,43,5.06
2008-10-10,42,4.09
2008-10-17,43,4.07
2008-10-24,43,3.50
2008-10-31,47,3.85
2008-11-07,43,3.71
2008-11-14,44,3.12
2008-11-21,42,2.53
2008-11-28,36,2.68
2008-12-05,42,3.16
2008-12-12,44,3.41
2008-12-19,38,3.88
2008-12-26,34,3.16
2009-01-02,27,3.57
2009-01-09,43,3.43
2009-01-16,43,3.30
2009-01-23,43,3.27
2009-01-30,42,3.18
2009-02-06,44,3.65
2009-02-13,44,3.15
2009-02-20,43,2.62
2009-02-27,40,2.90
2009-03-06,44,2.64
2009-03-13,43,3.14
2009-03-20,40,3.11
2009-03-27,42,3.28
2009-04-03,43,3.68
2009-04-10,58,
2009-04-17,47,3.84
2009-04-24,44,3.88
2009-05-01,40,4.01
2009-05-08,37,4.16
2009-05-15,44,3.79
2009-05-22,42,4.04
2009-05-29,42,4.47
2009-06-05,42,4.19
2009-06-12,41,4.88
2009-06-19,41,4.56
2009-06-26,41,4.66
2009-07-03,41,
2009-07-10,51,4.55
2009-07-17,40,5.26
2009-07-24,40,5.17
2009-07-31,41,5.18
2009-08-07,41,5.16
2009-08-14,38,5.08
2009-08-21,40,5.05
2009-08-28,40,5.29
2009-09-04,38,5.16
2009-09-11,41,5.48
2009-09-18,40,5.45
2009-09-25,39,5.58
2009-10-02,37,5.22
2009-10-09,39,5.67
2009-10-16,41,5.63
2009-10-23,40,5.35
2009-10-30,40,5.12
2009-11-06,39,5.22
2009-11-13,38,5.59
2009-11-20,38,5.47
2009-11-27,35,5.42
2009-12-04,37,5.76
2009-12-11,37,5.57
2009-12-18,37,5.61
2009-12-25,29,
2010-01-01,27,
2010-01-08,40,6.02
2010-01-15,41,5.86
2010-01-22,37,5.73
2010-01-29,41,4.99
2010-02-05,39,5.15
2010-02-12,37,5.39
2010-02-19,39,5.64
2010-02-26,37,5.39
2010-03-05,36,5.64
2010-03-12,38,5.57
2010-03-19,41,6.41
2010-03-26,38,6.36
2010-04-02,37,
2010-04-09,35,6.21
2010-04-16,39,6.48
2010-04-23,39,6.56
2010-04-30,36,6.02
2010-05-07,33,5.47
2010-05-14,39,5.59
2010-05-21,37,5.31
2010-05-28,35,5.33
2010-06-04,37,5.21
2010-06-11,34,5.09
2010-06-18,36,5.27
2010-06-25,36,4.91
2010-07-02,34,4.50
2010-07-09,31,4.81
2010-07-16,32,4.76
2010-07-23,34,4.85
