Date,TXT,Price
2004-01-09,40,
2004-01-16,41,
2004-01-23,43,
2004-01-30,37,
2004-02-06,39,55.51
2004-02-13,42,55.90
2004-02-20,37,55.44
2004-02-27,40,55.34
2004-03-05,38,56.20
2004-03-12,41,53.58
2004-03-19,37,53.11
2004-03-26,37,52.70
2004-04-02,40,53.85
2004-04-09,36,
2004-04-16,42,53.40
2004-04-23,39,57.50
2004-04-30,37,55.18
2004-05-07,36,53.88
2004-05-14,37,53.43
2004-05-21,35,53.00
2004-05-28,40,54.65
2004-06-04,40,55.83
2004-06-11,39,
2004-06-18,34,59.30
2004-06-25,34,58.80
2004-07-02,33,58.09
2004-07-09,38,57.90
2004-07-16,34,57.90
2004-07-23,37,59.59
2004-07-30,39,61.30
2004-08-06,39,61.32
2004-08-13,31,61.79
2004-08-20,32,63.33
2004-08-27,35,64.44
2004-09-03,38,63.81
2004-09-10,35,63.25
2004-09-17,37,63.25
2004-09-24,39,61.48
2004-10-01,34,65.47
2004-10-08,36,64.37
2004-10-15,38,63.09
2004-10-22,38,66.21
2004-10-29,33,68.15
2004-11-05,38,71.03
2004-11-12,36,71.50
2004-11-19,38,72.25
2004-11-26,43,73.14
2004-12-03,39,73.74
2004-12-10,36,73.14
2004-12-17,38,72.36
2004-12-24,38,
2004-12-31,34,73.80
2005-01-07,38,70.02
2005-01-14,37,72.02
2005-01-21,35,69.25
2005-01-28,37,70.65
2005-02-04,35,74.50
2005-02-11,36,74.95
2005-02-18,35,77.35
2005-02-25,36,78.76
2005-03-04,40,79.80
2005-03-11,34,77.38
2005-03-18,35,75.43
2005-03-25,37,
2005-04-01,33,75.58
2005-04-08,36,76.87
2005-04-15,37,71.56
2005-04-22,36,74.75
2005-04-29,35,75.35
2005-05-06,34,77.90
2005-05-13,38,74.99
2005-05-20,37,78.13
2005-05-27,36,77.97
2005-06-03,35,77.49
2005-06-10,36,77.28
2005-06-17,35,76.09
2005-06-24,34,74.80
2005-07-01,34,76.40
2005-07-08,34,77.25
2005-07-15,32,77.00
2005-07-22,37,77.22
2005-07-29,35,74.17
2005-08-05,33,74.09
2005-08-12,34,73.66
2005-08-19,33,73.45
2005-08-26,33,71.00
2005-09-02,35,71.53
2005-09-09,36,71.64
2005-09-16,34,70.66
2005-09-23,37,67.23
2005-09-30,36,71.72
2005-10-07,35,70.12
2005-10-14,39,70.84
2005-10-21,34,72.34
2005-10-28,34,70.99
2005-11-04,32,73.60
2005-11-11,34,74.55
2005-11-18,31,77.01
2005-11-25,36,78.36
2005-12-02,35,79.74
2005-12-09,36,78.11
2005-12-16,35,77.30
2005-12-23,36,77.81
2005-12-30,40,76.98
2006-01-06,36,77.58
2006-01-13,36,78.50
2006-01-20,37,76.80
2006-01-27,37,82.61
2006-02-03,36,83.50
2006-02-10,36,82.80
2006-02-17,35,86.53
2006-02-24,36,89.14
2006-03-03,35,87.99
2006-03-10,37,89.83
2006-03-17,40,93.39
2006-03-24,37,94.40
2006-03-31,37,93.39
2006-04-07,35,91.99
2006-04-14,35,
2006-04-21,37,90.02
2006-04-28,37,89.95
2006-05-05,38,95.41
2006-05-12,37,96.49
2006-05-19,40,91.60
2006-05-26,38,92.69
2006-06-02,36,94.21
2006-06-09,37,86.46
2006-06-16,39,85.74
2006-06-23,38,87.02
2006-06-30,36,92.18
2006-07-07,34,91.51
2006-07-14,35,87.15
2006-07-21,34,87.33
2006-07-28,37,90.79
2006-08-04,35,89.73
2006-08-11,36,86.50
2006-08-18,37,90.08
2006-08-25,39,85.00
2006-09-01,38,84.55
2006-09-08,38,82.80
2006-09-15,38,83.83
2006-09-22,36,81.61
2006-09-29,38,87.50
2006-10-06,38,90.34
2006-10-13,36,90.32
2006-10-20,39,91.68
2006-10-27,41,88.67
2006-11-03,43,90.40
2006-11-10,43,89.90
2006-11-17,41,93.36
2006-11-24,41,95.00
2006-12-01,41,96.30
2006-12-08,39,95.35
2006-12-15,44,93.80
2006-12-22,41,94.00
2006-12-29,44,93.77
2007-01-05,45,94.22
2007-01-12,44,96.18
2007-01-19,43,95.15
2007-01-26,42,92.10
2007-02-02,41,93.65
2007-02-09,44,96.36
2007-02-16,44,97.30
2007-02-23,44,96.16
2007-03-02,45,89.57
2007-03-09,45,89.94
2007-03-16,48,89.95
2007-03-23,52,92.92
2007-03-30,52,89.80
2007-04-06,50,
2007-04-13,51,94.34
2007-04-20,51,101.74
2007-04-27,53,103.71
