Date,SIAL,Price
2004-01-09,13,
2004-01-16,12,
2004-01-23,13,
2004-01-30,15,
2004-02-06,13,58.41
2004-02-13,13,57.02
2004-02-20,11,57.20
2004-02-27,15,57.18
2004-03-05,15,58.13
2004-03-12,18,57.14
2004-03-19,20,54.60
2004-03-26,13,54.56
2004-04-02,13,56.07
2004-04-09,10,
2004-04-16,13,55.42
2004-04-23,17,56.96
2004-04-30,14,56.85
2004-05-07,22,55.59
2004-05-14,17,55.10
2004-05-21,16,56.09
2004-05-28,32,57.11
2004-06-04,23,56.56
2004-06-11,16,
2004-06-18,16,57.67
2004-06-25,11,58.63
2004-07-02,23,58.96
2004-07-09,16,58.70
2004-07-16,19,59.33
2004-07-23,21,56.47
2004-07-30,28,57.44
2004-08-06,31,54.37
2004-08-13,21,54.69
2004-08-20,32,56.55
2004-08-27,31,56.48
2004-09-03,27,57.75
2004-09-10,36,57.04
2004-09-17,35,57.75
2004-09-24,45,56.72
2004-10-01,57,58.29
2004-10-08,59,56.90
2004-10-15,100,57.19
2004-10-22,80,53.92
2004-10-29,18,55.64
2004-11-05,15,57.59
2004-11-12,14,58.58
2004-11-19,14,58.55
2004-11-26,17,59.48
2004-12-03,11,59.35
2004-12-10,15,59.11
2004-12-17,12,60.80
2004-12-24,7,
2004-12-31,7,60.46
2005-01-07,11,59.17
2005-01-14,11,58.50
2005-01-21,8,61.55
2005-01-28,14,62.10
2005-02-04,10,63.58
2005-02-11,15,62.17
2005-02-18,11,61.70
2005-02-25,14,62.63
2005-03-04,11,63.69
2005-03-11,12,62.75
2005-03-18,16,62.52
2005-03-25,14,
2005-04-01,15,60.84
2005-04-08,24,60.62
2005-04-15,22,58.58
2005-04-22,14,57.57
2005-04-29,14,58.43
2005-05-06,12,60.00
2005-05-13,15,58.41
2005-05-20,17,59.99
2005-05-27,16,60.24
2005-06-03,19,59.81
2005-06-10,18,58.23
2005-06-17,21,57.50
2005-06-24,12,55.72
2005-07-01,11,56.22
2005-07-08,14,57.65
2005-07-15,15,58.00
2005-07-22,12,58.49
2005-07-29,18,64.16
2005-08-05,24,62.38
2005-08-12,20,61.87
2005-08-19,29,62.34
2005-08-26,22,61.32
2005-09-02,14,61.49
2005-09-09,8,62.94
2005-09-16,9,62.04
2005-09-23,10,60.82
2005-09-30,8,64.06
2005-10-07,9,61.84
2005-10-14,12,61.98
2005-10-21,11,62.92
2005-10-28,12,63.50
2005-11-04,7,64.45
2005-11-11,10,65.94
2005-11-18,10,66.45
2005-11-25,8,66.40
2005-12-02,10,66.03
2005-12-09,9,64.91
2005-12-16,9,64.01
2005-12-23,9,64.14
2005-12-30,5,63.29
2006-01-06,8,64.35
2006-01-13,10,63.58
2006-01-20,12,63.72
2006-01-27,13,65.02
2006-02-03,9,63.07
2006-02-10,10,64.34
2006-02-17,12,64.64
2006-02-24,11,64.91
2006-03-03,7,64.41
2006-03-10,10,64.03
2006-03-17,16,64.57
2006-03-24,12,64.72
2006-03-31,12,65.79
2006-04-07,13,65.89
2006-04-14,21,
2006-04-21,14,68.21
2006-04-28,13,68.61
2006-05-05,12,69.72
2006-05-12,15,68.87
2006-05-19,15,68.33
2006-05-26,20,69.59
2006-06-02,18,70.25
2006-06-09,19,68.62
2006-06-16,19,70.86
2006-06-23,18,70.49
2006-06-30,15,72.64
2006-07-07,15,71.64
2006-07-14,18,69.43
2006-07-21,16,69.80
2006-07-28,28,69.28
2006-08-04,29,71.10
2006-08-11,25,71.49
2006-08-18,27,72.46
2006-08-25,24,72.02
2006-09-01,23,73.40
2006-09-08,30,72.41
2006-09-15,28,73.22
2006-09-22,32,73.36
2006-09-29,37,75.67
2006-10-06,41,76.14
2006-10-13,51,75.35
2006-10-20,85,76.38
2006-10-27,76,74.32
2006-11-03,17,74.56
2006-11-10,14,76.63
2006-11-17,12,77.08
2006-11-24,14,77.07
2006-12-01,10,76.23
2006-12-08,10,77.73
2006-12-15,12,78.59
2006-12-22,10,77.74
2006-12-29,7,77.72
2007-01-05,7,38.00
2007-01-12,10,38.59
2007-01-19,11,38.76
2007-01-26,12,37.89
2007-02-02,11,37.92
2007-02-09,13,38.15
2007-02-16,10,41.62
2007-02-23,12,42.47
2007-03-02,14,40.37
2007-03-09,12,40.97
2007-03-16,13,39.99
2007-03-23,15,42.06
2007-03-30,17,41.52
2007-04-06,9,
2007-04-13,9,41.37
2007-04-20,10,42.00
2007-04-27,14,42.76
2007-05-04,12,43.24
2007-05-11,13,42.84
2007-05-18,11,42.91
2007-05-25,16,43.47
2007-06-01,12,43.08
2007-06-08,14,41.77
2007-06-15,20,42.68
2007-06-22,14,42.25
2007-06-29,11,42.67
2007-07-06,12,43.21
2007-07-13,14,44.25
2007-07-20,16,44.84
2007-07-27,17,44.44
2007-08-03,29,45.60
2007-08-10,22,47.41
2007-08-17,18,46.03
2007-08-24,17,46.18
2007-08-31,18,44.80
2007-09-07,9,44.15
2007-09-14,8,45.05
2007-09-21,8,47.14
2007-09-28,8,48.74
2007-10-05,9,49.59
2007-10-12,8,50.74
2007-10-19,8,48.45
2007-10-26,10,50.32
2007-11-02,8,51.36
2007-11-09,8,52.56
2007-11-16,10,51.02
2007-11-23,9,50.70
2007-11-30,11,52.65
2007-12-07,8,54.10
2007-12-14,11,53.00
2007-12-21,8,55.48
2007-12-28,6,55.55
2008-01-04,8,52.74
