Date,Family Dollar Stores,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,36.70
2004-02-13,0,38.50
2004-02-20,0,38.54
2004-02-27,0,38.04
2004-03-05,0,37.03
2004-03-12,0,35.90
2004-03-19,0,33.25
2004-03-26,0,35.03
2004-04-02,0,34.92
2004-04-09,0,
2004-04-16,0,33.55
2004-04-23,0,33.27
2004-04-30,0,32.14
2004-05-07,0,29.13
2004-05-14,0,28.13
2004-05-21,0,29.51
2004-05-28,0,31.36
2004-06-04,0,32.47
2004-06-11,0,
2004-06-18,0,32.72
2004-06-25,0,31.88
2004-07-02,0,29.96
2004-07-09,0,29.49
2004-07-16,0,28.25
2004-07-23,0,27.79
2004-07-30,0,27.86
2004-08-06,0,25.95
2004-08-13,0,25.60
2004-08-20,0,26.89
2004-08-27,0,26.63
2004-09-03,0,26.50
2004-09-10,0,27.40
2004-09-17,0,28.14
2004-09-24,0,28.67
2004-10-01,0,26.60
2004-10-08,0,26.35
2004-10-15,0,26.58
2004-10-22,0,27.22
2004-10-29,0,29.55
2004-11-05,0,30.69
2004-11-12,0,31.26
2004-11-19,0,30.99
2004-11-26,0,31.48
2004-12-03,0,29.01
2004-12-10,0,29.02
2004-12-17,0,29.13
2004-12-24,0,
2004-12-31,0,31.23
2005-01-07,0,30.80
2005-01-14,0,32.40
2005-01-21,0,31.72
2005-01-28,0,32.73
2005-02-04,0,34.80
2005-02-11,0,33.46
2005-02-18,0,32.43
2005-02-25,0,32.74
2005-03-04,0,32.25
2005-03-11,0,31.41
2005-03-18,0,30.05
2005-03-25,0,
2005-04-01,0,29.65
2005-04-08,0,28.97
2005-04-15,0,27.85
2005-04-22,0,27.59
2005-04-29,0,26.98
2005-05-06,0,24.05
2005-05-13,0,24.13
2005-05-20,0,26.92
2005-05-27,0,25.55
2005-06-03,0,24.67
2005-06-10,0,24.35
2005-06-17,0,25.37
2005-06-24,0,26.06
2005-07-01,0,26.43
2005-07-08,0,25.61
2005-07-15,0,25.33
2005-07-22,0,25.53
2005-07-29,0,25.80
2005-08-05,0,23.16
2005-08-12,0,21.83
2005-08-19,0,21.11
2005-08-26,0,20.24
2005-09-02,0,19.96
2005-09-09,0,21.38
2005-09-16,0,21.24
2005-09-23,77,19.78
2005-09-30,0,19.87
2005-10-07,0,20.76
2005-10-14,0,21.63
2005-10-21,0,21.96
2005-10-28,0,21.51
2005-11-04,0,23.43
2005-11-11,0,24.02
2005-11-18,57,23.24
2005-11-25,79,23.11
2005-12-02,100,23.09
2005-12-09,0,22.32
2005-12-16,0,22.95
2005-12-23,0,25.13
2005-12-30,0,24.79
2006-01-06,0,24.39
2006-01-13,0,24.66
2006-01-20,0,24.10
2006-01-27,0,24.23
2006-02-03,0,23.74
2006-02-10,0,24.02
2006-02-17,0,25.21
2006-02-24,75,25.51
2006-03-03,57,25.81
2006-03-10,57,25.51
2006-03-17,48,26.42
2006-03-24,0,27.01
2006-03-31,0,26.60
2006-04-07,0,26.10
2006-04-14,0,
2006-04-21,0,25.40
2006-04-28,0,25.00
2006-05-05,0,26.10
2006-05-12,0,26.72
2006-05-19,0,26.00
2006-05-26,46,25.37
2006-06-02,47,24.69
2006-06-09,47,23.98
2006-06-16,47,24.41
2006-06-23,47,24.46
2006-06-30,47,24.43
2006-07-07,0,23.22
2006-07-14,0,21.75
2006-07-21,0,22.07
2006-07-28,0,22.48
2006-08-04,0,23.58
2006-08-11,0,23.15
2006-08-18,0,24.63
2006-08-25,61,23.58
2006-09-01,40,26.29
2006-09-08,40,26.75
2006-09-15,40,28.90
2006-09-22,40,28.03
2006-09-29,46,29.24
2006-10-06,51,29.20
2006-10-13,56,29.75
2006-10-20,54,30.01
2006-10-27,54,29.81
2006-11-03,39,27.66
2006-11-10,39,27.67
2006-11-17,40,28.45
2006-11-24,38,28.43
2006-12-01,97,28.00
2006-12-08,64,28.58
2006-12-15,77,28.97
2006-12-22,98,29.76
2006-12-29,40,29.33
2007-01-05,40,28.95
2007-01-12,40,30.30
2007-01-19,40,32.13
2007-01-26,40,31.18
2007-02-02,36,32.50
2007-02-09,32,31.20
2007-02-16,36,31.01
2007-02-23,40,30.14
2007-03-02,50,28.72
2007-03-09,38,28.78
2007-03-16,38,28.94
2007-03-23,47,29.70
2007-03-30,36,29.62
2007-04-06,36,
2007-04-13,35,30.73
2007-04-20,42,31.96
2007-04-27,49,31.86
2007-05-04,37,32.63
2007-05-11,54,33.16
2007-05-18,54,33.51
2007-05-25,34,33.38
2007-06-01,43,33.86
2007-06-08,66,34.34
2007-06-15,39,35.06
2007-06-22,40,34.11
2007-06-29,51,34.32
2007-07-06,52,34.60
2007-07-13,40,34.80
2007-07-20,58,34.52
2007-07-27,51,30.24
2007-08-03,37,28.26
2007-08-10,40,26.11
2007-08-17,60,27.00
2007-08-24,33,28.15
2007-08-31,73,29.28
2007-09-07,40,28.00
2007-09-14,33,28.59
2007-09-21,41,27.13
2007-09-28,38,26.56
2007-10-05,55,27.29
2007-10-12,45,27.41
2007-10-19,53,24.56
2007-10-26,64,25.34
2007-11-02,32,23.61
2007-11-09,40,22.53
2007-11-16,59,22.13
2007-11-23,39,22.82
2007-11-30,89,23.55
2007-12-07,56,20.30
2007-12-14,66,18.53
2007-12-21,44,19.48
2007-12-28,36,18.99
2008-01-04,48,17.00
2008-01-11,34,15.90
2008-01-18,45,17.69
2008-01-25,47,18.23
2008-02-01,45,21.65
2008-02-08,57,19.66
2008-02-15,56,19.77
2008-02-22,30,20.04
2008-02-29,50,19.15
2008-03-07,33,18.80
2008-03-14,45,18.52
2008-03-21,29,
2008-03-28,44,19.12
2008-04-04,39,20.38
2008-04-11,49,19.18
2008-04-18,55,20.51
2008-04-25,43,21.65
2008-05-02,44,22.08
2008-05-09,45,21.56
2008-05-16,28,21.65
2008-05-23,44,19.50
2008-05-30,38,21.40
2008-06-06,40,22.20
2008-06-13,29,21.59
2008-06-20,45,19.40
2008-06-27,31,19.42
2008-07-04,34,
2008-07-11,29,22.57
2008-07-18,29,23.81
2008-07-25,59,22.74
2008-08-01,33,24.06
2008-08-08,29,24.92
2008-08-15,45,25.37
2008-08-22,38,24.56
2008-08-29,27,24.92
2008-09-05,28,27.17
2008-09-12,35,27.27
2008-09-19,37,27.93
2008-09-26,20,26.95
2008-10-03,44,24.55
2008-10-10,52,22.30
2008-10-17,48,24.66
2008-10-24,38,25.05
2008-10-31,61,26.91
2008-11-07,32,26.36
2008-11-14,42,26.67
2008-11-21,25,25.38
2008-11-28,34,27.78
2008-12-05,45,25.09
2008-12-12,31,24.51
2008-12-19,33,25.32
2008-12-26,29,24.75
2009-01-02,35,25.99
2009-01-09,38,27.50
2009-01-16,32,28.40
2009-01-23,22,27.45
2009-01-30,37,27.77
2009-02-06,17,26.92
2009-02-13,22,26.61
2009-02-20,44,27.02
2009-02-27,30,27.44
2009-03-06,32,30.36
2009-03-13,37,31.52
2009-03-20,36,30.86
2009-03-27,36,33.63
2009-04-03,42,31.90
2009-04-10,36,
2009-04-17,24,32.82
2009-04-24,27,32.79
2009-05-01,29,32.14
2009-05-08,37,30.32
2009-05-15,15,30.29
2009-05-22,25,29.90
2009-05-29,22,30.27
2009-06-05,40,30.86
2009-06-12,28,29.49
2009-06-19,23,29.02
2009-06-26,29,28.90
2009-07-03,40,
2009-07-10,30,30.18
2009-07-17,26,30.73
2009-07-24,33,31.11
2009-07-31,38,31.42
2009-08-07,29,31.41
2009-08-14,24,29.35
2009-08-21,36,29.72
2009-08-28,27,30.68
2009-09-04,33,28.76
2009-09-11,15,27.27
2009-09-18,32,26.42
2009-09-25,22,26.32
2009-10-02,21,26.63
2009-10-09,30,28.64
2009-10-16,31,28.36
2009-10-23,35,29.17
2009-10-30,32,28.30
2009-11-06,26,28.59
2009-11-13,35,29.63
2009-11-20,25,30.38
2009-11-27,34,31.02
2009-12-04,50,28.28
2009-12-11,36,28.20
2009-12-18,50,28.29
2009-12-25,32,
2010-01-01,31,
2010-01-08,29,30.14
2010-01-15,22,30.61
2010-01-22,29,30.36
2010-01-29,25,30.88
2010-02-05,20,31.06
2010-02-12,30,31.63
2010-02-19,29,32.48
2010-02-26,24,32.99
2010-03-05,29,35.47
2010-03-12,24,35.38
2010-03-19,27,35.82
2010-03-26,23,36.93
2010-04-02,33,
2010-04-09,28,38.49
2010-04-16,35,38.41
2010-04-23,21,40.28
2010-04-30,27,39.56
2010-05-07,22,38.96
2010-05-14,24,40.20
2010-05-21,17,41.26
2010-05-28,24,40.74
2010-06-04,46,38.17
2010-06-11,23,38.57
2010-06-18,25,39.40
2010-06-25,19,38.16
2010-07-02,22,38.62
2010-07-09,41,36.00
2010-07-16,32,38.12
2010-07-23,24,39.47
2010-07-30,29,41.35
2010-08-06,25,42.00
2010-08-13,32,42.92
2010-08-20,31,42.83
2010-08-27,23,43.34
2010-09-03,31,42.51
2010-09-10,16,42.60
2010-09-17,32,43.46
2010-09-24,28,43.40
2010-10-01,33,44.30
2010-10-08,22,45.51
2010-10-15,24,45.57
2010-10-22,33,45.42
2010-10-29,28,46.17
2010-11-05,25,48.43
2010-11-12,23,48.36
2010-11-19,30,48.84
2010-11-26,35,50.67
2010-12-03,45,51.07
2010-12-10,49,49.76
2010-12-17,37,49.58
2010-12-24,37,
2010-12-31,17,49.71
2011-01-07,24,43.90
2011-01-14,24,43.22
2011-01-21,20,43.80
2011-01-28,23,42.48
2011-02-04,33,41.51
2011-02-11,26,44.16
2011-02-18,32,52.55
2011-02-25,22,50.54
2011-03-04,18,50.55
2011-03-11,26,51.27
2011-03-18,27,51.26
2011-03-25,29,52.02
2011-04-01,28,51.53
2011-04-08,30,51.75
2011-04-15,33,51.99
2011-04-22,32,
2011-04-29,39,54.21
2011-05-06,33,53.05
2011-05-13,31,51.94
2011-05-20,28,53.65
2011-05-27,34,55.56
2011-06-03,34,52.38
2011-06-10,27,52.36
2011-06-17,39,52.60
2011-06-24,31,52.26
2011-07-01,34,54.01
2011-07-08,20,54.49
2011-07-15,33,52.40
2011-07-22,39,54.14
2011-07-29,32,53.11
2011-08-05,36,48.53
2011-08-12,38,49.19
2011-08-19,42,48.61
2011-08-26,35,47.55
2011-09-02,24,51.91
2011-09-09,25,50.28
2011-09-16,28,53.43
2011-09-23,30,54.64
2011-09-30,36,50.86
2011-10-07,32,52.82
2011-10-14,38,54.40
2011-10-21,32,59.10
2011-10-28,40,58.02
2011-11-04,34,58.97
2011-11-11,37,58.73
2011-11-18,38,56.72
2011-11-25,42,55.80
2011-12-02,57,58.70
2011-12-09,45,57.86
2011-12-16,51,57.92
2011-12-23,42,58.76
2011-12-30,53,57.66
2012-01-06,28,53.63
2012-01-13,36,53.79
2012-01-20,38,54.78
2012-01-27,37,55.68
2012-02-03,30,57.51
2012-02-10,26,57.65
2012-02-17,31,54.88
2012-02-24,32,54.33
2012-03-02,33,54.49
2012-03-09,33,57.48
2012-03-16,43,56.67
2012-03-23,38,57.68
2012-03-30,37,63.28
2012-04-06,35,
2012-04-13,34,64.26
2012-04-20,23,68.34
2012-04-27,26,69.00
2012-05-04,39,68.07
2012-05-11,30,69.27
2012-05-18,33,64.16
2012-05-25,49,67.60
2012-06-01,34,67.15
2012-06-08,44,69.58
2012-06-15,38,73.26
2012-06-22,28,70.43
2012-06-29,36,66.48
2012-07-06,40,69.58
2012-07-13,38,67.47
2012-07-20,32,66.77
2012-07-27,41,66.63
2012-08-03,41,66.17
2012-08-10,37,63.71
2012-08-17,36,64.93
2012-08-24,39,62.35
2012-08-31,30,63.64
2012-09-07,24,63.27
2012-09-14,36,64.20
2012-09-21,33,64.15
2012-09-28,33,66.30
2012-10-05,35,69.02
2012-10-12,42,66.40
2012-10-19,34,65.10
2012-10-26,43,65.60
2012-11-02,34,65.93
2012-11-09,29,66.50
2012-11-16,38,66.54
2012-11-23,35,70.10
2012-11-30,36,71.20
2012-12-07,46,71.00
2012-12-14,50,65.86
2012-12-21,43,63.04
2012-12-28,68,62.70
2013-01-04,33,56.65
2013-01-11,28,56.44
2013-01-18,38,58.37
2013-01-25,28,58.55
2013-02-01,30,56.09
2013-02-08,38,57.35
2013-02-15,36,55.94
2013-02-22,24,56.68
2013-03-01,36,58.69
2013-03-08,32,58.78
2013-03-15,32,59.42
2013-03-22,32,61.37
2013-03-29,30,
2013-04-05,27,59.40
2013-04-12,28,61.05
2013-04-19,34,62.59
2013-04-26,22,62.94
2013-05-03,32,62.37
2013-05-10,24,63.08
2013-05-17,26,64.30
2013-05-24,21,63.65
2013-05-31,26,61.15
2013-06-07,31,62.01
2013-06-14,23,63.23
2013-06-21,24,62.08
2013-06-28,33,62.31
2013-07-05,35,63.82
2013-07-12,38,68.40
2013-07-19,31,67.70
2013-07-26,28,68.52
2013-08-02,35,70.56
2013-08-09,36,71.47
2013-08-16,29,71.25
2013-08-23,24,72.28
2013-08-30,29,71.19
2013-09-06,33,70.78
2013-09-13,30,72.10
2013-09-20,32,73.34
2013-09-27,29,72.58
2013-10-04,28,72.55
2013-10-11,27,69.71
2013-10-18,32,69.56
2013-10-25,31,69.58
2013-11-01,34,69.55
2013-11-08,39,67.50
2013-11-15,36,70.02
2013-11-22,31,70.54
2013-11-29,44,69.77
2013-12-06,28,65.98
2013-12-13,27,63.96
2013-12-20,42,64.49
2013-12-27,91,64.99
2014-01-03,33,66.41
2014-01-10,31,67.48
2014-01-17,32,65.56
2014-01-24,28,62.95
2014-01-31,31,61.82
2014-02-07,35,62.66
2014-02-14,32,63.43
2014-02-21,34,65.71
2014-02-28,34,65.50
2014-03-07,32,63.02
2014-03-14,28,60.29
2014-03-21,25,60.20
2014-03-28,24,57.76
2014-04-04,29,58.04
2014-04-11,90,56.10
2014-04-18,53,
2014-04-25,39,58.31
2014-05-02,32,
