Date,Cerner,Price
2004-01-09,60,
2004-01-16,74,
2004-01-23,46,
2004-01-30,73,
2004-02-06,91,46.09
2004-02-13,57,44.05
2004-02-20,41,43.45
2004-02-27,59,44.76
2004-03-05,62,47.63
2004-03-12,48,45.49
2004-03-19,48,43.64
2004-03-26,54,45.23
2004-04-02,59,44.81
2004-04-09,60,
2004-04-16,67,45.05
2004-04-23,46,45.28
2004-04-30,52,42.82
2004-05-07,66,42.10
2004-05-14,67,41.95
2004-05-21,59,39.89
2004-05-28,51,42.78
2004-06-04,67,42.12
2004-06-11,63,
2004-06-18,59,44.42
2004-06-25,54,45.03
2004-07-02,61,42.74
2004-07-09,62,43.17
2004-07-16,68,43.18
2004-07-23,72,44.26
2004-07-30,100,45.00
2004-08-06,53,44.94
2004-08-13,65,43.55
2004-08-20,68,46.05
2004-08-27,60,45.22
2004-09-03,64,43.93
2004-09-10,77,44.08
2004-09-17,57,44.79
2004-09-24,83,42.99
2004-10-01,90,44.61
2004-10-08,57,45.02
2004-10-15,62,46.06
2004-10-22,38,44.37
2004-10-29,58,45.15
2004-11-05,64,46.80
2004-11-12,59,48.92
2004-11-19,90,50.82
2004-11-26,40,52.65
2004-12-03,51,51.73
2004-12-10,94,51.17
2004-12-17,68,52.76
2004-12-24,46,
2004-12-31,63,53.17
2005-01-07,40,49.20
2005-01-14,69,48.76
2005-01-21,52,48.44
2005-01-28,63,49.11
2005-02-04,72,52.67
2005-02-11,81,51.43
2005-02-18,62,50.56
2005-02-25,78,52.10
2005-03-04,66,53.00
2005-03-11,71,50.67
2005-03-18,88,49.89
2005-03-25,54,
2005-04-01,55,51.95
2005-04-08,66,55.50
2005-04-15,49,56.18
2005-04-22,69,59.79
2005-04-29,55,58.05
2005-05-06,62,61.47
2005-05-13,58,61.82
2005-05-20,47,63.37
2005-05-27,77,65.80
2005-06-03,84,62.81
2005-06-10,74,63.66
2005-06-17,57,62.81
2005-06-24,62,64.69
2005-07-01,72,67.72
2005-07-08,57,69.75
2005-07-15,57,69.64
2005-07-22,48,75.01
2005-07-29,86,75.42
2005-08-05,66,77.20
2005-08-12,75,78.55
2005-08-19,57,77.16
2005-08-26,47,77.97
2005-09-02,52,78.80
2005-09-09,42,83.00
2005-09-16,66,82.25
2005-09-23,77,81.59
2005-09-30,68,86.93
2005-10-07,62,83.65
2005-10-14,71,86.51
2005-10-21,65,85.75
2005-10-28,73,83.44
2005-11-04,73,88.12
2005-11-11,68,89.09
2005-11-18,72,96.00
2005-11-25,50,97.13
2005-12-02,57,96.61
2005-12-09,65,96.11
2005-12-16,68,86.68
2005-12-23,44,93.60
2005-12-30,41,90.91
2006-01-06,48,94.37
2006-01-13,70,46.27
2006-01-20,70,46.06
2006-01-27,67,44.80
2006-02-03,68,44.11
2006-02-10,56,42.96
2006-02-17,82,43.63
2006-02-24,61,41.80
2006-03-03,59,44.35
2006-03-10,58,43.62
2006-03-17,76,47.11
2006-03-24,54,46.68
2006-03-31,85,47.45
2006-04-07,55,46.26
2006-04-14,72,
2006-04-21,55,42.58
2006-04-28,70,39.65
2006-05-05,63,41.40
2006-05-12,60,37.10
2006-05-19,56,37.43
2006-05-26,61,36.61
2006-06-02,67,38.38
2006-06-09,58,38.07
2006-06-16,60,38.62
2006-06-23,59,38.08
2006-06-30,61,37.11
2006-07-07,59,36.99
2006-07-14,71,34.00
2006-07-21,79,39.00
2006-07-28,53,39.73
2006-08-04,71,42.00
2006-08-11,61,43.84
2006-08-18,49,46.25
2006-08-25,52,44.92
2006-09-01,47,46.39
2006-09-08,56,45.19
2006-09-15,63,46.33
2006-09-22,61,45.63
2006-09-29,72,45.40
2006-10-06,64,46.46
2006-10-13,59,46.63
2006-10-20,64,46.95
2006-10-27,53,47.66
2006-11-03,60,49.09
2006-11-10,50,49.03
2006-11-17,63,49.07
2006-11-24,39,48.20
2006-12-01,64,47.40
2006-12-08,54,47.67
2006-12-15,50,48.29
2006-12-22,44,46.03
2006-12-29,27,45.50
2007-01-05,46,45.46
2007-01-12,52,46.88
2007-01-19,70,46.02
2007-01-26,62,46.55
2007-02-02,65,50.61
2007-02-09,73,49.85
2007-02-16,55,52.27
2007-02-23,64,54.27
2007-03-02,52,50.67
2007-03-09,50,53.81
2007-03-16,49,55.64
2007-03-23,50,55.64
2007-03-30,48,54.45
2007-04-06,53,
2007-04-13,36,55.43
2007-04-20,61,55.09
2007-04-27,51,54.12
2007-05-04,51,53.78
2007-05-11,48,54.10
2007-05-18,38,53.96
2007-05-25,55,57.25
2007-06-01,48,56.66
2007-06-08,48,55.52
2007-06-15,65,55.91
2007-06-22,60,55.78
2007-06-29,58,55.47
2007-07-06,28,58.23
2007-07-13,63,58.51
2007-07-20,62,58.03
2007-07-27,57,53.20
2007-08-03,51,54.25
2007-08-10,76,58.40
2007-08-17,68,57.48
2007-08-24,60,57.46
2007-08-31,66,57.04
2007-09-07,54,55.16
2007-09-14,64,57.82
2007-09-21,66,60.10
2007-09-28,57,59.81
2007-10-05,48,61.41
2007-10-12,55,64.05
2007-10-19,60,59.52
2007-10-26,57,58.20
2007-11-02,62,58.79
2007-11-09,54,53.93
2007-11-16,55,54.14
2007-11-23,43,57.44
2007-11-30,66,59.75
2007-12-07,64,59.35
2007-12-14,45,57.06
2007-12-21,48,57.33
2007-12-28,26,57.58
2008-01-04,38,55.71
2008-01-11,50,57.71
2008-01-18,78,52.71
2008-01-25,55,52.33
2008-02-01,49,47.03
2008-02-08,51,47.87
2008-02-15,48,47.05
2008-02-22,52,45.94
2008-02-29,51,43.45
2008-03-07,52,42.00
2008-03-14,52,40.22
2008-03-21,43,
2008-03-28,51,38.40
2008-04-04,50,38.40
2008-04-11,49,38.05
2008-04-18,47,41.04
2008-04-25,53,46.32
2008-05-02,70,47.19
2008-05-09,48,46.25
2008-05-16,42,47.84
2008-05-23,43,45.91
2008-05-30,43,45.37
2008-06-06,48,47.30
2008-06-13,51,48.00
2008-06-20,43,48.00
2008-06-27,51,45.70
2008-07-04,38,
2008-07-11,39,44.46
2008-07-18,52,45.23
2008-07-25,56,45.84
2008-08-01,44,44.31
2008-08-08,55,47.10
2008-08-15,56,48.05
2008-08-22,50,47.28
2008-08-29,38,46.05
2008-09-05,41,46.42
2008-09-12,53,46.67
2008-09-19,50,49.34
2008-09-26,39,47.32
2008-10-03,48,40.47
2008-10-10,53,34.98
2008-10-17,51,34.54
2008-10-24,54,33.63
2008-10-31,49,37.23
2008-11-07,35,38.18
2008-11-14,54,36.19
2008-11-21,48,32.08
2008-11-28,36,35.98
2008-12-05,44,34.88
2008-12-12,45,38.66
2008-12-19,39,38.00
2008-12-26,22,38.54
2009-01-02,33,39.18
2009-01-09,39,36.12
2009-01-16,45,40.10
2009-01-23,38,35.38
2009-01-30,51,33.72
2009-02-06,53,35.88
2009-02-13,58,38.64
2009-02-20,42,37.94
2009-02-27,45,36.60
2009-03-06,57,36.72
2009-03-13,47,42.56
2009-03-20,48,42.97
2009-03-27,48,43.75
2009-04-03,46,43.29
2009-04-10,43,
2009-04-17,44,48.02
2009-04-24,48,47.42
2009-05-01,43,52.68
2009-05-08,46,57.03
2009-05-15,47,55.50
2009-05-22,38,56.52
2009-05-29,47,58.29
2009-06-05,42,57.50
2009-06-12,38,59.06
2009-06-19,46,59.67
2009-06-26,36,61.59
2009-07-03,37,
2009-07-10,35,57.61
2009-07-17,42,62.79
2009-07-24,39,65.89
2009-07-31,40,65.08
2009-08-07,40,63.82
2009-08-14,38,63.71
2009-08-21,43,64.94
2009-08-28,39,62.73
2009-09-04,44,63.71
2009-09-11,45,66.87
2009-09-18,42,70.93
2009-09-25,46,73.06
2009-10-02,50,72.50
2009-10-09,52,84.41
2009-10-16,54,84.37
2009-10-23,42,82.02
2009-10-30,49,76.04
2009-11-06,39,77.45
2009-11-13,44,80.14
2009-11-20,45,75.84
2009-11-27,32,75.38
2009-12-04,46,77.22
2009-12-11,40,76.95
2009-12-18,34,77.89
2009-12-25,23,
2010-01-01,28,
2010-01-08,42,90.53
2010-01-15,40,87.04
2010-01-22,44,83.50
2010-01-29,49,75.66
2010-02-05,46,76.54
2010-02-12,42,78.72
2010-02-19,51,81.72
2010-02-26,43,82.95
2010-03-05,44,84.62
2010-03-12,41,85.20
2010-03-19,36,87.19
2010-03-26,38,86.30
2010-04-02,35,
2010-04-09,46,88.19
2010-04-16,46,88.53
2010-04-23,35,91.58
2010-04-30,42,84.77
2010-05-07,39,81.97
2010-05-14,43,84.06
2010-05-21,35,83.13
2010-05-28,38,83.71
2010-06-04,30,81.58
2010-06-11,34,79.82
2010-06-18,38,80.62
2010-06-25,45,78.07
2010-07-02,32,76.10
2010-07-09,36,80.23
2010-07-16,52,74.62
2010-07-23,46,76.67
2010-07-30,44,77.45
2010-08-06,42,77.84
2010-08-13,46,76.08
2010-08-20,38,75.34
2010-08-27,32,74.67
2010-09-03,40,77.48
2010-09-10,41,79.63
2010-09-17,44,79.18
2010-09-24,43,79.96
2010-10-01,43,85.03
2010-10-08,51,86.24
2010-10-15,49,86.49
2010-10-22,47,88.11
2010-10-29,44,87.83
2010-11-05,44,87.82
2010-11-12,53,86.72
2010-11-19,46,86.87
2010-11-26,35,88.03
2010-12-03,45,91.22
2010-12-10,45,91.82
2010-12-17,42,97.01
2010-12-24,29,
2010-12-31,32,94.74
2011-01-07,39,94.88
2011-01-14,41,96.89
2011-01-21,45,96.39
2011-01-28,47,96.49
2011-02-04,50,98.88
2011-02-11,56,98.71
2011-02-18,44,99.78
2011-02-25,40,100.79
2011-03-04,40,104.29
2011-03-11,48,103.20
2011-03-18,45,103.10
2011-03-25,44,108.98
2011-04-01,48,112.90
2011-04-08,50,109.07
2011-04-15,45,111.72
2011-04-22,40,
2011-04-29,47,120.18
2011-05-06,54,119.14
2011-05-13,44,119.28
2011-05-20,52,123.56
2011-05-27,45,120.28
2011-06-03,42,116.27
2011-06-10,47,115.95
2011-06-17,44,117.08
2011-06-24,49,116.04
2011-07-01,50,62.54
2011-07-08,41,64.06
2011-07-15,51,61.90
2011-07-22,55,65.05
2011-07-29,50,66.49
2011-08-05,51,59.94
2011-08-12,46,58.18
2011-08-19,48,55.89
2011-08-26,48,65.02
2011-09-02,49,64.00
2011-09-09,44,63.40
2011-09-16,53,67.80
2011-09-23,52,69.16
2011-09-30,52,68.52
2011-10-07,49,66.00
2011-10-14,51,69.97
2011-10-21,49,66.83
2011-10-28,51,65.10
2011-11-04,41,63.73
2011-11-11,44,65.01
2011-11-18,45,57.95
2011-11-25,38,57.02
2011-12-02,42,60.99
2011-12-09,37,60.71
2011-12-16,41,56.35
2011-12-23,36,61.15
2011-12-30,32,61.25
2012-01-06,40,63.47
2012-01-13,45,61.56
2012-01-20,46,61.03
2012-01-27,48,60.49
2012-02-03,50,63.09
2012-02-10,55,69.27
2012-02-17,41,70.99
2012-02-24,48,73.76
2012-03-02,47,75.35
2012-03-09,51,76.86
2012-03-16,43,76.93
2012-03-23,47,76.71
2012-03-30,45,76.16
2012-04-06,46,
2012-04-13,46,72.93
2012-04-20,50,74.50
2012-04-27,55,77.51
2012-05-04,56,80.48
2012-05-11,56,79.92
2012-05-18,51,76.48
2012-05-25,49,79.01
2012-06-01,48,76.37
2012-06-08,56,78.95
2012-06-15,51,82.64
2012-06-22,55,80.80
2012-06-29,54,82.66
2012-07-06,40,82.02
2012-07-13,46,80.29
2012-07-20,51,77.02
2012-07-27,61,73.71
2012-08-03,55,73.68
2012-08-10,50,71.12
2012-08-17,43,72.56
2012-08-24,55,71.27
2012-08-31,49,73.14
2012-09-07,50,75.35
2012-09-14,52,72.03
2012-09-21,48,74.46
2012-09-28,52,77.39
2012-10-05,48,78.53
2012-10-12,52,72.42
2012-10-19,48,70.43
2012-10-26,49,77.37
2012-11-02,46,77.73
2012-11-09,49,78.59
2012-11-16,50,77.08
2012-11-23,40,78.06
2012-11-30,43,77.22
2012-12-07,46,78.11
2012-12-14,47,77.24
2012-12-21,40,78.28
2012-12-28,22,76.08
2013-01-04,41,81.07
2013-01-11,45,81.62
2013-01-18,49,81.19
2013-01-25,44,83.38
2013-02-01,50,84.12
2013-02-08,46,88.10
2013-02-15,50,87.93
2013-02-22,47,87.56
2013-03-01,50,89.23
2013-03-08,50,92.29
2013-03-15,59,92.78
2013-03-22,54,93.09
2013-03-29,51,
2013-04-05,48,92.13
2013-04-12,56,94.68
2013-04-19,56,91.80
2013-04-26,55,95.88
2013-05-03,49,96.67
2013-05-10,51,95.08
2013-05-17,59,98.83
2013-05-24,54,96.09
2013-05-31,45,98.16
2013-06-07,56,99.35
2013-06-14,55,98.22
2013-06-21,57,94.59
2013-06-28,57,96.09
2013-07-05,53,49.84
2013-07-12,58,49.56
2013-07-19,66,49.79
2013-07-26,56,48.66
2013-08-02,62,50.07
2013-08-09,63,48.74
2013-08-16,58,47.38
2013-08-23,58,47.44
2013-08-30,54,46.06
2013-09-06,53,46.70
2013-09-13,57,48.98
2013-09-20,57,49.82
2013-09-27,62,52.61
2013-10-04,60,54.71
2013-10-11,64,54.68
2013-10-18,62,57.77
2013-10-25,54,56.13
2013-11-01,58,56.17
2013-11-08,55,57.04
2013-11-15,54,57.34
2013-11-22,50,57.96
2013-11-29,39,57.47
2013-12-06,54,57.42
2013-12-13,49,54.17
2013-12-20,51,54.67
2013-12-27,29,55.58
2014-01-03,41,54.70
2014-01-10,50,55.18
2014-01-17,53,55.74
2014-01-24,57,54.71
2014-01-31,63,56.89
2014-02-07,54,55.46
2014-02-14,59,60.18
2014-02-21,63,62.08
2014-02-28,60,61.37
2014-03-07,59,60.37
2014-03-14,60,59.27
2014-03-21,53,58.29
2014-03-28,61,56.15
2014-04-04,57,53.67
2014-04-11,66,52.11
2014-04-18,69,
2014-04-25,61,49.51
2014-05-02,54,
