Date,buy ACE,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,44.60
2004-02-13,0,45.14
2004-02-20,0,44.48
2004-02-27,0,44.96
2004-03-05,0,45.11
2004-03-12,0,44.18
2004-03-19,0,42.46
2004-03-26,0,42.34
2004-04-02,0,44.04
2004-04-09,0,
2004-04-16,0,43.35
2004-04-23,0,43.10
2004-04-30,0,43.84
2004-05-07,0,41.83
2004-05-14,0,41.38
2004-05-21,0,41.18
2004-05-28,0,41.18
2004-06-04,0,42.27
2004-06-11,0,
2004-06-18,0,42.40
2004-06-25,0,42.70
2004-07-02,0,41.90
2004-07-09,0,41.93
2004-07-16,0,42.28
2004-07-23,0,38.65
2004-07-30,0,40.59
2004-08-06,0,38.43
2004-08-13,71,38.28
2004-08-20,0,39.28
2004-08-27,0,39.02
2004-09-03,0,38.95
2004-09-10,0,38.85
2004-09-17,0,39.96
2004-09-24,61,39.19
2004-10-01,0,41.10
2004-10-08,0,41.04
2004-10-15,0,34.98
2004-10-22,0,34.55
2004-10-29,0,38.06
2004-11-05,0,39.09
2004-11-12,0,39.20
2004-11-19,0,38.99
2004-11-26,53,40.18
2004-12-03,0,41.04
2004-12-10,0,40.61
2004-12-17,0,42.45
2004-12-24,0,
2004-12-31,0,42.75
2005-01-07,0,42.50
2005-01-14,0,42.50
2005-01-21,0,42.83
2005-01-28,0,42.13
2005-02-04,0,45.98
2005-02-11,47,47.25
2005-02-18,0,44.91
2005-02-25,0,44.98
2005-03-04,0,45.62
2005-03-11,0,45.63
2005-03-18,0,43.05
2005-03-25,0,
2005-04-01,45,39.93
2005-04-08,46,40.20
2005-04-15,46,39.29
2005-04-22,47,40.02
2005-04-29,43,42.96
2005-05-06,43,43.38
2005-05-13,43,41.81
2005-05-20,43,43.36
2005-05-27,43,43.40
2005-06-03,43,43.27
2005-06-10,44,44.69
2005-06-17,45,45.90
2005-06-24,46,43.84
2005-07-01,47,45.29
2005-07-08,48,45.40
2005-07-15,49,45.88
2005-07-22,50,46.51
2005-07-29,51,46.21
2005-08-05,60,45.73
2005-08-12,46,44.88
2005-08-19,46,45.11
2005-08-26,46,45.05
2005-09-02,46,44.63
2005-09-09,46,44.18
2005-09-16,37,47.31
2005-09-23,37,45.88
2005-09-30,50,47.07
2005-10-07,53,47.96
2005-10-14,57,49.07
2005-10-21,34,50.14
2005-10-28,36,51.55
2005-11-04,38,53.49
2005-11-11,47,55.90
2005-11-18,51,55.74
2005-11-25,54,56.05
2005-12-02,45,55.50
2005-12-09,36,54.94
2005-12-16,49,54.80
2005-12-23,43,53.83
2005-12-30,49,53.44
2006-01-06,41,56.06
2006-01-13,37,54.90
2006-01-20,41,52.90
2006-01-27,44,53.64
2006-02-03,48,54.08
2006-02-10,32,52.91
2006-02-17,36,54.52
2006-02-24,40,55.35
2006-03-03,43,54.82
2006-03-10,36,54.93
2006-03-17,28,56.43
2006-03-24,32,53.91
2006-03-31,30,52.01
2006-04-07,31,51.19
2006-04-14,32,
2006-04-21,31,53.97
2006-04-28,33,55.54
2006-05-05,29,54.34
2006-05-12,29,53.00
2006-05-19,29,52.51
2006-05-26,27,52.67
2006-06-02,30,50.94
2006-06-09,33,50.12
2006-06-16,30,48.60
2006-06-23,41,48.56
2006-06-30,49,50.59
2006-07-07,45,49.80
2006-07-14,38,49.70
2006-07-21,36,51.23
2006-07-28,41,52.13
2006-08-04,29,50.69
2006-08-11,42,49.31
2006-08-18,32,52.08
2006-08-25,38,52.13
2006-09-01,37,54.02
2006-09-08,42,54.93
2006-09-15,34,55.39
2006-09-22,47,54.42
2006-09-29,28,54.73
2006-10-06,28,56.28
2006-10-13,30,58.30
2006-10-20,54,56.65
2006-10-27,36,57.77
2006-11-03,27,56.58
2006-11-10,30,57.62
2006-11-17,52,57.80
2006-11-24,74,57.62
2006-12-01,50,56.38
2006-12-08,52,58.11
2006-12-15,53,60.72
2006-12-22,39,60.18
2006-12-29,40,60.57
2007-01-05,35,59.13
2007-01-12,27,58.80
2007-01-19,25,59.30
2007-01-26,37,58.23
2007-02-02,23,58.72
2007-02-09,37,58.23
2007-02-16,34,58.66
2007-02-23,27,57.59
2007-03-02,25,55.42
2007-03-09,31,55.01
2007-03-16,31,54.97
2007-03-23,25,56.87
2007-03-30,35,57.06
2007-04-06,40,
2007-04-13,31,58.15
2007-04-20,25,58.53
2007-04-27,30,60.38
2007-05-04,34,59.90
2007-05-11,39,62.20
2007-05-18,38,61.74
2007-05-25,43,61.33
2007-06-01,46,61.45
2007-06-08,40,61.28
2007-06-15,41,62.37
2007-06-22,28,62.49
2007-06-29,51,62.52
2007-07-06,37,62.60
2007-07-13,50,61.77
2007-07-20,59,60.55
2007-07-27,56,57.33
2007-08-03,41,54.72
2007-08-10,28,56.65
2007-08-17,48,57.50
2007-08-24,49,60.00
2007-08-31,39,57.76
2007-09-07,38,56.16
2007-09-14,43,57.95
2007-09-21,34,59.41
2007-09-28,49,60.57
2007-10-05,38,62.20
2007-10-12,39,63.00
2007-10-19,28,58.92
2007-10-26,42,60.66
2007-11-02,41,57.94
2007-11-09,52,58.53
2007-11-16,33,58.16
2007-11-23,75,58.78
2007-11-30,60,59.83
2007-12-07,47,60.84
2007-12-14,54,59.51
2007-12-21,59,61.91
2007-12-28,67,61.90
2008-01-04,35,60.74
2008-01-11,50,60.18
2008-01-18,54,56.49
2008-01-25,46,57.64
2008-02-01,28,59.32
2008-02-08,29,57.30
2008-02-15,56,57.81
2008-02-22,41,58.42
2008-02-29,41,56.24
2008-03-07,44,54.91
2008-03-14,51,53.66
2008-03-21,42,
2008-03-28,37,54.47
2008-04-04,38,57.02
2008-04-11,53,56.19
2008-04-18,54,59.18
2008-04-25,51,59.16
2008-05-02,46,61.50
2008-05-09,54,59.74
2008-05-16,58,61.28
2008-05-23,44,58.67
2008-05-30,48,60.07
2008-06-06,41,61.22
2008-06-13,50,60.73
2008-06-20,50,57.11
2008-06-27,55,55.24
2008-07-04,48,
2008-07-11,78,49.30
2008-07-18,52,49.03
2008-07-25,69,47.90
2008-08-01,57,51.38
2008-08-08,56,54.11
2008-08-15,44,52.13
2008-08-22,52,51.66
2008-08-29,47,52.61
2008-09-05,47,52.30
2008-09-12,52,52.12
2008-09-19,44,66.00
2008-09-26,54,57.30
2008-10-03,48,52.75
2008-10-10,62,40.75
2008-10-17,51,46.58
2008-10-24,60,48.51
2008-10-31,40,57.36
2008-11-07,53,53.40
2008-11-14,52,52.70
2008-11-21,56,45.85
2008-11-28,68,52.25
2008-12-05,70,51.83
2008-12-12,66,47.11
2008-12-19,66,52.06
2008-12-26,82,51.92
2009-01-02,59,53.03
2009-01-09,41,49.75
2009-01-16,52,49.77
2009-01-23,61,44.13
2009-01-30,51,43.66
2009-02-06,40,44.47
2009-02-13,50,42.33
2009-02-20,54,39.38
2009-02-27,36,36.51
2009-03-06,49,32.50
2009-03-13,49,36.61
2009-03-20,56,38.68
2009-03-27,43,40.15
2009-04-03,62,43.87
2009-04-10,57,
2009-04-17,61,45.96
2009-04-24,53,44.00
2009-05-01,56,45.84
2009-05-08,52,43.52
2009-05-15,52,43.12
2009-05-22,50,43.94
2009-05-29,59,43.99
2009-06-05,61,46.01
2009-06-12,54,44.98
2009-06-19,71,42.90
2009-06-26,66,43.96
2009-07-03,67,
2009-07-10,46,41.80
2009-07-17,63,44.44
2009-07-24,65,48.40
2009-07-31,52,49.06
2009-08-07,65,50.54
2009-08-14,59,49.29
2009-08-21,55,50.52
2009-08-28,52,52.38
2009-09-04,53,51.56
2009-09-11,51,51.24
2009-09-18,42,50.03
2009-09-25,47,51.46
2009-10-02,58,53.76
2009-10-09,51,54.51
2009-10-16,63,54.85
2009-10-23,55,54.38
2009-10-30,57,51.36
2009-11-06,45,51.28
2009-11-13,46,51.50
2009-11-20,61,49.73
2009-11-27,54,48.18
2009-12-04,65,48.81
2009-12-11,74,50.21
2009-12-18,50,48.85
2009-12-25,73,
2010-01-01,55,
2010-01-08,63,47.50
2010-01-15,51,48.21
2010-01-22,43,47.89
2010-01-29,33,49.27
2010-02-05,43,48.33
2010-02-12,53,48.81
2010-02-19,50,50.39
2010-02-26,55,49.99
2010-03-05,43,51.49
2010-03-12,39,50.20
2010-03-19,52,52.70
2010-03-26,47,52.76
2010-04-02,50,
2010-04-09,44,53.44
2010-04-16,62,52.62
2010-04-23,50,53.13
2010-04-30,53,53.19
2010-05-07,72,50.54
2010-05-14,46,53.03
2010-05-21,56,49.94
2010-05-28,74,49.16
2010-06-04,73,48.44
2010-06-11,64,51.26
2010-06-18,54,53.08
2010-06-25,60,53.20
2010-07-02,55,50.83
2010-07-09,68,54.69
2010-07-16,59,53.70
2010-07-23,72,52.75
2010-07-30,66,53.08
2010-08-06,57,53.56
2010-08-13,55,53.42
2010-08-20,55,53.51
2010-08-27,53,54.34
2010-09-03,54,55.24
2010-09-10,65,55.55
2010-09-17,45,57.90
2010-09-24,47,58.05
2010-10-01,54,58.19
2010-10-08,57,58.91
2010-10-15,43,59.67
2010-10-22,42,60.38
2010-10-29,52,59.42
2010-11-05,49,61.88
2010-11-12,45,59.80
2010-11-19,57,60.45
2010-11-26,78,58.91
2010-12-03,58,59.43
2010-12-10,52,60.28
2010-12-17,71,61.05
2010-12-24,70,
2010-12-31,64,62.25
2011-01-07,50,61.26
2011-01-14,56,60.79
2011-01-21,44,60.51
2011-01-28,45,61.17
2011-02-04,59,63.06
2011-02-11,43,63.44
2011-02-18,54,65.74
2011-02-25,54,63.28
2011-03-04,61,62.69
2011-03-11,55,61.39
2011-03-18,55,60.83
2011-03-25,63,62.37
2011-04-01,50,65.84
2011-04-08,63,65.79
2011-04-15,56,65.88
2011-04-22,55,
2011-04-29,73,67.25
2011-05-06,60,67.24
2011-05-13,66,67.80
2011-05-20,60,68.61
2011-05-27,74,68.58
2011-06-03,74,68.10
2011-06-10,67,65.99
2011-06-17,73,64.31
2011-06-24,85,63.95
2011-07-01,81,66.26
2011-07-08,89,65.64
2011-07-15,69,64.57
2011-07-22,79,65.78
2011-07-29,69,66.98
2011-08-05,73,63.18
2011-08-12,69,62.73
2011-08-19,71,59.98
2011-08-26,79,62.40
2011-09-02,60,62.22
2011-09-09,57,61.60
2011-09-16,68,62.86
2011-09-23,58,59.70
2011-09-30,59,60.60
2011-10-07,67,60.34
2011-10-14,69,63.15
2011-10-21,73,70.19
2011-10-28,66,72.86
2011-11-04,63,72.04
2011-11-11,64,71.24
2011-11-18,63,67.88
2011-11-25,87,64.93
2011-12-02,78,68.38
2011-12-09,84,69.37
2011-12-16,84,66.74
2011-12-23,84,70.47
2011-12-30,77,70.12
2012-01-06,69,70.03
2012-01-13,66,69.76
2012-01-20,77,72.67
2012-01-27,72,69.46
2012-02-03,60,74.21
2012-02-10,67,73.08
2012-02-17,67,73.58
2012-02-24,68,73.13
2012-03-02,66,72.45
2012-03-09,76,71.68
2012-03-16,92,72.27
2012-03-23,76,72.75
2012-03-30,84,73.20
2012-04-06,84,
2012-04-13,74,71.56
2012-04-20,83,75.30
2012-04-27,75,76.36
2012-05-04,92,76.44
2012-05-11,77,76.27
2012-05-18,78,72.02
2012-05-25,92,73.18
2012-06-01,84,70.22
2012-06-08,85,72.85
2012-06-15,92,72.75
2012-06-22,95,72.28
2012-06-29,95,74.13
2012-07-06,96,72.53
2012-07-13,92,72.81
2012-07-20,100,70.78
2012-07-27,97,73.56
2012-08-03,91,73.66
2012-08-10,93,72.74
2012-08-17,86,73.46
2012-08-24,94,74.25
2012-08-31,94,73.73
2012-09-07,87,75.07
2012-09-14,97,77.03
2012-09-21,82,75.93
2012-09-28,88,75.60
2012-10-05,82,78.13
2012-10-12,83,77.01
2012-10-19,76,80.52
2012-10-26,85,79.35
2012-11-02,79,77.50
2012-11-09,74,78.15
2012-11-16,86,77.30
2012-11-23,89,79.80
2012-11-30,81,79.23
2012-12-07,90,80.97
2012-12-14,92,79.32
2012-12-21,90,80.07
2012-12-28,84,78.97
2013-01-04,79,82.32
2013-01-11,76,82.76
2013-01-18,74,83.24
2013-01-25,77,85.34
2013-02-01,74,85.59
2013-02-08,73,86.20
2013-02-15,74,86.50
2013-02-22,67,86.69
2013-03-01,70,85.67
2013-03-08,78,86.98
2013-03-15,80,88.26
2013-03-22,71,88.32
2013-03-29,70,
2013-04-05,67,88.98
2013-04-12,72,91.99
2013-04-19,76,89.03
2013-04-26,75,88.94
2013-05-03,68,89.90
2013-05-10,81,91.60
2013-05-17,65,91.65
2013-05-24,82,89.78
2013-05-31,78,89.68
2013-06-07,72,89.88
2013-06-14,82,88.55
2013-06-21,81,86.15
2013-06-28,87,89.48
2013-07-05,91,90.12
2013-07-12,81,93.50
2013-07-19,78,94.74
2013-07-26,85,92.33
2013-08-02,79,91.95
2013-08-09,78,89.74
2013-08-16,78,89.55
2013-08-23,79,90.44
2013-08-30,64,87.72
2013-09-06,76,88.19
2013-09-13,82,91.67
2013-09-20,60,94.99
2013-09-27,69,94.32
2013-10-04,60,92.88
2013-10-11,69,94.10
2013-10-18,57,96.97
2013-10-25,68,96.14
2013-11-01,72,95.86
2013-11-08,58,98.28
2013-11-15,63,98.70
2013-11-22,62,102.59
2013-11-29,81,102.78
2013-12-06,66,101.95
2013-12-13,78,99.26
2013-12-20,80,101.19
2013-12-27,80,102.62
2014-01-03,83,101.44
2014-01-10,67,98.67
2014-01-17,62,97.10
2014-01-24,53,92.19
2014-01-31,54,93.81
2014-02-07,55,94.60
2014-02-14,66,96.97
2014-02-21,62,97.19
2014-02-28,62,97.87
2014-03-07,62,97.77
2014-03-14,54,97.78
2014-03-21,56,99.26
2014-03-28,54,97.89
2014-04-04,63,98.39
2014-04-11,60,99.31
2014-04-18,67,
2014-04-25,70,101.59
2014-05-02,65,
