Date,EXC,Price
2004-01-09,59,
2004-01-16,60,
2004-01-23,66,
2004-01-30,55,
2004-02-06,65,66.04
2004-02-13,43,65.57
2004-02-20,62,65.52
2004-02-27,40,67.14
2004-03-05,46,67.68
2004-03-12,54,67.14
2004-03-19,61,67.00
2004-03-26,52,68.30
2004-04-02,50,68.94
2004-04-09,58,
2004-04-16,65,66.15
2004-04-23,45,66.13
2004-04-30,51,66.94
2004-05-07,63,32.34
2004-05-14,47,31.45
2004-05-21,45,32.07
2004-05-28,43,33.30
2004-06-04,66,32.98
2004-06-11,55,
2004-06-18,48,32.86
2004-06-25,42,33.55
2004-07-02,54,33.04
2004-07-09,38,33.02
2004-07-16,50,34.44
2004-07-23,39,33.07
2004-07-30,47,34.90
2004-08-06,35,36.01
2004-08-13,63,36.04
2004-08-20,59,36.39
2004-08-27,66,36.03
2004-09-03,72,37.35
2004-09-10,61,37.68
2004-09-17,41,37.19
2004-09-24,66,36.47
2004-10-01,52,37.30
2004-10-08,69,37.84
2004-10-15,77,37.89
2004-10-22,50,38.67
2004-10-29,60,39.62
2004-11-05,63,40.62
2004-11-12,67,42.42
2004-11-19,59,42.07
2004-11-26,56,42.38
2004-12-03,54,42.05
2004-12-10,48,41.98
2004-12-17,53,41.86
2004-12-24,73,
2004-12-31,62,44.07
2005-01-07,53,42.03
2005-01-14,45,43.03
2005-01-21,54,42.34
2005-01-28,59,44.10
2005-02-04,50,45.75
2005-02-11,57,45.26
2005-02-18,56,44.44
2005-02-25,66,45.50
2005-03-04,57,46.60
2005-03-11,63,46.11
2005-03-18,68,45.70
2005-03-25,57,
2005-04-01,62,45.90
2005-04-08,83,45.40
2005-04-15,68,45.77
2005-04-22,69,46.95
2005-04-29,54,49.50
2005-05-06,68,48.72
2005-05-13,68,45.25
2005-05-20,67,46.85
2005-05-27,64,46.93
2005-06-03,65,48.46
2005-06-10,78,49.00
2005-06-17,65,48.68
2005-06-24,74,50.69
2005-07-01,64,51.73
2005-07-08,61,51.61
2005-07-15,68,52.25
2005-07-22,65,51.87
2005-07-29,57,53.52
2005-08-05,60,52.28
2005-08-12,62,51.51
2005-08-19,64,51.65
2005-08-26,47,52.30
2005-09-02,68,53.98
2005-09-09,65,55.66
2005-09-16,76,56.92
2005-09-23,68,53.40
2005-09-30,84,53.44
2005-10-07,68,52.02
2005-10-14,64,48.65
2005-10-21,70,50.94
2005-10-28,48,52.42
2005-11-04,76,52.28
2005-11-11,71,50.42
2005-11-18,58,51.43
2005-11-25,60,52.34
2005-12-02,72,52.39
2005-12-09,67,54.35
2005-12-16,44,54.59
2005-12-23,51,54.74
2005-12-30,54,53.14
2006-01-06,73,55.47
2006-01-13,66,55.92
2006-01-20,64,57.99
2006-01-27,62,57.61
2006-02-03,73,55.97
2006-02-10,64,56.45
2006-02-17,49,55.95
2006-02-24,73,57.11
2006-03-03,65,57.02
2006-03-10,64,55.48
2006-03-17,64,55.90
2006-03-24,65,54.79
2006-03-31,71,52.90
2006-04-07,69,51.95
2006-04-14,80,
2006-04-21,81,53.43
2006-04-28,74,54.00
2006-05-05,89,56.63
2006-05-12,80,54.97
2006-05-19,70,55.37
2006-05-26,64,56.05
2006-06-02,60,58.25
2006-06-09,78,57.82
2006-06-16,61,57.88
2006-06-23,63,56.93
2006-06-30,73,56.83
2006-07-07,76,56.97
2006-07-14,73,57.69
2006-07-21,63,58.85
2006-07-28,69,58.35
2006-08-04,71,58.73
2006-08-11,63,57.91
2006-08-18,70,59.85
2006-08-25,76,59.90
2006-09-01,72,60.54
2006-09-08,71,59.37
2006-09-15,72,59.21
2006-09-22,74,59.53
2006-09-29,82,60.54
2006-10-06,85,60.47
2006-10-13,77,60.64
2006-10-20,84,62.31
2006-10-27,71,62.40
2006-11-03,66,60.95
2006-11-10,67,60.05
2006-11-17,70,58.59
2006-11-24,64,59.65
2006-12-01,67,61.39
2006-12-08,67,61.45
2006-12-15,63,62.60
2006-12-22,62,61.43
2006-12-29,60,61.89
2007-01-05,72,60.39
2007-01-12,71,59.65
2007-01-19,80,60.26
2007-01-26,67,59.18
2007-02-02,68,60.75
2007-02-09,79,64.06
