Date,KeyCorp,Price
2004-01-09,0,
2004-01-16,100,
2004-01-23,82,
2004-01-30,82,
2004-02-06,0,31.30
2004-02-13,0,31.65
2004-02-20,0,31.90
2004-02-27,0,32.42
2004-03-05,0,32.94
2004-03-12,0,31.31
2004-03-19,0,30.65
2004-03-26,0,29.87
2004-04-02,0,29.73
2004-04-09,82,
2004-04-16,0,29.26
2004-04-23,0,30.14
2004-04-30,0,29.70
2004-05-07,0,29.52
2004-05-14,0,30.35
2004-05-21,0,31.52
2004-05-28,0,31.41
2004-06-04,0,30.53
2004-06-11,0,
2004-06-18,0,29.95
2004-06-25,96,30.00
2004-07-02,82,29.74
2004-07-09,76,29.41
2004-07-16,76,29.09
2004-07-23,76,29.33
2004-07-30,76,30.18
2004-08-06,0,29.75
2004-08-13,0,30.28
2004-08-20,0,31.25
2004-08-27,0,31.51
2004-09-03,0,31.45
2004-09-10,0,31.43
2004-09-17,0,31.93
2004-09-24,0,31.11
2004-10-01,75,31.78
2004-10-08,78,31.81
2004-10-15,80,32.38
2004-10-22,83,32.27
2004-10-29,85,33.59
2004-11-05,63,33.87
2004-11-12,63,34.24
2004-11-19,63,33.20
2004-11-26,63,33.21
2004-12-03,63,33.53
2004-12-10,0,32.98
2004-12-17,0,33.27
2004-12-24,0,
2004-12-31,0,33.90
2005-01-07,0,32.45
2005-01-14,0,31.69
2005-01-21,0,32.53
2005-01-28,0,32.70
2005-02-04,52,33.92
2005-02-11,0,33.79
2005-02-18,0,32.93
2005-02-25,0,32.94
2005-03-04,0,33.85
2005-03-11,0,32.82
2005-03-18,0,32.40
2005-03-25,0,
2005-04-01,52,32.01
2005-04-08,48,31.98
2005-04-15,48,32.27
2005-04-22,48,32.71
2005-04-29,48,33.16
2005-05-06,61,32.96
2005-05-13,75,32.06
2005-05-20,0,33.32
2005-05-27,0,32.80
2005-06-03,0,32.77
2005-06-10,0,32.70
2005-06-17,0,33.42
2005-06-24,0,32.84
2005-07-01,49,33.14
2005-07-08,48,33.37
2005-07-15,48,34.34
2005-07-22,48,34.45
2005-07-29,58,34.24
2005-08-05,52,33.92
2005-08-12,52,33.73
2005-08-19,66,33.72
2005-08-26,46,32.60
2005-09-02,46,33.23
2005-09-09,46,33.46
2005-09-16,46,33.32
2005-09-23,47,32.00
