Date,VMC,Price
2004-01-09,70,
2004-01-16,73,
2004-01-23,69,
2004-01-30,62,
2004-02-06,66,47.50
2004-02-13,49,46.10
2004-02-20,61,46.46
2004-02-27,63,47.30
2004-03-05,78,48.00
2004-03-12,86,47.07
2004-03-19,63,46.18
2004-03-26,48,46.26
2004-04-02,67,47.89
2004-04-09,43,
2004-04-16,58,47.68
2004-04-23,58,48.20
2004-04-30,66,46.24
2004-05-07,73,43.70
2004-05-14,53,43.12
2004-05-21,36,43.16
2004-05-28,58,44.76
2004-06-04,70,44.91
2004-06-11,53,
2004-06-18,49,46.78
2004-06-25,50,46.94
2004-07-02,55,46.52
2004-07-09,52,46.16
2004-07-16,49,46.06
2004-07-23,58,45.03
2004-07-30,57,47.62
2004-08-06,47,45.85
2004-08-13,55,45.88
2004-08-20,54,48.21
2004-08-27,57,47.51
2004-09-03,57,48.81
2004-09-10,77,48.06
2004-09-17,50,48.87
2004-09-24,44,48.68
2004-10-01,62,51.70
2004-10-08,62,50.66
2004-10-15,54,48.13
2004-10-22,56,47.67
2004-10-29,50,49.78
2004-11-05,76,50.37
2004-11-12,61,50.50
2004-11-19,66,51.97
2004-11-26,57,51.95
2004-12-03,52,52.44
2004-12-10,78,54.95
2004-12-17,48,53.57
2004-12-24,55,
2004-12-31,66,54.61
2005-01-07,65,52.86
2005-01-14,71,54.49
2005-01-21,59,54.55
2005-01-28,66,55.96
2005-02-04,59,57.49
2005-02-11,64,57.21
2005-02-18,57,57.13
2005-02-25,76,58.52
2005-03-04,66,59.65
2005-03-11,54,57.61
2005-03-18,56,56.08
2005-03-25,51,
2005-04-01,71,57.41
2005-04-08,67,57.25
2005-04-15,58,53.80
2005-04-22,58,53.08
2005-04-29,55,53.04
2005-05-06,43,56.50
2005-05-13,59,54.86
2005-05-20,51,58.35
2005-05-27,59,60.38
2005-06-03,76,60.11
2005-06-10,65,61.97
2005-06-17,51,65.70
2005-06-24,56,63.37
2005-07-01,72,64.81
2005-07-08,59,66.78
2005-07-15,55,66.57
2005-07-22,57,69.35
2005-07-29,47,70.24
2005-08-05,60,69.48
2005-08-12,53,69.74
2005-08-19,64,67.64
2005-08-26,56,65.66
2005-09-02,65,70.00
2005-09-09,59,70.74
2005-09-16,54,71.20
2005-09-23,54,71.07
2005-09-30,58,74.21
2005-10-07,57,69.93
2005-10-14,62,68.42
2005-10-21,75,67.35
2005-10-28,63,63.63
2005-11-04,62,67.14
2005-11-11,67,65.13
2005-11-18,59,67.43
2005-11-25,74,67.71
2005-12-02,55,69.52
2005-12-09,62,68.66
2005-12-16,79,70.25
2005-12-23,69,69.50
2005-12-30,65,67.75
2006-01-06,71,70.00
2006-01-13,53,68.15
2006-01-20,68,67.80
2006-01-27,68,72.00
2006-02-03,72,74.50
2006-02-10,62,77.78
2006-02-17,65,77.85
2006-02-24,61,79.83
2006-03-03,65,79.27
2006-03-10,63,77.47
2006-03-17,64,86.62
2006-03-24,51,86.43
2006-03-31,61,86.65
2006-04-07,65,88.91
2006-04-14,66,
2006-04-21,68,93.26
2006-04-28,63,84.96
2006-05-05,49,87.86
2006-05-12,61,83.93
2006-05-19,68,79.99
2006-05-26,56,79.94
2006-06-02,65,81.89
2006-06-09,56,74.65
2006-06-16,57,72.45
2006-06-23,58,76.23
2006-06-30,54,78.00
2006-07-07,59,75.94
2006-07-14,53,68.92
2006-07-21,59,67.00
2006-07-28,61,68.73
2006-08-04,54,74.00
2006-08-11,60,71.49
2006-08-18,69,76.39
2006-08-25,70,76.31
2006-09-01,75,79.32
2006-09-08,66,77.74
2006-09-15,69,77.73
2006-09-22,67,75.61
2006-09-29,60,78.25
2006-10-06,72,80.18
2006-10-13,74,82.68
2006-10-20,67,79.43
2006-10-27,71,80.46
2006-11-03,74,81.01
2006-11-10,70,87.56
2006-11-17,71,90.23
2006-11-24,71,88.72
2006-12-01,58,87.86
2006-12-08,77,90.76
2006-12-15,71,90.80
2006-12-22,62,88.46
2006-12-29,67,89.87
2007-01-05,75,88.26
2007-01-12,68,93.12
2007-01-19,76,96.79
2007-01-26,79,100.65
2007-02-02,70,103.03
2007-02-09,81,109.19
2007-02-16,66,111.81
2007-02-23,78,119.84
2007-03-02,66,117.09
2007-03-09,76,118.63
2007-03-16,58,114.99
2007-03-23,74,119.10
2007-03-30,68,116.48
2007-04-06,77,
2007-04-13,64,114.33
2007-04-20,54,116.99
2007-04-27,60,122.16
2007-05-04,77,118.46
2007-05-11,68,114.86
2007-05-18,64,114.42
2007-05-25,58,117.33
2007-06-01,71,121.53
2007-06-08,62,116.52
2007-06-15,79,121.02
2007-06-22,70,118.08
2007-06-29,70,114.54
2007-07-06,72,115.59
2007-07-13,68,114.42
2007-07-20,70,103.17
2007-07-27,50,95.53
2007-08-03,63,93.76
2007-08-10,63,96.15
2007-08-17,67,88.46
2007-08-24,67,91.59
2007-08-31,63,90.01
2007-09-07,76,84.65
2007-09-14,62,85.15
2007-09-21,78,86.82
2007-09-28,72,89.15
2007-10-05,63,95.03
2007-10-12,81,92.32
2007-10-19,85,85.40
