Date,NU,Price
2004-01-09,29,
2004-01-16,31,
2004-01-23,33,
2004-01-30,30,
2004-02-06,32,18.95
2004-02-13,31,19.40
2004-02-20,30,19.15
2004-02-27,30,19.24
2004-03-05,30,19.25
2004-03-12,31,18.94
2004-03-19,30,18.91
2004-03-26,31,18.35
2004-04-02,30,18.38
2004-04-09,34,
2004-04-16,35,18.01
2004-04-23,31,18.05
2004-04-30,30,18.35
2004-05-07,30,17.95
2004-05-14,31,18.32
2004-05-21,31,18.31
2004-05-28,32,19.10
2004-06-04,34,19.04
2004-06-11,32,
2004-06-18,34,19.28
2004-06-25,34,19.50
2004-07-02,31,19.37
2004-07-09,34,19.10
2004-07-16,34,19.28
2004-07-23,32,18.66
2004-07-30,31,18.70
2004-08-06,31,19.06
2004-08-13,31,18.55
2004-08-20,31,19.02
2004-08-27,31,18.84
2004-09-03,31,19.06
2004-09-10,32,19.27
2004-09-17,32,19.30
2004-09-24,30,18.91
2004-10-01,34,19.39
2004-10-08,33,19.42
2004-10-15,34,19.69
2004-10-22,31,19.43
2004-10-29,33,19.33
2004-11-05,34,19.87
2004-11-12,34,20.01
2004-11-19,32,18.01
2004-11-26,32,18.45
2004-12-03,35,18.15
2004-12-10,42,17.70
2004-12-17,47,18.15
2004-12-24,46,
2004-12-31,47,18.85
2005-01-07,45,18.10
2005-01-14,41,17.84
2005-01-21,37,18.27
2005-01-28,36,18.40
2005-02-04,37,19.45
2005-02-11,37,18.95
2005-02-18,34,18.93
2005-02-25,35,18.85
2005-03-04,38,18.75
2005-03-11,36,19.25
2005-03-18,32,18.95
2005-03-25,35,
2005-04-01,34,19.28
2005-04-08,37,18.96
2005-04-15,36,18.53
2005-04-22,34,18.70
2005-04-29,37,18.31
2005-05-06,35,18.87
2005-05-13,36,19.05
2005-05-20,34,19.29
2005-05-27,36,19.74
2005-06-03,36,19.92
2005-06-10,36,20.57
2005-06-17,37,21.22
2005-06-24,35,20.72
2005-07-01,36,20.99
2005-07-08,35,20.89
2005-07-15,34,21.52
2005-07-22,34,21.34
2005-07-29,31,21.58
2005-08-05,34,20.91
2005-08-12,34,20.02
2005-08-19,33,19.75
2005-08-26,34,19.87
2005-09-02,32,20.03
2005-09-09,34,20.15
2005-09-16,35,19.89
2005-09-23,35,19.60
2005-09-30,34,19.95
2005-10-07,34,18.85
2005-10-14,32,18.34
2005-10-21,35,18.00
2005-10-28,35,18.07
2005-11-04,35,18.05
2005-11-11,34,17.70
2005-11-18,33,18.65
2005-11-25,35,19.00
2005-12-02,33,18.87
2005-12-09,33,19.56
2005-12-16,35,19.98
2005-12-23,36,19.67
2005-12-30,39,19.69
2006-01-06,37,19.72
2006-01-13,35,19.67
2006-01-20,33,19.98
2006-01-27,34,19.91
2006-02-03,35,19.61
2006-02-10,35,19.63
2006-02-17,34,20.10
2006-02-24,36,19.64
2006-03-03,36,19.60
2006-03-10,35,19.43
2006-03-17,34,20.03
2006-03-24,34,19.95
2006-03-31,33,19.53
2006-04-07,34,19.43
2006-04-14,34,
2006-04-21,33,19.71
2006-04-28,34,20.15
2006-05-05,33,20.38
2006-05-12,34,19.75
2006-05-19,36,19.52
2006-05-26,34,20.10
2006-06-02,35,20.84
2006-06-09,34,20.80
2006-06-16,35,20.97
2006-06-23,34,20.31
2006-06-30,34,20.67
2006-07-07,35,20.99
2006-07-14,33,21.00
2006-07-21,33,21.70
2006-07-28,32,22.31
2006-08-04,32,23.00
2006-08-11,33,22.45
2006-08-18,35,22.67
2006-08-25,34,22.70
2006-09-01,36,22.84
2006-09-08,35,22.90
2006-09-15,35,22.96
2006-09-22,34,23.24
2006-09-29,35,23.27
2006-10-06,37,23.45
2006-10-13,35,24.05
2006-10-20,35,24.45
2006-10-27,37,24.73
2006-11-03,37,25.15
2006-11-10,37,26.30
2006-11-17,36,27.04
2006-11-24,39,27.70
2006-12-01,37,28.30
2006-12-08,36,27.87
2006-12-15,38,28.00
2006-12-22,39,27.87
2006-12-29,40,28.16
2007-01-05,41,27.61
2007-01-12,39,27.69
