Date,GCI,Price
2004-01-09,75,
2004-01-16,66,
2004-01-23,81,
2004-01-30,65,
2004-02-06,54,84.86
2004-02-13,66,88.38
2004-02-20,100,87.34
2004-02-27,61,86.27
2004-03-05,43,86.22
2004-03-12,49,85.68
2004-03-19,77,88.25
2004-03-26,45,87.70
2004-04-02,60,90.14
2004-04-09,65,
2004-04-16,74,90.10
2004-04-23,70,88.94
2004-04-30,57,86.68
2004-05-07,59,85.90
2004-05-14,83,86.84
2004-05-21,78,87.30
2004-05-28,56,87.80
2004-06-04,74,87.72
2004-06-11,71,
2004-06-18,90,86.85
2004-06-25,86,84.95
2004-07-02,78,83.52
2004-07-09,65,80.93
2004-07-16,81,79.56
2004-07-23,65,82.51
2004-07-30,88,83.14
2004-08-06,70,80.86
2004-08-13,75,81.68
2004-08-20,72,84.31
2004-08-27,60,84.95
2004-09-03,69,85.67
2004-09-10,69,85.70
2004-09-17,67,86.23
2004-09-24,70,84.39
2004-10-01,58,84.07
2004-10-08,61,84.10
2004-10-15,45,80.73
2004-10-22,74,80.20
2004-10-29,65,82.95
2004-11-05,63,84.86
2004-11-12,46,83.14
2004-11-19,42,79.78
2004-11-26,46,82.63
2004-12-03,59,81.65
2004-12-10,67,80.90
2004-12-17,59,79.26
2004-12-24,55,
2004-12-31,57,81.70
2005-01-07,48,81.65
2005-01-14,78,81.00
2005-01-21,59,81.01
2005-01-28,74,79.35
2005-02-04,60,80.64
2005-02-11,61,81.63
2005-02-18,55,79.80
2005-02-25,74,79.21
2005-03-04,62,79.93
2005-03-11,62,78.82
2005-03-18,54,79.55
2005-03-25,54,
2005-04-01,48,78.47
2005-04-08,61,79.05
2005-04-15,52,78.41
2005-04-22,73,75.71
2005-04-29,82,77.00
2005-05-06,55,76.84
2005-05-13,51,75.55
2005-05-20,60,74.97
2005-05-27,76,75.07
2005-06-03,67,74.05
2005-06-10,63,74.08
2005-06-17,69,75.03
2005-06-24,64,72.06
2005-07-01,69,71.89
2005-07-08,51,72.40
2005-07-15,60,71.94
2005-07-22,58,73.02
2005-07-29,53,72.96
2005-08-05,66,71.95
2005-08-12,41,71.73
2005-08-19,59,73.34
2005-08-26,56,72.62
2005-09-02,59,72.35
2005-09-09,60,73.60
2005-09-16,64,71.03
2005-09-23,67,68.49
2005-09-30,66,68.83
2005-10-07,65,67.13
2005-10-14,64,65.84
2005-10-21,64,62.68
2005-10-28,72,62.48
2005-11-04,58,64.86
2005-11-11,73,65.20
2005-11-18,74,62.79
2005-11-25,50,61.70
2005-12-02,80,60.89
2005-12-09,66,60.29
2005-12-16,61,61.82
2005-12-23,69,61.09
2005-12-30,56,60.57
2006-01-06,53,63.82
2006-01-13,60,64.28
2006-01-20,58,62.25
2006-01-27,75,63.60
2006-02-03,74,62.31
2006-02-10,75,62.39
2006-02-17,72,62.75
2006-02-24,67,62.71
2006-03-03,65,62.18
2006-03-10,45,61.70
2006-03-17,61,59.04
2006-03-24,54,58.91
2006-03-31,66,59.92
2006-04-07,71,59.42
2006-04-14,65,
2006-04-21,62,54.73
2006-04-28,73,55.00
2006-05-05,61,55.26
2006-05-12,63,54.39
2006-05-19,52,55.25
2006-05-26,61,53.91
2006-06-02,63,54.31
2006-06-09,70,54.11
2006-06-16,64,55.17
2006-06-23,69,54.17
2006-06-30,80,55.93
2006-07-07,68,56.49
2006-07-14,61,53.65
2006-07-21,64,52.47
2006-07-28,74,52.36
2006-08-04,70,53.89
2006-08-11,61,54.46
2006-08-18,64,55.83
2006-08-25,70,54.97
2006-09-01,78,57.15
2006-09-08,63,55.74
2006-09-15,56,54.89
2006-09-22,66,54.47
2006-09-29,81,56.83
2006-10-06,77,56.85
2006-10-13,69,57.07
2006-10-20,65,56.73
2006-10-27,62,60.29
2006-11-03,77,58.02
2006-11-10,62,59.16
2006-11-17,48,59.87
2006-11-24,55,59.69
2006-12-01,58,59.84
2006-12-08,53,59.96
2006-12-15,58,61.25
2006-12-22,54,59.70
2006-12-29,44,60.46
2007-01-05,68,59.55
2007-01-12,70,58.42
2007-01-19,61,59.39
2007-01-26,57,57.57
2007-02-02,69,59.46
2007-02-09,53,60.92
2007-02-16,65,62.67
2007-02-23,65,63.03
2007-03-02,79,60.37
2007-03-09,74,59.53
2007-03-16,58,55.76
2007-03-23,63,56.23
2007-03-30,61,56.29
2007-04-06,63,
2007-04-13,63,57.65
2007-04-20,65,57.85
2007-04-27,64,56.75
2007-05-04,61,58.47
2007-05-11,60,58.59
2007-05-18,62,59.74
2007-05-25,61,58.64
2007-06-01,65,59.62
2007-06-08,62,58.02
2007-06-15,63,57.77
2007-06-22,73,54.12
2007-06-29,66,54.95
2007-07-06,59,55.14
2007-07-13,70,55.39
2007-07-20,59,51.81
2007-07-27,59,48.63
2007-08-03,69,49.09
2007-08-10,61,47.37
2007-08-17,71,47.47
2007-08-24,63,49.69
2007-08-31,63,47.00
2007-09-07,59,46.74
2007-09-14,72,44.74
2007-09-21,67,45.06
2007-09-28,62,43.70
2007-10-05,62,45.85
2007-10-12,60,44.31
2007-10-19,65,41.12
2007-10-26,55,41.93
2007-11-02,58,40.66
2007-11-09,63,39.84
2007-11-16,64,39.54
2007-11-23,54,37.72
2007-11-30,71,36.75
2007-12-07,74,35.84
2007-12-14,62,35.30
2007-12-21,57,39.37
2007-12-28,47,38.23
2008-01-04,57,35.03
2008-01-11,69,33.54
2008-01-18,59,34.03
2008-01-25,65,35.47
2008-02-01,66,37.47
2008-02-08,50,33.52
2008-02-15,64,31.90
2008-02-22,54,31.74
2008-02-29,68,30.15
2008-03-07,61,28.90
2008-03-14,58,28.43
2008-03-21,59,
2008-03-28,56,28.54
2008-04-04,57,29.48
2008-04-11,61,27.62
2008-04-18,59,27.98
2008-04-25,59,27.84
2008-05-02,57,29.15
2008-05-09,48,29.34
2008-05-16,57,29.75
2008-05-23,53,28.97
2008-05-30,53,28.81
2008-06-06,55,27.75
2008-06-13,57,25.78
2008-06-20,56,22.87
2008-06-27,53,22.02
2008-07-04,56,
2008-07-11,59,17.77
2008-07-18,60,16.87
2008-07-25,59,17.43
2008-08-01,56,18.02
2008-08-08,52,18.89
2008-08-15,61,20.65
2008-08-22,50,17.67
2008-08-29,56,17.79
2008-09-05,57,17.37
2008-09-12,59,17.53
2008-09-19,63,18.56
2008-09-26,55,18.20
2008-10-03,53,15.18
2008-10-10,61,12.87
2008-10-17,58,10.79
2008-10-24,55,9.47
2008-10-31,46,11.00
2008-11-07,56,10.53
2008-11-14,53,8.15
2008-11-21,51,6.32
2008-11-28,46,8.71
2008-12-05,50,8.92
2008-12-12,53,7.53
2008-12-19,44,7.71
2008-12-26,40,7.58
2009-01-02,48,8.58
2009-01-09,47,8.59
2009-01-16,50,7.59
2009-01-23,50,6.82
2009-01-30,52,5.77
2009-02-06,54,4.91
2009-02-13,56,4.19
2009-02-20,53,3.70
2009-02-27,55,3.24
2009-03-06,56,2.20
2009-03-13,56,2.14
2009-03-20,57,2.14
2009-03-27,50,2.57
2009-04-03,53,2.55
2009-04-10,45,
2009-04-17,58,3.76
2009-04-24,51,3.45
2009-05-01,49,4.37
2009-05-08,53,5.48
2009-05-15,49,4.36
2009-05-22,47,4.56
2009-05-29,52,4.77
2009-06-05,51,4.22
2009-06-12,44,4.22
2009-06-19,44,3.59
2009-06-26,50,3.73
2009-07-03,48,
2009-07-10,44,3.19
2009-07-17,51,4.78
2009-07-24,51,5.80
2009-07-31,52,7.00
2009-08-07,55,7.74
2009-08-14,47,8.17
2009-08-21,50,8.16
2009-08-28,51,9.11
2009-09-04,51,8.11
2009-09-11,50,8.36
2009-09-18,49,9.81
2009-09-25,50,9.38
2009-10-02,48,11.84
2009-10-09,54,13.60
2009-10-16,46,13.00
2009-10-23,48,13.22
2009-10-30,50,9.82
2009-11-06,46,10.52
2009-11-13,43,10.80
2009-11-20,49,10.38
2009-11-27,37,10.32
2009-12-04,49,10.29
2009-12-11,49,13.16
2009-12-18,46,13.98
2009-12-25,32,
2010-01-01,39,
2010-01-08,46,16.76
2010-01-15,46,16.10
2010-01-22,45,15.42
2010-01-29,50,16.15
2010-02-05,49,13.53
2010-02-12,49,14.29
2010-02-19,39,15.34
2010-02-26,50,15.15
2010-03-05,44,16.27
2010-03-12,44,15.90
2010-03-19,46,16.06
2010-03-26,44,16.54
2010-04-02,42,
2010-04-09,45,17.79
2010-04-16,49,18.04
2010-04-23,50,18.28
2010-04-30,49,17.02
2010-05-07,39,15.05
2010-05-14,43,15.76
2010-05-21,46,14.58
2010-05-28,49,15.54
2010-06-04,39,13.73
2010-06-11,47,16.04
2010-06-18,41,16.65
2010-06-25,43,14.88
2010-07-02,49,13.13
2010-07-09,47,14.84
2010-07-16,46,13.50
2010-07-23,48,14.06
2010-07-30,48,13.18
2010-08-06,52,13.15
2010-08-13,97,12.66
2010-08-20,56,12.32
2010-08-27,47,12.51
2010-09-03,47,13.81
2010-09-10,46,13.30
2010-09-17,47,13.20
2010-09-24,54,12.34
2010-10-01,44,12.59
2010-10-08,49,13.60
2010-10-15,48,12.85
2010-10-22,45,12.18
2010-10-29,44,11.85
2010-11-05,46,12.46
2010-11-12,41,12.67
2010-11-19,45,12.73
2010-11-26,41,12.88
2010-12-03,45,14.65
2010-12-10,49,15.69
2010-12-17,50,15.48
2010-12-24,41,
2010-12-31,38,15.09
2011-01-07,47,15.09
2011-01-14,44,14.88
2011-01-21,44,14.66
2011-01-28,44,15.19
2011-02-04,51,16.66
2011-02-11,48,17.06
2011-02-18,42,16.98
2011-02-25,47,16.34
2011-03-04,52,16.24
2011-03-11,49,15.59
2011-03-18,46,15.24
2011-03-25,47,15.14
2011-04-01,47,15.40
2011-04-08,50,14.82
2011-04-15,47,14.80
2011-04-22,50,
2011-04-29,42,15.06
2011-05-06,44,15.15
2011-05-13,48,14.61
2011-05-20,47,14.68
2011-05-27,42,14.08
2011-06-03,42,13.79
2011-06-10,43,13.39
2011-06-17,46,13.71
2011-06-24,48,13.53
2011-07-01,43,14.54
2011-07-08,44,14.18
2011-07-15,43,13.48
2011-07-22,46,13.66
2011-07-29,44,12.76
2011-08-05,44,10.80
2011-08-12,47,10.20
2011-08-19,48,10.05
2011-08-26,43,10.69
2011-09-02,42,10.44
2011-09-09,49,9.84
2011-09-16,51,10.07
2011-09-23,45,9.09
2011-09-30,49,9.53
2011-10-07,47,10.42
2011-10-14,47,10.94
2011-10-21,43,11.16
2011-10-28,42,12.17
2011-11-04,42,11.32
2011-11-11,40,11.57
2011-11-18,42,10.99
2011-11-25,39,10.50
2011-12-02,44,11.91
2011-12-09,47,13.34
2011-12-16,46,12.92
2011-12-23,38,13.55
2011-12-30,44,13.37
2012-01-06,40,13.72
2012-01-13,43,14.66
2012-01-20,42,15.39
2012-01-27,43,15.22
2012-02-03,45,14.91
2012-02-10,42,14.61
2012-02-17,45,14.95
2012-02-24,45,15.21
2012-03-02,50,14.55
2012-03-09,43,14.34
2012-03-16,42,15.21
2012-03-23,41,15.52
2012-03-30,43,15.33
2012-04-06,43,
2012-04-13,38,15.04
2012-04-20,39,13.75
2012-04-27,44,14.03
2012-05-04,42,13.35
2012-05-11,42,13.37
2012-05-18,43,12.96
2012-05-25,40,12.98
2012-06-01,38,12.33
2012-06-08,40,12.72
2012-06-15,42,12.97
2012-06-22,43,13.50
2012-06-29,38,14.73
2012-07-06,40,14.73
2012-07-13,43,14.31
2012-07-20,38,14.81
2012-07-27,43,14.38
2012-08-03,41,14.46
2012-08-10,44,15.08
2012-08-17,39,15.68
2012-08-24,41,15.41
2012-08-31,41,15.26
2012-09-07,56,16.06
2012-09-14,48,17.58
2012-09-21,50,18.75
2012-09-28,46,17.75
2012-10-05,43,18.41
2012-10-12,39,17.90
2012-10-19,41,18.24
2012-10-26,40,16.75
2012-11-02,37,17.15
2012-11-09,41,17.11
2012-11-16,40,16.98
2012-11-23,40,17.83
2012-11-30,36,17.90
2012-12-07,41,17.90
2012-12-14,41,17.60
2012-12-21,39,18.55
2012-12-28,33,17.61
2013-01-04,35,18.82
2013-01-11,38,18.94
2013-01-18,38,19.84
2013-01-25,38,20.15
2013-02-01,37,19.84
2013-02-08,38,19.50
2013-02-15,37,20.16
2013-02-22,38,19.86
2013-03-01,41,20.21
2013-03-08,36,21.59
2013-03-15,34,21.76
2013-03-22,38,21.65
2013-03-29,34,
2013-04-05,37,20.49
2013-04-12,38,21.89
2013-04-19,35,20.41
2013-04-26,38,20.54
2013-05-03,36,20.52
2013-05-10,34,21.96
2013-05-17,40,21.56
2013-05-24,33,21.16
2013-05-31,36,21.50
2013-06-07,36,20.79
2013-06-14,37,24.99
2013-06-21,35,23.91
2013-06-28,35,24.46
2013-07-05,34,26.06
2013-07-12,39,26.66
2013-07-19,37,26.36
2013-07-26,32,25.67
2013-08-02,38,26.27
2013-08-09,39,25.77
2013-08-16,40,24.46
2013-08-23,40,25.15
2013-08-30,38,24.09
2013-09-06,39,24.54
2013-09-13,40,25.49
2013-09-20,39,25.52
2013-09-27,35,26.67
2013-10-04,39,26.14
2013-10-11,41,25.75
2013-10-18,39,27.49
2013-10-25,37,27.77
2013-11-01,36,27.90
2013-11-08,36,27.70
2013-11-15,38,27.20
2013-11-22,36,26.74
2013-11-29,33,27.06
2013-12-06,39,25.55
2013-12-13,34,26.19
2013-12-20,37,27.81
2013-12-27,30,29.22
2014-01-03,35,29.59
2014-01-10,39,29.76
2014-01-17,36,28.44
2014-01-24,34,27.47
2014-01-31,36,27.53
2014-02-07,33,27.71
2014-02-14,35,28.24
2014-02-21,35,28.84
2014-02-28,38,29.75
2014-03-07,35,28.89
2014-03-14,36,27.96
2014-03-21,35,28.97
2014-03-28,36,27.11
2014-04-04,37,27.53
2014-04-11,35,26.16
2014-04-18,31,
2014-04-25,33,27.32
2014-05-02,29,
