Date,P G & E Corp.,Price
2004-01-09,50,
2004-01-16,54,
2004-01-23,57,
2004-01-30,57,
2004-02-06,52,27.07
2004-02-13,53,27.62
2004-02-20,51,27.31
2004-02-27,65,28.17
2004-03-05,62,28.11
2004-03-12,48,27.54
2004-03-19,60,28.70
2004-03-26,44,28.97
2004-04-02,51,29.40
2004-04-09,58,
2004-04-16,56,28.66
2004-04-23,52,28.31
2004-04-30,50,27.52
2004-05-07,48,26.83
2004-05-14,52,27.14
2004-05-21,64,26.62
2004-05-28,63,28.50
2004-06-04,57,27.99
2004-06-11,50,
2004-06-18,45,28.54
2004-06-25,48,28.33
2004-07-02,57,28.35
2004-07-09,55,28.02
2004-07-16,62,28.82
2004-07-23,54,28.18
2004-07-30,56,28.54
2004-08-06,60,28.10
2004-08-13,52,28.33
2004-08-20,52,28.75
2004-08-27,51,28.48
2004-09-03,56,29.25
2004-09-10,57,29.31
2004-09-17,47,29.87
2004-09-24,50,30.06
2004-10-01,47,30.46
2004-10-08,58,30.78
2004-10-15,59,30.91
2004-10-22,49,31.36
2004-10-29,59,32.04
2004-11-05,58,32.70
2004-11-12,55,33.67
2004-11-19,52,33.35
2004-11-26,53,34.01
2004-12-03,48,32.29
2004-12-10,58,31.65
2004-12-17,63,32.79
2004-12-24,54,
2004-12-31,43,33.28
2005-01-07,52,31.92
2005-01-14,59,33.40
2005-01-21,65,34.00
2005-01-28,63,34.60
2005-02-04,67,35.50
2005-02-11,62,35.76
2005-02-18,46,35.95
2005-02-25,54,35.51
2005-03-04,66,35.83
2005-03-11,57,35.02
2005-03-18,58,35.03
2005-03-25,58,
2005-04-01,53,34.25
2005-04-08,46,34.63
2005-04-15,62,34.11
2005-04-22,57,35.31
2005-04-29,53,34.72
2005-05-06,46,35.83
2005-05-13,55,34.60
2005-05-20,50,35.90
2005-05-27,58,36.15
2005-06-03,52,35.97
2005-06-10,50,36.81
2005-06-17,64,36.31
2005-06-24,59,37.05
2005-07-01,55,37.93
2005-07-08,50,37.72
2005-07-15,52,37.29
2005-07-22,50,37.06
2005-07-29,47,37.63
2005-08-05,56,37.04
2005-08-12,53,37.17
2005-08-19,61,36.52
2005-08-26,55,37.18
2005-09-02,48,37.99
2005-09-09,50,38.49
2005-09-16,51,38.64
2005-09-23,87,38.18
2005-09-30,60,39.25
2005-10-07,60,37.95
2005-10-14,58,36.22
2005-10-21,62,36.10
2005-10-28,61,36.07
2005-11-04,56,35.53
2005-11-11,50,35.05
2005-11-18,52,35.77
2005-11-25,61,37.57
2005-12-02,57,36.70
2005-12-09,58,37.16
2005-12-16,51,37.51
2005-12-23,51,37.52
2005-12-30,49,37.12
2006-01-06,51,37.75
2006-01-13,51,37.30
2006-01-20,52,37.20
2006-01-27,57,37.33
2006-02-03,65,36.79
2006-02-10,57,36.95
2006-02-17,60,37.65
2006-02-24,52,37.97
2006-03-03,56,38.87
2006-03-10,59,39.31
2006-03-17,52,40.26
2006-03-24,57,40.34
2006-03-31,63,38.90
2006-04-07,57,39.20
2006-04-14,61,
2006-04-21,55,39.53
2006-04-28,54,39.84
2006-05-05,53,40.80
2006-05-12,54,39.30
2006-05-19,51,38.98
2006-05-26,58,40.00
2006-06-02,55,40.35
2006-06-09,58,40.54
2006-06-16,52,39.09
2006-06-23,50,39.09
2006-06-30,55,39.28
2006-07-07,54,39.73
2006-07-14,47,39.69
2006-07-21,45,40.62
2006-07-28,52,41.74
2006-08-04,56,41.03
2006-08-11,68,41.33
2006-08-18,62,41.74
2006-08-25,54,41.41
2006-09-01,57,41.60
2006-09-08,56,41.30
2006-09-15,58,41.29
2006-09-22,59,41.55
2006-09-29,53,41.65
2006-10-06,58,41.85
2006-10-13,56,41.99
2006-10-20,54,43.12
2006-10-27,51,43.25
2006-11-03,57,42.80
2006-11-10,59,44.41
2006-11-17,53,45.43
2006-11-24,54,45.48
2006-12-01,51,46.38
2006-12-08,54,45.88
2006-12-15,50,47.30
2006-12-22,50,47.27
2006-12-29,44,47.33
2007-01-05,50,45.49
2007-01-12,51,46.18
2007-01-19,51,46.04
2007-01-26,51,46.03
2007-02-02,52,47.04
2007-02-09,55,47.70
2007-02-16,60,48.23
2007-02-23,56,47.77
2007-03-02,51,45.66
2007-03-09,58,46.15
2007-03-16,50,46.01
2007-03-23,56,48.84
2007-03-30,54,48.27
2007-04-06,46,
2007-04-13,56,49.89
2007-04-20,51,50.83
2007-04-27,56,51.13
2007-05-04,50,51.26
2007-05-11,59,50.90
2007-05-18,56,51.45
2007-05-25,60,49.09
2007-06-01,61,48.97
2007-06-08,59,45.57
2007-06-15,57,47.12
2007-06-22,60,44.95
2007-06-29,62,45.30
2007-07-06,53,44.62
2007-07-13,56,45.62
2007-07-20,60,45.84
2007-07-27,55,43.77
2007-08-03,54,42.83
2007-08-10,50,45.45
2007-08-17,62,45.30
2007-08-24,58,45.05
2007-08-31,60,44.50
2007-09-07,57,43.97
2007-09-14,57,46.90
2007-09-21,53,48.20
2007-09-28,66,47.80
2007-10-05,54,48.96
2007-10-12,58,48.55
2007-10-19,59,45.70
2007-10-26,61,47.58
2007-11-02,67,45.66
2007-11-09,56,44.64
2007-11-16,61,44.47
2007-11-23,62,45.52
2007-11-30,64,46.27
2007-12-07,63,47.10
2007-12-14,56,45.96
2007-12-21,60,44.74
2007-12-28,58,43.41
2008-01-04,58,43.35
2008-01-11,57,44.95
2008-01-18,57,42.64
2008-01-25,56,40.15
2008-02-01,55,41.60
2008-02-08,62,39.75
2008-02-15,57,39.85
2008-02-22,61,39.30
2008-02-29,61,37.66
2008-03-07,57,37.85
2008-03-14,60,37.14
2008-03-21,57,
2008-03-28,56,36.46
2008-04-04,58,38.72
