Date,ABT,Price
2004-01-09,90,
2004-01-16,86,
2004-01-23,87,
2004-01-30,90,
2004-02-06,83,44.37
2004-02-13,81,44.31
2004-02-20,72,43.38
2004-02-27,74,42.80
2004-03-05,89,43.58
2004-03-12,71,41.44
2004-03-19,77,40.21
2004-03-26,89,40.14
2004-04-02,93,42.37
2004-04-09,75,
2004-04-16,78,44.13
2004-04-23,96,43.90
2004-04-30,84,44.02
2004-05-07,84,41.50
2004-05-14,81,41.15
2004-05-21,87,39.95
2004-05-28,80,41.21
2004-06-04,80,41.74
2004-06-11,82,
2004-06-18,85,43.00
2004-06-25,91,40.56
2004-07-02,92,40.59
2004-07-09,83,39.90
2004-07-16,90,39.10
2004-07-23,83,38.63
2004-07-30,87,39.35
2004-08-06,79,38.69
2004-08-13,81,39.59
2004-08-20,93,41.01
2004-08-27,82,41.51
2004-09-03,80,42.67
2004-09-10,91,42.31
2004-09-17,83,42.92
2004-09-24,85,42.34
2004-10-01,73,42.19
2004-10-08,86,40.83
2004-10-15,91,41.36
2004-10-22,89,40.86
2004-10-29,80,42.63
2004-11-05,73,44.45
2004-11-12,80,44.18
2004-11-19,77,42.75
2004-11-26,99,42.59
2004-12-03,97,43.43
2004-12-10,83,43.74
2004-12-17,88,46.99
2004-12-24,81,
2004-12-31,100,46.65
2005-01-07,81,47.50
2005-01-14,80,46.25
2005-01-21,80,45.98
2005-01-28,79,45.27
2005-02-04,74,45.52
2005-02-11,79,46.20
2005-02-18,69,46.40
2005-02-25,74,46.27
2005-03-04,76,46.41
2005-03-11,72,46.00
2005-03-18,79,44.47
2005-03-25,82,
2005-04-01,81,46.19
2005-04-08,73,47.86
2005-04-15,73,49.87
2005-04-22,72,47.57
2005-04-29,77,49.16
2005-05-06,78,49.02
2005-05-13,79,48.76
2005-05-20,78,48.88
2005-05-27,86,48.00
2005-06-03,74,48.27
2005-06-10,79,48.90
2005-06-17,77,49.43
2005-06-24,84,49.02
2005-07-01,78,49.03
2005-07-08,71,49.35
2005-07-15,89,46.87
2005-07-22,85,46.04
2005-07-29,83,46.63
2005-08-05,78,46.49
2005-08-12,92,46.54
2005-08-19,76,45.83
2005-08-26,80,44.73
2005-09-02,66,44.88
2005-09-09,71,45.57
2005-09-16,72,43.74
2005-09-23,75,44.22
2005-09-30,76,42.40
2005-10-07,75,42.70
2005-10-14,81,42.64
2005-10-21,78,42.75
2005-10-28,76,42.75
2005-11-04,75,42.57
2005-11-11,71,43.73
2005-11-18,79,40.90
2005-11-25,79,38.98
2005-12-02,87,38.56
2005-12-09,81,38.99
2005-12-16,75,40.17
2005-12-23,90,40.86
2005-12-30,73,39.43
2006-01-06,71,40.89
2006-01-13,79,41.19
2006-01-20,70,40.35
2006-01-27,69,43.00
2006-02-03,76,42.49
2006-02-10,77,42.47
2006-02-17,67,44.34
2006-02-24,80,43.95
2006-03-03,81,43.78
2006-03-10,70,43.92
2006-03-17,68,45.18
2006-03-24,80,43.87
2006-03-31,75,42.47
2006-04-07,75,42.09
2006-04-14,83,
2006-04-21,80,42.00
2006-04-28,68,42.74
2006-05-05,75,42.77
2006-05-12,66,41.42
2006-05-19,68,41.82
2006-05-26,68,42.67
2006-06-02,74,43.13
2006-06-09,73,43.00
2006-06-16,70,42.78
2006-06-23,73,41.95
2006-06-30,72,43.61
2006-07-07,74,43.80
2006-07-14,68,44.01
2006-07-21,80,46.84
2006-07-28,66,47.82
2006-08-04,75,47.24
2006-08-11,79,47.41
2006-08-18,69,49.00
2006-08-25,79,48.79
2006-09-01,68,48.37
2006-09-08,70,48.90
2006-09-15,65,49.48
2006-09-22,67,47.90
2006-09-29,69,48.56
2006-10-06,76,46.19
2006-10-13,79,46.93
2006-10-20,75,48.78
2006-10-27,72,47.67
2006-11-03,68,47.64
2006-11-10,71,45.97
2006-11-17,67,47.67
2006-11-24,70,46.95
2006-12-01,72,46.57
2006-12-08,76,47.96
2006-12-15,77,48.47
2006-12-22,85,47.73
2006-12-29,76,48.71
2007-01-05,75,49.90
2007-01-12,73,50.45
2007-01-19,69,53.52
2007-01-26,71,52.55
2007-02-02,73,52.67
2007-02-09,65,52.27
2007-02-16,68,52.49
2007-02-23,67,53.59
2007-03-02,71,53.01
2007-03-09,77,54.39
2007-03-16,65,52.88
2007-03-23,71,53.86
2007-03-30,75,55.80
2007-04-06,77,
2007-04-13,79,58.49
2007-04-20,80,57.85
2007-04-27,73,56.76
2007-05-04,72,58.30
2007-05-11,74,57.84
2007-05-18,76,59.43
2007-05-25,71,56.37
2007-06-01,77,56.30
2007-06-08,73,54.29
2007-06-15,75,54.72
2007-06-22,67,52.86
2007-06-29,71,53.55
2007-07-06,68,54.00
2007-07-13,68,53.24
2007-07-20,72,52.87
2007-07-27,71,50.03
2007-08-03,67,51.09
2007-08-10,68,55.22
2007-08-17,71,52.73
2007-08-24,73,52.53
2007-08-31,70,51.91
2007-09-07,61,51.86
2007-09-14,62,52.10
2007-09-21,62,54.44
2007-09-28,63,53.62
2007-10-05,63,55.00
2007-10-12,68,52.64
2007-10-19,67,51.40
2007-10-26,63,54.07
2007-11-02,63,54.05
2007-11-09,70,54.12
2007-11-16,65,55.21
2007-11-23,79,55.49
2007-11-30,84,57.51
2007-12-07,83,58.22
2007-12-14,64,57.51
2007-12-21,73,58.26
2007-12-28,73,57.23
2008-01-04,73,55.79
2008-01-11,68,60.50
2008-01-18,68,59.43
2008-01-25,71,55.48
2008-02-01,74,57.55
2008-02-08,72,56.80
2008-02-15,69,55.55
2008-02-22,66,54.54
2008-02-29,65,53.55
2008-03-07,64,51.04
2008-03-14,65,51.38
2008-03-21,72,
2008-03-28,62,53.07
2008-04-04,65,54.84
2008-04-11,67,52.80
2008-04-18,67,50.72
2008-04-25,68,51.28
