Date,Cognizant Technology Solutions,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,53.00
2004-02-13,100,50.13
2004-02-20,0,48.67
2004-02-27,0,47.27
2004-03-05,0,46.36
2004-03-12,0,43.80
2004-03-19,0,43.90
2004-03-26,0,44.53
2004-04-02,0,48.10
2004-04-09,0,
2004-04-16,0,46.46
2004-04-23,0,48.22
2004-04-30,0,43.26
2004-05-07,0,42.77
2004-05-14,0,42.01
2004-05-21,0,43.21
2004-05-28,83,46.24
2004-06-04,71,45.06
2004-06-11,0,
2004-06-18,0,24.51
2004-06-25,0,25.93
2004-07-02,0,24.76
2004-07-09,0,24.81
2004-07-16,0,24.92
2004-07-23,70,22.86
2004-07-30,0,27.55
2004-08-06,0,24.75
2004-08-13,0,24.85
2004-08-20,0,26.52
2004-08-27,0,27.22
2004-09-03,0,27.49
2004-09-10,0,29.20
2004-09-17,0,28.81
2004-09-24,0,28.60
2004-10-01,0,30.16
2004-10-08,0,30.24
2004-10-15,0,32.31
2004-10-22,0,31.98
2004-10-29,0,34.00
2004-11-05,0,36.44
2004-11-12,0,38.29
2004-11-19,0,37.93
2004-11-26,0,39.19
2004-12-03,0,37.89
2004-12-10,0,38.30
2004-12-17,0,39.84
2004-12-24,0,
2004-12-31,0,42.33
2005-01-07,0,40.52
2005-01-14,0,38.05
2005-01-21,0,35.86
2005-01-28,0,36.79
2005-02-04,0,38.30
2005-02-11,0,45.52
2005-02-18,0,44.75
2005-02-25,0,47.71
2005-03-04,64,48.62
2005-03-11,0,46.85
2005-03-18,0,44.55
2005-03-25,0,
2005-04-01,0,45.96
2005-04-08,0,45.80
2005-04-15,0,39.94
2005-04-22,56,41.41
2005-04-29,46,42.01
2005-05-06,46,44.17
2005-05-13,46,42.59
2005-05-20,46,45.46
2005-05-27,46,47.38
2005-06-03,0,47.02
2005-06-10,0,47.15
2005-06-17,0,50.17
2005-06-24,0,45.99
2005-07-01,0,47.23
2005-07-08,0,48.45
2005-07-15,0,48.11
2005-07-22,50,48.32
2005-07-29,52,49.08
2005-08-05,55,47.76
2005-08-12,44,46.52
2005-08-19,44,45.73
2005-08-26,0,45.78
2005-09-02,0,46.13
2005-09-09,0,48.35
2005-09-16,0,46.34
2005-09-23,0,44.41
2005-09-30,0,46.59
2005-10-07,0,43.64
2005-10-14,0,44.62
2005-10-21,0,45.06
2005-10-28,0,45.39
2005-11-04,0,45.06
2005-11-11,0,45.67
2005-11-18,0,48.36
2005-11-25,0,49.39
2005-12-02,0,49.40
2005-12-09,0,49.47
2005-12-16,0,50.02
2005-12-23,0,51.49
2005-12-30,0,50.27
2006-01-06,0,51.35
2006-01-13,0,49.35
2006-01-20,0,49.96
2006-01-27,0,50.90
2006-02-03,32,50.63
2006-02-10,0,55.25
2006-02-17,0,55.24
2006-02-24,0,57.42
2006-03-03,0,58.73
2006-03-10,0,56.13
2006-03-17,0,57.07
2006-03-24,35,57.68
2006-03-31,30,59.49
2006-04-07,30,58.06
2006-04-14,31,
2006-04-21,29,62.90
2006-04-28,29,63.61
2006-05-05,29,69.01
2006-05-12,29,65.56
2006-05-19,29,64.20
2006-05-26,29,60.01
2006-06-02,29,62.83
2006-06-09,29,61.79
2006-06-16,44,63.62
2006-06-23,35,66.56
2006-06-30,30,67.37
2006-07-07,30,65.63
2006-07-14,30,62.50
2006-07-21,30,61.05
2006-07-28,32,64.54
2006-08-04,37,68.37
2006-08-11,51,65.70
2006-08-18,26,70.82
2006-08-25,26,69.08
2006-09-01,26,69.74
2006-09-08,27,69.25
2006-09-15,26,71.57
2006-09-22,28,72.64
2006-09-29,28,74.01
2006-10-06,29,74.71
2006-10-13,30,77.24
2006-10-20,31,76.70
2006-10-27,31,77.97
2006-11-03,24,74.34
2006-11-10,28,76.24
2006-11-17,29,80.10
2006-11-24,30,79.71
2006-12-01,31,80.42
2006-12-08,33,80.67
2006-12-15,34,80.44
2006-12-22,27,76.06
2006-12-29,27,77.16
2007-01-05,27,77.11
2007-01-12,28,81.44
2007-01-19,29,81.66
2007-01-26,25,83.12
2007-02-02,25,85.83
2007-02-09,26,92.35
2007-02-16,27,93.68
2007-02-23,27,94.59
2007-03-02,33,86.93
2007-03-09,28,91.52
2007-03-16,28,88.83
2007-03-23,29,92.93
2007-03-30,25,88.27
2007-04-06,21,
2007-04-13,26,87.38
2007-04-20,27,88.21
2007-04-27,29,90.62
2007-05-04,28,83.90
2007-05-11,28,80.65
2007-05-18,21,78.83
2007-05-25,23,75.71
2007-06-01,27,78.11
2007-06-08,30,75.47
2007-06-15,31,79.02
2007-06-22,27,75.93
2007-06-29,23,75.00
2007-07-06,25,78.89
2007-07-13,18,86.18
2007-07-20,18,85.84
2007-07-27,20,81.54
2007-08-03,21,82.85
2007-08-10,30,82.34
2007-08-17,25,74.95
2007-08-24,25,73.45
2007-08-31,25,73.51
2007-09-07,26,71.07
2007-09-14,22,72.07
2007-09-21,17,75.87
2007-09-28,25,79.79
2007-10-05,17,85.79
2007-10-12,18,81.85
2007-10-19,20,40.02
2007-10-26,25,39.94
2007-11-02,17,40.90
2007-11-09,25,30.79
2007-11-16,22,31.40
2007-11-23,18,30.46
2007-11-30,25,31.10
2007-12-07,22,33.36
2007-12-14,27,32.72
2007-12-21,23,35.83
2007-12-28,22,34.92
2008-01-04,22,31.00
2008-01-11,22,27.11
2008-01-18,25,26.00
2008-01-25,28,26.87
2008-02-01,19,29.84
2008-02-08,29,31.84
2008-02-15,21,32.56
2008-02-22,29,32.15
2008-02-29,15,30.21
2008-03-07,17,29.19
2008-03-14,18,27.27
2008-03-21,23,
2008-03-28,14,29.18
2008-04-04,19,29.39
2008-04-11,16,26.53
2008-04-18,21,30.96
2008-04-25,19,31.25
2008-05-02,16,33.06
2008-05-09,18,29.73
2008-05-16,21,31.55
2008-05-23,15,30.40
2008-05-30,19,35.28
2008-06-06,15,34.77
2008-06-13,15,35.75
2008-06-20,25,34.97
2008-06-27,20,32.89
2008-07-04,13,
2008-07-11,17,28.16
2008-07-18,14,28.09
2008-07-25,20,27.07
2008-08-01,19,29.36
2008-08-08,14,30.76
2008-08-15,16,30.77
2008-08-22,18,30.31
2008-08-29,19,29.32
2008-09-05,20,27.75
2008-09-12,18,26.88
2008-09-19,17,26.57
2008-09-26,18,24.73
2008-10-03,12,19.26
2008-10-10,17,17.36
2008-10-17,24,18.64
2008-10-24,18,16.65
2008-10-31,11,19.20
2008-11-07,22,19.42
2008-11-14,12,16.87
2008-11-21,14,15.58
2008-11-28,12,19.20
2008-12-05,23,17.79
2008-12-12,19,18.13
2008-12-19,20,18.00
2008-12-26,18,17.62
2009-01-02,18,19.12
2009-01-09,18,20.08
2009-01-16,22,20.36
2009-01-23,21,18.94
2009-01-30,16,18.73
2009-02-06,25,20.17
2009-02-13,21,21.17
2009-02-20,10,19.40
2009-02-27,15,18.40
2009-03-06,12,18.29
2009-03-13,10,20.97
2009-03-20,22,20.53
2009-03-27,18,20.12
2009-04-03,17,22.76
2009-04-10,20,
2009-04-17,22,23.38
2009-04-24,30,23.01
2009-05-01,22,24.97
2009-05-08,30,25.19
2009-05-15,25,25.76
2009-05-22,30,24.81
2009-05-29,20,25.19
2009-06-05,20,27.23
2009-06-12,20,26.79
2009-06-19,27,25.74
2009-06-26,36,26.62
2009-07-03,33,
2009-07-10,29,26.41
2009-07-17,41,29.02
2009-07-24,34,30.36
2009-07-31,28,29.59
2009-08-07,34,34.14
2009-08-14,32,34.43
2009-08-21,51,34.46
2009-08-28,38,35.27
2009-09-04,34,35.39
2009-09-11,34,37.13
2009-09-18,34,38.49
2009-09-25,45,37.81
2009-10-02,36,37.53
2009-10-09,28,38.74
2009-10-16,35,39.40
2009-10-23,35,40.52
2009-10-30,23,38.65
2009-11-06,42,43.00
2009-11-13,35,44.83
2009-11-20,44,43.68
2009-11-27,33,43.49
2009-12-04,38,44.42
2009-12-11,41,43.64
2009-12-18,41,44.45
2009-12-25,36,
2010-01-01,38,
2010-01-08,38,46.86
2010-01-15,36,47.92
2010-01-22,47,45.17
2010-01-29,41,43.66
2010-02-05,45,43.66
2010-02-12,32,47.16
2010-02-19,54,47.51
2010-02-26,35,48.13
2010-03-05,40,50.67
2010-03-12,33,50.80
2010-03-19,47,51.25
2010-03-26,40,51.09
2010-04-02,64,
2010-04-09,30,51.72
2010-04-16,37,52.77
2010-04-23,29,53.33
2010-04-30,36,51.11
2010-05-07,42,47.52
2010-05-14,32,49.89
2010-05-21,15,49.49
2010-05-28,24,50.04
2010-06-04,22,50.24
2010-06-11,24,51.79
2010-06-18,22,53.57
2010-06-25,25,52.58
2010-07-02,24,49.38
2010-07-09,31,53.46
2010-07-16,26,52.63
2010-07-23,31,55.34
2010-07-30,29,54.56
2010-08-06,33,60.93
2010-08-13,34,58.28
2010-08-20,32,59.61
2010-08-27,32,58.59
2010-09-03,32,62.37
2010-09-10,22,62.56
2010-09-17,29,64.11
2010-09-24,28,64.22
2010-10-01,31,65.80
2010-10-08,24,64.20
2010-10-15,27,66.55
2010-10-22,39,67.96
2010-10-29,32,65.19
2010-11-05,15,63.36
2010-11-12,28,63.23
2010-11-19,32,65.24
2010-11-26,26,66.25
2010-12-03,31,69.31
2010-12-10,28,70.31
2010-12-17,28,72.40
2010-12-24,24,
2010-12-31,27,73.29
2011-01-07,32,75.09
2011-01-14,24,75.01
2011-01-21,30,73.05
2011-01-28,28,71.63
2011-02-04,29,75.42
2011-02-11,38,75.50
2011-02-18,32,77.73
2011-02-25,27,76.51
2011-03-04,24,76.32
2011-03-11,33,76.37
2011-03-18,28,74.19
2011-03-25,28,80.03
2011-04-01,28,82.41
2011-04-08,22,80.26
2011-04-15,21,78.72
2011-04-22,25,
2011-04-29,24,82.90
2011-05-06,26,76.77
2011-05-13,26,76.47
2011-05-20,33,74.05
2011-05-27,27,74.77
2011-06-03,22,73.81
2011-06-10,25,73.00
2011-06-17,30,67.65
2011-06-24,24,71.14
2011-07-01,31,74.80
2011-07-08,24,76.38
2011-07-15,31,74.06
2011-07-22,30,73.77
2011-07-29,39,69.87
2011-08-05,34,67.94
2011-08-12,23,64.60
2011-08-19,37,55.01
2011-08-26,29,60.84
2011-09-02,37,61.10
2011-09-09,32,60.79
2011-09-16,35,65.24
2011-09-23,31,62.54
2011-09-30,30,62.70
2011-10-07,22,65.62
2011-10-14,24,72.22
2011-10-21,31,70.22
2011-10-28,27,75.67
2011-11-04,24,70.84
2011-11-11,36,68.82
2011-11-18,31,66.23
2011-11-25,29,62.48
2011-12-02,31,68.50
2011-12-09,32,69.38
2011-12-16,29,65.49
2011-12-23,23,64.56
2011-12-30,21,64.31
2012-01-06,29,66.41
2012-01-13,27,68.34
2012-01-20,23,70.17
2012-01-27,34,71.33
2012-02-03,27,73.35
2012-02-10,37,70.08
2012-02-17,27,71.08
2012-02-24,24,72.18
2012-03-02,28,71.34
2012-03-09,37,72.70
2012-03-16,28,76.91
2012-03-23,30,76.38
2012-03-30,26,76.95
2012-04-06,21,
2012-04-13,26,73.80
2012-04-20,27,71.61
2012-04-27,31,73.98
2012-05-04,31,69.66
2012-05-11,37,61.29
2012-05-18,32,59.63
2012-05-25,26,60.00
2012-06-01,18,56.90
2012-06-08,26,58.85
2012-06-15,31,60.50
2012-06-22,27,58.47
2012-06-29,33,60.00
2012-07-06,27,57.66
2012-07-13,24,57.26
2012-07-20,27,57.32
2012-07-27,30,58.53
2012-08-03,24,57.86
2012-08-10,31,64.97
2012-08-17,32,64.48
2012-08-24,27,64.86
2012-08-31,32,64.28
2012-09-07,25,67.20
2012-09-14,39,71.00
2012-09-21,25,68.61
2012-09-28,28,69.89
2012-10-05,33,71.82
2012-10-12,24,69.54
2012-10-19,26,68.77
2012-10-26,29,66.73
2012-11-02,20,66.15
2012-11-09,28,66.00
2012-11-16,20,65.74
2012-11-23,22,66.48
2012-11-30,29,67.23
2012-12-07,27,70.32
2012-12-14,32,72.53
2012-12-21,28,73.73
2012-12-28,17,72.31
2013-01-04,33,75.18
2013-01-11,26,78.47
2013-01-18,29,79.32
2013-01-25,23,77.63
2013-02-01,45,78.98
2013-02-08,33,78.73
2013-02-15,28,76.85
2013-02-22,24,76.38
2013-03-01,26,77.94
2013-03-08,31,80.51
2013-03-15,30,78.36
2013-03-22,30,74.90
2013-03-29,21,
2013-04-05,32,73.66
2013-04-12,25,75.56
2013-04-19,29,67.81
2013-04-26,27,61.96
2013-05-03,25,66.61
2013-05-10,29,65.03
2013-05-17,28,65.50
2013-05-24,26,63.77
2013-05-31,29,64.65
2013-06-07,25,66.58
2013-06-14,25,62.98
2013-06-21,27,62.31
2013-06-28,30,62.64
2013-07-05,22,65.26
2013-07-12,31,71.43
2013-07-19,29,72.36
2013-07-26,30,72.74
2013-08-02,29,73.51
2013-08-09,29,73.16
2013-08-16,26,71.46
2013-08-23,29,73.75
2013-08-30,27,73.30
2013-09-06,30,77.50
2013-09-13,33,79.69
2013-09-20,30,82.30
2013-09-27,26,82.70
2013-10-04,23,84.85
2013-10-11,31,88.85
2013-10-18,30,85.77
2013-10-25,33,86.68
2013-11-01,21,87.54
2013-11-08,27,90.23
2013-11-15,32,94.37
2013-11-22,28,93.12
2013-11-29,28,93.89
2013-12-06,37,96.20
2013-12-13,29,93.54
2013-12-20,33,98.16
2013-12-27,30,99.15
2014-01-03,27,98.32
2014-01-10,28,100.47
2014-01-17,28,99.34
2014-01-24,28,97.28
2014-01-31,31,96.91
2014-02-07,29,97.00
2014-02-14,37,100.34
2014-02-21,33,102.73
2014-02-28,37,104.06
2014-03-07,40,107.22
2014-03-14,37,50.25
2014-03-21,35,48.76
2014-03-28,33,49.69
2014-04-04,33,50.19
2014-04-11,33,47.31
2014-04-18,30,
2014-04-25,31,48.73
2014-05-02,28,
