Date,MUR,Price
2004-01-09,16,
2004-01-16,22,
2004-01-23,24,
2004-01-30,22,
2004-02-06,20,60.19
2004-02-13,22,61.40
2004-02-20,25,61.75
2004-02-27,22,62.73
2004-03-05,22,64.73
2004-03-12,22,63.70
2004-03-19,25,62.80
2004-03-26,23,60.99
2004-04-02,21,62.78
2004-04-09,21,
2004-04-16,20,64.62
2004-04-23,23,64.22
2004-04-30,26,68.50
2004-05-07,25,66.80
2004-05-14,23,66.04
2004-05-21,22,63.77
2004-05-28,25,65.26
2004-06-04,24,65.95
2004-06-11,21,
2004-06-18,20,71.34
2004-06-25,23,72.45
2004-07-02,19,75.77
2004-07-09,20,78.05
2004-07-16,17,78.54
2004-07-23,22,76.57
2004-07-30,21,77.34
2004-08-06,26,71.45
2004-08-13,22,72.21
2004-08-20,20,71.80
2004-08-27,22,72.68
2004-09-03,23,77.29
2004-09-10,23,79.76
2004-09-17,20,84.52
2004-09-24,22,85.06
2004-10-01,23,85.76
2004-10-08,24,84.61
2004-10-15,25,81.86
2004-10-22,24,84.02
2004-10-29,22,80.02
2004-11-05,23,81.52
2004-11-12,23,81.60
2004-11-19,26,80.91
2004-11-26,28,85.51
2004-12-03,23,79.99
2004-12-10,24,78.40
2004-12-17,22,79.90
2004-12-24,20,
2004-12-31,18,80.45
2005-01-07,23,77.89
2005-01-14,23,82.06
2005-01-21,27,83.11
2005-01-28,28,89.06
2005-02-04,24,91.38
2005-02-11,23,93.18
2005-02-18,23,96.00
2005-02-25,25,99.15
2005-03-04,24,101.33
2005-03-11,27,99.54
2005-03-18,25,103.37
2005-03-25,26,
2005-04-01,23,101.45
2005-04-08,26,99.87
2005-04-15,27,89.20
2005-04-22,28,90.81
2005-04-29,26,89.09
2005-05-06,25,88.74
2005-05-13,27,86.93
2005-05-20,30,90.76
2005-05-27,26,99.08
2005-06-03,25,100.75
2005-06-10,26,51.58
2005-06-17,20,54.48
2005-06-24,23,54.06
2005-07-01,23,53.02
2005-07-08,22,54.44
2005-07-15,21,53.46
2005-07-22,23,53.80
2005-07-29,25,53.04
2005-08-05,24,53.52
2005-08-12,24,55.88
2005-08-19,26,54.14
2005-08-26,27,52.79
2005-09-02,22,53.68
2005-09-09,24,52.70
2005-09-16,24,49.20
2005-09-23,25,48.94
2005-09-30,24,49.87
2005-10-07,24,45.09
2005-10-14,27,44.35
2005-10-21,25,42.45
2005-10-28,24,46.01
2005-11-04,27,47.86
2005-11-11,28,45.99
2005-11-18,28,48.02
2005-11-25,27,50.30
2005-12-02,24,50.73
2005-12-09,24,53.14
2005-12-16,23,53.85
2005-12-23,20,53.84
2005-12-30,22,53.99
2006-01-06,25,55.04
2006-01-13,27,57.58
2006-01-20,23,58.48
2006-01-27,25,56.20
2006-02-03,28,53.38
2006-02-10,23,46.21
2006-02-17,24,47.63
2006-02-24,26,47.84
2006-03-03,28,47.32
2006-03-10,27,46.55
2006-03-17,26,46.78
2006-03-24,29,49.14
2006-03-31,28,49.82
2006-04-07,28,50.45
2006-04-14,30,
2006-04-21,29,53.18
2006-04-28,30,50.18
2006-05-05,29,51.88
2006-05-12,30,51.05
2006-05-19,30,50.24
2006-05-26,30,51.76
2006-06-02,29,54.58
2006-06-09,27,49.99
2006-06-16,24,49.16
2006-06-23,26,51.51
2006-06-30,25,55.86
2006-07-07,23,55.67
2006-07-14,23,56.90
2006-07-21,24,53.28
2006-07-28,22,51.22
2006-08-04,27,50.04
2006-08-11,28,50.54
2006-08-18,25,49.27
2006-08-25,29,49.98
2006-09-01,26,49.75
2006-09-08,28,47.34
2006-09-15,26,46.97
2006-09-22,27,46.36
2006-09-29,29,47.55
2006-10-06,31,48.60
2006-10-13,29,50.39
2006-10-20,32,51.20
2006-10-27,31,46.80
2006-11-03,30,47.37
2006-11-10,30,48.58
2006-11-17,30,49.51
2006-11-24,30,51.11
2006-12-01,30,53.45
2006-12-08,29,53.55
2006-12-15,26,52.80
2006-12-22,24,50.60
2006-12-29,24,50.85
2007-01-05,25,48.19
2007-01-12,29,46.61
2007-01-19,34,46.73
2007-01-26,30,48.70
2007-02-02,29,51.52
2007-02-09,30,51.19
2007-02-16,31,51.27
2007-02-23,32,51.72
2007-03-02,32,50.79
2007-03-09,32,52.55
2007-03-16,32,51.37
2007-03-23,31,54.29
2007-03-30,31,53.40
2007-04-06,32,
2007-04-13,30,56.51
2007-04-20,30,57.06
2007-04-27,31,56.28
2007-05-04,31,57.39
2007-05-11,34,57.73
2007-05-18,32,59.71
2007-05-25,29,59.03
2007-06-01,30,59.61
2007-06-08,31,59.00
2007-06-15,30,59.87
2007-06-22,31,58.56
2007-06-29,28,59.44
2007-07-06,26,60.81
2007-07-13,28,63.39
2007-07-20,27,64.54
2007-07-27,25,62.41
2007-08-03,25,58.83
2007-08-10,27,59.43
2007-08-17,27,61.65
2007-08-24,28,60.38
2007-08-31,28,60.94
2007-09-07,29,61.19
2007-09-14,27,64.54
2007-09-21,29,69.58
2007-09-28,30,69.89
2007-10-05,31,74.20
2007-10-12,30,76.51
2007-10-19,31,75.45
2007-10-26,31,75.80
2007-11-02,30,73.54
2007-11-09,34,74.09
2007-11-16,31,72.85
2007-11-23,34,72.94
2007-11-30,32,71.52
2007-12-07,32,75.45
2007-12-14,28,76.45
2007-12-21,26,81.68
2007-12-28,24,85.38
2008-01-04,27,81.33
2008-01-11,29,78.12
2008-01-18,29,70.96
2008-01-25,29,70.79
2008-02-01,32,73.72
2008-02-08,31,73.05
2008-02-15,30,75.80
2008-02-22,31,77.12
2008-02-29,31,80.38
2008-03-07,33,79.74
2008-03-14,33,79.21
2008-03-21,32,
2008-03-28,33,80.89
2008-04-04,33,86.11
2008-04-11,33,85.01
2008-04-18,32,92.63
2008-04-25,34,90.33
2008-05-02,31,83.48
2008-05-09,30,84.59
2008-05-16,31,92.89
2008-05-23,31,94.41
2008-05-30,31,92.65
2008-06-06,32,93.32
2008-06-13,30,90.55
2008-06-20,28,89.90
2008-06-27,31,96.29
2008-07-04,27,
2008-07-11,29,90.44
2008-07-18,27,79.50
2008-07-25,27,75.66
2008-08-01,30,80.22
2008-08-08,30,75.07
2008-08-15,29,73.86
2008-08-22,30,77.64
2008-08-29,29,78.53
2008-09-05,29,72.05
2008-09-12,31,70.17
2008-09-19,29,74.96
2008-09-26,32,69.59
2008-10-03,31,54.32
2008-10-10,31,47.56
2008-10-17,30,45.80
2008-10-24,31,41.60
2008-10-31,30,50.64
2008-11-07,30,49.82
2008-11-14,31,46.86
2008-11-21,32,42.22
2008-11-28,31,44.05
2008-12-05,29,39.00
2008-12-12,28,42.37
2008-12-19,25,43.53
2008-12-26,24,41.75
2009-01-02,29,47.45
2009-01-09,30,47.63
2009-01-16,30,45.45
2009-01-23,34,45.81
2009-01-30,30,44.18
2009-02-06,33,45.14
2009-02-13,30,46.33
2009-02-20,31,41.55
2009-02-27,34,41.81
2009-03-06,36,40.08
2009-03-13,32,46.06
2009-03-20,35,47.85
2009-03-27,35,47.59
2009-04-03,33,48.88
2009-04-10,33,
2009-04-17,35,47.29
2009-04-24,35,47.05
2009-05-01,33,49.46
2009-05-08,35,56.05
2009-05-15,35,52.33
2009-05-22,34,55.17
2009-05-29,34,59.01
2009-06-05,33,59.00
2009-06-12,32,60.20
2009-06-19,32,54.95
2009-06-26,29,53.85
2009-07-03,27,
2009-07-10,30,51.01
2009-07-17,30,55.56
2009-07-24,33,58.60
2009-07-31,31,58.20
2009-08-07,31,57.51
2009-08-14,33,58.16
2009-08-21,31,59.30
2009-08-28,34,58.63
2009-09-04,32,57.02
2009-09-11,33,59.88
2009-09-18,34,60.43
2009-09-25,35,57.62
2009-10-02,33,55.57
2009-10-09,36,61.42
2009-10-16,34,63.87
2009-10-23,35,63.10
2009-10-30,37,61.14
2009-11-06,59,60.40
2009-11-13,100,59.77
2009-11-20,44,57.06
2009-11-27,38,56.70
2009-12-04,34,55.09
2009-12-11,31,53.18
2009-12-18,30,53.40
2009-12-25,27,
2010-01-01,30,
2010-01-08,31,59.71
2010-01-15,31,56.85
2010-01-22,34,52.76
2010-01-29,33,51.08
2010-02-05,36,50.75
2010-02-12,34,51.26
2010-02-19,34,53.50
2010-02-26,34,51.90
2010-03-05,35,53.90
2010-03-12,36,54.00
2010-03-19,35,55.03
2010-03-26,35,53.43
2010-04-02,37,
2010-04-09,37,60.40
2010-04-16,36,60.20
2010-04-23,34,61.82
2010-04-30,34,60.15
2010-05-07,36,52.70
2010-05-14,35,56.47
2010-05-21,34,52.32
2010-05-28,35,53.38
2010-06-04,37,50.23
2010-06-11,34,54.26
2010-06-18,35,55.70
2010-06-25,29,52.60
2010-07-02,30,48.44
2010-07-09,29,50.88
2010-07-16,30,50.18
2010-07-23,31,55.20
2010-07-30,31,54.75
2010-08-06,32,56.34
2010-08-13,32,54.82
2010-08-20,31,54.90
2010-08-27,32,55.09
2010-09-03,32,57.65
2010-09-10,33,58.38
2010-09-17,32,59.03
2010-09-24,32,60.92
2010-10-01,33,62.14
2010-10-08,34,64.40
2010-10-15,32,65.61
2010-10-22,32,65.39
2010-10-29,33,65.16
2010-11-05,34,67.84
2010-11-12,36,66.55
2010-11-19,35,66.87
2010-11-26,33,65.74
2010-12-03,31,70.91
2010-12-10,32,70.83
2010-12-17,31,72.11
2010-12-24,29,
2010-12-31,32,74.55
2011-01-07,34,71.05
2011-01-14,37,74.15
2011-01-21,34,72.32
2011-01-28,36,66.13
2011-02-04,36,67.40
2011-02-11,36,68.97
2011-02-18,36,73.88
2011-02-25,36,73.47
2011-03-04,34,73.90
2011-03-11,35,69.58
2011-03-18,35,69.61
2011-03-25,36,72.55
2011-04-01,35,73.73
2011-04-08,35,77.00
2011-04-15,33,74.35
2011-04-22,34,
2011-04-29,33,77.48
2011-05-06,35,68.64
2011-05-13,35,66.38
2011-05-20,34,66.88
2011-05-27,34,68.50
2011-06-03,33,66.84
2011-06-10,38,64.90
2011-06-17,34,63.13
2011-06-24,32,62.81
2011-07-01,31,66.49
2011-07-08,37,65.55
2011-07-15,31,65.03
2011-07-22,32,69.71
2011-07-29,32,64.22
2011-08-05,32,55.20
2011-08-12,34,51.90
2011-08-19,32,48.69
2011-08-26,34,49.39
2011-09-02,38,51.95
2011-09-09,33,50.18
2011-09-16,34,52.21
2011-09-23,33,44.86
2011-09-30,33,44.16
2011-10-07,34,47.14
2011-10-14,33,52.51
2011-10-21,34,55.27
2011-10-28,33,58.06
2011-11-04,35,55.39
2011-11-11,35,55.60
2011-11-18,34,52.61
2011-11-25,35,49.44
2011-12-02,35,54.78
2011-12-09,34,54.55
2011-12-16,33,52.19
2011-12-23,29,56.33
2011-12-30,31,55.74
2012-01-06,33,56.71
2012-01-13,33,58.75
2012-01-20,33,60.52
2012-01-27,35,61.42
2012-02-03,35,61.26
2012-02-10,36,60.46
2012-02-17,37,62.69
2012-02-24,38,64.76
2012-03-02,37,62.19
2012-03-09,36,60.39
2012-03-16,36,58.67
2012-03-23,35,57.17
2012-03-30,35,56.27
2012-04-06,36,
2012-04-13,38,52.76
2012-04-20,37,53.56
2012-04-27,36,54.45
2012-05-04,36,50.86
2012-05-11,35,48.35
2012-05-18,36,46.29
2012-05-25,35,47.67
2012-06-01,33,45.20
2012-06-08,35,45.80
2012-06-15,32,45.67
2012-06-22,32,44.57
2012-06-29,31,50.29
2012-07-06,34,50.22
2012-07-13,36,49.77
2012-07-20,38,51.77
2012-07-27,34,54.30
2012-08-03,33,55.21
2012-08-10,33,54.96
2012-08-17,32,54.80
2012-08-24,35,52.72
2012-08-31,36,51.33
2012-09-07,35,52.32
2012-09-14,34,56.24
2012-09-21,35,55.63
