Date,DOW,Price
2004-01-09,18,
2004-01-16,18,
2004-01-23,18,
2004-01-30,16,
2004-02-06,16,42.07
2004-02-13,16,43.29
2004-02-20,16,42.82
2004-02-27,14,43.47
2004-03-05,14,42.31
2004-03-12,15,39.37
2004-03-19,16,39.15
2004-03-26,13,39.74
2004-04-02,18,41.39
2004-04-09,16,
2004-04-16,16,41.69
2004-04-23,15,41.40
2004-04-30,15,39.69
2004-05-07,15,37.89
2004-05-14,16,37.64
2004-05-21,14,37.74
2004-05-28,14,39.90
2004-06-04,13,39.24
2004-06-11,13,
2004-06-18,14,40.01
2004-06-25,14,40.32
2004-07-02,13,39.40
2004-07-09,13,39.15
2004-07-16,13,39.44
2004-07-23,15,38.58
2004-07-30,16,39.89
2004-08-06,16,38.48
2004-08-13,15,38.48
2004-08-20,14,40.91
2004-08-27,14,42.69
2004-09-03,14,42.82
2004-09-10,13,42.35
2004-09-17,14,42.40
2004-09-24,14,42.67
2004-10-01,16,45.37
2004-10-08,18,45.09
2004-10-15,16,44.21
2004-10-22,17,43.60
2004-10-29,16,44.94
2004-11-05,18,47.63
2004-11-12,16,49.36
2004-11-19,16,48.88
2004-11-26,14,50.42
2004-12-03,18,49.76
2004-12-10,16,48.72
2004-12-17,14,49.51
2004-12-24,14,
2004-12-31,14,49.51
2005-01-07,16,47.99
2005-01-14,15,49.79
2005-01-21,14,48.82
2005-01-28,15,49.18
2005-02-04,15,51.73
2005-02-11,15,51.65
2005-02-18,15,53.64
2005-02-25,16,56.24
2005-03-04,15,56.42
2005-03-11,15,54.58
2005-03-18,15,52.49
2005-03-25,14,
2005-04-01,14,49.14
2005-04-08,12,49.06
2005-04-15,16,44.30
2005-04-22,17,45.33
2005-04-29,14,45.93
2005-05-06,14,48.82
2005-05-13,14,45.07
2005-05-20,15,45.96
2005-05-27,14,45.88
2005-06-03,13,45.30
2005-06-10,13,45.41
2005-06-17,14,47.10
2005-06-24,14,43.67
2005-07-01,14,44.69
2005-07-08,13,45.75
2005-07-15,15,47.52
2005-07-22,13,48.60
2005-07-29,14,47.95
2005-08-05,14,47.22
2005-08-12,14,48.35
2005-08-19,14,47.08
2005-08-26,13,43.84
2005-09-02,14,43.21
2005-09-09,13,44.88
2005-09-16,14,43.81
2005-09-23,15,41.78
2005-09-30,15,41.67
2005-10-07,15,42.01
2005-10-14,15,43.02
2005-10-21,14,43.40
2005-10-28,14,45.84
2005-11-04,14,45.53
2005-11-11,14,47.20
2005-11-18,14,46.35
2005-11-25,13,45.85
2005-12-02,14,44.54
2005-12-09,13,44.63
2005-12-16,13,43.72
2005-12-23,12,44.60
2005-12-30,11,43.82
2006-01-06,15,44.93
2006-01-13,16,43.17
2006-01-20,14,41.87
2006-01-27,15,42.18
2006-02-03,14,41.30
2006-02-10,14,42.01
2006-02-17,14,43.80
2006-02-24,13,43.43
2006-03-03,14,43.67
2006-03-10,12,42.79
2006-03-17,13,43.68
2006-03-24,13,42.25
2006-03-31,13,40.60
2006-04-07,15,40.16
2006-04-14,13,
2006-04-21,15,41.11
2006-04-28,14,40.61
2006-05-05,14,42.47
2006-05-12,15,41.12
2006-05-19,16,41.04
2006-05-26,15,40.24
2006-06-02,14,40.84
2006-06-09,16,38.23
2006-06-16,15,38.00
2006-06-23,13,38.20
2006-06-30,13,39.03
2006-07-07,13,37.86
2006-07-14,13,36.91
2006-07-21,15,36.52
2006-07-28,14,34.03
2006-08-04,13,35.95
2006-08-11,14,36.02
2006-08-18,13,37.68
2006-08-25,12,36.87
2006-09-01,14,38.38
2006-09-08,13,37.46
2006-09-15,15,38.57
2006-09-22,14,38.52
2006-09-29,16,38.98
2006-10-06,16,38.93
2006-10-13,16,39.50
2006-10-20,17,39.80
2006-10-27,16,40.96
2006-11-03,14,40.61
2006-11-10,14,40.81
2006-11-17,13,41.18
2006-11-24,12,40.07
2006-12-01,13,39.70
2006-12-08,12,39.91
2006-12-15,12,40.13
2006-12-22,12,40.00
2006-12-29,11,39.90
2007-01-05,12,39.71
2007-01-12,13,40.44
2007-01-19,12,42.08
2007-01-26,13,41.70
2007-02-02,13,41.49
2007-02-09,12,42.02
2007-02-16,12,43.44
2007-02-23,12,43.45
2007-03-02,25,42.36
2007-03-09,17,43.00
2007-03-16,17,45.25
2007-03-23,14,45.70
2007-03-30,14,45.86
2007-04-06,13,
2007-04-13,16,45.88
2007-04-20,15,45.21
2007-04-27,16,45.42
2007-05-04,17,44.92
2007-05-11,15,45.79
2007-05-18,13,45.99
2007-05-25,13,45.20
2007-06-01,13,45.93
2007-06-08,15,45.43
2007-06-15,13,45.37
2007-06-22,13,45.08
2007-06-29,13,44.22
2007-07-06,12,45.82
2007-07-13,14,46.33
2007-07-20,17,47.22
2007-07-27,20,42.45
2007-08-03,23,42.89
2007-08-10,24,41.94
2007-08-17,27,41.15
2007-08-24,19,43.43
2007-08-31,17,42.63
2007-09-07,15,41.49
2007-09-14,15,41.98
2007-09-21,16,43.64
2007-09-28,14,43.06
2007-10-05,15,44.67
2007-10-12,15,46.50
2007-10-19,16,43.78
2007-10-26,16,44.53
2007-11-02,16,43.97
2007-11-09,18,41.81
2007-11-16,17,40.21
2007-11-23,18,40.15
2007-11-30,19,41.94
2007-12-07,17,42.74
2007-12-14,16,43.11
2007-12-21,14,41.25
2007-12-28,12,40.09
2008-01-04,15,36.99
2008-01-11,17,36.24
2008-01-18,21,34.94
2008-01-25,38,36.31
2008-02-01,19,39.89
2008-02-08,18,38.50
2008-02-15,16,38.62
2008-02-22,16,38.75
2008-02-29,15,37.69
2008-03-07,18,36.18
2008-03-14,20,37.00
2008-03-21,22,
2008-03-28,17,36.66
2008-04-04,17,38.85
2008-04-11,15,38.51
2008-04-18,16,39.98
2008-04-25,15,40.86
2008-05-02,14,40.79
2008-05-09,15,41.23
2008-05-16,13,42.88
2008-05-23,14,40.42
2008-05-30,13,40.40
2008-06-06,14,38.78
2008-06-13,15,39.05
2008-06-20,14,37.58
2008-06-27,17,34.83
2008-07-04,17,
