Date,INTC,Price
2004-01-09,20,
2004-01-16,27,
2004-01-23,22,
2004-01-30,18,
2004-02-06,10,30.88
2004-02-13,17,30.14
2004-02-20,21,30.00
2004-02-27,27,29.20
2004-03-05,22,28.95
2004-03-12,19,27.69
2004-03-19,19,26.49
2004-03-26,23,27.38
2004-04-02,27,28.12
2004-04-09,29,
2004-04-16,20,26.45
2004-04-23,20,27.53
2004-04-30,11,25.73
2004-05-07,19,26.47
2004-05-14,14,27.04
2004-05-21,11,27.55
2004-05-28,19,28.55
2004-06-04,15,28.14
2004-06-11,16,
2004-06-18,12,27.64
2004-06-25,12,27.78
2004-07-02,15,26.33
2004-07-09,15,26.57
2004-07-16,22,22.73
2004-07-23,21,22.67
2004-07-30,15,24.38
2004-08-06,10,22.77
2004-08-13,22,21.56
2004-08-20,20,21.62
2004-08-27,14,22.02
2004-09-03,26,20.05
2004-09-10,25,20.57
2004-09-17,18,20.59
2004-09-24,17,20.13
2004-10-01,15,20.85
2004-10-08,12,20.55
2004-10-15,22,20.61
2004-10-22,15,21.30
2004-10-29,21,22.26
2004-11-05,15,23.36
2004-11-12,15,23.69
2004-11-19,16,24.16
2004-11-26,15,23.21
2004-12-03,18,23.91
2004-12-10,14,22.56
2004-12-17,11,22.77
2004-12-24,10,
2004-12-31,15,23.39
2005-01-07,17,22.80
2005-01-14,20,23.02
2005-01-21,16,22.42
2005-01-28,19,22.24
2005-02-04,14,23.00
2005-02-11,19,24.17
2005-02-18,12,24.02
2005-02-25,19,24.09
2005-03-04,22,24.68
2005-03-11,23,24.20
2005-03-18,17,23.41
2005-03-25,13,
2005-04-01,11,23.01
2005-04-08,26,23.29
2005-04-15,17,22.12
2005-04-22,32,23.24
2005-04-29,21,23.52
2005-05-06,24,24.49
2005-05-13,28,25.12
2005-05-20,20,26.35
2005-05-27,35,27.39
2005-06-03,31,27.33
2005-06-10,59,26.98
2005-06-17,31,27.12
2005-06-24,26,26.10
2005-07-01,34,26.21
2005-07-08,19,27.28
2005-07-15,36,28.30
2005-07-22,48,26.75
2005-07-29,40,27.14
2005-08-05,31,26.77
2005-08-12,21,26.31
2005-08-19,27,25.65
2005-08-26,25,25.41
2005-09-02,23,25.28
2005-09-09,25,25.25
2005-09-16,23,24.81
2005-09-23,22,24.38
2005-09-30,25,24.65
2005-10-07,25,23.82
2005-10-14,26,23.23
2005-10-21,37,23.15
2005-10-28,24,23.33
2005-11-04,32,23.99
2005-11-11,41,25.13
2005-11-18,38,25.30
2005-11-25,30,26.81
2005-12-02,42,27.43
