Date,ConocoPhillips,Price
2004-01-09,0,
2004-01-16,32,
2004-01-23,43,
2004-01-30,39,
2004-02-06,39,66.03
2004-02-13,34,68.63
2004-02-20,29,68.13
2004-02-27,42,68.87
2004-03-05,59,70.33
2004-03-12,39,69.15
2004-03-19,39,69.29
2004-03-26,53,66.80
2004-04-02,45,68.93
2004-04-09,27,
2004-04-16,34,72.79
2004-04-23,41,71.83
2004-04-30,22,71.30
2004-05-07,26,73.14
2004-05-14,55,73.33
2004-05-21,37,70.47
2004-05-28,54,73.33
2004-06-04,34,73.94
2004-06-11,35,
2004-06-18,43,76.69
2004-06-25,40,77.19
2004-07-02,40,76.19
2004-07-09,36,77.35
2004-07-16,38,79.50
2004-07-23,40,77.17
2004-07-30,38,78.77
2004-08-06,61,73.92
2004-08-13,59,73.47
2004-08-20,45,74.16
2004-08-27,52,73.33
2004-09-03,43,76.19
2004-09-10,32,77.68
2004-09-17,40,79.13
2004-09-24,48,81.70
2004-10-01,56,84.07
2004-10-08,39,88.08
2004-10-15,27,83.99
2004-10-22,34,84.80
2004-10-29,29,84.31
2004-11-05,29,88.36
2004-11-12,31,87.89
2004-11-19,34,87.43
2004-11-26,22,90.36
2004-12-03,37,86.50
2004-12-10,39,84.75
2004-12-17,33,86.99
2004-12-24,27,
2004-12-31,31,86.83
2005-01-07,29,84.86
2005-01-14,62,89.02
2005-01-21,52,87.30
2005-01-28,51,90.99
2005-02-04,43,96.22
2005-02-11,46,99.04
2005-02-18,47,106.25
2005-02-25,45,112.32
2005-03-04,45,112.21
2005-03-11,44,105.59
2005-03-18,45,110.25
2005-03-25,37,
2005-04-01,38,110.28
2005-04-08,41,109.13
2005-04-15,37,100.07
2005-04-22,52,106.96
2005-04-29,38,104.85
2005-05-06,41,104.92
2005-05-13,37,98.51
2005-05-20,25,101.11
2005-05-27,37,107.55
2005-06-03,45,55.01
2005-06-10,32,55.94
2005-06-17,42,60.68
2005-06-24,55,58.21
2005-07-01,46,59.10
2005-07-08,36,60.24
2005-07-15,35,59.35
2005-07-22,48,61.25
2005-07-29,47,62.59
2005-08-05,57,63.75
2005-08-12,47,66.62
2005-08-19,46,63.07
2005-08-26,36,61.88
2005-09-02,51,66.77
2005-09-09,37,69.02
2005-09-16,40,69.15
2005-09-23,31,68.29
2005-09-30,37,69.91
2005-10-07,53,63.60
2005-10-14,35,62.33
2005-10-21,43,58.15
2005-10-28,52,63.26
2005-11-04,41,66.25
2005-11-11,39,63.50
2005-11-18,43,62.23
2005-11-25,34,64.00
2005-12-02,46,62.39
2005-12-09,43,63.07
2005-12-16,84,57.35
2005-12-23,28,59.15
2005-12-30,23,58.18
2006-01-06,31,60.89
2006-01-13,31,60.76
2006-01-20,50,64.65
2006-01-27,53,65.08
2006-02-03,38,62.50
2006-02-10,39,59.35
2006-02-17,52,61.09
2006-02-24,53,62.73
2006-03-03,30,62.48
2006-03-10,33,59.07
2006-03-17,42,61.36
2006-03-24,39,61.76
2006-03-31,35,63.15
2006-04-07,45,65.96
2006-04-14,50,
2006-04-21,43,72.50
2006-04-28,48,66.90
2006-05-05,40,66.85
2006-05-12,38,65.19
2006-05-19,56,62.72
2006-05-26,41,63.46
2006-06-02,38,64.51
2006-06-09,43,60.57
2006-06-16,37,61.17
2006-06-23,38,61.26
2006-06-30,40,65.53
2006-07-07,39,67.19
2006-07-14,49,67.45
2006-07-21,41,63.63
2006-07-28,59,67.95
2006-08-04,61,68.52
2006-08-11,53,68.38
2006-08-18,59,66.40
2006-08-25,34,66.30
2006-09-01,41,64.24
2006-09-08,42,60.34
2006-09-15,43,58.10
2006-09-22,44,58.04
2006-09-29,51,59.53
2006-10-06,35,58.01
2006-10-13,41,60.03
2006-10-20,59,60.86
2006-10-27,49,61.19
2006-11-03,37,60.97
2006-11-10,44,63.09
2006-11-17,50,62.70
2006-11-24,28,64.29
2006-12-01,43,67.37
2006-12-08,44,71.04
2006-12-15,45,72.77
2006-12-22,34,71.05
2006-12-29,22,71.95
2007-01-05,34,67.42
2007-01-12,53,63.83
2007-01-19,42,63.95
2007-01-26,56,64.77
2007-02-02,48,67.29
2007-02-09,41,66.99
2007-02-16,50,66.15
2007-02-23,46,67.20
2007-03-02,43,64.93
2007-03-09,47,67.80
2007-03-16,40,65.34
2007-03-23,51,69.25
2007-03-30,33,68.35
2007-04-06,37,
2007-04-13,50,70.54
2007-04-20,51,71.25
2007-04-27,51,70.04
2007-05-04,45,70.19
2007-05-11,48,70.19
2007-05-18,42,74.85
2007-05-25,41,76.42
2007-06-01,42,78.86
2007-06-08,44,77.29
2007-06-15,35,80.52
2007-06-22,44,78.74
2007-06-29,39,78.50
2007-07-06,34,81.04
2007-07-13,48,90.17
2007-07-20,47,86.30
2007-07-27,47,79.80
2007-08-03,48,77.59
2007-08-10,45,78.21
2007-08-17,50,79.13
2007-08-24,37,80.74
2007-08-31,42,81.89
2007-09-07,38,82.81
2007-09-14,48,85.27
2007-09-21,37,88.94
2007-09-28,35,87.77
2007-10-05,45,84.20
2007-10-12,40,85.72
2007-10-19,36,85.07
2007-10-26,43,84.81
2007-11-02,37,84.57
2007-11-09,38,82.56
2007-11-16,40,78.93
2007-11-23,30,79.12
2007-11-30,45,80.04
2007-12-07,43,83.30
2007-12-14,41,83.29
2007-12-21,28,86.71
2007-12-28,23,89.13
2008-01-04,41,85.56
2008-01-11,38,83.04
2008-01-18,42,72.89
2008-01-25,42,74.13
2008-02-01,36,80.36
2008-02-08,43,75.38
2008-02-15,39,79.05
2008-02-22,44,80.61
2008-02-29,46,82.71
2008-03-07,40,78.36
2008-03-14,41,77.49
2008-03-21,32,
2008-03-28,41,75.67
2008-04-04,36,78.81
2008-04-11,42,78.59
2008-04-18,38,83.89
2008-04-25,42,83.57
2008-05-02,38,86.88
2008-05-09,32,88.71
2008-05-16,42,91.98
2008-05-23,38,91.40
2008-05-30,41,93.10
2008-06-06,40,92.17
2008-06-13,43,94.26
2008-06-20,46,92.76
2008-06-27,33,91.64
2008-07-04,30,
2008-07-11,47,88.13
2008-07-18,33,83.91
2008-07-25,43,81.98
2008-08-01,41,81.15
2008-08-08,34,80.91
2008-08-15,42,77.66
2008-08-22,38,83.18
2008-08-29,47,82.51
2008-09-05,37,75.43
2008-09-12,47,73.43
2008-09-19,48,78.31
2008-09-26,40,76.24
2008-10-03,44,66.14
2008-10-10,36,48.23
2008-10-17,39,52.51
2008-10-24,36,48.45
2008-10-31,33,52.01
2008-11-07,29,51.58
2008-11-14,34,47.39
