Date,KSS,Price
2004-01-09,84,
2004-01-16,68,
2004-01-23,41,
2004-01-30,95,
2004-02-06,59,48.64
2004-02-13,70,48.65
2004-02-20,72,49.90
2004-02-27,79,51.50
2004-03-05,78,52.86
2004-03-12,78,52.00
2004-03-19,61,48.70
2004-03-26,61,48.45
2004-04-02,67,46.97
2004-04-09,84,
2004-04-16,82,43.00
2004-04-23,68,43.03
2004-04-30,51,41.79
2004-05-07,61,41.68
2004-05-14,57,43.57
2004-05-21,55,44.79
2004-05-28,62,47.56
2004-06-04,59,47.45
2004-06-11,70,
2004-06-18,67,45.45
2004-06-25,63,43.20
2004-07-02,92,41.81
2004-07-09,70,43.75
2004-07-16,48,41.55
2004-07-23,71,43.25
2004-07-30,73,45.76
2004-08-06,83,45.13
2004-08-13,63,46.10
2004-08-20,65,48.10
2004-08-27,67,49.25
2004-09-03,99,50.46
2004-09-10,63,50.58
2004-09-17,52,49.48
2004-09-24,58,49.43
2004-10-01,60,48.75
2004-10-08,39,49.72
2004-10-15,65,49.09
2004-10-22,54,52.29
2004-10-29,56,50.76
2004-11-05,60,51.94
2004-11-12,49,52.04
2004-11-19,60,48.02
2004-11-26,46,48.95
2004-12-03,86,47.65
2004-12-10,77,46.67
2004-12-17,62,45.80
2004-12-24,57,
2004-12-31,55,49.17
2005-01-07,61,46.80
2005-01-14,54,48.32
2005-01-21,49,46.18
2005-01-28,66,45.62
2005-02-04,66,47.05
2005-02-11,56,47.68
2005-02-18,67,46.63
2005-02-25,80,47.80
2005-03-04,51,53.30
2005-03-11,61,52.96
2005-03-18,50,51.03
2005-03-25,57,
2005-04-01,56,50.97
2005-04-08,65,51.26
2005-04-15,71,49.85
2005-04-22,77,48.58
2005-04-29,63,47.60
2005-05-06,54,47.87
2005-05-13,67,47.58
2005-05-20,64,49.15
2005-05-27,81,48.67
2005-06-03,64,51.75
2005-06-10,65,56.73
2005-06-17,84,56.44
2005-06-24,100,55.43
2005-07-01,60,55.77
2005-07-08,49,58.23
2005-07-15,73,57.43
2005-07-22,67,56.95
2005-07-29,48,56.35
2005-08-05,55,54.31
2005-08-12,61,56.00
2005-08-19,52,55.42
2005-08-26,64,54.85
2005-09-02,61,51.20
2005-09-09,64,52.75
2005-09-16,64,52.55
2005-09-23,66,49.00
2005-09-30,62,50.18
2005-10-07,72,48.08
2005-10-14,47,47.60
2005-10-21,54,47.16
2005-10-28,47,45.59
2005-11-04,50,48.88
2005-11-11,60,50.68
2005-11-18,69,49.23
2005-11-25,69,49.20
2005-12-02,59,46.96
2005-12-09,58,46.00
2005-12-16,64,45.68
2005-12-23,55,48.70
2005-12-30,49,48.60
2006-01-06,58,44.50
2006-01-13,74,45.97
2006-01-20,78,43.62
2006-01-27,74,44.20
2006-02-03,80,45.24
2006-02-10,50,45.13
2006-02-17,67,46.01
2006-02-24,69,46.86
2006-03-03,68,48.80
2006-03-10,66,50.79
2006-03-17,66,52.99
2006-03-24,58,50.82
2006-03-31,54,53.01
2006-04-07,53,53.40
2006-04-14,50,
2006-04-21,62,54.36
2006-04-28,60,55.84
2006-05-05,53,57.49
2006-05-12,66,56.65
2006-05-19,55,57.76
2006-05-26,58,54.13
2006-06-02,57,54.33
2006-06-09,59,54.46
2006-06-16,68,57.50
2006-06-23,64,57.82
2006-06-30,58,59.12
2006-07-07,48,58.68
2006-07-14,60,54.90
2006-07-21,49,54.08
2006-07-28,49,55.21
2006-08-04,50,58.79
2006-08-11,59,60.76
2006-08-18,57,61.73
2006-08-25,53,60.30
2006-09-01,62,63.45
2006-09-08,52,65.09
2006-09-15,49,66.85
2006-09-22,62,66.14
2006-09-29,80,64.92
2006-10-06,58,67.63
2006-10-13,72,70.48
2006-10-20,77,70.85
2006-10-27,64,72.23
2006-11-03,66,69.88
2006-11-10,55,73.69
2006-11-17,58,73.27
2006-11-24,64,71.05
2006-12-01,72,69.09
2006-12-08,59,71.03
2006-12-15,67,70.71
2006-12-22,65,69.82
2006-12-29,62,68.43
2007-01-05,49,66.80
2007-01-12,58,68.25
2007-01-19,62,69.53
2007-01-26,72,68.95
2007-02-02,66,73.15
2007-02-09,62,72.47
2007-02-16,62,73.82
2007-02-23,67,72.60
2007-03-02,71,71.26
2007-03-09,74,72.82
2007-03-16,62,71.96
2007-03-23,69,75.43
2007-03-30,72,76.61
2007-04-06,62,
2007-04-13,60,77.24
2007-04-20,58,78.89
2007-04-27,57,76.34
2007-05-04,56,73.98
2007-05-11,74,72.60
2007-05-18,65,75.03
2007-05-25,60,73.57
2007-06-01,50,76.10
2007-06-08,74,72.41
2007-06-15,57,71.43
2007-06-22,65,70.26
2007-06-29,62,71.03
2007-07-06,55,70.46
