Date,Goldman Sachs Group,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,101.34
2004-02-13,0,105.85
2004-02-20,0,106.52
2004-02-27,0,105.87
2004-03-05,0,109.05
2004-03-12,0,104.93
2004-03-19,0,102.66
2004-03-26,0,103.75
2004-04-02,0,105.95
2004-04-09,0,
2004-04-16,0,103.36
2004-04-23,0,100.41
2004-04-30,0,96.75
2004-05-07,0,93.04
2004-05-14,0,94.01
2004-05-21,0,91.74
2004-05-28,0,93.91
2004-06-04,0,91.52
2004-06-11,0,
2004-06-18,0,89.18
2004-06-25,0,94.55
2004-07-02,0,93.61
2004-07-09,0,90.05
2004-07-16,0,87.25
2004-07-23,0,87.55
2004-07-30,0,88.19
2004-08-06,0,84.55
2004-08-13,0,84.25
2004-08-20,0,87.81
2004-08-27,0,90.48
2004-09-03,0,90.20
2004-09-10,0,93.13
2004-09-17,0,92.05
2004-09-24,0,93.48
2004-10-01,0,93.92
2004-10-08,0,94.24
2004-10-15,0,94.16
2004-10-22,0,92.70
2004-10-29,0,98.38
2004-11-05,78,100.85
2004-11-12,0,104.66
2004-11-19,0,103.04
2004-11-26,0,104.84
2004-12-03,0,106.47
2004-12-10,0,109.40
2004-12-17,0,103.75
2004-12-24,0,
2004-12-31,0,104.04
2005-01-07,0,104.78
2005-01-14,0,104.22
2005-01-21,0,103.33
2005-01-28,0,106.12
2005-02-04,0,110.02
2005-02-11,0,112.77
2005-02-18,0,109.00
2005-02-25,0,110.10
2005-03-04,0,111.53
2005-03-11,0,109.55
2005-03-18,0,109.98
2005-03-25,0,
2005-04-01,0,109.30
2005-04-08,0,112.93
2005-04-15,0,106.49
2005-04-22,0,104.19
2005-04-29,0,106.79
2005-05-06,0,104.68
2005-05-13,0,97.82
2005-05-20,0,101.08
2005-05-27,0,95.50
2005-06-03,0,97.30
2005-06-10,65,99.05
2005-06-17,68,103.80
2005-06-24,71,103.67
2005-07-01,75,102.71
2005-07-08,78,105.65
2005-07-15,81,108.50
2005-07-22,0,109.13
2005-07-29,0,107.48
2005-08-05,0,109.70
2005-08-12,0,113.65
2005-08-19,0,111.27
2005-08-26,0,109.75
2005-09-02,0,113.21
2005-09-09,0,116.17
2005-09-16,0,118.40
2005-09-23,0,119.47
2005-09-30,0,121.58
2005-10-07,0,117.57
2005-10-14,68,114.55
2005-10-21,58,118.77
2005-10-28,58,124.56
2005-11-04,58,130.96
2005-11-11,58,130.00
2005-11-18,58,131.58
2005-11-25,0,134.12
2005-12-02,0,131.08
2005-12-09,0,129.66
2005-12-16,0,126.50
2005-12-23,0,128.11
2005-12-30,0,127.71
2006-01-06,49,128.84
2006-01-13,53,133.26
2006-01-20,57,131.44
2006-01-27,61,138.94
2006-02-03,48,142.74
2006-02-10,46,140.81
2006-02-17,46,145.54
2006-02-24,44,144.16
2006-03-03,44,146.00
2006-03-10,44,141.53
2006-03-17,56,150.36
2006-03-24,39,152.17
2006-03-31,39,156.96
2006-04-07,41,161.02
2006-04-14,42,
2006-04-21,41,165.89
2006-04-28,55,160.29
2006-05-05,49,164.39
2006-05-12,39,156.11
2006-05-19,45,149.41
2006-05-26,51,152.94
2006-06-02,56,154.09
2006-06-09,48,149.89
2006-06-16,48,144.00
2006-06-23,52,147.92
2006-06-30,59,150.43
2006-07-07,66,148.51
2006-07-14,0,140.10
2006-07-21,0,142.04
2006-07-28,0,151.72
2006-08-04,0,152.99
2006-08-11,0,151.11
2006-08-18,0,154.68
2006-08-25,48,150.07
2006-09-01,35,149.14
2006-09-08,36,149.80
2006-09-15,49,162.71
2006-09-22,44,167.52
2006-09-29,34,169.17
2006-10-06,44,175.65
2006-10-13,37,183.85
2006-10-20,39,180.40
2006-10-27,39,188.67
2006-11-03,40,187.13
2006-11-10,41,187.06
2006-11-17,46,195.04
2006-11-24,47,201.60
2006-12-01,48,194.50
2006-12-08,36,205.10
2006-12-15,77,199.84
2006-12-22,59,198.09
2006-12-29,39,199.35
2007-01-05,44,199.05
2007-01-12,54,213.99
2007-01-19,53,210.29
2007-01-26,54,213.50
2007-02-02,41,213.43
2007-02-09,54,213.28
2007-02-16,33,216.92
2007-02-23,45,216.50
2007-03-02,50,195.67
2007-03-09,37,201.70
2007-03-16,59,199.00
2007-03-23,37,211.89
2007-03-30,37,206.63
2007-04-06,39,
2007-04-13,40,206.50
2007-04-20,41,220.00
2007-04-27,46,224.28
2007-05-04,31,227.34
2007-05-11,43,227.50
2007-05-18,41,230.34
2007-05-25,48,225.53
2007-06-01,34,230.71
2007-06-08,43,225.06
2007-06-15,28,226.19
2007-06-22,48,222.40
2007-06-29,38,216.75
2007-07-06,44,223.64
2007-07-13,43,222.18
2007-07-20,56,205.94
2007-07-27,46,192.65
2007-08-03,48,179.68
2007-08-10,36,180.50
2007-08-17,41,175.00
2007-08-24,43,179.73
2007-08-31,30,176.01
2007-09-07,47,178.98
2007-09-14,60,190.59
2007-09-21,52,209.98
2007-09-28,42,216.74
2007-10-05,51,228.50
2007-10-12,50,233.56
2007-10-19,34,217.69
2007-10-26,52,235.92
2007-11-02,33,229.60
2007-11-09,45,211.33
2007-11-16,52,225.25
2007-11-23,38,216.48
2007-11-30,38,226.64
2007-12-07,64,217.89
2007-12-14,32,210.67
2007-12-21,49,209.60
2007-12-28,30,211.94
2008-01-04,31,199.93
2008-01-11,53,198.74
2008-01-18,38,187.21
2008-01-25,56,191.37
2008-02-01,67,207.78
2008-02-08,41,187.07
2008-02-15,36,178.41
2008-02-22,44,177.71
2008-02-29,50,169.63
2008-03-07,49,160.07
2008-03-14,55,156.86
2008-03-21,28,
2008-03-28,26,164.45
2008-04-04,38,175.40
2008-04-11,31,167.30
2008-04-18,45,179.93
2008-04-25,19,192.00
2008-05-02,36,200.27
2008-05-09,50,188.09
2008-05-16,27,187.14
2008-05-23,32,172.64
2008-05-30,36,176.41
2008-06-06,28,169.44
2008-06-13,43,178.29
2008-06-20,33,183.77
2008-06-27,42,174.56
2008-07-04,36,
2008-07-11,44,162.48
2008-07-18,37,182.84
2008-07-25,37,178.66
2008-08-01,21,182.00
2008-08-08,32,175.95
2008-08-15,39,163.18
2008-08-22,24,159.81
2008-08-29,40,163.97
2008-09-05,24,163.24
2008-09-12,40,154.21
2008-09-19,100,129.80
2008-09-26,90,137.99
2008-10-03,57,128.00
2008-10-10,48,88.80
2008-10-17,37,114.30
2008-10-24,48,100.40
2008-10-31,39,92.50
2008-11-07,25,77.78
2008-11-14,30,66.73
2008-11-21,30,53.31
2008-11-28,33,78.99
2008-12-05,34,70.72
2008-12-12,28,67.74
2008-12-19,26,80.73
2008-12-26,23,75.97
2009-01-02,35,86.76
2009-01-09,29,83.92
2009-01-16,34,73.05
2009-01-23,25,74.91
2009-01-30,43,80.73
2009-02-06,25,96.57
2009-02-13,21,96.45
2009-02-20,28,84.59
2009-02-27,41,91.08
2009-03-06,34,75.65
2009-03-13,15,98.80
2009-03-20,31,97.32
2009-03-27,23,108.08
2009-04-03,38,119.40
2009-04-10,29,
2009-04-17,42,120.60
2009-04-24,23,121.30
2009-05-01,23,127.08
2009-05-08,20,139.59
2009-05-15,25,134.40
2009-05-22,27,136.35
2009-05-29,26,144.57
2009-06-05,19,149.01
2009-06-12,32,145.64
2009-06-19,33,143.13
2009-06-26,16,146.74
2009-07-03,18,
2009-07-10,33,141.87
2009-07-17,66,156.84
2009-07-24,39,164.72
2009-07-31,41,163.30
2009-08-07,33,163.65
2009-08-14,33,162.73
2009-08-21,14,163.51
2009-08-28,37,164.42
2009-09-04,25,162.97
2009-09-11,26,174.70
2009-09-18,22,183.18
2009-09-25,21,179.50
2009-10-02,37,179.61
2009-10-09,40,189.30
2009-10-16,51,184.37
2009-10-23,45,180.36
2009-10-30,33,170.17
2009-11-06,38,171.78
2009-11-13,34,176.76
2009-11-20,36,170.01
2009-11-27,25,164.16
2009-12-04,30,167.24
2009-12-11,33,166.00
2009-12-18,21,163.19
2009-12-25,21,
2010-01-01,18,
2010-01-08,29,174.31
2010-01-15,28,165.21
2010-01-22,35,154.12
2010-01-29,34,148.72
2010-02-05,35,154.16
2010-02-12,28,153.93
2010-02-19,28,156.18
2010-02-26,35,156.35
2010-03-05,35,167.18
2010-03-12,25,174.96
2010-03-19,39,177.90
2010-03-26,27,172.87
2010-04-02,41,
2010-04-09,41,179.12
2010-04-16,39,160.70
2010-04-23,58,157.40
2010-04-30,47,145.20
2010-05-07,36,142.99
2010-05-14,34,143.23
2010-05-21,33,140.62
2010-05-28,23,144.26
2010-06-04,25,142.25
2010-06-11,25,135.64
2010-06-18,28,138.18
2010-06-25,29,139.66
2010-07-02,20,131.08
2010-07-09,26,138.06
2010-07-16,28,146.17
2010-07-23,23,147.38
2010-07-30,31,150.82
2010-08-06,30,155.18
2010-08-13,23,148.08
2010-08-20,28,148.24
2010-08-27,30,139.75
2010-09-03,30,147.29
2010-09-10,30,150.39
2010-09-17,38,150.98
2010-09-24,28,147.28
2010-10-01,35,147.70
2010-10-08,31,152.66
2010-10-15,33,150.69
2010-10-22,28,157.76
2010-10-29,26,161.13
2010-11-05,21,171.07
2010-11-12,30,165.83
2010-11-19,28,166.67
2010-11-26,23,158.22
2010-12-03,34,162.31
2010-12-10,29,168.47
2010-12-17,32,164.04
2010-12-24,22,
2010-12-31,15,168.16
2011-01-07,30,170.69
2011-01-14,32,175.00
2011-01-21,37,166.20
2011-01-28,26,161.77
2011-02-04,29,164.83
2011-02-11,27,166.66
2011-02-18,28,168.04
2011-02-25,30,165.12
2011-03-04,36,161.00
2011-03-11,25,160.68
2011-03-18,24,159.96
2011-03-25,29,157.97
2011-04-01,17,160.23
2011-04-08,18,160.96
2011-04-15,26,155.13
2011-04-22,25,
2011-04-29,21,151.01
2011-05-06,12,150.10
2011-05-13,17,141.46
2011-05-20,15,134.99
2011-05-27,18,138.66
2011-06-03,22,135.33
2011-06-10,24,135.92
2011-06-17,20,137.23
2011-06-24,26,130.91
2011-07-01,18,136.65
2011-07-08,21,134.08
2011-07-15,16,130.16
2011-07-22,26,135.49
2011-07-29,31,134.97
2011-08-05,20,125.18
2011-08-12,24,116.47
2011-08-19,19,111.76
2011-08-26,18,111.75
2011-09-02,23,107.06
2011-09-09,32,102.25
2011-09-16,25,107.49
2011-09-23,12,95.18
2011-09-30,31,94.55
2011-10-07,20,92.69
2011-10-14,23,96.73
2011-10-21,27,102.09
2011-10-28,23,115.86
2011-11-04,19,105.04
2011-11-11,21,101.66
2011-11-18,22,91.91
2011-11-25,25,88.75
2011-12-02,19,97.25
2011-12-09,22,101.45
2011-12-16,22,90.10
2011-12-23,18,93.79
2011-12-30,22,90.43
2012-01-06,20,93.42
2012-01-13,24,98.96
2012-01-20,21,108.74
2012-01-27,18,111.77
2012-02-03,25,117.53
2012-02-10,22,114.12
2012-02-17,25,115.91
2012-02-24,17,115.87
2012-03-02,23,119.96
2012-03-09,20,117.29
2012-03-16,20,122.93
2012-03-23,28,126.18
2012-03-30,17,124.37
2012-04-06,18,
2012-04-13,19,115.09
2012-04-20,17,112.44
2012-04-27,16,114.41
2012-05-04,18,108.99
2012-05-11,17,102.13
2012-05-18,16,95.49
2012-05-25,16,96.70
2012-06-01,14,92.64
2012-06-08,19,94.54
2012-06-15,13,95.66
2012-06-22,19,93.63
2012-06-29,20,95.86
2012-07-06,14,95.47
2012-07-13,23,97.43
2012-07-20,24,94.16
2012-07-27,19,101.64
2012-08-03,16,100.98
2012-08-10,18,103.02
2012-08-17,15,103.60
2012-08-24,21,104.96
2012-08-31,17,105.72
2012-09-07,22,116.33
2012-09-14,26,121.36
2012-09-21,23,116.72
2012-09-28,24,113.68
2012-10-05,20,119.31
2012-10-12,26,120.20
2012-10-19,24,123.62
2012-10-26,20,119.44
2012-11-02,14,123.25
2012-11-09,16,116.15
2012-11-16,23,115.84
2012-11-23,17,120.31
2012-11-30,21,117.79
2012-12-07,18,116.57
2012-12-14,16,119.36
2012-12-21,7,128.44
2012-12-28,12,125.52
2013-01-04,15,134.51
2013-01-11,16,137.13
2013-01-18,25,144.45
2013-01-25,17,144.46
2013-02-01,16,149.90
2013-02-08,14,151.60
2013-02-15,24,154.99
2013-02-22,15,154.09
2013-03-01,16,150.53
2013-03-08,15,152.98
2013-03-15,18,154.84
2013-03-22,13,146.60
2013-03-29,14,
2013-04-05,15,143.69
2013-04-12,16,149.12
2013-04-19,20,138.72
2013-04-26,17,144.11
2013-05-03,14,145.37
2013-05-10,18,149.10
2013-05-17,17,158.18
2013-05-24,14,158.72
2013-05-31,12,162.08
2013-06-07,16,166.01
2013-06-14,15,162.92
2013-06-21,17,154.25
2013-06-28,18,151.25
2013-07-05,11,153.24
2013-07-12,12,160.11
2013-07-19,18,164.36
2013-07-26,16,165.26
2013-08-02,18,167.62
2013-08-09,15,162.13
2013-08-16,24,160.66
2013-08-23,18,158.65
2013-08-30,14,152.13
2013-09-06,13,156.66
2013-09-13,18,164.00
2013-09-20,21,169.75
2013-09-27,16,159.85
2013-10-04,18,156.55
2013-10-11,17,160.00
2013-10-18,18,158.69
2013-10-25,19,162.09
2013-11-01,19,162.05
2013-11-08,14,163.17
2013-11-15,22,164.40
2013-11-22,18,168.10
2013-11-29,19,168.94
2013-12-06,17,167.21
2013-12-13,13,168.39
2013-12-20,17,175.16
2013-12-27,10,176.35
2014-01-03,10,178.15
2014-01-10,23,178.39
2014-01-17,27,176.28
2014-01-24,14,167.64
2014-01-31,19,164.12
2014-02-07,17,161.93
2014-02-14,13,163.72
2014-02-21,15,164.50
2014-02-28,16,166.45
2014-03-07,17,174.26
2014-03-14,17,165.35
2014-03-21,18,166.95
2014-03-28,17,162.30
2014-04-04,16,163.24
2014-04-11,18,152.72
2014-04-18,18,
2014-04-25,14,158.24
2014-05-02,0,
