Date,KR,Price
2004-01-09,87,
2004-01-16,84,
2004-01-23,62,
2004-01-30,83,
2004-02-06,81,19.09
2004-02-13,100,18.91
2004-02-20,70,19.34
2004-02-27,71,19.22
2004-03-05,73,19.20
2004-03-12,74,16.76
2004-03-19,58,16.82
2004-03-26,66,16.16
2004-04-02,65,16.55
2004-04-09,61,
2004-04-16,66,17.01
2004-04-23,62,17.75
2004-04-30,56,17.50
2004-05-07,56,16.99
2004-05-14,64,16.54
2004-05-21,53,16.30
2004-05-28,53,16.69
2004-06-04,53,16.71
2004-06-11,53,
2004-06-18,53,17.76
2004-06-25,56,17.91
2004-07-02,46,17.78
2004-07-09,48,17.15
2004-07-16,46,16.76
2004-07-23,47,16.28
2004-07-30,40,15.80
2004-08-06,42,14.97
2004-08-13,34,15.00
2004-08-20,41,16.29
2004-08-27,35,16.83
2004-09-03,34,17.05
2004-09-10,34,16.89
2004-09-17,37,15.72
2004-09-24,37,15.53
2004-10-01,35,15.80
2004-10-08,35,15.18
2004-10-15,35,15.02
2004-10-22,37,14.97
2004-10-29,36,15.11
2004-11-05,33,16.21
2004-11-12,38,16.30
2004-11-19,37,15.92
2004-11-26,38,16.26
2004-12-03,39,15.92
2004-12-10,39,16.96
2004-12-17,39,16.92
2004-12-24,39,
2004-12-31,31,17.54
2005-01-07,41,16.63
2005-01-14,41,16.78
2005-01-21,38,16.81
2005-01-28,30,17.24
2005-02-04,33,17.19
2005-02-11,33,17.28
2005-02-18,36,17.98
2005-02-25,36,17.64
2005-03-04,31,17.85
2005-03-11,35,15.97
2005-03-18,37,15.62
2005-03-25,31,
2005-04-01,36,15.67
2005-04-08,33,15.94
2005-04-15,32,15.65
2005-04-22,34,15.59
2005-04-29,36,15.77
2005-05-06,33,16.00
2005-05-13,33,15.92
2005-05-20,30,17.10
2005-05-27,35,16.88
2005-06-03,40,16.70
2005-06-10,35,16.64
2005-06-17,41,17.39
2005-06-24,36,19.67
2005-07-01,38,18.86
2005-07-08,36,19.49
2005-07-15,36,19.57
2005-07-22,39,19.50
2005-07-29,39,19.85
2005-08-05,36,19.37
2005-08-12,35,19.33
2005-08-19,32,19.70
2005-08-26,35,19.45
2005-09-02,42,19.91
2005-09-09,42,20.07
2005-09-16,38,20.55
2005-09-23,38,20.38
2005-09-30,38,20.59
2005-10-07,34,20.06
2005-10-14,41,19.72
2005-10-21,34,19.80
2005-10-28,38,19.60
2005-11-04,36,19.37
2005-11-11,41,19.43
2005-11-18,34,19.44
2005-11-25,38,19.51
2005-12-02,37,19.93
2005-12-09,41,19.49
2005-12-16,42,19.11
2005-12-23,37,18.97
2005-12-30,39,18.88
2006-01-06,37,18.76
2006-01-13,39,18.76
2006-01-20,38,19.05
2006-01-27,40,18.57
2006-02-03,36,18.63
2006-02-10,36,19.52
2006-02-17,41,19.98
2006-02-24,40,19.99
2006-03-03,36,19.96
2006-03-10,37,20.50
2006-03-17,46,20.74
2006-03-24,36,20.84
2006-03-31,40,20.36
2006-04-07,43,19.94
2006-04-14,35,
2006-04-21,39,19.67
2006-04-28,45,20.26
2006-05-05,40,20.61
2006-05-12,38,19.92
2006-05-19,41,19.91
2006-05-26,43,20.24
2006-06-02,40,20.24
2006-06-09,45,19.69
2006-06-16,39,19.61
2006-06-23,41,20.53
2006-06-30,45,21.86
2006-07-07,41,21.79
2006-07-14,34,21.97
2006-07-21,52,23.12
2006-07-28,38,22.98
2006-08-04,37,22.90
2006-08-11,38,22.68
2006-08-18,35,23.28
2006-08-25,41,23.28
2006-09-01,43,23.76
2006-09-08,42,23.99
2006-09-15,47,22.50
2006-09-22,38,22.84
2006-09-29,41,23.14
2006-10-06,42,22.49
2006-10-13,45,21.95
2006-10-20,39,22.28
2006-10-27,41,22.80
2006-11-03,44,21.60
2006-11-10,43,22.09
2006-11-17,40,22.17
2006-11-24,42,21.77
2006-12-01,42,21.65
2006-12-08,48,23.07
2006-12-15,42,24.29
2006-12-22,46,23.20
2006-12-29,45,23.07
2007-01-05,49,23.60
2007-01-12,43,23.58
2007-01-19,47,24.12
2007-01-26,49,24.51
2007-02-02,48,25.85
2007-02-09,47,25.88
2007-02-16,44,26.47
2007-02-23,43,25.67
2007-03-02,46,25.35
2007-03-09,44,25.29
2007-03-16,46,26.60
2007-03-23,46,28.31
2007-03-30,46,28.25
2007-04-06,50,
2007-04-13,52,28.66
2007-04-20,52,30.01
2007-04-27,49,29.73
2007-05-04,50,29.52
2007-05-11,48,28.85
2007-05-18,46,29.59
2007-05-25,52,29.55
2007-06-01,49,31.41
2007-06-08,49,29.55
2007-06-15,48,30.65
2007-06-22,48,29.10
2007-06-29,48,28.13
2007-07-06,49,28.23
2007-07-13,52,28.81
2007-07-20,52,28.34
2007-07-27,44,26.32
2007-08-03,50,25.83
2007-08-10,49,25.46
2007-08-17,50,26.09
2007-08-24,47,27.38
2007-08-31,47,26.58
2007-09-07,50,25.45
2007-09-14,50,27.17
2007-09-21,43,28.54
2007-09-28,49,28.52
2007-10-05,48,29.00
2007-10-12,47,29.82
2007-10-19,52,28.01
2007-10-26,47,28.68
2007-11-02,49,28.33
2007-11-09,47,26.71
2007-11-16,47,28.65
2007-11-23,54,28.00
2007-11-30,54,28.75
2007-12-07,59,28.39
2007-12-14,52,26.21
2007-12-21,54,26.80
2007-12-28,52,26.97
2008-01-04,53,25.34
2008-01-11,49,26.45
2008-01-18,53,25.39
2008-01-25,53,25.30
2008-02-01,52,25.98
2008-02-08,53,25.72
2008-02-15,49,26.87
2008-02-22,63,25.74
2008-02-29,51,24.25
2008-03-07,49,25.66
2008-03-14,51,24.29
2008-03-21,56,
2008-03-28,56,25.16
2008-04-04,54,25.20
2008-04-11,54,23.89
2008-04-18,49,25.00
2008-04-25,53,26.39
2008-05-02,54,27.37
2008-05-09,53,26.30
2008-05-16,49,27.96
2008-05-23,53,26.96
2008-05-30,52,27.64
2008-06-06,51,27.30
2008-06-13,53,27.60
2008-06-20,53,26.90
2008-06-27,57,28.65
2008-07-04,49,
2008-07-11,53,28.87
2008-07-18,54,28.12
2008-07-25,51,27.01
2008-08-01,51,28.02
2008-08-08,53,29.11
2008-08-15,53,30.05
2008-08-22,53,28.21
2008-08-29,54,27.62
2008-09-05,53,26.87
2008-09-12,53,27.89
2008-09-19,51,27.04
2008-09-26,55,27.85
2008-10-03,54,27.20
2008-10-10,54,23.78
2008-10-17,54,25.23
2008-10-24,54,26.39
2008-10-31,50,27.46
2008-11-07,51,27.52
2008-11-14,51,28.02
2008-11-21,52,26.21
2008-11-28,54,27.66
2008-12-05,55,27.42
2008-12-12,57,25.56
2008-12-19,55,25.42
2008-12-26,60,25.30
2009-01-02,63,26.54
2009-01-09,60,24.81
2009-01-16,62,24.97
2009-01-23,72,24.54
2009-01-30,68,22.50
2009-02-06,68,22.91
2009-02-13,68,21.28
2009-02-20,66,22.17
2009-02-27,66,20.67
2009-03-06,66,19.85
2009-03-13,68,21.27
2009-03-20,71,20.71
2009-03-27,68,22.05
2009-04-03,69,21.48
2009-04-10,67,
2009-04-17,64,20.71
2009-04-24,64,21.42
2009-05-01,62,21.97
2009-05-08,61,21.73
2009-05-15,67,21.80
2009-05-22,63,22.33
2009-05-29,61,22.80
2009-06-05,64,22.95
2009-06-12,63,21.72
2009-06-19,62,21.46
2009-06-26,64,22.38
2009-07-03,64,
2009-07-10,66,21.66
2009-07-17,63,21.66
2009-07-24,59,21.36
2009-07-31,60,21.38
2009-08-07,60,20.90
2009-08-14,55,21.04
2009-08-21,58,21.38
2009-08-28,58,21.78
2009-09-04,59,21.99
2009-09-11,60,21.78
2009-09-18,59,20.72
2009-09-25,62,20.57
2009-10-02,55,20.98
2009-10-09,56,22.31
2009-10-16,54,24.67
2009-10-23,52,23.70
2009-10-30,55,23.13
2009-11-06,53,23.27
2009-11-13,58,23.29
2009-11-20,55,22.86
2009-11-27,59,22.87
2009-12-04,57,22.50
2009-12-11,61,20.03
2009-12-18,60,20.13
2009-12-25,58,
2010-01-01,55,
2010-01-08,55,20.26
2010-01-15,56,20.72
2010-01-22,61,21.77
2010-01-29,57,21.43
2010-02-05,57,21.18
2010-02-12,55,21.36
2010-02-19,57,22.09
2010-02-26,59,22.10
2010-03-05,57,22.74
2010-03-12,55,22.27
2010-03-19,56,21.64
2010-03-26,56,21.21
2010-04-02,57,
2010-04-09,58,22.54
2010-04-16,58,23.64
2010-04-23,58,23.70
2010-04-30,60,22.23
2010-05-07,57,21.55
2010-05-14,61,22.24
2010-05-21,59,21.26
2010-05-28,60,20.13
2010-06-04,62,19.32
2010-06-11,63,19.99
2010-06-18,56,20.06
2010-06-25,59,20.23
2010-07-02,59,19.86
2010-07-09,59,20.46
2010-07-16,59,20.37
2010-07-23,57,20.80
2010-07-30,55,21.18
2010-08-06,56,22.20
2010-08-13,60,22.00
2010-08-20,60,21.13
2010-08-27,60,20.33
2010-09-03,59,20.69
2010-09-10,63,21.25
2010-09-17,66,21.79
2010-09-24,58,22.09
2010-10-01,57,21.72
2010-10-08,61,21.29
2010-10-15,59,22.01
2010-10-22,60,21.80
2010-10-29,59,22.00
2010-11-05,58,23.11
2010-11-12,58,22.99
2010-11-19,59,22.83
2010-11-26,62,23.07
2010-12-03,61,21.11
2010-12-10,61,20.65
2010-12-17,60,21.70
2010-12-24,61,
2010-12-31,62,22.36
2011-01-07,62,21.60
2011-01-14,60,21.44
2011-01-21,62,21.56
2011-01-28,61,21.29
2011-02-04,59,22.33
2011-02-11,64,22.59
2011-02-18,60,23.10
2011-02-25,60,22.86
2011-03-04,60,23.60
2011-03-11,61,23.91
2011-03-18,62,23.86
2011-03-25,60,23.70
