Date,Ford Motor,Price
2004-01-09,100,
2004-01-16,86,
2004-01-23,97,
2004-01-30,86,
2004-02-06,88,14.28
2004-02-13,83,14.36
2004-02-20,84,14.17
2004-02-27,90,13.75
2004-03-05,84,14.10
2004-03-12,74,13.29
2004-03-19,79,13.06
2004-03-26,76,13.28
2004-04-02,86,13.66
2004-04-09,90,
2004-04-16,91,13.34
2004-04-23,87,15.70
2004-04-30,91,15.36
2004-05-07,70,14.40
2004-05-14,77,14.70
2004-05-21,79,14.24
2004-05-28,79,14.85
2004-06-04,75,14.91
2004-06-11,74,
2004-06-18,69,15.89
2004-06-25,66,15.85
2004-07-02,69,14.95
2004-07-09,82,15.16
2004-07-16,85,14.85
2004-07-23,85,14.67
2004-07-30,82,14.72
2004-08-06,81,14.07
2004-08-13,78,13.80
2004-08-20,87,14.11
2004-08-27,73,14.12
2004-09-03,79,14.21
2004-09-10,77,13.96
2004-09-17,70,14.22
2004-09-24,82,13.80
2004-10-01,84,14.19
2004-10-08,76,13.95
2004-10-15,71,13.25
2004-10-22,78,12.97
2004-10-29,75,13.03
2004-11-05,84,13.81
2004-11-12,72,14.23
2004-11-19,78,14.15
2004-11-26,74,14.25
2004-12-03,76,14.31
2004-12-10,64,14.22
2004-12-17,68,14.34
2004-12-24,63,
2004-12-31,65,14.64
2005-01-07,71,14.65
2005-01-14,73,14.06
2005-01-21,74,13.11
2005-01-28,73,13.14
2005-02-04,79,13.22
2005-02-11,74,13.06
2005-02-18,72,12.96
2005-02-25,66,13.00
2005-03-04,67,12.40
2005-03-11,70,12.39
2005-03-18,72,11.39
2005-03-25,81,
2005-04-01,76,11.18
2005-04-08,68,11.03
2005-04-15,70,9.50
2005-04-22,73,9.89
2005-04-29,73,9.11
2005-05-06,72,9.76
2005-05-13,76,9.30
2005-05-20,74,10.00
2005-05-27,65,10.07
2005-06-03,67,9.90
2005-06-10,61,10.33
2005-06-17,68,11.28
2005-06-24,72,10.21
2005-07-01,66,10.31
2005-07-08,77,10.42
2005-07-15,77,11.00
2005-07-22,81,10.72
2005-07-29,75,10.74
2005-08-05,71,10.36
2005-08-12,71,10.14
2005-08-19,69,9.76
2005-08-26,66,9.77
2005-09-02,69,9.86
2005-09-09,62,9.90
2005-09-16,66,9.93
2005-09-23,65,9.79
2005-09-30,64,9.86
2005-10-07,58,9.23
2005-10-14,64,8.61
2005-10-21,68,8.25
2005-10-28,63,8.02
2005-11-04,64,8.29
2005-11-11,57,7.97
2005-11-18,66,8.40
2005-11-25,62,8.32
2005-12-02,63,8.15
2005-12-09,64,8.18
2005-12-16,58,8.30
2005-12-23,53,7.90
2005-12-30,60,7.72
2006-01-06,61,8.52
2006-01-13,64,8.55
2006-01-20,62,7.90
2006-01-27,90,8.65
2006-02-03,62,8.26
2006-02-10,65,8.27
2006-02-17,62,8.45
2006-02-24,61,8.10
2006-03-03,61,7.57
2006-03-10,58,7.84
2006-03-17,58,7.81
2006-03-24,56,8.09
2006-03-31,58,7.96
2006-04-07,57,7.60
2006-04-14,58,
2006-04-21,60,7.32
2006-04-28,61,6.95
2006-05-05,57,6.93
2006-05-12,55,7.11
2006-05-19,53,7.03
2006-05-26,52,7.31
2006-06-02,58,7.10
2006-06-09,52,6.76
2006-06-16,48,6.69
2006-06-23,58,6.52
2006-06-30,53,6.93
2006-07-07,57,6.73
2006-07-14,59,6.38
2006-07-21,66,6.28
2006-07-28,71,6.89
2006-08-04,66,7.13
2006-08-11,64,7.37
2006-08-18,59,8.00
2006-08-25,61,8.00
2006-09-01,61,8.27
2006-09-08,67,8.77
2006-09-15,73,8.02
2006-09-22,69,8.00
2006-09-29,63,8.09
2006-10-06,67,8.31
2006-10-13,55,8.17
2006-10-20,53,8.01
2006-10-27,62,8.29
2006-11-03,59,8.38
2006-11-10,57,8.58
2006-11-17,56,8.89
2006-11-24,50,8.52
2006-12-01,58,8.04
2006-12-08,53,7.23
2006-12-15,54,7.08
2006-12-22,52,7.42
2006-12-29,52,7.51
2007-01-05,61,7.62
2007-01-12,58,7.89
2007-01-19,58,8.30
2007-01-26,68,8.42
2007-02-02,59,8.23
2007-02-09,61,8.73
2007-02-16,56,8.53
2007-02-23,59,8.30
2007-03-02,56,7.59
2007-03-09,57,7.93
2007-03-16,59,7.55
2007-03-23,55,7.89
2007-03-30,54,7.89
2007-04-06,54,
2007-04-13,62,8.02
2007-04-20,54,7.75
2007-04-27,57,8.05
2007-05-04,57,8.22
2007-05-11,55,8.37
2007-05-18,55,8.69
2007-05-25,52,8.45
2007-06-01,51,8.35
2007-06-08,52,8.24
2007-06-15,51,8.92
2007-06-22,51,9.13
2007-06-29,53,9.42
2007-07-06,51,9.11
2007-07-13,53,8.97
2007-07-20,58,8.40
2007-07-27,55,8.23
2007-08-03,59,8.06
2007-08-10,58,8.23
