Date,International Paper,Price
2004-01-09,55,
2004-01-16,55,
2004-01-23,59,
2004-01-30,60,
2004-02-06,73,42.22
2004-02-13,67,43.40
2004-02-20,61,43.77
2004-02-27,58,44.26
2004-03-05,75,44.03
2004-03-12,50,41.41
2004-03-19,52,41.47
2004-03-26,47,41.58
2004-04-02,65,42.67
2004-04-09,51,
2004-04-16,59,42.74
2004-04-23,69,43.20
2004-04-30,68,40.32
2004-05-07,62,38.41
2004-05-14,70,40.77
2004-05-21,45,40.60
2004-05-28,71,41.93
2004-06-04,52,41.77
2004-06-11,57,
2004-06-18,48,43.72
2004-06-25,49,43.49
2004-07-02,59,43.55
2004-07-09,52,42.83
2004-07-16,59,43.52
2004-07-23,72,42.31
2004-07-30,51,43.23
2004-08-06,57,41.35
2004-08-13,51,40.70
2004-08-20,54,41.81
2004-08-27,53,41.15
2004-09-03,53,40.80
2004-09-10,58,40.11
2004-09-17,47,39.90
2004-09-24,51,38.85
2004-10-01,53,40.76
2004-10-08,56,40.62
2004-10-15,58,39.12
2004-10-22,51,38.60
2004-10-29,58,38.51
2004-11-05,60,40.12
2004-11-12,48,40.81
2004-11-19,61,40.50
2004-11-26,48,41.80
2004-12-03,59,40.52
2004-12-10,48,40.75
2004-12-17,60,41.34
2004-12-24,40,
2004-12-31,29,42.00
2005-01-07,48,41.29
2005-01-14,54,40.92
2005-01-21,44,39.10
2005-01-28,52,39.40
2005-02-04,54,39.54
2005-02-11,58,37.27
2005-02-18,50,38.36
2005-02-25,61,38.11
2005-03-04,64,39.60
2005-03-11,54,39.25
2005-03-18,66,38.93
2005-03-25,67,
2005-04-01,49,36.35
2005-04-08,51,37.30
2005-04-15,49,34.43
2005-04-22,50,33.85
2005-04-29,48,34.29
2005-05-06,50,33.79
2005-05-13,58,31.65
2005-05-20,42,32.89
2005-05-27,49,32.54
2005-06-03,39,32.87
2005-06-10,56,32.69
2005-06-17,54,33.90
2005-06-24,50,32.45
2005-07-01,48,30.34
2005-07-08,46,30.61
2005-07-15,42,30.86
2005-07-22,100,31.59
2005-07-29,79,31.60
2005-08-05,59,31.19
2005-08-12,59,31.31
2005-08-19,62,31.07
2005-08-26,39,30.53
2005-09-02,37,30.61
2005-09-09,44,31.85
2005-09-16,57,31.57
2005-09-23,56,30.30
2005-09-30,47,29.80
2005-10-07,52,28.39
2005-10-14,57,27.20
2005-10-21,57,28.01
2005-10-28,46,28.86
2005-11-04,48,29.36
2005-11-11,41,29.83
2005-11-18,44,30.89
2005-11-25,43,31.41
2005-12-02,48,33.46
2005-12-09,41,33.83
2005-12-16,47,33.69
2005-12-23,46,34.43
2005-12-30,25,33.61
2006-01-06,41,34.18
2006-01-13,48,33.25
2006-01-20,44,32.26
2006-01-27,43,32.71
2006-02-03,46,32.50
2006-02-10,47,32.66
2006-02-17,50,33.47
2006-02-24,41,33.44
2006-03-03,43,32.60
2006-03-10,47,34.21
2006-03-17,50,35.21
2006-03-24,54,34.43
2006-03-31,54,34.57
2006-04-07,46,34.40
2006-04-14,44,
2006-04-21,43,37.18
2006-04-28,44,36.35
2006-05-05,39,37.44
2006-05-12,41,34.60
2006-05-19,44,33.71
2006-05-26,43,33.92
2006-06-02,47,33.81
2006-06-09,45,32.18
2006-06-16,42,31.77
2006-06-23,41,31.76
2006-06-30,40,32.30
2006-07-07,45,32.75
2006-07-14,45,32.36
2006-07-21,36,31.67
2006-07-28,37,33.88
2006-08-04,37,33.64
2006-08-11,39,34.10
2006-08-18,43,34.84
2006-08-25,46,35.07
2006-09-01,50,35.01
2006-09-08,33,35.08
2006-09-15,38,34.00
2006-09-22,46,34.06
2006-09-29,40,34.63
2006-10-06,38,35.34
2006-10-13,38,35.60
2006-10-20,38,33.81
2006-10-27,44,33.76
2006-11-03,38,31.92
2006-11-10,37,32.23
2006-11-17,41,32.84
2006-11-24,31,32.86
2006-12-01,44,33.17
2006-12-08,34,33.98
2006-12-15,41,34.78
2006-12-22,37,33.80
2006-12-29,23,34.10
2007-01-05,32,33.46
2007-01-12,40,34.29
2007-01-19,37,34.67
2007-01-26,42,32.84
2007-02-02,37,34.88
2007-02-09,32,35.85
2007-02-16,40,37.78
2007-02-23,37,37.18
2007-03-02,37,35.05
2007-03-09,36,35.25
2007-03-16,33,35.30
2007-03-23,33,36.42
2007-03-30,35,36.40
2007-04-06,40,
2007-04-13,38,36.92
2007-04-20,30,37.20
2007-04-27,31,37.68
2007-05-04,36,38.10
2007-05-11,36,38.89
2007-05-18,30,39.12
2007-05-25,35,38.95
2007-06-01,32,39.58
2007-06-08,32,38.38
2007-06-15,25,38.33
2007-06-22,34,38.79
2007-06-29,33,39.05
2007-07-06,26,39.33
2007-07-13,32,40.79
2007-07-20,37,40.30
2007-07-27,36,36.72
2007-08-03,38,34.86
2007-08-10,30,33.73
2007-08-17,32,33.07
2007-08-24,33,34.40
2007-08-31,29,35.11
2007-09-07,30,35.06
2007-09-14,29,34.92
2007-09-21,33,35.86
2007-09-28,37,35.87
2007-10-05,37,36.43
2007-10-12,36,35.68
2007-10-19,37,35.10
2007-10-26,35,36.43
2007-11-02,36,35.45
2007-11-09,31,34.17
2007-11-16,32,34.11
2007-11-23,35,32.89
2007-11-30,37,33.75
2007-12-07,35,34.52
2007-12-14,37,32.36
2007-12-21,29,33.09
2007-12-28,19,32.55
2008-01-04,30,31.30
2008-01-11,30,31.02
2008-01-18,35,30.68
2008-01-25,31,31.65
2008-02-01,32,32.68
2008-02-08,33,31.84
2008-02-15,36,32.51
2008-02-22,33,32.40
2008-02-29,35,31.70
2008-03-07,32,31.31
2008-03-14,34,32.26
2008-03-21,52,
2008-03-28,42,26.95
2008-04-04,35,28.74
2008-04-11,34,27.18
2008-04-18,31,28.65
2008-04-25,32,28.17
2008-05-02,39,25.73
2008-05-09,44,25.82
2008-05-16,35,28.07
2008-05-23,28,26.49
2008-05-30,26,27.22
2008-06-06,31,25.68
2008-06-13,28,25.14
2008-06-20,30,24.48
2008-06-27,31,23.39
2008-07-04,25,
2008-07-11,31,22.00
2008-07-18,34,23.38
2008-07-25,30,23.41
2008-08-01,37,28.52
2008-08-08,33,28.96
2008-08-15,35,28.96
2008-08-22,31,27.68
2008-08-29,32,27.05
2008-09-05,28,28.47
2008-09-12,34,30.59
2008-09-19,38,28.92
2008-09-26,32,28.24
