Date,ONEOK,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,22.14
2004-02-13,0,22.42
2004-02-20,0,22.09
2004-02-27,0,22.21
2004-03-05,0,23.18
2004-03-12,0,22.92
2004-03-19,0,22.75
2004-03-26,0,21.79
2004-04-02,0,22.82
2004-04-09,0,
2004-04-16,0,22.28
2004-04-23,0,21.90
2004-04-30,0,20.95
2004-05-07,0,20.53
2004-05-14,0,20.50
2004-05-21,0,20.75
2004-05-28,0,21.37
2004-06-04,0,21.22
2004-06-11,0,
2004-06-18,0,21.15
2004-06-25,0,22.05
2004-07-02,0,22.00
2004-07-09,0,21.93
2004-07-16,0,21.80
2004-07-23,0,21.16
2004-07-30,0,21.00
2004-08-06,0,22.29
2004-08-13,0,22.60
2004-08-20,0,23.21
2004-08-27,0,23.22
2004-09-03,0,23.66
2004-09-10,0,24.24
2004-09-17,0,25.00
2004-09-24,0,25.38
2004-10-01,0,26.24
2004-10-08,0,26.49
2004-10-15,0,26.29
2004-10-22,0,26.26
2004-10-29,0,26.82
2004-11-05,0,27.04
2004-11-12,0,28.28
2004-11-19,0,27.37
2004-11-26,0,28.37
2004-12-03,0,27.63
2004-12-10,0,27.56
2004-12-17,0,28.41
2004-12-24,0,
2004-12-31,0,28.42
2005-01-07,0,27.19
2005-01-14,0,27.63
2005-01-21,0,28.18
2005-01-28,0,27.42
2005-02-04,0,29.00
2005-02-11,0,28.83
2005-02-18,0,28.95
2005-02-25,0,29.31
2005-03-04,0,30.55
2005-03-11,0,30.59
2005-03-18,0,30.54
2005-03-25,0,
2005-04-01,0,31.05
2005-04-08,0,30.63
2005-04-15,0,28.68
2005-04-22,0,29.75
2005-04-29,0,28.86
2005-05-06,0,29.92
2005-05-13,0,29.10
2005-05-20,0,30.00
2005-05-27,0,30.42
2005-06-03,0,30.59
2005-06-10,0,31.69
2005-06-17,0,31.93
2005-06-24,0,31.70
2005-07-01,0,33.13
2005-07-08,0,33.25
2005-07-15,0,33.41
2005-07-22,0,34.22
2005-07-29,0,34.95
2005-08-05,0,33.97
2005-08-12,0,33.32
2005-08-19,0,33.14
2005-08-26,0,32.96
2005-09-02,0,33.40
2005-09-09,0,34.20
2005-09-16,0,33.79
2005-09-23,0,33.03
2005-09-30,74,34.02
2005-10-07,68,32.44
2005-10-14,68,29.85
2005-10-21,0,28.47
2005-10-28,0,28.44
2005-11-04,0,28.25
2005-11-11,0,26.90
2005-11-18,0,27.55
2005-11-25,0,28.02
2005-12-02,0,27.68
2005-12-09,0,27.37
2005-12-16,0,27.55
2005-12-23,0,27.29
2005-12-30,0,26.63
2006-01-06,0,27.86
2006-01-13,0,28.50
2006-01-20,0,28.80
2006-01-27,0,28.04
2006-02-03,0,26.92
2006-02-10,0,26.59
2006-02-17,0,30.36
2006-02-24,0,31.29
2006-03-03,0,29.97
2006-03-10,0,29.25
2006-03-17,0,30.45
2006-03-24,0,30.76
2006-03-31,0,32.25
2006-04-07,0,33.15
2006-04-14,0,
2006-04-21,0,33.37
2006-04-28,57,33.01
2006-05-05,63,32.62
2006-05-12,70,31.86
2006-05-19,76,31.16
2006-05-26,82,31.82
2006-06-02,52,34.80
2006-06-09,52,34.17
2006-06-16,55,33.54
2006-06-23,58,33.26
2006-06-30,62,34.04
2006-07-07,65,33.86
2006-07-14,68,35.76
2006-07-21,52,36.29
2006-07-28,52,37.67
2006-08-04,52,37.56
2006-08-11,52,38.83
2006-08-18,52,38.82
2006-08-25,53,37.83
2006-09-01,54,38.63
2006-09-08,55,38.61
2006-09-15,57,37.29
2006-09-22,58,37.06
2006-09-29,45,37.79
2006-10-06,45,38.71
2006-10-13,48,39.50
2006-10-20,52,40.98
2006-10-27,77,41.68
2006-11-03,43,41.56
2006-11-10,40,41.81
2006-11-17,40,41.49
2006-11-24,0,41.98
2006-12-01,0,43.67
2006-12-08,0,43.64
2006-12-15,0,43.50
2006-12-22,0,43.12
2006-12-29,0,43.12
2007-01-05,0,41.86
2007-01-12,45,41.65
2007-01-19,47,42.18
2007-01-26,49,42.91
2007-02-02,51,43.05
2007-02-09,52,43.52
2007-02-16,54,43.15
2007-02-23,55,42.72
2007-03-02,55,41.74
2007-03-09,43,43.07
2007-03-16,35,44.78
2007-03-23,35,46.13
2007-03-30,70,45.00
2007-04-06,50,
2007-04-13,50,45.41
2007-04-20,61,46.32
2007-04-27,45,48.00
2007-05-04,38,49.22
2007-05-11,38,50.25
2007-05-18,32,50.90
2007-05-25,38,52.11
2007-06-01,38,54.47
2007-06-08,38,49.94
2007-06-15,47,51.22
2007-06-22,42,49.25
2007-06-29,44,50.41
2007-07-06,46,51.81
2007-07-13,48,53.83
2007-07-20,32,54.86
2007-07-27,54,50.98
2007-08-03,54,48.06
2007-08-10,79,44.90
2007-08-17,38,45.37
2007-08-24,39,47.33
2007-08-31,42,46.85
2007-09-07,29,46.53
2007-09-14,34,46.39
2007-09-21,34,46.95
2007-09-28,43,47.40
2007-10-05,52,48.30
2007-10-12,36,48.31
2007-10-19,35,47.81
2007-10-26,29,49.70
2007-11-02,60,52.05
2007-11-09,29,50.02
2007-11-16,30,48.98
2007-11-23,35,47.80
2007-11-30,36,46.50
2007-12-07,42,46.32
2007-12-14,45,45.26
2007-12-21,47,44.97
2007-12-28,50,45.27
2008-01-04,53,44.33
2008-01-11,40,48.11
2008-01-18,38,47.10
2008-01-25,31,45.21
2008-02-01,31,47.79
2008-02-08,41,46.93
2008-02-15,57,46.99
2008-02-22,47,47.65
2008-02-29,55,46.57
2008-03-07,46,47.26
2008-03-14,48,47.09
2008-03-21,42,
2008-03-28,62,43.99
2008-04-04,48,46.01
2008-04-11,34,46.02
2008-04-18,25,48.97
2008-04-25,44,49.06
2008-05-02,40,47.75
2008-05-09,55,48.84
2008-05-16,45,50.47
2008-05-23,38,49.66
2008-05-30,24,50.06
2008-06-06,37,49.85
2008-06-13,36,49.02
2008-06-20,43,48.51
2008-06-27,35,47.73
2008-07-04,33,
2008-07-11,25,47.59
2008-07-18,49,45.67
2008-07-25,49,44.92
2008-08-01,39,44.99
2008-08-08,55,43.65
2008-08-15,42,42.15
2008-08-22,43,43.91
2008-08-29,31,43.71
2008-09-05,38,42.20
2008-09-12,39,40.99
2008-09-19,66,38.11
2008-09-26,31,36.25
2008-10-03,47,33.41
2008-10-10,54,23.17
2008-10-17,63,27.91
2008-10-24,45,27.30
2008-10-31,38,31.90
2008-11-07,42,29.92
2008-11-14,64,26.88
2008-11-21,61,25.90
2008-11-28,32,29.34
2008-12-05,50,26.41
2008-12-12,63,27.43
2008-12-19,48,27.48
2008-12-26,28,27.77
2009-01-02,68,30.60
2009-01-09,46,29.43
2009-01-16,67,28.57
2009-01-23,48,29.42
2009-01-30,61,29.22
2009-02-06,47,28.05
2009-02-13,55,27.92
2009-02-20,56,24.34
2009-02-27,84,22.34
2009-03-06,55,18.93
2009-03-13,60,20.08
2009-03-20,61,22.13
2009-03-27,65,22.91
2009-04-03,58,24.11
2009-04-10,38,
2009-04-17,44,25.28
2009-04-24,39,25.43
2009-05-01,50,26.43
2009-05-08,35,28.03
2009-05-15,40,26.47
2009-05-22,38,27.27
2009-05-29,23,29.30
2009-06-05,51,29.53
2009-06-12,41,30.00
2009-06-19,23,29.27
2009-06-26,35,29.01
2009-07-03,37,
2009-07-10,35,28.50
2009-07-17,41,30.65
2009-07-24,40,33.26
2009-07-31,27,33.10
2009-08-07,39,34.18
2009-08-14,52,34.72
2009-08-21,55,35.46
2009-08-28,53,34.40
2009-09-04,36,33.49
2009-09-11,34,34.03
2009-09-18,38,36.76
2009-09-25,49,35.71
2009-10-02,33,35.18
2009-10-09,42,37.14
2009-10-16,44,37.86
2009-10-23,32,37.98
2009-10-30,24,36.21
2009-11-06,37,37.62
2009-11-13,42,39.03
2009-11-20,39,39.08
2009-11-27,20,39.68
2009-12-04,34,40.79
2009-12-11,37,42.39
2009-12-18,43,42.74
2009-12-25,20,
2010-01-01,35,
2010-01-08,46,45.40
2010-01-15,37,44.92
2010-01-22,36,44.79
2010-01-29,35,42.19
2010-02-05,44,40.75
2010-02-12,47,41.67
2010-02-19,41,43.00
2010-02-26,49,44.33
2010-03-05,48,46.89
2010-03-12,58,46.66
2010-03-19,53,45.95
2010-03-26,53,45.30
2010-04-02,59,
2010-04-09,100,47.58
2010-04-16,62,47.45
2010-04-23,49,50.04
2010-04-30,52,49.14
2010-05-07,79,45.99
2010-05-14,53,47.24
2010-05-21,66,43.22
2010-05-28,37,44.47
2010-06-04,38,43.37
2010-06-11,38,45.30
2010-06-18,64,47.00
2010-06-25,47,45.21
2010-07-02,72,42.29
2010-07-09,49,45.36
2010-07-16,48,45.08
2010-07-23,29,45.96
2010-07-30,56,46.53
2010-08-06,52,46.66
2010-08-13,34,45.20
2010-08-20,35,43.99
2010-08-27,35,44.31
2010-09-03,53,44.83
2010-09-10,43,44.46
2010-09-17,40,43.94
2010-09-24,34,44.83
2010-10-01,43,45.64
2010-10-08,42,48.13
2010-10-15,30,49.33
2010-10-22,39,50.10
2010-10-29,40,49.82
2010-11-05,33,51.12
2010-11-12,25,51.91
2010-11-19,24,50.86
2010-11-26,26,51.20
2010-12-03,38,52.98
2010-12-10,17,54.26
2010-12-17,35,54.16
2010-12-24,25,
2010-12-31,27,55.47
2011-01-07,36,55.82
2011-01-14,35,57.77
2011-01-21,45,58.51
2011-01-28,43,58.75
2011-02-04,38,59.01
2011-02-11,35,60.32
2011-02-18,54,64.65
2011-02-25,42,64.01
2011-03-04,47,64.53
2011-03-11,49,65.33
2011-03-18,46,64.04
2011-03-25,39,66.06
2011-04-01,56,67.37
2011-04-08,49,65.45
2011-04-15,54,65.05
2011-04-22,38,
2011-04-29,43,69.94
2011-05-06,61,69.48
2011-05-13,43,69.22
2011-05-20,50,70.57
2011-05-27,43,70.01
2011-06-03,37,69.70
2011-06-10,39,69.04
2011-06-17,53,69.37
2011-06-24,51,73.27
2011-07-01,51,75.35
2011-07-08,60,75.25
2011-07-15,52,74.40
2011-07-22,64,75.65
2011-07-29,52,72.79
2011-08-05,60,63.70
2011-08-12,56,66.32
2011-08-19,47,65.76
2011-08-26,55,68.80
2011-09-02,39,68.55
2011-09-09,41,66.45
2011-09-16,44,68.27
2011-09-23,50,64.37
2011-09-30,43,66.04
2011-10-07,53,67.92
2011-10-14,43,70.66
2011-10-21,36,73.66
2011-10-28,44,76.70
2011-11-04,46,77.53
2011-11-11,45,78.71
2011-11-18,42,79.66
2011-11-25,21,77.73
2011-12-02,34,83.12
2011-12-09,43,83.51
2011-12-16,34,82.06
2011-12-23,43,86.49
2011-12-30,36,86.69
2012-01-06,38,87.21
2012-01-13,46,88.81
2012-01-20,40,87.92
2012-01-27,42,85.10
2012-02-03,37,81.70
2012-02-10,43,81.01
2012-02-17,36,82.09
2012-02-24,39,83.87
2012-03-02,56,82.79
2012-03-09,38,83.26
2012-03-16,31,82.85
2012-03-23,35,82.18
2012-03-30,33,81.66
2012-04-06,52,
2012-04-13,53,80.22
2012-04-20,47,82.83
2012-04-27,46,85.49
2012-05-04,47,86.62
2012-05-11,39,86.45
2012-05-18,40,81.57
2012-05-25,38,83.60
2012-06-01,36,79.80
2012-06-08,57,41.28
2012-06-15,46,42.91
2012-06-22,51,42.59
2012-06-29,35,42.31
2012-07-06,45,42.78
2012-07-13,38,43.29
2012-07-20,51,44.06
2012-07-27,50,45.32
2012-08-03,60,44.72
2012-08-10,54,44.75
2012-08-17,38,44.30
2012-08-24,49,44.59
2012-08-31,46,44.53
2012-09-07,29,45.75
2012-09-14,44,47.09
2012-09-21,49,47.11
2012-09-28,39,48.31
2012-10-05,35,49.39
2012-10-12,41,47.80
2012-10-19,33,47.62
2012-10-26,36,47.14
2012-11-02,37,45.69
2012-11-09,29,44.92
2012-11-16,37,45.66
2012-11-23,20,45.98
2012-11-30,37,44.87
2012-12-07,35,43.00
2012-12-14,51,42.90
2012-12-21,34,43.41
2012-12-28,29,42.07
2013-01-04,33,44.37
2013-01-11,37,44.91
2013-01-18,39,46.94
2013-01-25,40,47.42
2013-02-01,43,47.32
2013-02-08,38,47.82
2013-02-15,37,47.75
2013-02-22,51,47.41
2013-03-01,62,44.63
2013-03-08,35,45.24
2013-03-15,33,44.97
2013-03-22,28,46.22
2013-03-29,51,
2013-04-05,47,47.73
2013-04-12,52,49.40
2013-04-19,38,51.35
2013-04-26,39,50.82
2013-05-03,42,47.10
2013-05-10,51,47.92
2013-05-17,37,49.25
2013-05-24,46,47.15
2013-05-31,37,45.14
2013-06-07,42,44.72
2013-06-14,44,44.34
2013-06-21,48,41.47
2013-06-28,44,41.31
2013-07-05,46,40.00
2013-07-12,35,43.17
2013-07-19,41,43.55
2013-07-26,61,52.16
2013-08-02,54,52.57
2013-08-09,45,52.43
2013-08-16,47,50.14
2013-08-23,40,51.93
2013-08-30,46,51.44
2013-09-06,35,51.28
2013-09-13,33,51.12
2013-09-20,37,53.12
2013-09-27,31,53.04
2013-10-04,49,53.88
2013-10-11,48,54.94
2013-10-18,35,54.96
2013-10-25,43,56.39
2013-11-01,40,56.40
2013-11-08,45,57.90
2013-11-15,32,57.80
2013-11-22,39,58.95
2013-11-29,24,58.07
2013-12-06,40,59.68
2013-12-13,35,58.65
2013-12-20,35,59.75
2013-12-27,24,60.88
2014-01-03,32,61.32
2014-01-10,46,64.36
2014-01-17,50,67.13
2014-01-24,46,65.36
2014-01-31,42,68.49
2014-02-07,53,59.08
2014-02-14,38,59.96
2014-02-21,38,60.71
2014-02-28,54,59.14
2014-03-07,39,58.96
2014-03-14,37,58.80
2014-03-21,37,59.43
2014-03-28,31,58.49
2014-04-04,38,59.77
2014-04-11,41,58.51
2014-04-18,31,
2014-04-25,38,62.69
2014-05-02,35,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
