Date,XOM,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,40.51
2004-02-13,0,41.91
2004-02-20,0,42.03
2004-02-27,15,42.17
2004-03-05,10,42.49
2004-03-12,10,42.03
2004-03-19,10,41.50
2004-03-26,9,40.74
2004-04-02,9,41.91
2004-04-09,9,
2004-04-16,9,43.86
2004-04-23,9,42.97
2004-04-30,12,42.55
2004-05-07,14,43.25
2004-05-14,14,43.27
2004-05-21,14,42.60
2004-05-28,11,43.25
2004-06-04,12,43.37
2004-06-11,12,
2004-06-18,11,44.98
2004-06-25,12,44.25
2004-07-02,14,44.72
2004-07-09,13,45.45
2004-07-16,9,45.83
2004-07-23,9,45.32
2004-07-30,9,46.30
2004-08-06,18,45.12
2004-08-13,12,44.92
2004-08-20,16,45.25
2004-08-27,10,45.44
2004-09-03,10,47.06
2004-09-10,10,47.37
2004-09-17,10,48.37
2004-09-24,15,47.83
2004-10-01,10,48.89
2004-10-08,11,49.84
2004-10-15,11,49.02
2004-10-22,11,48.70
2004-10-29,11,49.22
2004-11-05,12,50.39
2004-11-12,10,50.42
2004-11-19,10,50.38
2004-11-26,11,51.65
2004-12-03,13,50.27
2004-12-10,14,50.15
2004-12-17,11,49.80
2004-12-24,11,
2004-12-31,11,51.26
2005-01-07,8,49.79
2005-01-14,7,51.07
2005-01-21,8,50.44
2005-01-28,11,51.27
2005-02-04,18,55.29
2005-02-11,11,56.11
2005-02-18,12,59.41
2005-02-25,24,63.26
2005-03-04,23,63.57
2005-03-11,24,61.05
2005-03-18,9,62.65
2005-03-25,20,
2005-04-01,11,60.55
2005-04-08,19,60.01
2005-04-15,16,56.19
2005-04-22,23,59.42
2005-04-29,18,57.03
2005-05-06,22,57.60
2005-05-13,18,53.70
2005-05-20,14,54.01
2005-05-27,21,56.80
2005-06-03,16,57.15
2005-06-10,21,58.38
2005-06-17,22,60.89
2005-06-24,24,58.15
2005-07-01,18,58.31
2005-07-08,19,59.40
2005-07-15,20,58.16
2005-07-22,17,59.50
2005-07-29,26,58.75
2005-08-05,25,58.09
2005-08-12,25,61.05
2005-08-19,25,58.82
2005-08-26,22,58.41
2005-09-02,34,60.68
2005-09-09,18,63.20
2005-09-16,22,63.70
2005-09-23,33,63.83
2005-09-30,29,63.54
2005-10-07,32,59.60
2005-10-14,30,58.64
2005-10-21,33,55.37
2005-10-28,36,56.31
2005-11-04,32,57.90
2005-11-11,26,56.52
2005-11-18,27,58.25
2005-11-25,18,60.11
2005-12-02,27,59.07
2005-12-09,23,58.50
2005-12-16,21,58.06
2005-12-23,25,57.10
2005-12-30,26,56.17
2006-01-06,24,59.43
2006-01-13,24,60.97
2006-01-20,26,60.53
2006-01-27,30,61.29
2006-02-03,43,61.39
2006-02-10,26,59.43
2006-02-17,26,60.55
2006-02-24,23,60.42
2006-03-03,21,60.98
2006-03-10,28,59.18
2006-03-17,27,61.05
2006-03-24,32,61.17
2006-03-31,33,60.86
2006-04-07,29,61.33
2006-04-14,27,
2006-04-21,45,65.00
2006-04-28,48,63.08
2006-05-05,43,64.00
2006-05-12,35,62.24
2006-05-19,26,60.45
2006-05-26,27,61.58
2006-06-02,24,61.65
2006-06-09,25,58.80
2006-06-16,26,58.80
2006-06-23,25,58.10
2006-06-30,24,61.35
2006-07-07,26,62.84
2006-07-14,36,64.90
2006-07-21,31,63.93
2006-07-28,51,67.00
2006-08-04,37,68.69
2006-08-11,46,69.73
2006-08-18,35,69.10
2006-08-25,38,70.43
2006-09-01,39,68.10
2006-09-08,33,66.81
2006-09-15,32,64.65
2006-09-22,28,64.91
2006-09-29,24,67.10
2006-10-06,29,67.52
2006-10-13,25,68.40
2006-10-20,28,69.55
2006-10-27,38,71.46
2006-11-03,28,72.15
2006-11-10,35,74.42
2006-11-17,27,73.08
2006-11-24,20,72.38
2006-12-01,41,77.20
2006-12-08,33,75.50
2006-12-15,36,77.30
2006-12-22,36,75.41
2006-12-29,31,76.63
2007-01-05,36,73.24
2007-01-12,35,72.66
2007-01-19,30,73.53
2007-01-26,26,73.61
2007-02-02,37,75.54
2007-02-09,29,75.22
2007-02-16,33,75.29
2007-02-23,26,75.22
2007-03-02,37,70.01
2007-03-09,36,71.12
2007-03-16,27,69.86
2007-03-23,25,75.02
2007-03-30,33,75.45
2007-04-06,31,
2007-04-13,27,77.41
2007-04-20,36,79.76
2007-04-27,43,80.36
2007-05-04,36,80.55
2007-05-11,33,81.23
2007-05-18,38,83.26
2007-05-25,39,83.51
2007-06-01,34,84.22
2007-06-08,32,82.68
2007-06-15,36,85.94
2007-06-22,35,82.52
2007-06-29,31,83.88
2007-07-06,29,86.46
2007-07-13,41,90.33
2007-07-20,46,91.94
2007-07-27,47,85.59
2007-08-03,45,82.08
2007-08-10,42,84.51
2007-08-17,36,84.14
2007-08-24,36,85.69
2007-08-31,34,85.73
2007-09-07,27,85.75
2007-09-14,33,88.67
2007-09-21,40,92.31
2007-09-28,36,92.56
2007-10-05,33,91.36
2007-10-12,30,93.48
2007-10-19,43,92.14
2007-10-26,38,92.21
2007-11-02,50,87.93
2007-11-09,43,86.85
2007-11-16,37,85.10
2007-11-23,38,88.29
2007-11-30,38,89.16
2007-12-07,39,91.50
2007-12-14,37,91.18
2007-12-21,34,93.43
2007-12-28,27,95.00
2008-01-04,34,92.08
2008-01-11,36,90.30
2008-01-18,37,85.08
2008-01-25,39,83.94
2008-02-01,39,85.95
2008-02-08,40,81.71
2008-02-15,35,85.37
2008-02-22,34,87.17
2008-02-29,35,87.01
2008-03-07,39,82.49
2008-03-14,35,85.91
2008-03-21,41,
2008-03-28,35,85.22
2008-04-04,40,88.74
2008-04-11,34,88.62
2008-04-18,41,94.00
2008-04-25,43,92.46
2008-05-02,58,89.61
2008-05-09,44,88.82
2008-05-16,34,92.67
2008-05-23,47,90.70
2008-05-30,31,88.76
2008-06-06,50,86.79
2008-06-13,45,88.36
2008-06-20,40,84.91
2008-06-27,39,86.55
2008-07-04,36,
2008-07-11,37,85.48
2008-07-18,46,81.54
2008-07-25,42,81.70
2008-08-01,51,79.72
2008-08-08,45,78.72
2008-08-15,42,77.07
2008-08-22,39,80.30
2008-08-29,35,80.01
2008-09-05,33,75.62
2008-09-12,36,77.50
2008-09-19,53,79.61
2008-09-26,43,80.65
2008-10-03,53,77.94
2008-10-10,65,62.36
2008-10-17,77,68.04
2008-10-24,56,69.04
2008-10-31,70,74.12
2008-11-07,51,73.95
2008-11-14,47,73.68
2008-11-21,51,75.81
2008-11-28,40,80.15
2008-12-05,50,76.60
2008-12-12,46,80.45
2008-12-19,45,75.02
2008-12-26,37,77.19
2009-01-02,41,81.64
2009-01-09,41,77.57
2009-01-16,39,78.10
2009-01-23,32,78.04
2009-01-30,42,76.48
2009-02-06,44,80.34
2009-02-13,44,74.59
2009-02-20,41,71.23
2009-02-27,46,67.90
2009-03-06,46,64.03
2009-03-13,46,67.20
2009-03-20,45,66.09
2009-03-27,46,69.98
2009-04-03,41,70.44
2009-04-10,36,
2009-04-17,40,66.75
2009-04-24,38,66.57
2009-05-01,42,68.01
2009-05-08,38,70.80
2009-05-15,38,69.11
2009-05-22,40,68.83
2009-05-29,38,69.35
2009-06-05,44,72.97
2009-06-12,39,73.78
2009-06-19,40,71.05
2009-06-26,37,69.05
2009-07-03,37,
2009-07-10,46,65.12
2009-07-17,46,68.52
2009-07-24,47,72.29
2009-07-31,52,70.39
2009-08-07,47,69.47
2009-08-14,50,68.21
2009-08-21,48,69.92
2009-08-28,49,70.12
2009-09-04,46,69.18
2009-09-11,42,69.98
2009-09-18,47,69.99
2009-09-25,45,68.70
2009-10-02,39,66.58
2009-10-09,40,69.27
2009-10-16,47,73.12
2009-10-23,42,73.57
2009-10-30,48,71.67
2009-11-06,50,72.58
2009-11-13,48,72.47
2009-11-20,47,74.38
2009-11-27,49,74.87
2009-12-04,51,74.25
2009-12-11,46,72.83
2009-12-18,62,68.21
2009-12-25,62,
2010-01-01,57,
2010-01-08,68,69.52
2010-01-15,71,69.11
2010-01-22,65,66.10
2010-01-29,63,64.43
2010-02-05,76,64.80
2010-02-12,64,64.80
2010-02-19,57,65.87
2010-02-26,75,65.00
2010-03-05,74,66.47
2010-03-12,77,66.80
2010-03-19,90,67.04
2010-03-26,87,66.54
2010-04-02,100,
2010-04-09,95,68.76
2010-04-16,95,67.93
2010-04-23,90,69.24
2010-04-30,95,67.77
2010-05-07,92,63.70
2010-05-14,76,63.60
2010-05-21,64,60.88
2010-05-28,65,60.46
2010-06-04,68,59.53
2010-06-11,69,61.86
2010-06-18,63,63.10
2010-06-25,68,59.10
2010-07-02,82,56.57
2010-07-09,79,58.78
2010-07-16,78,57.96
2010-07-23,71,59.72
2010-07-30,71,59.68
2010-08-06,73,61.97
2010-08-13,65,59.91
2010-08-20,63,58.89
2010-08-27,70,59.80
2010-09-03,65,61.32
2010-09-10,58,61.20
2010-09-17,64,60.78
2010-09-24,58,61.75
2010-10-01,54,62.54
2010-10-08,56,64.38
2010-10-15,58,65.19
2010-10-22,54,66.34
2010-10-29,56,66.49
2010-11-05,54,70.00
2010-11-12,62,70.99
2010-11-19,55,70.54
2010-11-26,49,69.23
2010-12-03,48,71.19
2010-12-10,50,72.18
2010-12-17,52,72.17
2010-12-24,51,
2010-12-31,56,73.12
2011-01-07,50,75.59
2011-01-14,48,77.84
2011-01-21,44,78.98
2011-01-28,51,78.99
2011-02-04,58,83.28
2011-02-11,52,82.82
2011-02-18,54,84.50
2011-02-25,63,85.34
2011-03-04,59,85.08
2011-03-11,60,82.12
2011-03-18,56,80.85
2011-03-25,56,83.62
2011-04-01,58,84.68
2011-04-08,60,85.95
2011-04-15,56,84.29
2011-04-22,57,
2011-04-29,63,87.98
2011-05-06,60,82.69
2011-05-13,55,80.87
2011-05-20,49,81.57
2011-05-27,53,82.63
2011-06-03,56,81.18
2011-06-10,52,79.78
2011-06-17,48,79.02
2011-06-24,53,76.78
2011-07-01,51,82.01
2011-07-08,52,82.42
2011-07-15,55,83.00
2011-07-22,56,85.22
2011-07-29,58,79.79
2011-08-05,67,74.82
2011-08-12,84,72.00
2011-08-19,63,69.80
2011-08-26,59,72.64
2011-09-02,54,72.14
2011-09-09,52,71.01
2011-09-16,60,74.55
2011-09-23,67,69.31
2011-09-30,65,72.63
2011-10-07,73,73.56
2011-10-14,81,78.11
2011-10-21,91,80.13
2011-10-28,91,81.48
2011-11-04,79,78.52
2011-11-11,70,79.72
2011-11-18,65,77.90
2011-11-25,66,73.90
2011-12-02,62,79.79
2011-12-09,68,81.34
2011-12-16,64,80.16
2011-12-23,68,85.22
2011-12-30,71,84.76
2012-01-06,68,85.12
2012-01-13,66,84.88
2012-01-20,62,87.49
2012-01-27,61,85.83
2012-02-03,67,84.92
2012-02-10,64,83.80
2012-02-17,55,85.62
2012-02-24,59,87.34
2012-03-02,61,86.33
2012-03-09,59,84.30
2012-03-16,59,86.44
2012-03-23,60,85.55
2012-03-30,62,86.73
2012-04-06,60,
2012-04-13,60,82.95
2012-04-20,58,85.30
2012-04-27,62,86.08
2012-05-04,60,84.57
2012-05-11,55,83.10
2012-05-18,57,81.47
2012-05-25,62,82.08
2012-06-01,61,77.92
2012-06-08,60,80.84
2012-06-15,63,83.22
2012-06-22,62,82.11
2012-06-29,66,85.57
2012-07-06,71,84.80
2012-07-13,81,85.47
2012-07-20,83,85.95
2012-07-27,80,87.45
2012-08-03,88,87.55
2012-08-10,91,88.44
2012-08-17,89,88.40
2012-08-24,77,88.05
2012-08-31,62,87.30
2012-09-07,63,89.92
2012-09-14,62,92.30
2012-09-21,67,91.92
2012-09-28,57,91.45
2012-10-05,62,92.55
2012-10-12,61,91.03
2012-10-19,62,92.15
2012-10-26,60,90.62
2012-11-02,58,90.27
2012-11-09,60,87.21
2012-11-16,58,86.45
2012-11-23,56,89.09
2012-11-30,54,88.14
2012-12-07,63,88.60
2012-12-14,61,88.08
2012-12-21,69,87.23
2012-12-28,68,85.10
2013-01-04,62,88.96
2013-01-11,57,89.61
2013-01-18,60,90.80
2013-01-25,66,91.73
2013-02-01,69,90.04
2013-02-08,63,88.61
2013-02-15,63,88.36
2013-02-22,72,89.20
2013-03-01,72,89.43
2013-03-08,74,88.97
2013-03-15,66,89.37
2013-03-22,61,89.29
2013-03-29,61,
2013-04-05,60,89.01
2013-04-12,62,88.99
2013-04-19,66,87.45
2013-04-26,67,88.00
2013-05-03,67,90.02
2013-05-10,69,90.14
2013-05-17,62,91.76
2013-05-24,62,91.53
2013-05-31,62,90.47
2013-06-07,62,91.45
2013-06-14,60,90.58
2013-06-21,63,89.48
2013-06-28,63,90.35
2013-07-05,61,91.57
2013-07-12,70,93.40
2013-07-19,64,95.17
2013-07-26,60,94.79
2013-08-02,62,91.95
2013-08-09,60,90.72
2013-08-16,62,87.91
2013-08-23,63,87.52
2013-08-30,59,87.16
2013-09-06,59,87.25
2013-09-13,60,88.40
2013-09-20,57,88.66
2013-09-27,59,86.90
2013-10-04,57,86.32
2013-10-11,58,86.95
2013-10-18,60,87.55
2013-10-25,55,87.97
2013-11-01,57,89.82
2013-11-08,57,92.73
2013-11-15,62,95.27
2013-11-22,62,95.01
2013-11-29,58,93.48
2013-12-06,58,95.65
2013-12-13,58,95.31
2013-12-20,64,98.68
2013-12-27,65,101.51
2014-01-03,61,99.51
2014-01-10,58,100.52
2014-01-17,59,99.16
2014-01-24,54,94.85
2014-01-31,51,92.16
2014-02-07,59,90.58
2014-02-14,57,94.11
2014-02-21,57,95.03
2014-02-28,58,96.27
2014-03-07,57,94.99
2014-03-14,55,93.47
2014-03-21,51,94.31
2014-03-28,53,97.70
2014-04-04,56,97.36
2014-04-11,58,96.72
2014-04-18,59,
2014-04-25,65,100.41
2014-05-02,66,
