Date,ADI,Price
2004-01-09,63,
2004-01-16,63,
2004-01-23,60,
2004-01-30,59,
2004-02-06,63,48.04
2004-02-13,58,50.64
2004-02-20,61,49.34
2004-02-27,68,49.90
2004-03-05,78,50.79
2004-03-12,69,48.24
2004-03-19,60,45.11
2004-03-26,57,46.70
2004-04-02,59,50.73
2004-04-09,61,
2004-04-16,59,47.60
2004-04-23,61,47.62
2004-04-30,65,42.60
2004-05-07,58,45.75
2004-05-14,57,46.71
2004-05-21,63,48.08
2004-05-28,60,49.15
2004-06-04,56,47.65
2004-06-11,55,
2004-06-18,52,45.73
2004-06-25,64,46.19
2004-07-02,51,44.25
2004-07-09,60,43.25
2004-07-16,60,40.04
2004-07-23,63,39.26
2004-07-30,64,39.70
2004-08-06,63,36.20
2004-08-13,53,33.57
2004-08-20,59,36.72
2004-08-27,56,35.08
2004-09-03,55,34.17
2004-09-10,66,37.22
2004-09-17,59,37.57
2004-09-24,58,37.46
2004-10-01,53,39.88
2004-10-08,56,38.64
2004-10-15,52,37.36
2004-10-22,54,38.62
2004-10-29,61,40.26
2004-11-05,58,39.61
2004-11-12,55,39.47
2004-11-19,58,39.90
2004-11-26,61,38.70
2004-12-03,56,38.66
2004-12-10,58,36.42
2004-12-17,60,36.59
2004-12-24,55,
2004-12-31,52,36.92
2005-01-07,62,35.55
2005-01-14,63,35.64
2005-01-21,59,34.47
2005-01-28,60,34.74
2005-02-04,60,37.52
2005-02-11,62,38.05
2005-02-18,60,36.30
2005-02-25,63,37.50
2005-03-04,61,37.12
2005-03-11,48,37.13
2005-03-18,60,35.83
2005-03-25,62,
2005-04-01,57,35.71
2005-04-08,49,35.67
2005-04-15,49,32.84
2005-04-22,54,33.80
2005-04-29,50,34.11
2005-05-06,59,34.62
2005-05-13,57,35.49
2005-05-20,63,37.08
2005-05-27,66,36.69
2005-06-03,57,37.88
2005-06-10,63,38.08
2005-06-17,61,38.25
2005-06-24,65,37.96
2005-07-01,62,37.33
2005-07-08,60,39.49
2005-07-15,55,40.45
2005-07-22,53,40.71
2005-07-29,59,39.20
2005-08-05,63,37.15
2005-08-12,59,37.25
2005-08-19,57,36.24
2005-08-26,51,35.54
2005-09-02,56,36.57
2005-09-09,54,38.36
2005-09-16,55,37.85
2005-09-23,55,36.15
2005-09-30,56,37.14
2005-10-07,51,34.47
2005-10-14,55,33.38
2005-10-21,52,35.27
2005-10-28,58,34.61
2005-11-04,54,36.20
2005-11-11,54,37.40
2005-11-18,54,37.27
2005-11-25,50,38.02
2005-12-02,55,39.74
2005-12-09,56,38.44
2005-12-16,52,37.70
2005-12-23,54,37.01
2005-12-30,55,35.87
2006-01-06,53,38.37
2006-01-13,57,39.02
2006-01-20,56,37.77
2006-01-27,59,39.67
2006-02-03,55,39.77
2006-02-10,61,39.26
2006-02-17,57,38.79
2006-02-24,55,38.36
2006-03-03,58,38.52
2006-03-10,56,36.85
2006-03-17,60,37.23
2006-03-24,56,38.08
2006-03-31,60,38.29
2006-04-07,52,38.47
2006-04-14,61,
2006-04-21,56,38.45
2006-04-28,61,37.92
2006-05-05,60,35.82
2006-05-12,60,36.03
2006-05-19,59,35.33
2006-05-26,60,33.80
2006-06-02,62,34.44
2006-06-09,56,32.45
2006-06-16,59,32.99
2006-06-23,65,31.65
2006-06-30,53,32.14
2006-07-07,54,30.89
2006-07-14,54,31.36
2006-07-21,58,30.17
2006-07-28,62,32.25
2006-08-04,60,32.34
2006-08-11,59,26.73
2006-08-18,55,28.23
2006-08-25,57,28.63
2006-09-01,61,30.27
2006-09-08,59,29.63
2006-09-15,58,31.25
