Date,PAYX,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,36.37
2004-02-13,0,34.88
2004-02-20,0,34.04
2004-02-27,0,32.05
2004-03-05,0,33.08
2004-03-12,0,33.21
2004-03-19,0,34.01
2004-03-26,0,35.15
2004-04-02,0,38.37
2004-04-09,0,
2004-04-16,0,38.64
2004-04-23,0,37.85
2004-04-30,0,37.17
2004-05-07,0,37.60
2004-05-14,0,37.43
2004-05-21,0,36.38
2004-05-28,0,37.51
2004-06-04,0,37.92
2004-06-11,0,
2004-06-18,0,37.71
2004-06-25,0,33.92
2004-07-02,0,33.34
2004-07-09,0,32.00
2004-07-16,0,30.20
2004-07-23,0,30.13
2004-07-30,0,30.71
2004-08-06,0,29.22
2004-08-13,0,29.81
2004-08-20,0,29.96
2004-08-27,0,30.00
2004-09-03,0,30.90
2004-09-10,0,31.45
2004-09-17,0,31.41
2004-09-24,0,30.07
2004-10-01,0,30.68
2004-10-08,0,30.10
2004-10-15,0,30.54
2004-10-22,0,30.68
2004-10-29,0,32.79
2004-11-05,0,33.72
2004-11-12,0,33.75
2004-11-19,0,32.98
2004-11-26,0,33.46
2004-12-03,0,33.31
2004-12-10,0,32.87
2004-12-17,0,33.12
2004-12-24,0,
2004-12-31,0,34.08
2005-01-07,0,32.11
2005-01-14,0,31.14
2005-01-21,0,30.51
2005-01-28,0,30.13
2005-02-04,0,29.94
2005-02-11,0,31.34
2005-02-18,0,30.96
2005-02-25,0,31.53
2005-03-04,0,32.36
2005-03-11,0,31.96
2005-03-18,0,31.16
2005-03-25,0,
2005-04-01,0,32.23
2005-04-08,0,32.01
2005-04-15,0,31.91
2005-04-22,0,30.75
2005-04-29,0,30.60
2005-05-06,0,30.85
2005-05-13,0,30.01
2005-05-20,0,29.53
2005-05-27,0,29.58
2005-06-03,0,29.80
2005-06-10,0,30.12
2005-06-17,0,30.63
2005-06-24,0,29.77
2005-07-01,0,32.73
2005-07-08,0,34.09
2005-07-15,0,34.76
2005-07-22,0,34.89
2005-07-29,0,34.91
2005-08-05,0,34.65
2005-08-12,0,34.77
2005-08-19,0,34.41
2005-08-26,0,33.54
2005-09-02,0,33.53
2005-09-09,0,34.21
2005-09-16,0,33.60
2005-09-23,0,32.98
2005-09-30,0,37.09
2005-10-07,0,37.64
2005-10-14,0,36.53
2005-10-21,0,37.58
2005-10-28,0,38.45
2005-11-04,0,40.28
2005-11-11,0,40.72
2005-11-18,0,42.60
2005-11-25,0,43.27
2005-12-02,0,42.85
2005-12-09,0,41.17
2005-12-16,0,40.97
2005-12-23,0,40.13
2005-12-30,0,38.12
2006-01-06,0,38.46
2006-01-13,0,36.95
2006-01-20,0,37.40
2006-01-27,0,37.04
2006-02-03,0,36.45
2006-02-10,0,37.43
2006-02-17,0,37.89
2006-02-24,0,37.68
2006-03-03,0,40.29
2006-03-10,87,39.59
2006-03-17,92,40.34
2006-03-24,96,40.12
2006-03-31,100,41.66
2006-04-07,0,40.82
2006-04-14,0,
2006-04-21,0,40.50
2006-04-28,0,40.39
2006-05-05,0,40.44
2006-05-12,0,39.95
2006-05-19,0,38.55
2006-05-26,0,38.13
2006-06-02,0,37.45
2006-06-09,0,37.26
2006-06-16,0,38.60
2006-06-23,0,39.46
2006-06-30,0,38.98
2006-07-07,0,37.59
2006-07-14,0,36.75
2006-07-21,0,35.30
2006-07-28,0,34.46
2006-08-04,0,34.29
2006-08-11,0,34.04
2006-08-18,0,35.74
2006-08-25,0,35.45
2006-09-01,0,36.19
2006-09-08,0,35.22
2006-09-15,0,35.92
2006-09-22,0,35.44
2006-09-29,61,36.85
2006-10-06,68,38.21
2006-10-13,0,38.67
2006-10-20,0,38.50
2006-10-27,0,39.45
2006-11-03,0,38.50
2006-11-10,0,38.60
2006-11-17,0,40.46
2006-11-24,0,39.63
2006-12-01,0,39.24
2006-12-08,0,39.18
2006-12-15,0,40.76
2006-12-22,0,39.88
2006-12-29,0,39.54
2007-01-05,0,40.03
2007-01-12,57,40.67
2007-01-19,92,40.11
2007-01-26,0,39.77
2007-02-02,0,40.44
2007-02-09,0,40.34
2007-02-16,0,41.58
2007-02-23,0,42.38
2007-03-02,0,39.16
2007-03-09,49,39.48
2007-03-16,52,39.73
2007-03-23,55,40.73
2007-03-30,58,37.87
2007-04-06,58,
2007-04-13,59,36.75
2007-04-20,0,37.05
2007-04-27,0,37.54
2007-05-04,0,37.80
2007-05-11,0,39.04
2007-05-18,0,39.36
2007-05-25,47,40.07
2007-06-01,52,40.60
2007-06-08,0,39.69
2007-06-15,0,40.37
2007-06-22,0,39.69
2007-06-29,0,39.12
2007-07-06,0,39.37
2007-07-13,0,43.44
2007-07-20,44,42.67
2007-07-27,52,41.61
2007-08-03,65,42.54
2007-08-10,78,45.27
2007-08-17,0,44.89
2007-08-24,0,44.36
2007-08-31,0,44.43
2007-09-07,0,43.49
2007-09-14,0,43.07
2007-09-21,0,43.44
2007-09-28,50,41.00
2007-10-05,38,42.02
2007-10-12,50,42.05
2007-10-19,0,41.68
2007-10-26,0,41.23
2007-11-02,0,41.17
2007-11-09,0,38.50
2007-11-16,0,39.98
2007-11-23,0,38.19
2007-11-30,46,39.00
2007-12-07,46,40.10
2007-12-14,41,38.36
2007-12-21,44,37.29
2007-12-28,46,36.59
2008-01-04,48,34.01
2008-01-11,45,33.78
2008-01-18,40,33.21
2008-01-25,36,33.14
2008-02-01,33,33.87
2008-02-08,40,32.15
2008-02-15,35,33.67
2008-02-22,35,33.03
2008-02-29,38,31.46
2008-03-07,38,30.50
2008-03-14,41,31.10
2008-03-21,44,
2008-03-28,48,33.45
2008-04-04,53,36.39
2008-04-11,50,35.55
2008-04-18,34,36.75
2008-04-25,32,36.50
2008-05-02,39,37.11
2008-05-09,35,35.95
2008-05-16,43,36.54
2008-05-23,46,34.11
2008-05-30,34,34.55
2008-06-06,34,33.17
2008-06-13,34,33.65
2008-06-20,41,32.39
2008-06-27,0,31.58
2008-07-04,0,
2008-07-11,0,31.33
2008-07-18,0,32.96
2008-07-25,0,32.89
2008-08-01,0,32.77
2008-08-08,32,34.55
2008-08-15,32,35.02
2008-08-22,30,35.02
2008-08-29,30,34.08
2008-09-05,35,33.35
2008-09-12,40,34.01
2008-09-19,36,32.89
2008-09-26,36,33.35
2008-10-03,36,31.03
2008-10-10,57,28.34
2008-10-17,35,26.60
2008-10-24,37,24.47
2008-10-31,38,28.54
2008-11-07,39,26.89
2008-11-14,0,25.70
2008-11-21,0,25.07
2008-11-28,0,28.26
2008-12-05,0,26.51
2008-12-12,0,26.09
2008-12-19,0,26.25
2008-12-26,0,25.19
2009-01-02,0,26.94
2009-01-09,0,25.31
2009-01-16,0,25.43
2009-01-23,24,24.41
2009-01-30,28,24.29
2009-02-06,31,26.93
2009-02-13,29,25.03
2009-02-20,29,23.97
2009-02-27,29,22.06
2009-03-06,26,20.94
2009-03-13,27,22.75
2009-03-20,29,23.03
2009-03-27,28,25.35
2009-04-03,35,27.34
2009-04-10,31,
2009-04-17,31,27.41
2009-04-24,26,27.46
2009-05-01,26,26.93
2009-05-08,25,27.87
2009-05-15,41,26.72
2009-05-22,25,26.62
2009-05-29,29,27.34
2009-06-05,34,27.67
2009-06-12,24,27.57
2009-06-19,24,26.71
2009-06-26,42,25.47
2009-07-03,25,
2009-07-10,23,24.25
2009-07-17,23,25.36
2009-07-24,23,26.20
2009-07-31,28,26.50
2009-08-07,30,27.80
2009-08-14,32,28.02
2009-08-21,30,28.40
2009-08-28,24,28.42
2009-09-04,24,28.04
2009-09-11,26,28.57
2009-09-18,27,29.68
2009-09-25,34,28.78
2009-10-02,31,28.06
2009-10-09,41,28.70
2009-10-16,20,28.75
2009-10-23,20,28.52
2009-10-30,20,28.41
2009-11-06,22,30.37
2009-11-13,25,31.02
2009-11-20,19,31.05
2009-11-27,22,31.33
2009-12-04,23,32.35
2009-12-11,23,31.84
2009-12-18,24,30.92
2009-12-25,24,
2010-01-01,24,
2010-01-08,25,31.56
2010-01-15,35,30.67
2010-01-22,24,29.64
2010-01-29,39,28.99
2010-02-05,29,28.94
2010-02-12,25,29.53
2010-02-19,25,30.23
2010-02-26,24,29.94
2010-03-05,23,31.12
2010-03-12,23,32.13
2010-03-19,25,32.17
2010-03-26,23,31.21
2010-04-02,36,
2010-04-09,24,31.22
2010-04-16,32,30.82
2010-04-23,23,31.72
2010-04-30,20,30.57
2010-05-07,20,28.95
2010-05-14,23,29.46
2010-05-21,25,29.45
2010-05-28,18,28.54
2010-06-04,22,27.97
2010-06-11,25,28.36
2010-06-18,24,28.33
2010-06-25,26,26.51
2010-07-02,24,25.47
2010-07-09,21,26.28
2010-07-16,24,25.67
2010-07-23,19,26.64
2010-07-30,19,25.99
2010-08-06,23,25.56
2010-08-13,17,24.97
2010-08-20,26,25.38
2010-08-27,20,25.37
2010-09-03,24,26.27
2010-09-10,16,25.85
2010-09-17,17,25.95
2010-09-24,23,27.23
2010-10-01,28,27.26
2010-10-08,17,27.48
2010-10-15,23,27.61
2010-10-22,18,28.00
2010-10-29,23,27.74
2010-11-05,19,28.20
2010-11-12,25,27.75
2010-11-19,16,28.37
2010-11-26,22,28.66
2010-12-03,28,29.68
2010-12-10,33,30.35
2010-12-17,25,31.02
2010-12-24,31,
2010-12-31,26,30.91
2011-01-07,26,31.87
2011-01-14,29,32.31
2011-01-21,25,32.60
2011-01-28,16,31.69
2011-02-04,17,33.26
2011-02-11,26,33.33
2011-02-18,21,33.60
2011-02-25,13,33.07
2011-03-04,13,33.30
2011-03-11,16,33.21
2011-03-18,20,31.60
2011-03-25,25,31.02
2011-04-01,16,31.83
2011-04-08,17,31.96
2011-04-15,17,32.39
2011-04-22,20,
2011-04-29,22,32.71
2011-05-06,15,31.99
2011-05-13,17,32.42
2011-05-20,20,31.91
2011-05-27,23,31.94
2011-06-03,17,30.54
2011-06-10,17,29.71
2011-06-17,19,29.63
2011-06-24,21,29.99
2011-07-01,18,31.05
2011-07-08,18,31.33
2011-07-15,18,30.07
2011-07-22,18,29.89
2011-07-29,20,28.23
2011-08-05,15,27.09
2011-08-12,21,26.66
2011-08-19,25,25.35
2011-08-26,18,26.23
2011-09-02,12,26.07
2011-09-09,12,25.93
2011-09-16,16,27.08
2011-09-23,18,26.22
2011-09-30,31,26.37
2011-10-07,35,27.11
2011-10-14,15,28.50
2011-10-21,18,28.78
2011-10-28,19,29.36
2011-11-04,18,29.41
2011-11-11,21,29.40
2011-11-18,15,28.22
2011-11-25,15,27.33
2011-12-02,18,29.22
2011-12-09,20,30.06
2011-12-16,12,29.59
2011-12-23,15,29.85
2011-12-30,19,30.11
2012-01-06,15,30.79
2012-01-13,16,30.99
2012-01-20,17,32.31
2012-01-27,17,32.19
2012-02-03,20,31.95
2012-02-10,19,31.31
2012-02-17,12,31.48
2012-02-24,17,31.42
2012-03-02,12,31.30
2012-03-09,12,31.49
2012-03-16,19,31.83
2012-03-23,13,31.74
2012-03-30,35,30.99
2012-04-06,19,
2012-04-13,14,30.83
2012-04-20,14,30.76
2012-04-27,11,31.14
2012-05-04,11,29.92
2012-05-11,13,29.91
2012-05-18,15,29.41
2012-05-25,10,30.29
2012-06-01,10,29.28
2012-06-08,13,31.01
2012-06-15,16,32.03
2012-06-22,19,32.26
2012-06-29,15,31.41
2012-07-06,10,31.15
2012-07-13,11,31.87
2012-07-20,17,32.43
2012-07-27,15,33.08
2012-08-03,13,32.61
2012-08-10,18,33.18
2012-08-17,14,33.24
2012-08-24,14,33.19
2012-08-31,23,33.26
2012-09-07,12,34.22
2012-09-14,11,34.46
2012-09-21,11,34.55
2012-09-28,12,33.29
2012-10-05,15,33.57
2012-10-12,11,32.63
2012-10-19,15,32.55
2012-10-26,11,32.93
2012-11-02,11,32.94
2012-11-09,13,32.16
2012-11-16,15,31.74
2012-11-23,18,32.44
2012-11-30,13,32.54
2012-12-07,13,33.19
2012-12-14,16,33.71
2012-12-21,20,31.40
2012-12-28,11,30.88
2013-01-04,13,32.17
2013-01-11,9,31.78
2013-01-18,12,32.38
2013-01-25,14,31.84
2013-02-01,20,32.86
2013-02-08,15,33.32
2013-02-15,15,33.97
2013-02-22,15,33.12
2013-03-01,17,33.35
2013-03-08,17,33.99
2013-03-15,16,33.99
2013-03-22,16,34.44
2013-03-29,25,
2013-04-05,18,34.89
2013-04-12,21,36.14
2013-04-19,17,35.40
2013-04-26,13,35.87
2013-05-03,15,37.37
2013-05-10,18,37.74
2013-05-17,24,38.52
2013-05-24,18,37.86
2013-05-31,15,37.23
2013-06-07,15,37.15
2013-06-14,18,37.14
2013-06-21,17,37.17
2013-06-28,21,36.51
2013-07-05,14,37.61
2013-07-12,14,39.40
2013-07-19,19,39.35
2013-07-26,21,39.27
2013-08-02,22,40.77
2013-08-09,16,40.40
2013-08-16,13,39.32
2013-08-23,13,39.31
2013-08-30,15,38.68
2013-09-06,10,39.17
2013-09-13,15,40.33
2013-09-20,15,40.99
2013-09-27,11,40.35
2013-10-04,22,39.55
2013-10-11,12,40.74
2013-10-18,17,41.63
2013-10-25,18,43.00
2013-11-01,16,41.99
2013-11-08,18,42.21
2013-11-15,16,43.33
2013-11-22,17,43.50
2013-11-29,9,43.73
2013-12-06,19,43.37
2013-12-13,21,42.63
2013-12-20,21,45.15
2013-12-27,24,45.58
2014-01-03,12,45.22
2014-01-10,19,44.37
2014-01-17,22,44.10
2014-01-24,19,42.08
2014-01-31,17,41.82
2014-02-07,11,40.90
2014-02-14,15,41.59
2014-02-21,16,41.35
2014-02-28,12,41.76
2014-03-07,23,42.64
2014-03-14,11,41.82
2014-03-21,17,42.84
2014-03-28,26,42.56
2014-04-04,23,41.47
2014-04-11,14,39.92
2014-04-18,18,
2014-04-25,11,40.39
2014-05-02,18,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
