Date,buy FE,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,36.40
2004-02-13,0,37.51
2004-02-20,0,37.92
2004-02-27,0,38.63
2004-03-05,0,38.87
2004-03-12,0,37.90
2004-03-19,0,38.65
2004-03-26,0,39.00
2004-04-02,0,39.11
2004-04-09,0,
2004-04-16,0,38.60
2004-04-23,0,39.25
2004-04-30,0,39.10
2004-05-07,0,37.60
2004-05-14,0,37.27
2004-05-21,0,37.02
2004-05-28,0,39.00
2004-06-04,0,39.30
2004-06-11,0,
2004-06-18,0,37.90
2004-06-25,0,37.40
2004-07-02,0,37.31
2004-07-09,0,37.94
2004-07-16,0,38.54
2004-07-23,0,38.01
2004-07-30,0,39.10
2004-08-06,0,39.90
2004-08-13,0,39.06
2004-08-20,0,39.53
2004-08-27,0,40.12
2004-09-03,0,41.45
2004-09-10,0,40.79
2004-09-17,0,41.67
2004-09-24,0,40.80
2004-10-01,0,41.04
2004-10-08,0,40.78
2004-10-15,0,41.67
2004-10-22,0,40.85
2004-10-29,0,41.33
2004-11-05,0,41.60
2004-11-12,0,43.15
2004-11-19,0,42.07
2004-11-26,0,42.98
2004-12-03,0,39.20
2004-12-10,0,38.89
2004-12-17,0,39.32
2004-12-24,0,
2004-12-31,0,39.51
2005-01-07,0,38.50
2005-01-14,0,39.12
2005-01-21,0,38.74
2005-01-28,0,39.40
2005-02-04,0,40.15
2005-02-11,0,41.07
2005-02-18,0,40.67
2005-02-25,0,41.12
2005-03-04,0,41.47
2005-03-11,0,40.59
2005-03-18,0,41.35
2005-03-25,0,
2005-04-01,0,41.97
2005-04-08,0,41.60
2005-04-15,0,41.23
2005-04-22,0,42.38
2005-04-29,0,43.52
2005-05-06,0,42.75
2005-05-13,0,43.72
2005-05-20,0,44.12
2005-05-27,0,44.30
2005-06-03,0,45.00
2005-06-10,0,44.98
2005-06-17,0,47.13
2005-06-24,0,47.57
2005-07-01,0,48.71
2005-07-08,0,49.02
2005-07-15,0,48.97
2005-07-22,0,49.64
2005-07-29,0,49.78
2005-08-05,0,49.51
2005-08-12,0,49.72
2005-08-19,0,49.06
2005-08-26,0,50.41
2005-09-02,0,51.90
2005-09-09,0,52.73
2005-09-16,0,52.67
2005-09-23,0,50.53
2005-09-30,0,52.12
2005-10-07,0,50.76
2005-10-14,0,48.30
2005-10-21,0,46.18
2005-10-28,0,46.94
2005-11-04,0,46.33
2005-11-11,0,46.45
2005-11-18,0,46.84
2005-11-25,0,47.10
2005-12-02,0,46.83
2005-12-09,0,47.92
2005-12-16,0,49.65
2005-12-23,0,49.58
2005-12-30,0,48.99
2006-01-06,0,51.06
2006-01-13,0,50.75
2006-01-20,0,50.82
2006-01-27,0,50.58
2006-02-03,0,48.39
2006-02-10,0,49.13
2006-02-17,0,49.90
2006-02-24,0,50.50
2006-03-03,0,51.04
2006-03-10,0,49.43
2006-03-17,0,51.74
2006-03-24,0,50.29
2006-03-31,0,48.90
2006-04-07,0,48.60
2006-04-14,0,
2006-04-21,0,50.32
2006-04-28,0,50.71
2006-05-05,0,51.88
2006-05-12,0,51.53
2006-05-19,0,52.31
2006-05-26,0,52.66
2006-06-02,0,52.85
2006-06-09,0,53.73
2006-06-16,0,52.88
2006-06-23,0,52.92
2006-06-30,0,54.21
2006-07-07,0,53.74
2006-07-14,0,53.88
2006-07-21,0,55.24
2006-07-28,0,56.05
2006-08-04,0,57.03
2006-08-11,0,56.20
2006-08-18,0,56.16
2006-08-25,0,56.49
2006-09-01,0,57.14
2006-09-08,0,55.78
2006-09-15,0,56.00
2006-09-22,0,55.05
2006-09-29,0,55.86
2006-10-06,0,57.12
2006-10-13,0,57.98
2006-10-20,0,58.81
2006-10-27,0,59.53
2006-11-03,0,57.88
2006-11-10,0,59.00
2006-11-17,0,58.64
2006-11-24,0,58.97
2006-12-01,0,60.53
2006-12-08,0,60.18
2006-12-15,0,60.85
2006-12-22,100,60.68
2006-12-29,0,60.30
2007-01-05,0,59.11
2007-01-12,0,57.99
2007-01-19,0,58.57
2007-01-26,0,58.90
2007-02-02,0,60.84
2007-02-09,63,63.15
2007-02-16,67,63.07
2007-02-23,72,63.51
2007-03-02,76,61.65
2007-03-09,81,62.27
2007-03-16,78,63.11
2007-03-23,78,66.05
2007-03-30,78,66.24
2007-04-06,78,
2007-04-13,0,66.99
2007-04-20,0,68.85
2007-04-27,0,69.88
2007-05-04,0,69.83
2007-05-11,0,70.83
2007-05-18,0,71.18
2007-05-25,0,68.54
2007-06-01,73,69.34
2007-06-08,55,65.53
2007-06-15,55,66.90
2007-06-22,56,63.57
2007-06-29,58,64.73
2007-07-06,60,65.58
2007-07-13,62,67.45
2007-07-20,57,66.64
2007-07-27,56,60.44
2007-08-03,0,59.89
2007-08-10,0,60.28
2007-08-17,0,62.75
2007-08-24,0,63.33
2007-08-31,0,61.44
2007-09-07,51,61.60
2007-09-14,65,62.70
2007-09-21,80,64.71
2007-09-28,0,63.34
2007-10-05,0,66.89
2007-10-12,0,68.39
2007-10-19,0,65.51
2007-10-26,0,68.35
2007-11-02,0,69.15
2007-11-09,0,67.53
2007-11-16,45,67.66
2007-11-23,62,67.87
2007-11-30,65,68.56
2007-12-07,50,73.93
2007-12-14,49,72.43
2007-12-21,62,74.76
2007-12-28,75,73.47
2008-01-04,51,74.32
2008-01-11,51,76.87
2008-01-18,51,71.73
2008-01-25,59,68.55
2008-02-01,65,72.39
2008-02-08,70,69.97
2008-02-15,76,71.38
2008-02-22,62,70.40
2008-02-29,44,67.59
2008-03-07,44,68.42
2008-03-14,44,67.73
2008-03-21,69,
2008-03-28,66,67.88
2008-04-04,40,72.21
2008-04-11,40,74.96
2008-04-18,48,75.77
2008-04-25,57,76.90
2008-05-02,54,79.02
2008-05-09,45,75.99
2008-05-16,48,76.82
2008-05-23,52,77.76
2008-05-30,55,78.71
2008-06-06,39,76.83
2008-06-13,56,79.79
2008-06-20,72,80.94
2008-06-27,44,80.01
2008-07-04,54,
2008-07-11,48,83.21
2008-07-18,45,76.69
2008-07-25,66,72.22
2008-08-01,61,71.49
2008-08-08,57,69.76
2008-08-15,42,71.51
2008-08-22,40,73.63
2008-08-29,50,72.64
2008-09-05,56,68.70
2008-09-12,40,69.42
2008-09-19,51,68.93
2008-09-26,43,68.64
2008-10-03,42,61.01
2008-10-10,42,45.45
2008-10-17,38,49.99
2008-10-24,61,49.18
2008-10-31,47,52.16
2008-11-07,47,54.74
2008-11-14,47,52.75
2008-11-21,53,56.82
2008-11-28,54,58.58
2008-12-05,49,54.59
2008-12-12,65,54.13
2008-12-19,84,49.98
2008-12-26,83,45.93
2009-01-02,52,49.66
2009-01-09,55,48.90
2009-01-16,41,50.03
2009-01-23,35,49.57
2009-01-30,50,49.99
2009-02-06,59,52.96
2009-02-13,46,51.36
2009-02-20,43,47.39
2009-02-27,56,42.56
2009-03-06,42,37.54
2009-03-13,66,35.79
2009-03-20,43,39.65
2009-03-27,38,40.30
2009-04-03,38,39.44
2009-04-10,38,
2009-04-17,34,40.16
2009-04-24,38,40.04
2009-05-01,43,42.38
2009-05-08,33,42.48
2009-05-15,56,36.47
2009-05-22,38,37.00
2009-05-29,32,37.79
2009-06-05,49,39.13
2009-06-12,37,40.48
2009-06-19,57,38.58
2009-06-26,65,39.39
2009-07-03,56,
2009-07-10,39,39.02
2009-07-17,50,40.65
2009-07-24,45,42.82
2009-07-31,51,41.20
2009-08-07,47,42.87
2009-08-14,47,44.18
2009-08-21,59,45.38
2009-08-28,57,45.73
2009-09-04,33,45.87
2009-09-11,63,45.91
2009-09-18,35,46.98
2009-09-25,46,45.67
2009-10-02,45,44.79
2009-10-09,66,45.81
2009-10-16,66,47.13
2009-10-23,44,45.93
2009-10-30,61,43.28
2009-11-06,51,42.39
2009-11-13,45,42.07
2009-11-20,50,41.95
2009-11-27,82,42.61
2009-12-04,72,44.60
2009-12-11,78,46.69
2009-12-18,61,46.87
2009-12-25,64,
2010-01-01,79,
2010-01-08,52,45.81
2010-01-15,42,46.69
2010-01-22,72,44.13
2010-01-29,62,43.62
2010-02-05,56,41.55
2010-02-12,48,39.19
2010-02-19,49,39.70
2010-02-26,54,38.65
2010-03-05,68,39.61
2010-03-12,52,39.45
2010-03-19,63,39.78
2010-03-26,45,38.79
2010-04-02,26,
2010-04-09,67,39.57
2010-04-16,38,37.85
2010-04-23,61,37.51
2010-04-30,58,37.87
2010-05-07,69,35.06
2010-05-14,54,36.74
2010-05-21,53,34.88
2010-05-28,54,35.21
2010-06-04,60,35.22
2010-06-11,56,36.88
2010-06-18,66,38.47
2010-06-25,61,36.01
2010-07-02,63,34.60
2010-07-09,63,37.01
2010-07-16,47,37.11
2010-07-23,76,37.84
2010-07-30,48,37.70
2010-08-06,61,37.52
2010-08-13,70,36.24
2010-08-20,74,35.84
2010-08-27,66,36.66
2010-09-03,66,37.78
2010-09-10,69,37.40
2010-09-17,57,36.31
2010-09-24,43,38.10
2010-10-01,63,38.89
2010-10-08,47,38.47
2010-10-15,41,38.93
2010-10-22,75,37.52
2010-10-29,85,36.32
2010-11-05,44,35.89
2010-11-12,49,35.37
2010-11-19,49,36.25
2010-11-26,76,35.23
2010-12-03,59,35.63
2010-12-10,64,35.65
2010-12-17,60,36.28
2010-12-24,77,
2010-12-31,73,37.02
2011-01-07,55,38.25
2011-01-14,62,38.60
2011-01-21,56,39.57
2011-01-28,54,38.77
2011-02-04,60,39.63
2011-02-11,48,39.74
2011-02-18,45,37.90
2011-02-25,62,37.75
2011-03-04,56,37.01
2011-03-11,65,38.45
2011-03-18,41,36.52
2011-03-25,77,36.54
2011-04-01,43,37.25
2011-04-08,69,37.13
2011-04-15,50,38.40
2011-04-22,68,
2011-04-29,66,39.96
2011-05-06,81,41.58
2011-05-13,51,42.53
2011-05-20,60,44.76
2011-05-27,56,44.35
2011-06-03,75,43.67
2011-06-10,45,43.21
2011-06-17,75,43.74
2011-06-24,55,43.05
2011-07-01,68,44.63
2011-07-08,48,44.64
2011-07-15,61,43.28
2011-07-22,58,44.36
2011-07-29,77,44.65
2011-08-05,70,41.36
2011-08-12,64,41.31
2011-08-19,62,41.75
2011-08-26,71,42.53
2011-09-02,79,43.02
2011-09-09,75,42.71
2011-09-16,50,45.43
2011-09-23,51,45.12
2011-09-30,66,44.91
2011-10-07,67,44.29
2011-10-14,60,44.30
2011-10-21,47,45.86
2011-10-28,45,45.41
2011-11-04,61,45.51
2011-11-11,60,45.45
2011-11-18,68,44.28
2011-11-25,92,41.94
2011-12-02,65,44.29
2011-12-09,58,44.77
2011-12-16,84,43.43
2011-12-23,72,44.38
2011-12-30,80,44.30
2012-01-06,57,42.21
2012-01-13,65,42.17
2012-01-20,60,41.53
2012-01-27,60,42.26
2012-02-03,52,43.53
2012-02-10,66,42.65
2012-02-17,63,43.38
2012-02-24,49,44.07
2012-03-02,46,44.48
2012-03-09,65,44.71
2012-03-16,52,44.50
2012-03-23,51,44.72
2012-03-30,50,45.59
2012-04-06,58,
2012-04-13,61,44.94
2012-04-20,56,45.75
2012-04-27,66,47.01
2012-05-04,51,46.97
2012-05-11,55,47.81
2012-05-18,57,47.80
2012-05-25,56,46.85
2012-06-01,57,46.51
2012-06-08,55,47.86
2012-06-15,51,48.49
2012-06-22,66,48.12
2012-06-29,67,49.19
2012-07-06,57,49.18
2012-07-13,57,49.34
2012-07-20,54,50.37
2012-07-27,63,50.45
2012-08-03,40,49.51
2012-08-10,59,45.85
2012-08-17,71,45.87
2012-08-24,76,44.74
2012-08-31,52,43.70
2012-09-07,57,43.12
2012-09-14,56,43.28
2012-09-21,59,44.19
2012-09-28,63,44.10
2012-10-05,54,44.82
2012-10-12,57,44.91
2012-10-19,49,45.98
2012-10-26,68,45.63
2012-11-02,55,44.46
2012-11-09,48,42.48
2012-11-16,66,41.37
2012-11-23,63,41.07
2012-11-30,51,42.46
2012-12-07,53,41.45
2012-12-14,67,40.76
2012-12-21,71,41.61
2012-12-28,80,41.18
2013-01-04,55,42.01
2013-01-11,70,39.89
2013-01-18,61,39.89
2013-01-25,58,40.27
2013-02-01,55,40.49
2013-02-08,75,40.22
2013-02-15,53,40.57
2013-02-22,62,40.54
2013-03-01,76,39.50
2013-03-08,59,40.90
2013-03-15,58,42.10
2013-03-22,53,40.85
2013-03-29,70,
2013-04-05,57,44.09
2013-04-12,63,45.72
2013-04-19,56,45.65
2013-04-26,62,46.48
2013-05-03,66,44.99
2013-05-10,53,42.91
2013-05-17,66,43.78
2013-05-24,69,42.62
2013-05-31,55,39.01
2013-06-07,53,38.94
2013-06-14,64,38.33
2013-06-21,49,36.51
2013-06-28,56,37.34
2013-07-05,52,35.85
2013-07-12,72,37.45
2013-07-19,57,38.92
2013-07-26,57,38.91
2013-08-02,77,38.13
2013-08-09,76,37.90
2013-08-16,55,36.81
2013-08-23,78,38.13
2013-08-30,71,37.47
2013-09-06,82,36.99
2013-09-13,53,37.11
2013-09-20,65,36.66
2013-09-27,65,36.59
2013-10-04,60,36.97
2013-10-11,50,37.91
2013-10-18,49,37.94
2013-10-25,68,37.88
2013-11-01,61,38.12
2013-11-08,56,38.84
2013-11-15,65,35.47
2013-11-22,58,33.35
2013-11-29,79,32.63
2013-12-06,60,32.44
2013-12-13,71,31.71
2013-12-20,73,32.61
2013-12-27,92,32.79
2014-01-03,80,32.01
2014-01-10,65,32.40
2014-01-17,57,32.61
2014-01-24,68,31.07
2014-01-31,61,31.49
2014-02-07,48,30.76
2014-02-14,61,31.75
2014-02-21,59,31.70
2014-02-28,74,30.78
2014-03-07,56,30.67
2014-03-14,51,31.40
2014-03-21,51,32.85
2014-03-28,52,34.08
2014-04-04,53,34.03
2014-04-11,61,33.15
2014-04-18,52,
2014-04-25,52,34.65
2014-05-02,69,
