Date,HSP,Price
2004-01-09,79,
2004-01-16,84,
2004-01-23,98,
2004-01-30,96,
2004-02-06,73,
2004-02-13,93,
2004-02-20,87,
2004-02-27,91,
2004-03-05,87,
2004-03-12,62,
2004-03-19,86,
2004-03-26,74,
2004-04-02,80,
2004-04-09,87,
2004-04-16,97,
2004-04-23,80,
2004-04-30,84,
2004-05-07,85,26.66
2004-05-14,72,26.40
2004-05-21,89,25.65
2004-05-28,70,25.64
2004-06-04,77,26.50
2004-06-11,100,
2004-06-18,75,28.13
2004-06-25,70,27.96
2004-07-02,72,27.05
2004-07-09,62,26.85
2004-07-16,89,25.90
2004-07-23,92,25.39
2004-07-30,70,25.91
2004-08-06,95,24.35
2004-08-13,76,27.91
2004-08-20,73,27.85
2004-08-27,64,28.23
2004-09-03,77,28.05
2004-09-10,82,29.11
2004-09-17,70,29.41
2004-09-24,62,31.07
2004-10-01,91,30.55
2004-10-08,71,29.34
2004-10-15,80,30.09
2004-10-22,74,29.81
2004-10-29,66,31.91
2004-11-05,58,32.11
2004-11-12,71,32.15
2004-11-19,64,32.16
2004-11-26,65,32.25
2004-12-03,67,32.54
2004-12-10,73,33.79
2004-12-17,68,32.92
2004-12-24,67,
2004-12-31,65,33.50
2005-01-07,56,32.62
2005-01-14,60,32.60
2005-01-21,64,31.18
2005-01-28,66,31.48
2005-02-04,69,28.70
2005-02-11,55,29.28
2005-02-18,70,29.70
2005-02-25,58,30.06
2005-03-04,59,31.71
2005-03-11,60,31.92
2005-03-18,60,31.06
2005-03-25,70,
2005-04-01,54,32.11
2005-04-08,69,32.36
2005-04-15,73,33.09
2005-04-22,66,33.70
2005-04-29,57,33.55
2005-05-06,59,32.69
2005-05-13,59,34.69
2005-05-20,56,36.85
2005-05-27,58,37.75
2005-06-03,54,39.10
2005-06-10,52,38.82
2005-06-17,50,38.77
2005-06-24,57,38.80
2005-07-01,61,38.70
2005-07-08,56,38.97
2005-07-15,46,38.94
2005-07-22,53,39.07
2005-07-29,57,38.25
2005-08-05,55,38.25
2005-08-12,55,38.47
2005-08-19,57,37.80
2005-08-26,49,37.47
2005-09-02,55,40.11
2005-09-09,45,41.34
2005-09-16,52,41.03
2005-09-23,56,40.57
2005-09-30,54,40.97
2005-10-07,55,39.81
2005-10-14,53,38.56
2005-10-21,48,38.30
2005-10-28,51,39.64
2005-11-04,45,41.11
2005-11-11,55,43.74
2005-11-18,46,44.47
2005-11-25,47,44.20
2005-12-02,45,44.17
2005-12-09,50,44.24
2005-12-16,45,44.04
2005-12-23,46,43.87
2005-12-30,39,42.78
2006-01-06,43,44.71
2006-01-13,49,45.25
2006-01-20,45,44.65
2006-01-27,44,45.06
2006-02-03,41,45.60
2006-02-10,41,45.56
2006-02-17,45,46.93
2006-02-24,49,47.00
2006-03-03,38,40.51
2006-03-10,43,40.90
2006-03-17,38,41.67
2006-03-24,49,39.99
2006-03-31,48,39.46
2006-04-07,44,37.00
2006-04-14,43,
2006-04-21,34,38.76
2006-04-28,37,38.55
2006-05-05,35,38.32
2006-05-12,50,40.90
2006-05-19,39,42.19
2006-05-26,38,43.63
2006-06-02,40,44.88
2006-06-09,33,43.12
2006-06-16,37,42.95
2006-06-23,41,42.81
2006-06-30,36,42.94
2006-07-07,39,42.24
2006-07-14,40,41.85
2006-07-21,39,41.95
2006-07-28,34,43.84
2006-08-04,33,43.71
2006-08-11,39,34.35
2006-08-18,31,36.65
2006-08-25,35,36.28
2006-09-01,41,36.90
2006-09-08,36,36.03
2006-09-15,46,37.06
2006-09-22,44,38.72
2006-09-29,40,38.27
2006-10-06,38,37.92
2006-10-13,37,37.73
2006-10-20,42,38.64
2006-10-27,42,36.97
2006-11-03,34,36.60
2006-11-10,40,32.16
2006-11-17,35,32.80
2006-11-24,38,32.45
2006-12-01,33,32.94
2006-12-08,37,34.47
2006-12-15,37,34.22
2006-12-22,32,33.69
2006-12-29,32,33.58
2007-01-05,36,33.85
2007-01-12,37,34.65
2007-01-19,31,35.00
2007-01-26,41,36.73
2007-02-02,39,37.11
2007-02-09,40,36.82
2007-02-16,33,37.00
2007-02-23,31,37.22
2007-03-02,34,39.08
2007-03-09,36,40.02
2007-03-16,44,39.09
2007-03-23,37,39.74
2007-03-30,39,40.90
2007-04-06,35,
2007-04-13,38,41.21
2007-04-20,33,41.57
2007-04-27,32,41.06
2007-05-04,30,40.98
2007-05-11,36,40.40
2007-05-18,38,39.74
2007-05-25,32,38.87
2007-06-01,36,40.70
2007-06-08,29,39.46
2007-06-15,33,39.33
2007-06-22,33,38.67
2007-06-29,34,39.04
2007-07-06,31,40.65
2007-07-13,27,40.75
2007-07-20,33,40.36
2007-07-27,31,38.57
2007-08-03,28,39.00
2007-08-10,33,38.54
2007-08-17,32,37.80
2007-08-24,33,38.63
2007-08-31,32,38.65
2007-09-07,34,38.71
2007-09-14,34,39.31
2007-09-21,40,40.79
2007-09-28,33,41.45
2007-10-05,35,41.56
2007-10-12,35,41.20
2007-10-19,40,40.32
2007-10-26,38,40.89
2007-11-02,39,41.52
2007-11-09,40,39.40
2007-11-16,41,41.29
2007-11-23,42,42.38
2007-11-30,40,43.30
2007-12-07,39,43.93
2007-12-14,32,44.06
2007-12-21,27,42.95
2007-12-28,28,43.29
2008-01-04,35,40.73
2008-01-11,34,42.87
2008-01-18,30,41.52
2008-01-25,32,39.90
2008-02-01,33,41.75
2008-02-08,35,41.06
2008-02-15,35,41.32
2008-02-22,34,40.52
2008-02-29,36,42.56
2008-03-07,33,42.09
2008-03-14,35,42.00
2008-03-21,38,
2008-03-28,34,42.33
2008-04-04,34,43.02
2008-04-11,35,40.86
2008-04-18,34,41.29
2008-04-25,31,41.74
2008-05-02,31,41.98
2008-05-09,29,40.99
2008-05-16,30,39.96
2008-05-23,32,39.73
2008-05-30,34,41.94
2008-06-06,32,41.74
2008-06-13,30,41.31
2008-06-20,30,39.96
2008-06-27,33,39.32
2008-07-04,28,
2008-07-11,32,38.84
2008-07-18,31,38.24
2008-07-25,28,38.30
2008-08-01,31,36.96
2008-08-08,28,38.82
2008-08-15,30,39.64
2008-08-22,30,39.06
2008-08-29,28,40.36
2008-09-05,29,39.01
2008-09-12,30,39.56
2008-09-19,35,38.50
2008-09-26,33,39.26
2008-10-03,30,37.29
2008-10-10,31,29.19
2008-10-17,31,29.59
2008-10-24,36,27.26
2008-10-31,34,27.82
2008-11-07,29,30.92
2008-11-14,32,30.02
2008-11-21,31,27.18
2008-11-28,29,30.03
2008-12-05,31,27.53
2008-12-12,33,26.82
2008-12-19,30,26.05
2008-12-26,27,25.94
2009-01-02,29,27.47
2009-01-09,34,26.02
2009-01-16,36,27.04
2009-01-23,34,24.02
2009-01-30,36,24.90
2009-02-06,33,26.38
2009-02-13,32,26.36
2009-02-20,33,25.58
2009-02-27,28,23.20
2009-03-06,36,22.21
2009-03-13,30,24.57
2009-03-20,30,25.10
2009-03-27,36,30.83
2009-04-03,36,30.44
2009-04-10,33,
2009-04-17,32,32.91
2009-04-24,36,31.60
2009-05-01,30,32.29
2009-05-08,31,33.92
2009-05-15,32,33.04
2009-05-22,30,32.79
2009-05-29,30,34.50
2009-06-05,29,35.09
2009-06-12,26,34.97
2009-06-19,29,36.53
2009-06-26,32,38.73
2009-07-03,32,
2009-07-10,30,37.07
2009-07-17,34,37.14
2009-07-24,37,37.66
2009-07-31,34,38.43
2009-08-07,75,38.67
2009-08-14,54,40.09
2009-08-21,74,40.32
2009-08-28,64,39.55
2009-09-04,49,39.60
2009-09-11,38,40.82
2009-09-18,39,43.12
2009-09-25,42,44.34
2009-10-02,35,43.25
2009-10-09,32,44.88
2009-10-16,32,46.19
2009-10-23,33,45.97
2009-10-30,29,44.64
2009-11-06,29,46.59
2009-11-13,32,47.70
2009-11-20,26,46.88
2009-11-27,28,47.05
2009-12-04,28,48.12
2009-12-11,27,47.51
2009-12-18,29,47.59
2009-12-25,25,
2010-01-01,26,
2010-01-08,31,51.41
2010-01-15,31,51.29
2010-01-22,30,50.48
2010-01-29,33,50.64
2010-02-05,31,48.56
2010-02-12,27,49.95
2010-02-19,30,51.80
2010-02-26,27,52.33
2010-03-05,30,53.91
2010-03-12,30,54.00
2010-03-19,33,56.66
2010-03-26,32,56.51
2010-04-02,33,
2010-04-09,26,56.25
2010-04-16,35,57.10
2010-04-23,29,57.00
2010-04-30,32,53.79
2010-05-07,26,52.10
2010-05-14,27,52.11
2010-05-21,30,50.65
2010-05-28,29,52.06
2010-06-04,25,50.83
2010-06-11,28,53.77
2010-06-18,25,56.39
2010-06-25,24,57.60
2010-07-02,26,57.12
2010-07-09,26,58.17
2010-07-16,26,57.32
2010-07-23,23,57.20
2010-07-30,25,52.10
2010-08-06,27,51.83
2010-08-13,25,52.47
2010-08-20,27,51.32
