Date,BCR,Price
2004-01-09,20,
2004-01-16,22,
2004-01-23,21,
2004-01-30,25,
2004-02-06,20,92.90
2004-02-13,20,94.82
2004-02-20,20,92.90
2004-02-27,23,94.39
2004-03-05,29,94.66
2004-03-12,24,94.01
2004-03-19,22,94.44
2004-03-26,25,93.48
2004-04-02,25,98.25
2004-04-09,26,
2004-04-16,22,99.00
2004-04-23,26,110.11
2004-04-30,27,106.27
2004-05-07,25,106.50
2004-05-14,31,108.07
2004-05-21,26,109.47
2004-05-28,30,112.17
2004-06-04,28,56.65
2004-06-11,28,
2004-06-18,23,57.46
2004-06-25,22,54.75
2004-07-02,25,55.93
2004-07-09,24,54.73
2004-07-16,32,54.11
2004-07-23,29,54.76
2004-07-30,23,55.20
2004-08-06,24,51.75
2004-08-13,21,51.59
2004-08-20,27,54.92
2004-08-27,31,55.27
2004-09-03,42,56.81
2004-09-10,37,56.76
2004-09-17,40,56.82
2004-09-24,27,56.25
2004-10-01,28,56.25
2004-10-08,28,52.92
2004-10-15,27,53.11
2004-10-22,29,55.19
2004-10-29,33,56.80
2004-11-05,29,58.60
2004-11-12,34,59.70
2004-11-19,28,59.45
2004-11-26,32,60.01
2004-12-03,31,59.50
2004-12-10,29,60.59
2004-12-17,26,63.90
2004-12-24,23,
2004-12-31,34,63.98
2005-01-07,40,63.73
2005-01-14,32,65.61
2005-01-21,35,66.25
2005-01-28,33,66.44
2005-02-04,32,69.92
2005-02-11,29,69.16
2005-02-18,49,67.65
2005-02-25,30,67.76
2005-03-04,43,66.39
2005-03-11,32,64.87
2005-03-18,36,67.83
2005-03-25,35,
2005-04-01,40,68.14
2005-04-08,35,69.90
2005-04-15,45,68.85
2005-04-22,46,70.49
2005-04-29,28,71.17
2005-05-06,30,72.17
2005-05-13,41,70.00
2005-05-20,41,70.35
2005-05-27,38,68.47
2005-06-03,34,67.93
2005-06-10,35,68.51
2005-06-17,34,69.96
2005-06-24,33,65.41
2005-07-01,32,66.40
2005-07-08,42,67.71
2005-07-15,35,67.08
2005-07-22,31,66.32
2005-07-29,34,66.79
2005-08-05,35,63.55
2005-08-12,35,65.49
2005-08-19,32,65.22
2005-08-26,31,63.63
2005-09-02,37,65.26
2005-09-09,36,67.24
2005-09-16,49,67.50
2005-09-23,37,66.59
2005-09-30,30,66.03
2005-10-07,35,65.65
2005-10-14,34,64.76
2005-10-21,31,63.62
2005-10-28,39,61.90
2005-11-04,32,62.97
2005-11-11,35,63.32
2005-11-18,32,64.34
2005-11-25,40,64.89
2005-12-02,34,67.34
2005-12-09,36,69.40
2005-12-16,34,66.91
2005-12-23,43,67.50
2005-12-30,32,65.92
2006-01-06,29,67.60
2006-01-13,40,66.71
2006-01-20,37,64.02
2006-01-27,42,63.50
2006-02-03,39,61.92
2006-02-10,38,63.05
2006-02-17,38,64.81
2006-02-24,45,66.10
2006-03-03,40,69.67
2006-03-10,34,69.01
2006-03-17,42,69.50
2006-03-24,39,68.61
2006-03-31,41,67.81
2006-04-07,46,68.05
2006-04-14,45,
2006-04-21,39,73.30
2006-04-28,39,74.46
2006-05-05,43,74.73
2006-05-12,43,75.98
2006-05-19,42,72.76
2006-05-26,47,73.69
2006-06-02,46,73.99
2006-06-09,41,73.68
2006-06-16,43,71.47
2006-06-23,42,72.04
2006-06-30,37,73.26
2006-07-07,40,74.17
2006-07-14,40,72.98
2006-07-21,40,68.69
2006-07-28,36,71.55
2006-08-04,37,71.13
2006-08-11,43,70.98
2006-08-18,44,73.31
2006-08-25,43,73.04
2006-09-01,42,75.69
2006-09-08,45,75.44
2006-09-15,63,76.20
2006-09-22,44,75.20
2006-09-29,34,75.00
2006-10-06,38,75.82
2006-10-13,40,76.39
2006-10-20,42,83.06
2006-10-27,47,81.81
2006-11-03,44,81.21
2006-11-10,43,81.05
2006-11-17,47,82.75
2006-11-24,45,82.34
2006-12-01,38,82.49
2006-12-08,43,84.74
2006-12-15,46,83.81
2006-12-22,47,83.55
2006-12-29,44,82.97
2007-01-05,40,82.35
2007-01-12,46,82.61
2007-01-19,50,83.45
2007-01-26,48,81.10
2007-02-02,49,81.50
2007-02-09,47,81.51
2007-02-16,48,81.95
2007-02-23,48,82.41
2007-03-02,53,78.44
2007-03-09,46,79.01
2007-03-16,55,79.23
2007-03-23,55,80.27
2007-03-30,56,79.51
2007-04-06,43,
2007-04-13,41,81.44
2007-04-20,49,83.16
2007-04-27,49,84.00
2007-05-04,46,82.43
2007-05-11,54,82.35
2007-05-18,53,83.02
2007-05-25,53,84.17
2007-06-01,53,84.46
2007-06-08,59,84.63
2007-06-15,53,84.84
2007-06-22,52,82.07
2007-06-29,55,82.63
2007-07-06,62,83.50
2007-07-13,55,84.39
2007-07-20,55,81.04
2007-07-27,45,79.00
2007-08-03,52,78.41
2007-08-10,50,81.23
2007-08-17,52,80.60
2007-08-24,48,82.60
2007-08-31,54,83.39
2007-09-07,62,83.30
2007-09-14,68,85.17
2007-09-21,58,86.35
2007-09-28,56,88.19
2007-10-05,49,87.73
2007-10-12,55,87.00
2007-10-19,50,85.83
2007-10-26,50,82.04
2007-11-02,55,80.96
2007-11-09,55,83.55
2007-11-16,55,84.87
2007-11-23,68,83.58
2007-11-30,98,84.53
2007-12-07,71,85.11
2007-12-14,61,83.50
2007-12-21,63,93.70
2007-12-28,47,95.05
2008-01-04,40,90.70
2008-01-11,60,96.53
2008-01-18,58,96.68
2008-01-25,56,91.65
2008-02-01,61,96.92
2008-02-08,63,95.71
2008-02-15,60,96.47
2008-02-22,55,96.09
2008-02-29,56,94.79
2008-03-07,57,92.85
2008-03-14,58,95.95
2008-03-21,54,
2008-03-28,60,97.51
2008-04-04,63,98.61
2008-04-11,62,95.43
2008-04-18,59,97.38
2008-04-25,58,92.76
2008-05-02,48,93.47
2008-05-09,62,91.22
2008-05-16,64,91.25
2008-05-23,55,90.51
2008-05-30,58,91.20
2008-06-06,54,89.43
2008-06-13,57,90.90
2008-06-20,54,88.29
2008-06-27,59,88.15
2008-07-04,61,
2008-07-11,58,88.17
2008-07-18,66,91.14
2008-07-25,57,95.26
2008-08-01,62,92.07
2008-08-08,64,93.36
2008-08-15,61,93.94
2008-08-22,63,95.71
2008-08-29,60,93.45
2008-09-05,70,93.98
2008-09-12,74,96.17
2008-09-19,63,94.98
2008-09-26,58,98.60
2008-10-03,70,93.80
2008-10-10,78,82.00
2008-10-17,71,78.58
2008-10-24,69,81.18
2008-10-31,75,88.25
2008-11-07,67,87.14
2008-11-14,71,82.91
2008-11-21,71,81.01
2008-11-28,70,82.03
2008-12-05,72,84.20
2008-12-12,83,81.03
2008-12-19,83,79.75
2008-12-26,57,81.02
2009-01-02,55,85.01
2009-01-09,81,83.32
2009-01-16,90,86.01
2009-01-23,78,85.79
2009-01-30,77,85.57
2009-02-06,70,86.60
2009-02-13,71,86.98
2009-02-20,72,85.68
2009-02-27,72,80.26
2009-03-06,66,72.38
2009-03-13,71,74.94
2009-03-20,73,76.26
2009-03-27,72,79.97
2009-04-03,76,78.09
2009-04-10,73,
2009-04-17,79,80.10
2009-04-24,64,71.20
2009-05-01,67,72.22
2009-05-08,74,73.52
2009-05-15,81,70.81
2009-05-22,74,71.46
2009-05-29,76,71.49
2009-06-05,73,74.17
2009-06-12,66,74.05
2009-06-19,80,74.35
2009-06-26,73,73.86
2009-07-03,83,
2009-07-10,87,72.76
2009-07-17,88,73.54
2009-07-24,77,71.50
2009-07-31,92,73.57
2009-08-07,86,73.31
2009-08-14,77,73.62
2009-08-21,79,75.56
2009-08-28,81,80.31
2009-09-04,84,80.45
2009-09-11,80,80.51
2009-09-18,82,80.15
2009-09-25,82,78.06
2009-10-02,79,77.39
2009-10-09,73,77.94
2009-10-16,82,76.19
2009-10-23,78,76.74
2009-10-30,76,75.07
2009-11-06,77,78.39
2009-11-13,76,80.76
2009-11-20,77,80.72
2009-11-27,79,81.86
2009-12-04,81,83.04
2009-12-11,77,83.05
2009-12-18,83,78.49
2009-12-25,70,
2010-01-01,62,
2010-01-08,79,80.51
2010-01-15,83,82.62
2010-01-22,79,79.44
2010-01-29,74,82.89
2010-02-05,80,79.92
2010-02-12,80,81.97
2010-02-19,76,83.44
2010-02-26,74,83.78
2010-03-05,76,84.71
2010-03-12,79,81.98
2010-03-19,84,83.82
2010-03-26,78,85.77
2010-04-02,71,
2010-04-09,74,85.21
2010-04-16,86,85.81
2010-04-23,73,85.94
2010-04-30,79,86.53
2010-05-07,79,82.97
2010-05-14,88,82.70
2010-05-21,82,79.57
2010-05-28,77,80.97
2010-06-04,85,78.97
2010-06-11,79,80.07
2010-06-18,85,80.30
2010-06-25,77,78.50
2010-07-02,91,76.48
2010-07-09,80,79.10
2010-07-16,85,77.58
2010-07-23,78,78.72
2010-07-30,80,78.53
2010-08-06,76,80.70
2010-08-13,83,79.92
2010-08-20,82,78.82
2010-08-27,79,77.98
2010-09-03,82,78.29
2010-09-10,84,77.31
2010-09-17,97,80.20
2010-09-24,87,79.84
2010-10-01,84,81.76
2010-10-08,78,82.98
2010-10-15,84,84.37
2010-10-22,81,83.01
2010-10-29,82,83.12
2010-11-05,77,85.00
2010-11-12,81,85.47
2010-11-19,86,84.74
2010-11-26,86,85.01
2010-12-03,87,86.33
2010-12-10,86,86.54
2010-12-17,93,95.72
2010-12-24,88,
2010-12-31,76,91.77
2011-01-07,84,90.92
2011-01-14,86,91.25
2011-01-21,85,92.95
2011-01-28,83,93.06
2011-02-04,80,93.32
2011-02-11,83,97.75
2011-02-18,88,98.71
2011-02-25,80,97.26
2011-03-04,87,97.22
2011-03-11,81,95.75
2011-03-18,92,95.26
2011-03-25,83,97.45
2011-04-01,95,100.88
2011-04-08,90,99.88
2011-04-15,100,102.05
2011-04-22,78,
2011-04-29,85,106.75
2011-05-06,90,106.64
2011-05-13,92,109.56
2011-05-20,92,111.62
2011-05-27,87,110.89
2011-06-03,89,108.29
2011-06-10,86,108.98
2011-06-17,88,108.67
2011-06-24,88,107.52
2011-07-01,94,111.69
2011-07-08,92,112.82
2011-07-15,98,111.80
2011-07-22,89,99.58
2011-07-29,90,98.68
2011-08-05,86,90.42
2011-08-12,91,91.72
2011-08-19,80,87.47
2011-08-26,82,91.46
2011-09-02,89,91.85
2011-09-09,88,89.62
2011-09-16,94,91.64
2011-09-23,89,85.81
2011-09-30,97,87.54
2011-10-07,91,83.93
2011-10-14,88,86.57
2011-10-21,81,87.27
2011-10-28,83,87.81
2011-11-04,84,87.30
2011-11-11,82,88.89
2011-11-18,88,85.25
2011-11-25,87,83.37
2011-12-02,87,85.71
2011-12-09,92,85.70
2011-12-16,97,86.16
2011-12-23,88,85.12
2011-12-30,72,85.50
2012-01-06,72,85.68
2012-01-13,85,85.45
2012-01-20,76,90.01
2012-01-27,74,93.32
2012-02-03,74,93.48
2012-02-10,70,95.67
2012-02-17,78,95.53
2012-02-24,67,94.07
2012-03-02,77,93.30
2012-03-09,73,94.07
2012-03-16,76,97.28
2012-03-23,70,96.56
2012-03-30,76,98.72
2012-04-06,68,
2012-04-13,81,96.03
2012-04-20,74,98.07
2012-04-27,75,98.71
2012-05-04,77,99.38
2012-05-11,74,101.18
2012-05-18,81,96.78
2012-05-25,74,99.90
2012-06-01,80,95.60
2012-06-08,72,99.61
2012-06-15,76,102.42
2012-06-22,71,104.43
2012-06-29,78,107.44
2012-07-06,77,106.68
2012-07-13,77,107.71
2012-07-20,80,105.71
2012-07-27,73,99.59
2012-08-03,75,97.46
2012-08-10,75,98.57
2012-08-17,79,98.40
2012-08-24,80,97.95
2012-08-31,82,98.11
2012-09-07,80,100.80
2012-09-14,81,102.23
2012-09-21,75,104.74
2012-09-28,74,104.65
2012-10-05,77,105.60
2012-10-12,77,100.98
2012-10-19,77,99.72
2012-10-26,74,96.44
2012-11-02,80,96.07
2012-11-09,77,94.73
2012-11-16,78,95.78
2012-11-23,73,98.54
2012-11-30,77,99.01
2012-12-07,84,97.46
2012-12-14,84,96.22
2012-12-21,89,98.18
2012-12-28,70,95.99
2013-01-04,62,100.93
2013-01-11,79,103.13
2013-01-18,88,101.59
2013-01-25,73,103.44
2013-02-01,75,99.35
2013-02-08,70,101.19
2013-02-15,74,100.79
2013-02-22,63,98.27
2013-03-01,68,98.80
2013-03-08,65,100.67
2013-03-15,69,101.88
2013-03-22,63,100.62
2013-03-29,65,
2013-04-05,69,100.11
2013-04-12,70,103.05
2013-04-19,70,99.53
2013-04-26,65,98.55
2013-05-03,67,101.57
2013-05-10,60,104.61
2013-05-17,70,107.41
2013-05-24,60,105.14
2013-05-31,69,103.09
2013-06-07,67,105.40
2013-06-14,73,111.04
2013-06-21,65,110.10
2013-06-28,66,108.68
2013-07-05,69,108.41
2013-07-12,69,111.16
2013-07-19,72,114.17
2013-07-26,66,114.46
2013-08-02,65,115.77
2013-08-09,62,117.37
2013-08-16,68,111.82
2013-08-23,64,114.51
2013-08-30,67,114.87
2013-09-06,63,117.81
2013-09-13,66,118.62
2013-09-20,64,118.45
2013-09-27,65,115.74
2013-10-04,67,115.86
2013-10-11,63,119.08
2013-10-18,70,124.50
2013-10-25,59,134.55
2013-11-01,65,136.38
2013-11-08,60,137.62
2013-11-15,66,139.05
2013-11-22,60,139.85
2013-11-29,62,138.88
2013-12-06,65,137.44
2013-12-13,66,133.60
2013-12-20,69,132.15
2013-12-27,50,133.29
2014-01-03,45,131.13
2014-01-10,63,134.41
2014-01-17,64,135.21
2014-01-24,57,133.09
2014-01-31,59,129.59
2014-02-07,61,131.02
2014-02-14,61,139.19
2014-02-21,60,141.57
2014-02-28,65,144.16
2014-03-07,59,143.71
2014-03-14,66,144.92
2014-03-21,58,145.84
2014-03-28,58,145.50
2014-04-04,60,148.06
2014-04-11,60,137.27
2014-04-18,58,
2014-04-25,56,136.24
2014-05-02,60,
