Date,Murphy Oil,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,60.19
2004-02-13,0,61.40
2004-02-20,0,61.75
2004-02-27,0,62.73
2004-03-05,0,64.73
2004-03-12,0,63.70
2004-03-19,0,62.80
2004-03-26,0,60.99
2004-04-02,0,62.78
2004-04-09,52,
2004-04-16,47,64.62
2004-04-23,47,64.22
2004-04-30,0,68.50
2004-05-07,0,66.80
2004-05-14,0,66.04
2004-05-21,0,63.77
2004-05-28,0,65.26
2004-06-04,0,65.95
2004-06-11,0,
2004-06-18,0,71.34
2004-06-25,0,72.45
2004-07-02,0,75.77
2004-07-09,0,78.05
2004-07-16,0,78.54
2004-07-23,0,76.57
2004-07-30,0,77.34
2004-08-06,53,71.45
2004-08-13,0,72.21
2004-08-20,0,71.80
2004-08-27,0,72.68
2004-09-03,0,77.29
2004-09-10,0,79.76
2004-09-17,41,84.52
2004-09-24,44,85.06
2004-10-01,48,85.76
2004-10-08,51,84.61
2004-10-15,55,81.86
2004-10-22,58,84.02
2004-10-29,57,80.02
2004-11-05,57,81.52
2004-11-12,57,81.60
2004-11-19,57,80.91
2004-11-26,45,85.51
2004-12-03,45,79.99
2004-12-10,45,78.40
2004-12-17,45,79.90
2004-12-24,48,
2004-12-31,52,80.45
2005-01-07,36,77.89
2005-01-14,34,82.06
2005-01-21,43,83.11
2005-01-28,51,89.06
2005-02-04,60,91.38
2005-02-11,37,93.18
2005-02-18,38,96.00
2005-02-25,38,99.15
2005-03-04,38,101.33
2005-03-11,38,99.54
2005-03-18,32,103.37
2005-03-25,32,
2005-04-01,33,101.45
2005-04-08,47,99.87
2005-04-15,31,89.20
2005-04-22,31,90.81
2005-04-29,52,89.09
2005-05-06,39,88.74
2005-05-13,39,86.93
2005-05-20,33,90.76
2005-05-27,49,99.08
2005-06-03,33,100.75
2005-06-10,33,51.58
2005-06-17,48,54.48
2005-06-24,47,54.06
2005-07-01,47,53.02
2005-07-08,50,54.44
2005-07-15,41,53.46
2005-07-22,43,53.80
2005-07-29,49,53.04
2005-08-05,40,53.52
2005-08-12,42,55.88
2005-08-19,36,54.14
2005-08-26,34,52.79
2005-09-02,88,53.68
2005-09-09,100,52.70
2005-09-16,77,49.20
2005-09-23,60,48.94
2005-09-30,49,49.87
2005-10-07,63,45.09
2005-10-14,52,44.35
2005-10-21,45,42.45
2005-10-28,58,46.01
2005-11-04,45,47.86
2005-11-11,52,45.99
2005-11-18,51,48.02
2005-11-25,45,50.30
2005-12-02,44,50.73
2005-12-09,47,53.14
2005-12-16,34,53.85
2005-12-23,29,53.84
2005-12-30,25,53.99
2006-01-06,25,55.04
2006-01-13,43,57.58
2006-01-20,32,58.48
2006-01-27,46,56.20
2006-02-03,49,53.38
2006-02-10,36,46.21
2006-02-17,29,47.63
2006-02-24,36,47.84
2006-03-03,31,47.32
2006-03-10,26,46.55
2006-03-17,28,46.78
2006-03-24,39,49.14
2006-03-31,22,49.82
2006-04-07,28,50.45
2006-04-14,25,
2006-04-21,45,53.18
2006-04-28,71,50.18
2006-05-05,31,51.88
2006-05-12,37,51.05
2006-05-19,33,50.24
2006-05-26,49,51.76
2006-06-02,26,54.58
2006-06-09,32,49.99
2006-06-16,28,49.16
2006-06-23,41,51.51
2006-06-30,34,55.86
2006-07-07,43,55.67
2006-07-14,30,56.90
2006-07-21,28,53.28
2006-07-28,30,51.22
2006-08-04,35,50.04
2006-08-11,54,50.54
2006-08-18,37,49.27
2006-08-25,45,49.98
2006-09-01,31,49.75
2006-09-08,39,47.34
2006-09-15,44,46.97
2006-09-22,37,46.36
2006-09-29,27,47.55
2006-10-06,27,48.60
2006-10-13,37,50.39
2006-10-20,26,51.20
2006-10-27,28,46.80
2006-11-03,39,47.37
2006-11-10,41,48.58
2006-11-17,46,49.51
2006-11-24,25,51.11
2006-12-01,24,53.45
2006-12-08,24,53.55
2006-12-15,26,52.80
2006-12-22,31,50.60
2006-12-29,23,50.85
2007-01-05,19,48.19
2007-01-12,33,46.61
2007-01-19,28,46.73
2007-01-26,47,48.70
2007-02-02,46,51.52
2007-02-09,30,51.19
2007-02-16,33,51.27
2007-02-23,31,51.72
2007-03-02,24,50.79
2007-03-09,28,52.55
2007-03-16,27,51.37
2007-03-23,30,54.29
2007-03-30,29,53.40
2007-04-06,27,
2007-04-13,27,56.51
2007-04-20,19,57.06
2007-04-27,34,56.28
2007-05-04,25,57.39
2007-05-11,33,57.73
2007-05-18,29,59.71
2007-05-25,25,59.03
2007-06-01,34,59.61
2007-06-08,36,59.00
2007-06-15,36,59.87
2007-06-22,23,58.56
2007-06-29,42,59.44
2007-07-06,29,60.81
2007-07-13,29,63.39
2007-07-20,32,64.54
2007-07-27,36,62.41
2007-08-03,36,58.83
2007-08-10,32,59.43
2007-08-17,25,61.65
2007-08-24,41,60.38
2007-08-31,32,60.94
2007-09-07,21,61.19
2007-09-14,31,64.54
2007-09-21,32,69.58
2007-09-28,36,69.89
2007-10-05,31,74.20
2007-10-12,25,76.51
2007-10-19,37,75.45
2007-10-26,28,75.80
2007-11-02,35,73.54
2007-11-09,32,74.09
2007-11-16,29,72.85
2007-11-23,21,72.94
2007-11-30,42,71.52
2007-12-07,35,75.45
2007-12-14,23,76.45
2007-12-21,24,81.68
2007-12-28,20,85.38
2008-01-04,35,81.33
2008-01-11,36,78.12
2008-01-18,25,70.96
2008-01-25,33,70.79
2008-02-01,33,73.72
2008-02-08,31,73.05
2008-02-15,32,75.80
2008-02-22,32,77.12
2008-02-29,30,80.38
2008-03-07,42,79.74
2008-03-14,27,79.21
2008-03-21,39,
2008-03-28,44,80.89
2008-04-04,39,86.11
2008-04-11,45,85.01
2008-04-18,35,92.63
2008-04-25,45,90.33
2008-05-02,32,83.48
2008-05-09,36,84.59
2008-05-16,32,92.89
2008-05-23,47,94.41
2008-05-30,42,92.65
2008-06-06,52,93.32
2008-06-13,42,90.55
2008-06-20,50,89.90
2008-06-27,41,96.29
2008-07-04,42,
2008-07-11,47,90.44
2008-07-18,36,79.50
2008-07-25,45,75.66
2008-08-01,35,80.22
2008-08-08,40,75.07
2008-08-15,36,73.86
2008-08-22,28,77.64
2008-08-29,32,78.53
2008-09-05,36,72.05
2008-09-12,44,70.17
2008-09-19,41,74.96
2008-09-26,36,69.59
2008-10-03,39,54.32
2008-10-10,41,47.56
2008-10-17,43,45.80
2008-10-24,33,41.60
2008-10-31,39,50.64
2008-11-07,31,49.82
2008-11-14,31,46.86
2008-11-21,32,42.22
2008-11-28,25,44.05
2008-12-05,27,39.00
2008-12-12,26,42.37
2008-12-19,27,43.53
2008-12-26,23,41.75
2009-01-02,25,47.45
2009-01-09,20,47.63
2009-01-16,27,45.45
2009-01-23,28,45.81
2009-01-30,29,44.18
2009-02-06,27,45.14
2009-02-13,23,46.33
2009-02-20,26,41.55
2009-02-27,39,41.81
2009-03-06,25,40.08
2009-03-13,26,46.06
2009-03-20,27,47.85
2009-03-27,29,47.59
2009-04-03,27,48.88
2009-04-10,26,
2009-04-17,32,47.29
2009-04-24,34,47.05
2009-05-01,23,49.46
2009-05-08,40,56.05
2009-05-15,21,52.33
2009-05-22,21,55.17
2009-05-29,23,59.01
2009-06-05,20,59.00
2009-06-12,24,60.20
2009-06-19,33,54.95
2009-06-26,35,53.85
2009-07-03,29,
2009-07-10,25,51.01
2009-07-17,32,55.56
2009-07-24,33,58.60
2009-07-31,29,58.20
2009-08-07,28,57.51
2009-08-14,32,58.16
2009-08-21,40,59.30
2009-08-28,32,58.63
2009-09-04,28,57.02
2009-09-11,25,59.88
2009-09-18,34,60.43
2009-09-25,30,57.62
2009-10-02,30,55.57
2009-10-09,32,61.42
2009-10-16,33,63.87
2009-10-23,37,63.10
2009-10-30,23,61.14
2009-11-06,28,60.40
2009-11-13,31,59.77
2009-11-20,34,57.06
2009-11-27,24,56.70
2009-12-04,30,55.09
2009-12-11,27,53.18
2009-12-18,31,53.40
2009-12-25,66,
2010-01-01,27,
2010-01-08,31,59.71
2010-01-15,31,56.85
2010-01-22,28,52.76
2010-01-29,33,51.08
2010-02-05,37,50.75
2010-02-12,26,51.26
2010-02-19,30,53.50
2010-02-26,26,51.90
2010-03-05,31,53.90
2010-03-12,37,54.00
2010-03-19,27,55.03
2010-03-26,26,53.43
2010-04-02,35,
2010-04-09,29,60.40
2010-04-16,31,60.20
2010-04-23,28,61.82
2010-04-30,32,60.15
2010-05-07,33,52.70
2010-05-14,31,56.47
2010-05-21,38,52.32
2010-05-28,31,53.38
2010-06-04,34,50.23
2010-06-11,29,54.26
2010-06-18,30,55.70
2010-06-25,35,52.60
2010-07-02,35,48.44
2010-07-09,36,50.88
2010-07-16,32,50.18
2010-07-23,38,55.20
2010-07-30,42,54.75
2010-08-06,28,56.34
2010-08-13,27,54.82
2010-08-20,29,54.90
2010-08-27,34,55.09
2010-09-03,35,57.65
2010-09-10,36,58.38
2010-09-17,31,59.03
2010-09-24,34,60.92
2010-10-01,35,62.14
2010-10-08,27,64.40
2010-10-15,24,65.61
2010-10-22,30,65.39
2010-10-29,27,65.16
2010-11-05,38,67.84
2010-11-12,19,66.55
2010-11-19,33,66.87
2010-11-26,26,65.74
2010-12-03,31,70.91
2010-12-10,29,70.83
2010-12-17,25,72.11
2010-12-24,24,
2010-12-31,27,74.55
2011-01-07,36,71.05
2011-01-14,32,74.15
2011-01-21,28,72.32
2011-01-28,41,66.13
2011-02-04,30,67.40
2011-02-11,30,68.97
2011-02-18,29,73.88
2011-02-25,30,73.47
2011-03-04,27,73.90
2011-03-11,31,69.58
2011-03-18,23,69.61
2011-03-25,22,72.55
2011-04-01,31,73.73
2011-04-08,35,77.00
2011-04-15,36,74.35
2011-04-22,25,
2011-04-29,26,77.48
2011-05-06,30,68.64
2011-05-13,36,66.38
2011-05-20,37,66.88
2011-05-27,26,68.50
2011-06-03,24,66.84
2011-06-10,30,64.90
2011-06-17,29,63.13
2011-06-24,25,62.81
2011-07-01,26,66.49
2011-07-08,30,65.55
2011-07-15,36,65.03
2011-07-22,31,69.71
2011-07-29,38,64.22
2011-08-05,36,55.20
2011-08-12,35,51.90
2011-08-19,31,48.69
2011-08-26,35,49.39
2011-09-02,29,51.95
2011-09-09,27,50.18
2011-09-16,31,52.21
2011-09-23,26,44.86
2011-09-30,30,44.16
2011-10-07,32,47.14
2011-10-14,21,52.51
2011-10-21,28,55.27
2011-10-28,25,58.06
2011-11-04,30,55.39
2011-11-11,25,55.60
2011-11-18,32,52.61
2011-11-25,26,49.44
2011-12-02,30,54.78
2011-12-09,28,54.55
2011-12-16,25,52.19
2011-12-23,21,56.33
2011-12-30,20,55.74
2012-01-06,30,56.71
2012-01-13,28,58.75
2012-01-20,28,60.52
2012-01-27,31,61.42
2012-02-03,31,61.26
2012-02-10,30,60.46
2012-02-17,29,62.69
2012-02-24,26,64.76
2012-03-02,27,62.19
2012-03-09,31,60.39
2012-03-16,29,58.67
2012-03-23,26,57.17
2012-03-30,28,56.27
2012-04-06,19,
2012-04-13,22,52.76
2012-04-20,28,53.56
2012-04-27,20,54.45
2012-05-04,34,50.86
2012-05-11,32,48.35
2012-05-18,19,46.29
2012-05-25,32,47.67
2012-06-01,23,45.20
2012-06-08,33,45.80
2012-06-15,32,45.67
2012-06-22,29,44.57
2012-06-29,29,50.29
2012-07-06,27,50.22
2012-07-13,24,49.77
2012-07-20,29,51.77
2012-07-27,31,54.30
2012-08-03,33,55.21
2012-08-10,29,54.96
2012-08-17,27,54.80
2012-08-24,25,52.72
2012-08-31,33,51.33
2012-09-07,26,52.32
2012-09-14,27,56.24
2012-09-21,29,55.63
2012-09-28,29,53.69
2012-10-05,28,58.45
2012-10-12,24,58.70
2012-10-19,40,62.20
2012-10-26,25,59.81
2012-11-02,33,59.35
2012-11-09,21,58.37
2012-11-16,25,56.23
2012-11-23,25,58.41
2012-11-30,28,56.74
2012-12-07,23,56.01
2012-12-14,23,59.36
2012-12-21,22,60.39
2012-12-28,20,58.48
2013-01-04,20,60.93
2013-01-11,20,61.18
2013-01-18,30,61.33
2013-01-25,30,61.79
2013-02-01,33,60.30
2013-02-08,31,60.07
2013-02-15,26,61.35
2013-02-22,24,61.68
2013-03-01,29,60.40
2013-03-08,36,62.29
2013-03-15,26,62.14
2013-03-22,34,61.71
2013-03-29,27,
2013-04-05,24,62.75
2013-04-12,25,61.54
2013-04-19,26,60.60
2013-04-26,27,61.19
2013-05-03,25,61.44
2013-05-10,30,62.75
2013-05-17,29,64.27
2013-05-24,25,61.58
2013-05-31,29,63.32
2013-06-07,32,65.74
2013-06-14,31,63.06
2013-06-21,30,61.29
2013-06-28,27,60.89
2013-07-05,26,61.59
2013-07-12,27,64.58
2013-07-19,33,66.90
2013-07-26,27,67.69
2013-08-02,33,71.28
2013-08-09,29,70.90
2013-08-16,31,68.69
2013-08-23,30,66.97
2013-08-30,27,67.42
2013-09-06,30,61.77
2013-09-13,32,61.56
2013-09-20,29,61.52
2013-09-27,27,61.27
2013-10-04,26,62.92
2013-10-11,26,61.88
2013-10-18,25,62.44
2013-10-25,30,61.75
2013-11-01,32,60.40
2013-11-08,31,61.04
2013-11-15,29,62.83
2013-11-22,28,64.25
2013-11-29,26,64.93
2013-12-06,26,63.90
2013-12-13,24,63.01
2013-12-20,24,63.59
2013-12-27,17,64.42
2014-01-03,24,63.30
2014-01-10,25,62.95
2014-01-17,32,62.77
2014-01-24,31,60.50
2014-01-31,33,56.61
2014-02-07,26,57.93
2014-02-14,31,60.06
2014-02-21,27,57.67
2014-02-28,33,59.37
2014-03-07,30,59.87
2014-03-14,31,60.26
2014-03-21,36,61.44
2014-03-28,27,62.75
2014-04-04,29,61.91
2014-04-11,31,59.61
2014-04-18,29,
2014-04-25,27,63.73
2014-05-02,27,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
