Date,HON,Price
2004-01-09,11,
2004-01-16,11,
2004-01-23,12,
2004-01-30,13,
2004-02-06,13,35.90
2004-02-13,10,36.41
2004-02-20,11,35.58
2004-02-27,11,35.05
2004-03-05,12,34.96
2004-03-12,12,33.00
2004-03-19,12,32.64
2004-03-26,12,33.10
2004-04-02,12,34.24
2004-04-09,11,
2004-04-16,11,35.06
2004-04-23,12,34.88
2004-04-30,10,34.58
2004-05-07,11,33.92
2004-05-14,12,33.48
2004-05-21,11,33.31
2004-05-28,11,33.70
2004-06-04,10,33.74
2004-06-11,12,
2004-06-18,10,36.54
2004-06-25,12,36.81
2004-07-02,11,35.88
2004-07-09,12,36.20
2004-07-16,9,36.40
2004-07-23,13,36.26
2004-07-30,12,37.61
2004-08-06,11,34.58
2004-08-13,13,34.80
2004-08-20,13,35.41
2004-08-27,11,36.46
2004-09-03,11,36.38
2004-09-10,12,36.45
2004-09-17,11,36.74
2004-09-24,12,35.34
2004-10-01,11,36.76
2004-10-08,11,35.75
2004-10-15,12,35.00
2004-10-22,11,32.72
2004-10-29,12,33.68
2004-11-05,12,35.95
2004-11-12,12,36.62
2004-11-19,12,35.46
2004-11-26,14,35.72
2004-12-03,13,35.68
2004-12-10,13,35.31
2004-12-17,12,35.36
2004-12-24,11,
2004-12-31,12,35.41
2005-01-07,11,34.21
2005-01-14,11,35.34
2005-01-21,10,34.99
2005-01-28,12,35.69
2005-02-04,12,37.85
2005-02-11,10,39.14
2005-02-18,11,38.09
2005-02-25,11,38.13
2005-03-04,11,38.68
2005-03-11,11,38.52
2005-03-18,13,38.42
2005-03-25,10,
2005-04-01,11,37.00
2005-04-08,11,37.58
2005-04-15,11,35.66
2005-04-22,11,36.05
2005-04-29,11,35.76
2005-05-06,11,36.85
2005-05-13,12,35.93
2005-05-20,12,37.15
2005-05-27,12,36.63
2005-06-03,11,36.34
2005-06-10,11,36.40
2005-06-17,13,38.12
2005-06-24,13,36.70
2005-07-01,12,36.28
2005-07-08,10,36.02
2005-07-15,12,36.57
2005-07-22,11,38.20
2005-07-29,13,39.28
2005-08-05,14,38.48
2005-08-12,11,38.29
2005-08-19,10,38.22
2005-08-26,12,38.02
2005-09-02,9,37.97
2005-09-09,12,38.82
2005-09-16,12,39.29
2005-09-23,12,37.48
2005-09-30,12,37.50
2005-10-07,11,36.55
2005-10-14,10,36.10
2005-10-21,13,33.21
2005-10-28,13,33.60
2005-11-04,12,35.90
2005-11-11,12,36.26
2005-11-18,13,36.38
2005-11-25,11,36.92
2005-12-02,12,36.06
2005-12-09,12,35.71
2005-12-16,12,37.88
2005-12-23,12,37.95
2005-12-30,11,37.25
2006-01-06,12,37.87
2006-01-13,12,37.16
2006-01-20,13,35.84
2006-01-27,12,37.81
2006-02-03,11,39.23
2006-02-10,12,39.63
2006-02-17,11,42.18
2006-02-24,12,41.48
2006-03-03,12,41.72
2006-03-10,12,42.14
2006-03-17,12,42.76
2006-03-24,12,42.45
2006-03-31,11,42.77
2006-04-07,11,42.40
2006-04-14,11,
2006-04-21,11,43.55
2006-04-28,12,42.50
2006-05-05,11,44.12
2006-05-12,11,42.91
2006-05-19,11,41.92
2006-05-26,13,41.09
2006-06-02,12,41.20
2006-06-09,14,38.10
2006-06-16,12,38.98
2006-06-23,12,39.31
2006-06-30,11,40.30
2006-07-07,10,38.96
2006-07-14,13,37.01
2006-07-21,11,36.21
2006-07-28,11,38.26
2006-08-04,12,38.17
2006-08-11,12,37.46
2006-08-18,14,39.45
2006-08-25,13,38.65
2006-09-01,12,38.77
2006-09-08,12,38.28
2006-09-15,12,39.75
2006-09-22,11,40.24
2006-09-29,11,40.90
2006-10-06,12,42.31
2006-10-13,12,42.61
2006-10-20,12,41.70
2006-10-27,13,42.30
2006-11-03,12,41.71
2006-11-10,12,42.54
2006-11-17,11,42.94
2006-11-24,12,42.76
2006-12-01,12,42.81
2006-12-08,12,42.48
2006-12-15,11,43.62
2006-12-22,11,44.63
2006-12-29,10,45.24
2007-01-05,13,44.65
2007-01-12,13,45.56
2007-01-19,11,45.29
2007-01-26,13,44.13
2007-02-02,12,46.16
2007-02-09,11,46.24
2007-02-16,12,47.83
2007-02-23,11,47.69
2007-03-02,11,45.91
2007-03-09,13,47.23
2007-03-16,12,46.94
2007-03-23,11,47.71
2007-03-30,12,46.06
2007-04-06,11,
2007-04-13,14,47.03
2007-04-20,12,51.40
2007-04-27,13,54.89
2007-05-04,13,56.12
2007-05-11,13,57.79
2007-05-18,13,58.70
2007-05-25,14,56.93
2007-06-01,12,58.80
2007-06-08,16,57.38
2007-06-15,13,58.87
2007-06-22,13,55.68
2007-06-29,13,56.28
2007-07-06,13,59.08
2007-07-13,13,60.14
2007-07-20,14,60.96
2007-07-27,13,58.61
2007-08-03,14,58.18
2007-08-10,15,56.01
2007-08-17,16,54.46
2007-08-24,14,55.80
2007-08-31,14,56.15
2007-09-07,13,54.71
2007-09-14,14,56.44
2007-09-21,14,58.69
2007-09-28,14,59.47
2007-10-05,14,59.82
2007-10-12,16,61.71
2007-10-19,14,58.32
2007-10-26,15,59.44
2007-11-02,14,59.35
