Date,Morgan Stanley,Price
2004-01-09,36,
2004-01-16,40,
2004-01-23,36,
2004-01-30,36,
2004-02-06,32,57.36
2004-02-13,34,59.75
2004-02-20,29,61.19
2004-02-27,32,59.76
2004-03-05,24,62.22
2004-03-12,29,60.66
2004-03-19,32,59.61
2004-03-26,23,56.73
2004-04-02,28,56.75
2004-04-09,30,
2004-04-16,30,54.53
2004-04-23,34,53.03
2004-04-30,41,51.39
2004-05-07,34,51.94
2004-05-14,31,52.08
2004-05-21,24,52.53
2004-05-28,25,53.51
2004-06-04,26,53.03
2004-06-11,27,
2004-06-18,28,51.65
2004-06-25,30,52.44
2004-07-02,31,51.67
2004-07-09,31,50.00
2004-07-16,36,47.07
2004-07-23,32,48.00
2004-07-30,33,49.33
2004-08-06,30,46.80
2004-08-13,27,47.27
2004-08-20,27,50.30
2004-08-27,28,51.57
2004-09-03,26,51.00
2004-09-10,29,52.95
2004-09-17,29,51.45
2004-09-24,30,50.03
2004-10-01,28,50.56
2004-10-08,30,48.30
2004-10-15,28,48.24
2004-10-22,27,48.32
2004-10-29,33,51.09
2004-11-05,30,53.75
2004-11-12,28,53.13
2004-11-19,29,52.26
2004-11-26,23,51.12
2004-12-03,33,53.07
2004-12-10,29,53.70
2004-12-17,30,54.11
2004-12-24,24,
2004-12-31,23,55.52
2005-01-07,31,56.06
2005-01-14,33,56.07
2005-01-21,28,54.48
2005-01-28,32,54.37
2005-02-04,31,58.68
2005-02-11,30,60.32
2005-02-18,29,57.65
2005-02-25,26,57.66
2005-03-04,27,58.39
2005-03-11,27,58.49
2005-03-18,29,57.78
2005-03-25,31,
2005-04-01,38,56.87
2005-04-08,39,55.67
2005-04-15,35,51.49
2005-04-22,31,50.25
2005-04-29,34,52.62
2005-05-06,35,50.05
2005-05-13,34,48.22
2005-05-20,35,50.00
2005-05-27,31,49.26
2005-06-03,29,48.91
2005-06-10,29,49.88
2005-06-17,40,51.38
2005-06-24,36,53.12
2005-07-01,36,53.03
2005-07-08,29,53.12
2005-07-15,39,53.64
2005-07-22,32,54.00
2005-07-29,33,53.05
2005-08-05,33,52.65
2005-08-12,31,52.85
2005-08-19,33,52.04
2005-08-26,26,51.56
2005-09-02,28,50.83
2005-09-09,31,52.52
2005-09-16,32,52.00
2005-09-23,31,51.94
2005-09-30,30,53.94
2005-10-07,32,53.45
2005-10-14,32,52.20
2005-10-21,29,52.10
2005-10-28,32,53.93
2005-11-04,30,52.41
2005-11-11,29,55.28
2005-11-18,28,55.50
2005-11-25,24,57.77
2005-12-02,32,57.28
2005-12-09,30,55.96
2005-12-16,25,56.88
2005-12-23,26,58.41
2005-12-30,25,56.74
2006-01-06,33,58.57
2006-01-13,34,59.38
2006-01-20,34,57.85
2006-01-27,36,60.78
2006-02-03,33,61.44
2006-02-10,33,60.31
2006-02-17,29,60.81
2006-02-24,28,60.83
2006-03-03,30,59.72
2006-03-10,27,59.12
2006-03-17,28,60.26
2006-03-24,28,61.47
2006-03-31,27,62.82
2006-04-07,30,63.77
2006-04-14,30,
2006-04-21,28,65.03
2006-04-28,27,64.30
2006-05-05,26,65.53
2006-05-12,29,63.29
2006-05-19,23,59.94
2006-05-26,24,60.57
2006-06-02,25,60.59
2006-06-09,25,59.19
2006-06-16,26,56.99
2006-06-23,29,59.70
2006-06-30,25,63.21
2006-07-07,25,63.95
2006-07-14,25,60.69
2006-07-21,28,62.51
2006-07-28,27,66.23
2006-08-04,25,67.69
2006-08-11,24,65.36
2006-08-18,26,67.14
2006-08-25,24,66.98
2006-09-01,21,66.83
2006-09-08,24,66.69
2006-09-15,26,70.95
2006-09-22,29,71.78
2006-09-29,27,72.91
2006-10-06,26,74.41
2006-10-13,28,76.57
2006-10-20,30,76.40
2006-10-27,27,76.44
2006-11-03,28,74.28
2006-11-10,30,76.68
2006-11-17,29,79.12
2006-11-24,24,78.95
2006-12-01,26,75.27
2006-12-08,27,78.61
2006-12-15,27,79.26
2006-12-22,28,79.70
2006-12-29,21,81.43
2007-01-05,27,80.86
2007-01-12,30,82.86
2007-01-19,28,81.50
2007-01-26,29,82.12
2007-02-02,29,84.04
2007-02-09,28,81.78
2007-02-16,28,82.36
2007-02-23,26,80.97
2007-03-02,27,73.40
2007-03-09,27,76.00
2007-03-16,27,74.41
2007-03-23,31,81.10
2007-03-30,28,78.76
2007-04-06,24,
2007-04-13,29,79.99
2007-04-20,27,82.91
2007-04-27,26,85.01
2007-05-04,26,86.57
2007-05-11,26,85.15
2007-05-18,26,85.05
2007-05-25,24,84.26
2007-06-01,26,86.07
2007-06-08,28,87.10
2007-06-15,28,88.48
2007-06-22,28,84.60
2007-06-29,25,83.88
2007-07-06,26,73.09
2007-07-13,29,73.26
2007-07-20,27,67.57
2007-07-27,25,64.37
2007-08-03,24,60.62
2007-08-10,26,60.03
2007-08-17,25,62.23
2007-08-24,24,64.54
2007-08-31,23,62.37
2007-09-07,22,62.50
2007-09-14,26,66.11
2007-09-21,29,64.44
2007-09-28,26,63.00
2007-10-05,27,68.90
2007-10-12,29,67.25
2007-10-19,28,61.95
2007-10-26,26,64.78
2007-11-02,27,58.90
2007-11-09,30,54.20
2007-11-16,25,52.90
2007-11-23,23,49.89
2007-11-30,27,52.72
2007-12-07,29,51.69
2007-12-14,26,50.30
2007-12-21,30,54.37
2007-12-28,20,53.22
2008-01-04,23,49.30
2008-01-11,27,48.39
2008-01-18,24,45.11
2008-01-25,26,48.89
2008-02-01,26,48.25
2008-02-08,23,43.19
2008-02-15,25,42.32
2008-02-22,21,44.19
2008-02-29,22,42.12
2008-03-07,22,39.86
2008-03-14,22,39.55
2008-03-21,26,
2008-03-28,21,44.74
2008-04-04,22,47.60
2008-04-11,23,43.63
2008-04-18,21,47.77
2008-04-25,21,50.65
2008-05-02,21,50.31
2008-05-09,20,45.96
2008-05-16,20,47.21
2008-05-23,19,41.83
2008-05-30,17,44.23
2008-06-06,20,40.81
2008-06-13,19,41.04
2008-06-20,22,38.68
2008-06-27,20,36.71
2008-07-04,18,
2008-07-11,20,33.44
2008-07-18,21,38.57
2008-07-25,20,36.75
2008-08-01,19,41.11
2008-08-08,19,45.04
2008-08-15,19,40.88
2008-08-22,16,38.89
2008-08-29,18,40.83
2008-09-05,18,41.36
2008-09-12,20,37.23
2008-09-19,100,27.21
2008-09-26,55,24.75
2008-10-03,35,23.92
2008-10-10,46,9.68
2008-10-17,45,19.24
2008-10-24,24,16.52
2008-10-31,24,17.47
2008-11-07,20,15.98
2008-11-14,22,12.03
2008-11-21,24,10.05
2008-11-28,18,14.75
2008-12-05,18,15.72
2008-12-12,18,13.85
2008-12-19,19,15.45
2008-12-26,12,14.65
2009-01-02,12,16.99
2009-01-09,18,19.06
2009-01-16,25,15.59
2009-01-23,17,18.71
2009-01-30,17,20.23
2009-02-06,19,22.87
2009-02-13,18,22.93
2009-02-20,16,19.43
2009-02-27,16,19.54
2009-03-06,16,17.18
2009-03-13,15,25.43
2009-03-20,16,20.24
2009-03-27,16,24.35
2009-04-03,16,24.06
2009-04-10,14,
2009-04-17,16,25.00
2009-04-24,17,21.96
2009-05-01,15,25.82
2009-05-08,15,28.20
2009-05-15,14,26.13
2009-05-22,14,28.23
2009-05-29,13,30.32
2009-06-05,17,30.97
2009-06-12,16,29.70
2009-06-19,15,28.27
2009-06-26,14,28.62
2009-07-03,13,
2009-07-10,14,25.94
2009-07-17,21,27.99
2009-07-24,21,28.25
2009-07-31,17,28.50
2009-08-07,17,31.22
2009-08-14,15,29.79
2009-08-21,17,29.69
2009-08-28,17,29.51
2009-09-04,15,27.65
2009-09-11,19,28.82
2009-09-18,18,31.38
2009-09-25,17,30.55
2009-10-02,16,29.46
