Date,sell M,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,50.08
2004-02-13,0,49.35
2004-02-20,0,50.25
2004-02-27,0,52.37
2004-03-05,0,53.55
2004-03-12,0,51.94
2004-03-19,0,49.75
2004-03-26,0,50.50
2004-04-02,0,53.95
2004-04-09,0,
2004-04-16,0,53.30
2004-04-23,0,51.17
2004-04-30,0,49.00
2004-05-07,0,46.60
2004-05-14,0,46.34
2004-05-21,0,47.05
2004-05-28,0,47.71
2004-06-04,0,48.75
2004-06-11,0,
2004-06-18,0,50.19
2004-06-25,0,49.18
2004-07-02,0,47.58
2004-07-09,0,46.73
2004-07-16,0,44.75
2004-07-23,0,46.50
2004-07-30,0,47.92
2004-08-06,0,44.85
2004-08-13,0,44.58
2004-08-20,0,44.60
2004-08-27,0,45.00
2004-09-03,0,45.28
2004-09-10,0,44.97
2004-09-17,0,46.10
2004-09-24,0,46.55
2004-10-01,0,45.83
2004-10-08,0,47.33
2004-10-15,0,44.81
2004-10-22,0,46.86
2004-10-29,0,50.45
2004-11-05,0,53.72
2004-11-12,0,54.73
2004-11-19,0,54.81
2004-11-26,0,57.33
2004-12-03,0,55.09
2004-12-10,0,55.78
2004-12-17,0,54.35
2004-12-24,0,
2004-12-31,0,57.79
2005-01-07,0,56.56
2005-01-14,0,58.37
2005-01-21,0,55.15
2005-01-28,0,55.22
2005-02-04,0,58.62
2005-02-11,0,57.50
2005-02-18,0,56.72
2005-02-25,0,56.79
2005-03-04,0,60.95
2005-03-11,0,62.15
2005-03-18,0,63.03
2005-03-25,0,
2005-04-01,0,62.81
2005-04-08,0,64.25
2005-04-15,0,61.54
2005-04-22,0,61.35
2005-04-29,0,57.50
2005-05-06,0,63.18
2005-05-13,0,63.25
2005-05-20,0,68.86
2005-05-27,0,67.72
2005-06-03,0,67.90
2005-06-10,0,70.97
2005-06-17,0,73.15
2005-06-24,0,72.15
2005-07-01,0,73.36
2005-07-08,0,75.46
2005-07-15,0,73.79
2005-07-22,0,75.75
2005-07-29,0,75.87
2005-08-05,0,73.38
2005-08-12,0,74.92
2005-08-19,0,72.35
2005-08-26,0,70.50
2005-09-02,0,66.22
2005-09-09,0,68.50
2005-09-16,0,66.36
2005-09-23,0,66.19
2005-09-30,0,66.87
2005-10-07,0,65.00
2005-10-14,0,64.05
2005-10-21,0,61.01
2005-10-28,0,59.51
2005-11-04,0,64.14
2005-11-11,0,68.82
2005-11-18,0,69.53
2005-11-25,0,67.07
2005-12-02,0,66.65
2005-12-09,0,68.10
2005-12-16,0,64.97
2005-12-23,0,66.25
2005-12-30,0,66.33
2006-01-06,0,69.96
2006-01-13,0,74.73
2006-01-20,0,70.10
2006-01-27,0,67.75
2006-02-03,0,69.03
2006-02-10,0,68.97
2006-02-17,0,71.63
2006-02-24,0,70.45
2006-03-03,0,70.50
2006-03-10,0,71.88
2006-03-17,0,72.23
2006-03-24,0,71.65
2006-03-31,0,73.00
2006-04-07,0,76.61
2006-04-14,0,
2006-04-21,0,76.27
2006-04-28,0,77.85
2006-05-05,0,78.19
2006-05-12,0,74.85
2006-05-19,0,73.09
2006-05-26,0,72.17
2006-06-02,0,73.01
2006-06-09,0,70.64
2006-06-16,0,35.10
2006-06-23,0,36.16
2006-06-30,0,36.60
2006-07-07,0,36.46
2006-07-14,0,33.75
2006-07-21,0,33.25
2006-07-28,0,35.15
2006-08-04,0,35.08
2006-08-11,0,35.94
2006-08-18,0,37.33
2006-08-25,0,37.10
2006-09-01,0,38.79
2006-09-08,0,39.58
2006-09-15,0,41.99
2006-09-22,0,41.00
2006-09-29,0,43.21
2006-10-06,0,43.35
2006-10-13,0,44.90
2006-10-20,0,44.32
2006-10-27,0,43.88
2006-11-03,0,39.94
2006-11-10,0,40.66
2006-11-17,0,42.57
2006-11-24,0,43.11
2006-12-01,0,40.60
2006-12-08,0,40.38
2006-12-15,0,38.83
2006-12-22,0,38.09
2006-12-29,0,38.13
2007-01-05,0,36.89
2007-01-12,0,39.24
2007-01-19,0,40.22
2007-01-26,0,40.27
2007-02-02,0,41.88
2007-02-09,0,43.04
2007-02-16,0,44.10
2007-02-23,0,44.29
2007-03-02,0,44.25
2007-03-09,0,44.49
2007-03-16,0,44.36
2007-03-23,0,46.51
2007-03-30,0,45.05
2007-04-06,0,
2007-04-13,0,45.10
2007-04-20,0,45.06
2007-04-27,0,44.76
2007-05-04,0,43.66
2007-05-11,0,41.48
2007-05-18,0,39.70
2007-05-25,0,38.40
2007-06-01,0,40.58
2007-06-08,0,39.15
2007-06-15,0,38.95
2007-06-22,0,41.43
2007-06-29,0,39.78
2007-07-06,0,41.99
2007-07-13,0,39.75
2007-07-20,0,41.92
2007-07-27,0,36.90
2007-08-03,0,33.70
2007-08-10,0,33.63
2007-08-17,0,30.91
2007-08-24,0,31.78
2007-08-31,0,31.72
2007-09-07,0,29.76
2007-09-14,0,30.18
2007-09-21,63,33.12
2007-09-28,62,32.32
2007-10-05,62,35.10
2007-10-12,62,33.05
2007-10-19,67,30.24
2007-10-26,73,33.00
2007-11-02,78,31.11
2007-11-09,77,28.49
2007-11-16,77,28.32
2007-11-23,77,30.03
2007-11-30,56,29.65
2007-12-07,56,30.51
2007-12-14,56,27.77
2007-12-21,71,26.54
2007-12-28,0,25.48
2008-01-04,0,22.40
2008-01-11,0,21.31
2008-01-18,0,23.05
2008-01-25,0,24.95
2008-02-01,0,28.00
2008-02-08,0,24.20
2008-02-15,58,25.38
2008-02-22,51,24.62
2008-02-29,51,24.68
2008-03-07,51,23.41
2008-03-14,0,22.53
2008-03-21,0,
2008-03-28,0,21.97
2008-04-04,0,23.92
2008-04-11,0,23.12
2008-04-18,50,23.72
2008-04-25,56,25.57
2008-05-02,57,26.30
2008-05-09,68,23.21
2008-05-16,79,25.22
2008-05-23,48,22.49
2008-05-30,48,23.67
2008-06-06,48,22.25
2008-06-13,62,22.16
2008-06-20,76,20.91
2008-06-27,73,19.53
2008-07-04,73,
2008-07-11,51,15.58
2008-07-18,56,18.09
2008-07-25,57,18.07
2008-08-01,61,18.17
2008-08-08,66,20.73
2008-08-15,60,21.49
2008-08-22,60,20.13
2008-08-29,53,20.82
2008-09-05,45,21.08
2008-09-12,45,20.81
2008-09-19,45,19.96
2008-09-26,50,19.40
2008-10-03,44,15.19
2008-10-10,44,9.92
2008-10-17,67,9.84
2008-10-24,90,8.99
2008-10-31,58,12.29
2008-11-07,58,10.96
2008-11-14,46,7.52
2008-11-21,46,5.73
2008-11-28,45,7.42
2008-12-05,45,8.61
2008-12-12,51,8.50
2008-12-19,46,10.62
2008-12-26,41,8.60
2009-01-02,41,10.98
2009-01-09,41,10.30
2009-01-16,44,9.76
2009-01-23,43,9.65
2009-01-30,55,8.95
2009-02-06,46,9.70
2009-02-13,46,8.63
2009-02-20,46,7.86
2009-02-27,46,7.87
2009-03-06,38,6.94
2009-03-13,49,8.33
2009-03-20,50,8.00
2009-03-27,56,9.71
2009-04-03,45,10.36
2009-04-10,64,
2009-04-17,58,13.10
2009-04-24,41,13.23
2009-05-01,49,13.51
2009-05-08,58,12.83
2009-05-15,66,11.33
2009-05-22,47,11.19
2009-05-29,44,11.68
2009-06-05,51,12.81
2009-06-12,36,12.53
2009-06-19,39,11.39
2009-06-26,46,11.67
2009-07-03,81,
2009-07-10,52,10.61
2009-07-17,71,11.91
2009-07-24,74,13.57
2009-07-31,37,13.91
2009-08-07,41,15.99
2009-08-14,63,15.31
2009-08-21,77,15.35
2009-08-28,64,15.91
2009-09-04,45,15.21
2009-09-11,48,16.07
2009-09-18,47,18.03
2009-09-25,57,17.79
2009-10-02,53,17.40
2009-10-09,53,19.15
2009-10-16,72,19.82
2009-10-23,61,18.87
2009-10-30,51,17.57
2009-11-06,72,19.18
2009-11-13,56,18.01
2009-11-20,50,17.11
2009-11-27,48,16.97
2009-12-04,40,15.98
2009-12-11,62,17.02
2009-12-18,86,16.96
2009-12-25,77,
2010-01-01,66,
2010-01-08,62,16.92
2010-01-15,62,16.55
2010-01-22,52,15.57
2010-01-29,48,15.93
2010-02-05,55,16.42
2010-02-12,49,17.32
2010-02-19,38,18.54
2010-02-26,67,19.15
2010-03-05,60,20.45
2010-03-12,45,21.75
2010-03-19,51,20.89
2010-03-26,57,21.72
2010-04-02,48,
2010-04-09,59,23.51
2010-04-16,62,22.98
2010-04-23,37,24.83
2010-04-30,58,23.20
2010-05-07,67,21.94
2010-05-14,59,22.54
2010-05-21,52,21.05
2010-05-28,47,22.21
2010-06-04,63,21.03
2010-06-11,35,21.24
2010-06-18,41,21.46
2010-06-25,50,19.02
2010-07-02,59,17.85
2010-07-09,65,18.53
2010-07-16,75,17.16
2010-07-23,56,19.38
2010-07-30,75,18.65
2010-08-06,56,19.44
2010-08-13,83,20.13
2010-08-20,72,20.97
2010-08-27,67,19.60
2010-09-03,52,20.87
2010-09-10,66,20.80
2010-09-17,81,21.75
2010-09-24,58,22.75
2010-10-01,69,23.15
2010-10-08,67,24.36
2010-10-15,40,24.18
2010-10-22,58,22.18
2010-10-29,65,23.67
2010-11-05,58,25.57
2010-11-12,57,25.06
2010-11-19,55,25.08
2010-11-26,95,26.00
2010-12-03,56,25.06
2010-12-10,86,25.49
2010-12-17,68,25.89
2010-12-24,57,
2010-12-31,83,25.30
2011-01-07,97,23.31
2011-01-14,60,23.08
2011-01-21,66,23.14
2011-01-28,53,22.99
2011-02-04,67,22.82
2011-02-11,66,24.62
2011-02-18,78,23.75
2011-02-25,80,23.60
2011-03-04,49,23.36
2011-03-11,57,23.74
2011-03-18,49,22.99
2011-03-25,68,23.43
2011-04-01,47,24.35
2011-04-08,69,24.83
2011-04-15,73,24.40
2011-04-22,63,
2011-04-29,33,23.91
2011-05-06,60,26.08
2011-05-13,62,28.46
2011-05-20,89,28.63
2011-05-27,56,28.91
2011-06-03,48,27.54
2011-06-10,63,27.23
2011-06-17,82,27.27
2011-06-24,76,28.02
2011-07-01,97,29.88
2011-07-08,41,30.42
2011-07-15,87,29.98
2011-07-22,46,30.50
2011-07-29,87,28.87
2011-08-05,68,26.54
2011-08-12,82,25.55
2011-08-19,89,23.18
2011-08-26,63,24.90
2011-09-02,74,25.36
2011-09-09,58,25.17
2011-09-16,78,27.74
2011-09-23,58,25.62
2011-09-30,65,26.32
2011-10-07,53,26.95
2011-10-14,62,29.26
2011-10-21,72,29.84
2011-10-28,64,31.46
2011-11-04,84,31.36
2011-11-11,82,31.14
2011-11-18,64,30.36
2011-11-25,59,29.45
2011-12-02,79,32.54
2011-12-09,89,32.79
2011-12-16,93,31.03
2011-12-23,67,32.20
2011-12-30,68,32.18
2012-01-06,67,34.56
2012-01-13,88,34.42
2012-01-20,68,35.38
2012-01-27,61,33.82
2012-02-03,72,36.12
2012-02-10,40,35.68
2012-02-17,64,36.25
2012-02-24,68,37.06
2012-03-02,78,38.31
2012-03-09,67,39.67
2012-03-16,62,39.73
2012-03-23,58,39.84
2012-03-30,66,39.73
2012-04-06,65,
2012-04-13,84,39.98
2012-04-20,50,39.10
2012-04-27,56,41.18
2012-05-04,55,41.11
2012-05-11,79,37.98
2012-05-18,53,35.24
2012-05-25,70,37.76
2012-06-01,60,36.85
2012-06-08,64,37.21
2012-06-15,69,36.06
2012-06-22,68,33.78
2012-06-29,70,34.35
2012-07-06,71,34.03
2012-07-13,76,33.64
2012-07-20,70,35.60
2012-07-27,90,36.54
2012-08-03,79,37.26
2012-08-10,61,38.00
2012-08-17,66,38.95
2012-08-24,70,39.75
2012-08-31,62,40.31
2012-09-07,76,40.46
2012-09-14,67,39.24
2012-09-21,90,38.39
2012-09-28,77,37.62
2012-10-05,78,39.61
2012-10-12,70,39.41
2012-10-19,65,39.99
2012-10-26,79,38.48
2012-11-02,92,40.61
2012-11-09,79,38.93
2012-11-16,75,40.18
2012-11-23,84,41.73
2012-11-30,64,38.70
2012-12-07,100,39.41
2012-12-14,71,38.07
2012-12-21,85,37.51
2012-12-28,86,37.36
2013-01-04,90,37.94
2013-01-11,59,36.89
2013-01-18,68,38.42
2013-01-25,74,38.74
2013-02-01,53,39.51
2013-02-08,67,39.92
2013-02-15,69,39.12
2013-02-22,80,39.08
2013-03-01,75,40.68
2013-03-08,70,41.67
2013-03-15,66,41.78
2013-03-22,69,42.66
2013-03-29,75,
2013-04-05,77,43.39
2013-04-12,68,44.43
2013-04-19,68,43.54
2013-04-26,54,44.63
2013-05-03,84,46.23
2013-05-10,70,47.23
2013-05-17,74,48.67
2013-05-24,61,49.21
2013-05-31,74,48.34
2013-06-07,68,48.61
2013-06-14,68,48.48
2013-06-21,65,46.86
2013-06-28,80,48.00
2013-07-05,65,49.18
2013-07-12,60,49.43
2013-07-19,90,49.03
2013-07-26,88,48.17
2013-08-02,76,49.46
2013-08-09,58,48.52
2013-08-16,64,44.99
2013-08-23,73,44.79
2013-08-30,78,44.43
2013-09-06,73,45.08
2013-09-13,59,44.70
2013-09-20,80,44.62
2013-09-27,77,43.52
2013-10-04,65,44.07
2013-10-11,86,42.64
2013-10-18,66,44.39
2013-10-25,77,44.89
2013-11-01,80,45.96
2013-11-08,66,46.18
2013-11-15,84,51.09
2013-11-22,73,51.26
2013-11-29,76,53.26
2013-12-06,57,51.83
2013-12-13,81,51.41
2013-12-20,85,52.27
2013-12-27,92,52.70
2014-01-03,72,53.54
2014-01-10,74,55.84
2014-01-17,55,56.23
2014-01-24,59,54.42
2014-01-31,56,53.20
2014-02-07,77,53.09
2014-02-14,76,53.40
2014-02-21,70,53.71
2014-02-28,80,57.86
2014-03-07,78,58.05
2014-03-14,65,58.58
2014-03-21,66,58.97
2014-03-28,61,58.92
2014-04-04,74,59.74
2014-04-11,81,56.90
2014-04-18,69,
2014-04-25,76,57.57
2014-05-02,99,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
