Date,buy AA,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,35.07
2004-02-13,0,37.01
2004-02-20,0,36.83
2004-02-27,0,37.47
2004-03-05,0,37.17
2004-03-12,0,35.12
2004-03-19,0,34.86
2004-03-26,0,34.64
2004-04-02,0,35.90
2004-04-09,0,
2004-04-16,0,33.99
2004-04-23,0,32.71
2004-04-30,0,30.75
2004-05-07,0,29.14
2004-05-14,0,29.78
2004-05-21,0,29.48
2004-05-28,0,31.30
2004-06-04,0,30.62
2004-06-11,0,
2004-06-18,0,32.53
2004-06-25,0,33.49
2004-07-02,0,32.18
2004-07-09,0,32.42
2004-07-16,0,32.95
2004-07-23,0,30.64
2004-07-30,0,32.03
2004-08-06,0,29.95
2004-08-13,0,29.63
2004-08-20,0,32.26
2004-08-27,0,32.85
2004-09-03,0,32.85
2004-09-10,0,30.75
2004-09-17,0,30.65
2004-09-24,0,31.23
2004-10-01,0,34.01
2004-10-08,0,33.40
2004-10-15,0,32.57
2004-10-22,0,31.66
2004-10-29,0,32.50
2004-11-05,0,33.34
2004-11-12,0,34.27
2004-11-19,0,33.61
2004-11-26,0,34.64
2004-12-03,0,32.86
2004-12-10,0,32.10
2004-12-17,0,30.75
2004-12-24,0,
2004-12-31,0,31.41
2005-01-07,0,30.69
2005-01-14,0,29.90
2005-01-21,0,28.93
2005-01-28,0,28.97
2005-02-04,0,29.37
2005-02-11,0,29.85
2005-02-18,0,31.10
2005-02-25,92,31.63
2005-03-04,0,31.80
2005-03-11,0,31.00
2005-03-18,0,31.68
2005-03-25,0,
2005-04-01,0,30.27
2005-04-08,0,31.61
2005-04-15,0,29.30
2005-04-22,0,29.20
2005-04-29,0,29.02
2005-05-06,0,29.32
2005-05-13,0,26.70
2005-05-20,0,27.45
2005-05-27,0,27.47
2005-06-03,0,27.32
2005-06-10,79,27.10
2005-06-17,80,28.25
2005-06-24,89,26.46
2005-07-01,98,26.14
2005-07-08,0,27.20
2005-07-15,0,27.50
2005-07-22,0,28.61
2005-07-29,0,28.05
2005-08-05,0,27.74
2005-08-12,0,29.72
2005-08-19,96,28.10
2005-08-26,70,27.29
2005-09-02,70,26.92
2005-09-09,70,26.84
2005-09-16,70,26.68
2005-09-23,0,24.42
2005-09-30,0,24.42
2005-10-07,0,23.04
2005-10-14,0,22.97
2005-10-21,0,23.35
2005-10-28,0,24.02
2005-11-04,0,25.17
2005-11-11,76,26.68
2005-11-18,77,26.40
2005-11-25,78,27.33
2005-12-02,80,28.10
2005-12-09,81,28.15
2005-12-16,82,28.23
2005-12-23,72,29.45
2005-12-30,72,29.57
2006-01-06,72,30.21
2006-01-13,60,28.95
2006-01-20,63,28.80
2006-01-27,64,31.30
2006-02-03,64,30.58
2006-02-10,65,30.86
2006-02-17,66,30.38
2006-02-24,67,30.16
2006-03-03,77,30.40
2006-03-10,64,29.23
2006-03-17,64,30.11
2006-03-24,71,29.83
2006-03-31,78,30.56
2006-04-07,84,32.50
2006-04-14,91,
2006-04-21,98,35.39
2006-04-28,82,33.78
2006-05-05,82,35.10
2006-05-12,82,34.81
2006-05-19,82,31.98
2006-05-26,57,32.30
2006-06-02,60,32.57
2006-06-09,63,30.18
2006-06-16,0,30.09
2006-06-23,0,30.18
2006-06-30,0,32.36
2006-07-07,0,33.55
2006-07-14,0,30.79
2006-07-21,59,29.56
2006-07-28,85,29.73
2006-08-04,88,29.57
2006-08-11,62,28.27
2006-08-18,59,28.43
2006-08-25,59,28.93
2006-09-01,57,29.01
2006-09-08,56,28.68
2006-09-15,56,28.13
2006-09-22,45,27.49
2006-09-29,72,28.04
2006-10-06,67,27.74
2006-10-13,67,26.64
2006-10-20,44,27.46
2006-10-27,44,28.30
2006-11-03,90,28.49
2006-11-10,42,28.51
2006-11-17,78,28.27
2006-11-24,59,30.71
2006-12-01,44,30.87
2006-12-08,53,31.11
2006-12-15,61,31.04
2006-12-22,79,29.24
2006-12-29,88,30.01
2007-01-05,71,28.76
2007-01-12,61,30.79
2007-01-19,67,31.40
2007-01-26,67,32.07
2007-02-02,55,32.44
2007-02-09,71,32.52
2007-02-16,59,34.78
2007-02-23,71,35.08
2007-03-02,34,32.70
2007-03-09,74,33.20
2007-03-16,89,33.48
2007-03-23,52,34.19
2007-03-30,67,33.90
2007-04-06,63,
2007-04-13,53,35.12
2007-04-20,72,34.37
2007-04-27,41,35.99
2007-05-04,66,35.66
2007-05-11,70,38.03
2007-05-18,32,39.73
2007-05-25,48,40.90
2007-06-01,64,41.46
2007-06-08,89,39.66
2007-06-15,66,41.60
2007-06-22,61,40.00
2007-06-29,70,40.53
2007-07-06,49,41.66
2007-07-13,83,47.35
2007-07-20,46,43.08
2007-07-27,86,37.41
2007-08-03,77,36.18
2007-08-10,58,34.69
2007-08-17,70,33.29
2007-08-24,46,36.69
2007-08-31,54,36.53
2007-09-07,71,34.87
2007-09-14,62,35.48
2007-09-21,54,37.40
2007-09-28,47,39.12
2007-10-05,36,38.79
2007-10-12,67,38.13
2007-10-19,65,37.44
2007-10-26,53,39.35
2007-11-02,68,38.56
2007-11-09,65,37.09
2007-11-16,85,36.31
2007-11-23,68,35.15
2007-11-30,85,36.37
2007-12-07,46,36.91
2007-12-14,68,35.19
2007-12-21,82,36.35
2007-12-28,33,36.86
2008-01-04,89,34.87
2008-01-11,66,31.73
2008-01-18,63,29.10
2008-01-25,55,30.69
2008-02-01,81,34.28
2008-02-08,49,33.76
2008-02-15,58,35.72
2008-02-22,59,36.55
2008-02-29,49,37.14
2008-03-07,62,36.60
2008-03-14,48,38.39
2008-03-21,64,
2008-03-28,65,36.11
2008-04-04,41,39.00
2008-04-11,58,35.15
2008-04-18,70,36.26
2008-04-25,67,35.72
2008-05-02,55,36.11
2008-05-09,82,39.04
2008-05-16,41,43.15
2008-05-23,80,40.25
2008-05-30,68,40.59
2008-06-06,64,39.22
2008-06-13,39,39.46
2008-06-20,69,37.34
2008-06-27,49,35.38
2008-07-04,62,
2008-07-11,70,34.64
2008-07-18,72,33.81
2008-07-25,52,31.81
2008-08-01,62,32.14
2008-08-08,69,31.76
2008-08-15,71,31.81
2008-08-22,75,32.28
2008-08-29,59,32.13
2008-09-05,42,28.30
2008-09-12,66,28.67
2008-09-19,60,26.79
2008-09-26,47,23.54
2008-10-03,55,19.24
2008-10-10,68,11.25
2008-10-17,47,11.80
2008-10-24,62,9.41
2008-10-31,62,11.50
2008-11-07,44,11.19
2008-11-14,48,10.84
2008-11-21,53,8.44
2008-11-28,56,10.76
2008-12-05,66,8.15
2008-12-12,78,10.08
2008-12-19,63,9.70
2008-12-26,59,9.78
2009-01-02,76,12.11
2009-01-09,37,10.81
2009-01-16,58,9.43
2009-01-23,63,8.33
2009-01-30,47,7.79
2009-02-06,58,8.40
2009-02-13,63,7.48
2009-02-20,44,6.29
2009-02-27,65,6.23
2009-03-06,50,5.22
2009-03-13,54,5.73
2009-03-20,52,6.54
2009-03-27,77,7.80
2009-04-03,57,8.17
2009-04-10,58,
2009-04-17,69,9.26
2009-04-24,75,9.14
2009-05-01,59,9.69
2009-05-08,63,10.01
2009-05-15,53,9.03
2009-05-22,58,8.86
2009-05-29,61,9.22
2009-06-05,61,10.94
2009-06-12,86,11.99
2009-06-19,83,11.00
2009-06-26,80,10.76
2009-07-03,70,
2009-07-10,78,9.34
2009-07-17,55,10.22
2009-07-24,62,11.02
2009-07-31,69,11.76
2009-08-07,92,13.00
2009-08-14,63,13.27
2009-08-21,65,12.56
2009-08-28,72,12.50
2009-09-04,68,12.18
2009-09-11,44,12.99
2009-09-18,58,14.06
2009-09-25,59,13.08
2009-10-02,57,12.82
2009-10-09,66,14.24
2009-10-16,69,14.04
2009-10-23,74,13.73
2009-10-30,69,12.42
2009-11-06,65,12.89
2009-11-13,58,13.18
2009-11-20,58,13.13
2009-11-27,65,12.66
2009-12-04,69,12.99
2009-12-11,60,14.61
2009-12-18,57,14.58
2009-12-25,62,
2010-01-01,67,
2010-01-08,61,17.02
2010-01-15,48,15.63
2010-01-22,60,13.40
2010-01-29,76,12.73
2010-02-05,65,13.18
2010-02-12,54,13.28
2010-02-19,53,13.53
2010-02-26,60,13.30
2010-03-05,74,13.84
2010-03-12,77,13.60
2010-03-19,63,14.26
2010-03-26,66,14.27
2010-04-02,67,
2010-04-09,60,14.39
2010-04-16,86,13.91
2010-04-23,62,14.11
2010-04-30,69,13.43
2010-05-07,67,12.00
2010-05-14,58,12.36
2010-05-21,60,11.35
2010-05-28,65,11.64
2010-06-04,88,10.84
2010-06-11,71,11.36
2010-06-18,73,11.11
2010-06-25,81,11.23
2010-07-02,70,10.00
2010-07-09,66,10.94
2010-07-16,73,10.41
2010-07-23,64,11.05
2010-07-30,77,11.17
2010-08-06,81,11.59
2010-08-13,70,10.64
2010-08-20,83,10.57
2010-08-27,100,10.32
2010-09-03,46,10.88
2010-09-10,61,11.17
2010-09-17,58,11.17
2010-09-24,73,12.20
2010-10-01,56,12.23
2010-10-08,56,12.89
2010-10-15,56,13.13
2010-10-22,62,12.72
2010-10-29,56,13.14
2010-11-05,53,14.00
2010-11-12,57,13.49
2010-11-19,63,13.38
2010-11-26,65,13.17
2010-12-03,75,14.23
2010-12-10,53,14.25
2010-12-17,79,14.56
2010-12-24,78,
2010-12-31,60,15.39
2011-01-07,57,16.42
2011-01-14,61,15.97
2011-01-21,63,15.79
2011-01-28,44,16.13
2011-02-04,57,17.14
2011-02-11,53,17.37
2011-02-18,73,17.28
2011-02-25,70,16.68
2011-03-04,62,16.58
2011-03-11,69,16.03
2011-03-18,55,16.11
2011-03-25,65,17.09
2011-04-01,71,17.47
2011-04-08,62,17.92
2011-04-15,56,16.52
2011-04-22,61,
2011-04-29,60,17.00
2011-05-06,84,17.15
2011-05-13,59,17.10
2011-05-20,63,16.26
2011-05-27,67,16.48
2011-06-03,56,15.92
2011-06-10,64,15.28
2011-06-17,65,14.72
2011-06-24,45,15.23
2011-07-01,67,16.31
2011-07-08,56,16.38
2011-07-15,73,15.48
2011-07-22,56,15.83
2011-07-29,60,14.73
2011-08-05,74,12.79
2011-08-12,71,12.26
2011-08-19,76,11.21
2011-08-26,69,11.86
2011-09-02,61,12.04
2011-09-09,45,11.58
2011-09-16,56,11.97
2011-09-23,55,10.07
2011-09-30,57,9.57
2011-10-07,56,9.71
2011-10-14,62,10.26
2011-10-21,54,10.23
2011-10-28,44,11.57
2011-11-04,59,10.93
2011-11-11,57,10.60
2011-11-18,51,9.69
2011-11-25,68,8.95
2011-12-02,70,9.91
2011-12-09,76,9.64
2011-12-16,71,8.81
2011-12-23,72,8.86
2011-12-30,70,8.65
2012-01-06,73,9.16
2012-01-13,67,9.80
2012-01-20,69,10.17
2012-01-27,54,10.43
2012-02-03,64,10.76
2012-02-10,67,10.29
2012-02-17,47,10.15
2012-02-24,67,10.43
2012-03-02,53,10.24
2012-03-09,45,9.81
2012-03-16,53,10.54
2012-03-23,58,10.11
2012-03-30,60,10.02
2012-04-06,50,
2012-04-13,46,9.85
2012-04-20,50,9.70
2012-04-27,52,9.75
2012-05-04,64,9.37
2012-05-11,49,9.06
2012-05-18,47,8.43
2012-05-25,64,8.63
2012-06-01,57,8.30
2012-06-08,59,8.52
2012-06-15,61,8.82
2012-06-22,59,8.62
2012-06-29,50,8.75
2012-07-06,64,8.73
2012-07-13,62,8.42
2012-07-20,53,8.26
2012-07-27,62,8.45
2012-08-03,68,8.37
2012-08-10,56,8.98
2012-08-17,58,8.75
2012-08-24,63,8.63
2012-08-31,59,8.56
2012-09-07,49,9.10
2012-09-14,65,9.84
2012-09-21,60,9.13
2012-09-28,68,8.86
2012-10-05,46,9.09
2012-10-12,59,8.69
2012-10-19,51,9.01
2012-10-26,63,8.65
2012-11-02,50,8.65
2012-11-09,54,8.43
2012-11-16,46,8.18
2012-11-23,60,8.35
2012-11-30,76,8.41
2012-12-07,54,8.50
2012-12-14,63,8.74
2012-12-21,58,8.57
2012-12-28,56,8.50
2013-01-04,66,9.26
2013-01-11,52,8.94
2013-01-18,57,9.00
2013-01-25,67,9.03
2013-02-01,55,9.00
2013-02-08,55,8.94
2013-02-15,54,9.32
2013-02-22,56,8.64
2013-03-01,45,8.44
2013-03-08,56,8.61
2013-03-15,57,8.63
2013-03-22,53,8.45
2013-03-29,55,
2013-04-05,55,8.24
2013-04-12,53,8.22
2013-04-19,55,8.08
2013-04-26,46,8.27
2013-05-03,53,8.62
2013-05-10,52,8.70
2013-05-17,45,8.61
2013-05-24,53,8.48
2013-05-31,56,8.50
2013-06-07,53,8.33
2013-06-14,60,8.12
2013-06-21,65,7.98
2013-06-28,47,7.82
2013-07-05,48,7.81
2013-07-12,53,8.10
2013-07-19,50,8.07
2013-07-26,55,8.07
2013-08-02,40,7.97
2013-08-09,56,8.22
2013-08-16,65,8.12
2013-08-23,54,8.05
2013-08-30,48,7.70
2013-09-06,52,7.92
2013-09-13,47,8.08
2013-09-20,54,8.29
2013-09-27,55,8.20
2013-10-04,44,7.96
2013-10-11,46,8.32
2013-10-18,53,8.63
2013-10-25,49,9.24
2013-11-01,53,9.27
2013-11-08,54,9.06
2013-11-15,55,9.03
2013-11-22,62,9.24
2013-11-29,62,9.61
2013-12-06,58,9.36
2013-12-13,63,9.51
2013-12-20,62,9.94
2013-12-27,49,10.69
2014-01-03,61,10.57
2014-01-10,62,10.11
2014-01-17,51,11.36
2014-01-24,48,11.44
2014-01-31,47,11.51
2014-02-07,54,11.19
2014-02-14,47,11.37
2014-02-21,50,11.73
2014-02-28,52,11.74
2014-03-07,47,12.16
2014-03-14,46,11.84
2014-03-21,54,12.01
2014-03-28,48,12.48
2014-04-04,57,12.63
2014-04-11,47,12.54
2014-04-18,42,
2014-04-25,55,13.33
2014-05-02,60,
