Date,A,Price
2004-01-09,53,
2004-01-16,56,
2004-01-23,55,
2004-01-30,56,
2004-02-06,56,36.85
2004-02-13,57,37.08
2004-02-20,56,35.05
2004-02-27,58,34.19
2004-03-05,57,34.81
2004-03-12,55,31.65
2004-03-19,56,30.55
2004-03-26,57,30.79
2004-04-02,58,32.32
2004-04-09,56,
2004-04-16,56,30.13
2004-04-23,58,29.50
2004-04-30,60,27.01
2004-05-07,60,26.31
2004-05-14,57,25.59
2004-05-21,59,24.38
2004-05-28,57,25.70
2004-06-04,55,25.22
2004-06-11,54,
2004-06-18,51,25.89
2004-06-25,54,29.51
2004-07-02,50,28.27
2004-07-09,51,26.84
2004-07-16,51,25.31
2004-07-23,51,23.56
2004-07-30,53,23.81
2004-08-06,52,21.85
2004-08-13,52,20.52
2004-08-20,51,22.20
2004-08-27,54,21.64
2004-09-03,54,20.37
2004-09-10,54,22.71
2004-09-17,57,22.90
2004-09-24,58,21.82
2004-10-01,58,22.99
2004-10-08,59,22.23
2004-10-15,56,22.79
2004-10-22,59,23.90
2004-10-29,59,25.06
2004-11-05,56,25.21
2004-11-12,57,22.58
2004-11-19,60,23.13
2004-11-26,59,23.16
2004-12-03,58,24.21
2004-12-10,59,23.69
2004-12-17,55,23.82
2004-12-24,51,
2004-12-31,49,24.10
2005-01-07,54,22.71
2005-01-14,57,22.05
2005-01-21,56,21.80
2005-01-28,57,21.61
2005-02-04,56,22.45
2005-02-11,58,23.72
2005-02-18,57,23.57
2005-02-25,59,23.55
2005-03-04,59,24.11
2005-03-11,59,23.34
2005-03-18,58,22.35
2005-03-25,58,
2005-04-01,56,22.07
2005-04-08,58,21.37
2005-04-15,61,20.40
2005-04-22,61,21.10
2005-04-29,60,20.75
2005-05-06,62,21.50
2005-05-13,60,21.99
2005-05-20,62,23.41
2005-05-27,59,23.91
2005-06-03,58,24.06
2005-06-10,58,24.50
2005-06-17,58,24.77
2005-06-24,56,24.13
2005-07-01,55,23.40
2005-07-08,52,24.34
2005-07-15,55,25.66
2005-07-22,55,25.59
2005-07-29,53,26.24
2005-08-05,54,25.87
2005-08-12,54,26.41
2005-08-19,54,30.65
2005-08-26,56,31.10
2005-09-02,56,32.14
2005-09-09,55,32.62
2005-09-16,59,33.91
2005-09-23,61,33.69
2005-09-30,60,32.75
2005-10-07,61,31.81
2005-10-14,61,30.93
2005-10-21,61,31.09
2005-10-28,61,31.00
2005-11-04,58,32.80
2005-11-11,61,32.93
2005-11-18,62,34.91
