Date,American Electric Power,Price
2004-01-09,56,
2004-01-16,46,
2004-01-23,51,
2004-01-30,56,
2004-02-06,43,33.01
2004-02-13,47,33.45
2004-02-20,51,33.54
2004-02-27,0,34.50
2004-03-05,0,34.05
2004-03-12,0,33.62
2004-03-19,0,33.50
2004-03-26,0,32.75
2004-04-02,52,33.00
2004-04-09,44,
2004-04-16,44,30.99
2004-04-23,44,30.77
2004-04-30,37,30.44
2004-05-07,37,29.57
2004-05-14,33,29.88
2004-05-21,47,29.90
2004-05-28,60,31.77
2004-06-04,59,30.94
2004-06-11,59,
2004-06-18,59,31.89
2004-06-25,54,31.97
2004-07-02,54,31.70
2004-07-09,48,31.43
2004-07-16,48,31.93
2004-07-23,47,30.51
2004-07-30,48,31.11
2004-08-06,41,32.00
2004-08-13,37,31.86
2004-08-20,66,32.30
2004-08-27,47,32.33
2004-09-03,41,32.91
2004-09-10,47,32.94
2004-09-17,46,32.84
2004-09-24,46,32.37
2004-10-01,37,32.28
2004-10-08,36,32.38
2004-10-15,36,32.23
2004-10-22,36,32.09
2004-10-29,42,32.93
2004-11-05,47,34.36
2004-11-12,31,35.01
2004-11-19,31,34.00
2004-11-26,42,35.21
2004-12-03,52,34.05
2004-12-10,29,33.79
2004-12-17,29,34.80
2004-12-24,100,
2004-12-31,66,34.34
2005-01-07,42,33.37
2005-01-14,44,34.57
2005-01-21,41,33.73
2005-01-28,36,35.39
2005-02-04,31,35.65
2005-02-11,46,34.55
2005-02-18,38,33.73
2005-02-25,37,33.41
2005-03-04,26,34.25
2005-03-11,32,33.57
2005-03-18,38,33.57
2005-03-25,42,
2005-04-01,26,34.13
2005-04-08,35,34.53
2005-04-15,44,34.19
2005-04-22,27,34.97
2005-04-29,37,35.22
2005-05-06,36,35.22
2005-05-13,40,34.51
2005-05-20,24,35.55
2005-05-27,40,35.41
2005-06-03,31,35.80
2005-06-10,42,35.73
2005-06-17,32,35.77
2005-06-24,49,36.07
2005-07-01,37,36.86
2005-07-08,40,38.09
2005-07-15,31,38.69
2005-07-22,24,38.77
2005-07-29,44,38.70
2005-08-05,35,38.17
2005-08-12,43,37.52
2005-08-19,54,36.82
2005-08-26,34,36.84
2005-09-02,49,37.72
2005-09-09,34,38.30
2005-09-16,37,38.89
2005-09-23,21,38.98
2005-09-30,35,39.70
2005-10-07,41,38.43
2005-10-14,26,36.78
2005-10-21,25,36.26
2005-10-28,27,37.90
2005-11-04,23,37.03
2005-11-11,31,36.50
2005-11-18,41,36.51
2005-11-25,33,36.92
2005-12-02,33,36.78
2005-12-09,29,37.06
2005-12-16,32,37.42
2005-12-23,20,37.34
2005-12-30,25,37.09
2006-01-06,30,37.67
2006-01-13,30,37.18
2006-01-20,29,37.37
2006-01-27,29,37.35
2006-02-03,34,36.10
2006-02-10,37,36.03
2006-02-17,25,36.37
2006-02-24,26,36.42
2006-03-03,41,36.46
2006-03-10,29,35.31
2006-03-17,34,35.50
2006-03-24,29,34.75
2006-03-31,20,34.02
2006-04-07,30,33.71
2006-04-14,29,
2006-04-21,37,33.52
2006-04-28,37,33.46
2006-05-05,23,33.91
2006-05-12,28,32.58
2006-05-19,30,33.00
2006-05-26,24,33.80
2006-06-02,21,34.90
2006-06-09,23,34.90
2006-06-16,26,34.16
2006-06-23,33,33.90
2006-06-30,21,34.25
2006-07-07,23,34.69
2006-07-14,33,34.58
2006-07-21,36,35.31
2006-07-28,27,36.38
2006-08-04,40,37.01
2006-08-11,32,36.32
2006-08-18,28,36.40
2006-08-25,28,35.92
2006-09-01,27,36.73
2006-09-08,18,35.91
2006-09-15,25,36.49
2006-09-22,22,36.14
2006-09-29,23,36.37
2006-10-06,29,37.26
2006-10-13,23,40.00
2006-10-20,30,41.34
2006-10-27,28,40.98
2006-11-03,43,40.94
2006-11-10,29,41.48
2006-11-17,19,41.41
2006-11-24,24,41.60
2006-12-01,31,42.03
2006-12-08,14,41.89
2006-12-15,16,42.44
2006-12-22,22,42.56
2006-12-29,21,42.58
2007-01-05,19,42.04
2007-01-12,33,41.86
2007-01-19,16,41.94
2007-01-26,23,43.26
2007-02-02,29,44.26
2007-02-09,25,45.45
2007-02-16,34,45.89
2007-02-23,30,45.75
2007-03-02,26,44.87
2007-03-09,31,45.15
2007-03-16,20,45.97
2007-03-23,20,49.16
2007-03-30,25,48.75
2007-04-06,24,
2007-04-13,24,48.66
2007-04-20,31,50.34
2007-04-27,24,50.35
2007-05-04,28,50.40
2007-05-11,32,48.92
2007-05-18,18,49.14
2007-05-25,22,47.25
2007-06-01,21,47.56
2007-06-08,20,44.91
2007-06-15,22,46.27
2007-06-22,22,43.49
2007-06-29,24,45.04
2007-07-06,23,45.45
2007-07-13,25,46.37
2007-07-20,34,46.20
2007-07-27,21,43.19
2007-08-03,32,44.04
2007-08-10,29,46.90
2007-08-17,24,46.47
2007-08-24,31,46.77
2007-08-31,21,44.48
2007-09-07,25,44.55
2007-09-14,24,45.09
2007-09-21,20,46.07
2007-09-28,15,46.08
2007-10-05,35,47.97
2007-10-12,36,48.24
2007-10-19,32,45.63
2007-10-26,20,47.67
2007-11-02,27,47.44
2007-11-09,21,46.38
2007-11-16,32,46.41
2007-11-23,13,46.45
2007-11-30,20,47.67
2007-12-07,21,49.17
2007-12-14,21,47.38
2007-12-21,30,47.55
2007-12-28,12,46.88
2008-01-04,16,46.29
2008-01-11,19,47.96
2008-01-18,20,44.82
2008-01-25,19,41.33
2008-02-01,19,43.96
2008-02-08,20,43.16
2008-02-15,19,43.10
2008-02-22,22,42.30
2008-02-29,25,40.92
2008-03-07,20,40.64
2008-03-14,18,40.23
2008-03-21,18,
2008-03-28,24,40.97
2008-04-04,23,42.90
