Date,sell MO,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,54.78
2004-02-13,0,54.66
2004-02-20,0,55.35
2004-02-27,0,57.55
2004-03-05,0,58.22
2004-03-12,0,54.31
2004-03-19,0,54.67
2004-03-26,0,53.61
2004-04-02,0,54.87
2004-04-09,0,
2004-04-16,0,55.90
2004-04-23,0,55.90
2004-04-30,0,55.38
2004-05-07,0,55.65
2004-05-14,0,49.88
2004-05-21,0,49.32
2004-05-28,0,47.97
2004-06-04,0,48.37
2004-06-11,0,
2004-06-18,0,47.58
2004-06-25,0,47.80
2004-07-02,0,49.68
2004-07-09,0,49.75
2004-07-16,0,48.67
2004-07-23,0,47.30
2004-07-30,0,47.60
2004-08-06,0,46.64
2004-08-13,0,47.06
2004-08-20,0,48.59
2004-08-27,0,49.13
2004-09-03,0,49.20
2004-09-10,0,49.95
2004-09-17,0,48.48
2004-09-24,0,45.21
2004-10-01,0,48.00
2004-10-08,0,46.51
2004-10-15,0,47.55
2004-10-22,0,46.80
2004-10-29,0,48.46
2004-11-05,0,54.06
2004-11-12,0,54.74
2004-11-19,0,58.05
2004-11-26,0,58.19
2004-12-03,0,58.30
2004-12-10,0,59.14
2004-12-17,0,59.97
2004-12-24,0,
2004-12-31,0,61.10
2005-01-07,0,61.40
2005-01-14,0,63.35
2005-01-21,0,62.75
2005-01-28,0,63.20
2005-02-04,0,67.00
2005-02-11,0,66.20
2005-02-18,0,64.90
2005-02-25,0,65.70
2005-03-04,0,66.05
2005-03-11,0,65.14
2005-03-18,0,64.72
2005-03-25,0,
2005-04-01,0,65.18
2005-04-08,0,65.53
2005-04-15,0,64.98
2005-04-22,0,64.80
2005-04-29,0,64.99
2005-05-06,0,66.30
2005-05-13,0,64.95
2005-05-20,0,67.77
2005-05-27,0,67.55
2005-06-03,0,67.24
2005-06-10,0,69.18
2005-06-17,0,67.04
2005-06-24,0,65.15
2005-07-01,0,65.03
2005-07-08,0,64.87
2005-07-15,0,66.65
2005-07-22,0,66.52
2005-07-29,0,66.96
2005-08-05,0,66.33
2005-08-12,0,66.84
2005-08-19,0,69.97
2005-08-26,0,69.48
2005-09-02,0,70.06
2005-09-09,0,72.66
2005-09-16,0,73.14
2005-09-23,0,71.91
2005-09-30,0,73.71
2005-10-07,0,72.46
2005-10-14,0,70.66
2005-10-21,0,72.97
2005-10-28,0,75.11
2005-11-04,0,74.03
2005-11-11,0,74.85
2005-11-18,0,71.25
2005-11-25,0,73.47
2005-12-02,0,73.32
2005-12-09,0,72.21
2005-12-16,0,77.32
2005-12-23,0,76.06
2005-12-30,0,74.72
2006-01-06,0,75.95
2006-01-13,0,76.44
2006-01-20,0,74.84
2006-01-27,0,74.73
2006-02-03,0,71.70
2006-02-10,0,71.87
2006-02-17,0,72.87
2006-02-24,0,72.45
2006-03-03,95,72.11
2006-03-10,0,73.86
2006-03-17,0,73.55
2006-03-24,0,72.94
2006-03-31,0,70.86
2006-04-07,0,69.75
2006-04-14,0,
2006-04-21,0,70.54
2006-04-28,0,73.16
2006-05-05,0,73.81
2006-05-12,0,70.40
2006-05-19,0,71.00
2006-05-26,100,72.47
2006-06-02,0,72.85
2006-06-09,0,71.07
2006-06-16,0,70.88
2006-06-23,0,71.25
2006-06-30,0,73.43
2006-07-07,0,77.80
2006-07-14,0,77.39
2006-07-21,0,79.67
2006-07-28,0,80.69
2006-08-04,100,79.90
2006-08-11,0,80.84
2006-08-18,0,83.97
2006-08-25,0,84.10
2006-09-01,0,83.81
2006-09-08,0,82.97
2006-09-15,0,83.14
2006-09-22,0,82.32
2006-09-29,0,76.55
2006-10-06,0,78.62
2006-10-13,0,79.63
2006-10-20,0,79.67
2006-10-27,0,81.85
2006-11-03,0,81.18
2006-11-10,0,80.93
2006-11-17,0,85.01
2006-11-24,0,83.75
2006-12-01,0,84.00
2006-12-08,0,84.83
2006-12-15,0,85.21
2006-12-22,0,84.78
2006-12-29,0,85.82
2007-01-05,0,87.15
2007-01-12,0,88.42
2007-01-19,0,87.26
2007-01-26,0,88.00
2007-02-02,0,86.56
2007-02-09,0,85.39
2007-02-16,0,86.20
2007-02-23,0,85.38
2007-03-02,67,83.48
2007-03-09,0,86.86
2007-03-16,0,84.73
2007-03-23,0,85.47
2007-03-30,0,87.81
2007-04-06,0,
2007-04-13,81,69.56
2007-04-20,0,69.55
2007-04-27,0,69.60
2007-05-04,0,69.36
2007-05-11,0,68.59
2007-05-18,0,69.95
2007-05-25,0,70.78
2007-06-01,0,71.82
2007-06-08,55,70.30
2007-06-15,57,70.67
2007-06-22,59,68.20
2007-06-29,61,70.14
2007-07-06,63,71.60
2007-07-13,62,71.70
2007-07-20,62,69.80
2007-07-27,58,65.17
2007-08-03,58,66.60
2007-08-10,58,67.39
2007-08-17,58,67.59
2007-08-24,58,69.19
2007-08-31,54,69.41
2007-09-07,54,67.39
2007-09-14,54,67.03
2007-09-21,54,68.54
2007-09-28,54,69.53
2007-10-05,55,69.56
2007-10-12,56,70.06
2007-10-19,57,70.50
2007-10-26,57,72.97
2007-11-02,57,72.11
2007-11-09,57,72.71
2007-11-16,58,73.18
2007-11-23,53,72.97
2007-11-30,53,77.56
2007-12-07,53,77.60
2007-12-14,53,76.82
2007-12-21,55,77.43
2007-12-28,57,75.96
2008-01-04,59,74.90
2008-01-11,61,79.02
2008-01-18,63,75.42
2008-01-25,64,73.95
2008-02-01,64,75.44
2008-02-08,65,73.09
2008-02-15,42,72.53
2008-02-22,58,73.60
2008-02-29,49,73.14
2008-03-07,49,74.52
2008-03-14,48,71.78
2008-03-21,61,
2008-03-28,73,73.83
2008-04-04,52,21.71
2008-04-11,40,21.37
2008-04-18,40,22.10
2008-04-25,40,21.70
2008-05-02,45,20.43
2008-05-09,43,20.94
2008-05-16,43,22.45
2008-05-23,51,22.28
2008-05-30,39,22.26
2008-06-06,0,21.53
2008-06-13,0,20.90
2008-06-20,0,20.78
2008-06-27,0,20.35
2008-07-04,0,
2008-07-11,49,21.26
2008-07-18,53,20.45
2008-07-25,82,21.07
2008-08-01,40,20.90
2008-08-08,69,20.95
2008-08-15,58,21.60
2008-08-22,43,20.92
2008-08-29,42,21.03
2008-09-05,78,20.95
2008-09-12,47,21.16
2008-09-19,46,20.54
2008-09-26,46,20.89
2008-10-03,46,20.29
2008-10-10,53,17.16
2008-10-17,41,19.32
2008-10-24,41,19.22
2008-10-31,40,19.19
2008-11-07,51,17.98
2008-11-14,63,16.26
2008-11-21,34,15.49
2008-11-28,34,16.08
2008-12-05,53,15.00
2008-12-12,34,15.34
2008-12-19,44,15.28
2008-12-26,49,15.06
2009-01-02,56,15.20
2009-01-09,45,15.48
2009-01-16,35,16.84
2009-01-23,40,16.84
2009-01-30,34,16.54
2009-02-06,46,16.96
2009-02-13,49,15.92
2009-02-20,34,15.46
2009-02-27,41,15.44
2009-03-06,48,15.72
2009-03-13,30,16.68
2009-03-20,39,16.78
2009-03-27,47,16.56
2009-04-03,33,16.16
2009-04-10,60,
2009-04-17,55,16.99
2009-04-24,45,16.92
2009-05-01,63,16.37
2009-05-08,33,17.10
2009-05-15,58,16.98
2009-05-22,35,16.64
2009-05-29,52,17.09
2009-06-05,58,17.03
2009-06-12,68,16.64
2009-06-19,57,16.41
2009-06-26,45,16.48
2009-07-03,75,
2009-07-10,56,16.47
2009-07-17,53,17.34
2009-07-24,50,17.34
2009-07-31,39,17.53
2009-08-07,60,17.71
2009-08-14,56,17.56
2009-08-21,44,18.04
2009-08-28,31,18.22
2009-09-04,52,18.50
2009-09-11,54,18.14
2009-09-18,48,17.96
2009-09-25,35,17.50
2009-10-02,58,17.47
2009-10-09,39,18.06
2009-10-16,49,18.27
2009-10-23,56,17.93
2009-10-30,35,18.11
2009-11-06,50,18.54
2009-11-13,35,19.26
2009-11-20,67,18.98
2009-11-27,46,19.00
2009-12-04,27,19.32
2009-12-11,42,19.52
2009-12-18,30,19.65
2009-12-25,44,
2010-01-01,29,
2010-01-08,36,20.11
2010-01-15,42,20.42
2010-01-22,56,19.71
2010-01-29,62,19.86
2010-02-05,46,19.38
2010-02-12,48,19.63
2010-02-19,30,20.16
2010-02-26,36,20.12
2010-03-05,27,20.71
2010-03-12,29,20.20
2010-03-19,32,20.34
2010-03-26,48,20.42
2010-04-02,52,
2010-04-09,31,20.93
2010-04-16,34,20.87
2010-04-23,52,21.36
2010-04-30,53,21.19
2010-05-07,53,20.76
2010-05-14,40,21.61
2010-05-21,49,21.01
2010-05-28,40,20.29
2010-06-04,52,20.02
2010-06-11,44,20.08
2010-06-18,42,20.02
2010-06-25,66,19.70
2010-07-02,42,20.31
2010-07-09,67,21.30
2010-07-16,71,21.26
2010-07-23,93,22.12
2010-07-30,66,22.16
2010-08-06,65,22.54
2010-08-13,44,22.35
2010-08-20,59,22.71
2010-08-27,49,22.54
2010-09-03,68,22.91
2010-09-10,58,23.84
2010-09-17,57,23.50
2010-09-24,67,24.00
2010-10-01,51,23.78
2010-10-08,51,24.51
2010-10-15,43,24.88
2010-10-22,64,24.92
2010-10-29,61,25.42
2010-11-05,38,26.11
2010-11-12,55,24.85
2010-11-19,44,24.74
2010-11-26,36,24.36
2010-12-03,57,23.81
2010-12-10,56,24.85
2010-12-17,66,24.99
2010-12-24,35,
2010-12-31,53,24.62
2011-01-07,65,24.39
2011-01-14,59,24.16
2011-01-21,53,24.09
2011-01-28,66,23.79
2011-02-04,50,24.00
2011-02-11,42,24.44
2011-02-18,49,24.79
2011-02-25,59,24.94
2011-03-04,50,25.32
2011-03-11,51,25.05
2011-03-18,39,24.80
2011-03-25,44,25.82
2011-04-01,44,25.98
2011-04-08,65,26.24
2011-04-15,36,27.01
2011-04-22,61,
2011-04-29,46,26.84
2011-05-06,46,26.96
2011-05-13,65,27.31
2011-05-20,54,27.74
2011-05-27,54,27.94
2011-06-03,64,27.60
2011-06-10,46,27.01
2011-06-17,51,27.08
2011-06-24,49,26.79
2011-07-01,53,26.53
2011-07-08,55,26.89
2011-07-15,59,26.69
2011-07-22,68,26.36
2011-07-29,71,26.30
2011-08-05,51,25.89
2011-08-12,52,25.20
2011-08-19,62,25.71
2011-08-26,52,26.30
2011-09-02,65,26.72
2011-09-09,37,26.37
2011-09-16,45,26.90
2011-09-23,43,25.77
2011-09-30,58,26.81
2011-10-07,64,27.43
2011-10-14,59,27.67
2011-10-21,44,27.45
2011-10-28,36,27.56
2011-11-04,62,27.37
2011-11-11,69,27.78
2011-11-18,51,27.64
2011-11-25,33,27.25
2011-12-02,52,28.41
2011-12-09,60,28.78
2011-12-16,60,29.14
2011-12-23,68,29.84
2011-12-30,63,29.65
2012-01-06,58,28.72
2012-01-13,60,28.96
2012-01-20,69,28.70
2012-01-27,46,28.14
2012-02-03,49,28.84
2012-02-10,60,29.21
2012-02-17,50,29.65
2012-02-24,51,29.99
2012-03-02,56,29.96
2012-03-09,55,30.46
2012-03-16,46,30.03
2012-03-23,48,30.40
2012-03-30,53,30.87
2012-04-06,52,
2012-04-13,49,31.49
2012-04-20,70,31.89
2012-04-27,66,32.13
2012-05-04,66,32.43
2012-05-11,56,31.79
2012-05-18,61,31.68
2012-05-25,67,32.11
2012-06-01,68,31.69
2012-06-08,65,32.91
2012-06-15,81,33.77
2012-06-22,57,33.87
2012-06-29,59,34.55
2012-07-06,80,34.97
2012-07-13,60,35.62
2012-07-20,68,35.91
2012-07-27,64,35.90
2012-08-03,67,35.92
2012-08-10,71,34.96
2012-08-17,71,35.41
2012-08-24,58,34.08
2012-08-31,71,33.96
2012-09-07,57,34.27
2012-09-14,57,32.94
2012-09-21,66,34.06
2012-09-28,75,33.39
2012-10-05,64,34.00
2012-10-12,65,33.12
2012-10-19,56,32.63
2012-10-26,64,31.76
2012-11-02,44,31.70
2012-11-09,66,31.48
2012-11-16,45,31.24
2012-11-23,64,33.48
2012-11-30,73,33.81
2012-12-07,68,33.47
2012-12-14,56,33.16
2012-12-21,68,31.85
2012-12-28,60,31.09
2013-01-04,65,32.54
2013-01-11,64,32.93
2013-01-18,67,33.27
2013-01-25,45,33.45
2013-02-01,64,34.20
2013-02-08,48,34.69
2013-02-15,44,34.38
2013-02-22,46,35.32
2013-03-01,45,33.49
2013-03-08,59,34.00
2013-03-15,67,33.68
2013-03-22,63,33.91
2013-03-29,70,
2013-04-05,53,34.84
2013-04-12,62,35.91
2013-04-19,69,35.02
2013-04-26,67,36.07
2013-05-03,78,36.51
2013-05-10,78,36.68
2013-05-17,63,37.44
2013-05-24,56,37.09
2013-05-31,56,36.10
2013-06-07,58,36.15
2013-06-14,62,35.58
2013-06-21,61,34.93
2013-06-28,65,34.99
2013-07-05,50,35.49
2013-07-12,81,36.92
2013-07-19,82,37.15
2013-07-26,50,35.90
2013-08-02,66,35.68
2013-08-09,64,35.37
2013-08-16,63,34.29
2013-08-23,61,34.28
2013-08-30,73,33.88
2013-09-06,48,34.40
2013-09-13,45,34.84
2013-09-20,55,35.55
2013-09-27,63,34.71
2013-10-04,55,34.65
2013-10-11,53,35.54
2013-10-18,57,35.86
2013-10-25,56,36.25
2013-11-01,44,37.33
2013-11-08,72,37.55
2013-11-15,60,38.00
2013-11-22,43,37.27
2013-11-29,54,36.98
2013-12-06,40,37.46
2013-12-13,55,37.10
2013-12-20,49,38.57
2013-12-27,55,38.31
2014-01-03,50,37.72
2014-01-10,45,37.26
2014-01-17,61,37.03
2014-01-24,57,37.30
2014-01-31,62,35.22
2014-02-07,54,35.30
2014-02-14,57,35.57
2014-02-21,54,35.37
2014-02-28,50,36.26
2014-03-07,51,36.81
2014-03-14,56,36.34
2014-03-21,47,36.45
2014-03-28,66,37.12
2014-04-04,54,37.57
2014-04-11,52,37.65
2014-04-18,58,
2014-04-25,67,39.11
2014-05-02,89,
