Date,CTXS,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,19.59
2004-02-13,0,19.47
2004-02-20,0,20.41
2004-02-27,0,21.25
2004-03-05,0,20.03
2004-03-12,0,19.60
2004-03-19,0,20.78
2004-03-26,0,22.21
2004-04-02,0,23.00
2004-04-09,0,
2004-04-16,0,21.64
2004-04-23,0,21.50
2004-04-30,0,19.05
2004-05-07,0,20.06
2004-05-14,0,20.28
2004-05-21,0,20.04
2004-05-28,0,20.97
2004-06-04,0,20.16
2004-06-11,0,
2004-06-18,0,19.31
2004-06-25,0,19.87
2004-07-02,0,18.88
2004-07-09,0,17.59
2004-07-16,0,16.62
2004-07-23,0,16.70
2004-07-30,0,17.62
2004-08-06,0,15.09
2004-08-13,0,15.56
2004-08-20,0,16.74
2004-08-27,0,16.20
2004-09-03,0,16.03
2004-09-10,0,17.28
2004-09-17,0,18.20
2004-09-24,0,17.10
2004-10-01,0,19.07
2004-10-08,0,20.22
2004-10-15,0,20.95
2004-10-22,0,23.11
2004-10-29,0,24.01
2004-11-05,0,23.56
2004-11-12,0,23.90
2004-11-19,0,24.57
2004-11-26,0,23.24
2004-12-03,0,24.60
2004-12-10,0,25.04
2004-12-17,0,25.46
2004-12-24,0,
2004-12-31,0,24.46
2005-01-07,0,23.03
2005-01-14,0,22.54
2005-01-21,0,21.92
2005-01-28,0,21.60
2005-02-04,0,22.03
2005-02-11,0,21.46
2005-02-18,0,21.54
2005-02-25,0,22.01
2005-03-04,0,22.98
2005-03-11,0,23.40
2005-03-18,0,23.22
2005-03-25,0,
2005-04-01,0,23.20
2005-04-08,0,23.69
2005-04-15,0,22.21
2005-04-22,0,22.33
2005-04-29,0,22.50
2005-05-06,0,22.65
2005-05-13,0,23.44
2005-05-20,0,24.49
2005-05-27,0,25.15
2005-06-03,0,22.08
2005-06-10,0,21.46
2005-06-17,0,22.15
2005-06-24,0,22.26
2005-07-01,0,21.40
2005-07-08,0,22.39
2005-07-15,0,22.56
2005-07-22,0,22.20
2005-07-29,0,23.83
2005-08-05,0,23.04
2005-08-12,0,23.46
2005-08-19,0,23.54
2005-08-26,0,23.87
2005-09-02,0,24.11
2005-09-09,0,24.97
2005-09-16,0,25.12
2005-09-23,0,23.66
2005-09-30,0,25.14
2005-10-07,0,24.22
2005-10-14,0,24.29
2005-10-21,0,26.38
2005-10-28,0,26.70
2005-11-04,0,27.40
2005-11-11,0,27.38
2005-11-18,0,27.85
2005-11-25,0,27.68
2005-12-02,0,27.55
2005-12-09,0,27.45
2005-12-16,0,27.00
2005-12-23,0,29.24
2005-12-30,0,28.73
2006-01-06,0,30.13
2006-01-13,0,30.56
2006-01-20,0,31.69
2006-01-27,0,31.47
2006-02-03,54,30.63
2006-02-10,0,30.57
2006-02-17,0,31.40
2006-02-24,0,30.95
2006-03-03,0,32.78
2006-03-10,0,32.35
2006-03-17,0,35.92
2006-03-24,0,35.63
2006-03-31,0,37.90
2006-04-07,0,37.59
2006-04-14,0,
2006-04-21,75,40.59
2006-04-28,78,39.92
2006-05-05,82,43.61
2006-05-12,85,41.00
2006-05-19,57,39.95
2006-05-26,58,38.59
2006-06-02,60,37.52
2006-06-09,61,35.67
2006-06-16,62,36.89
2006-06-23,63,37.48
2006-06-30,52,40.10
2006-07-07,52,37.76
2006-07-14,59,34.70
2006-07-21,83,31.00
2006-07-28,44,31.61
2006-08-04,44,30.33
2006-08-11,57,28.47
2006-08-18,0,32.08
2006-08-25,0,30.62
2006-09-01,0,30.44
2006-09-08,0,31.91
2006-09-15,0,34.29
2006-09-22,50,35.62
2006-09-29,43,36.21
2006-10-06,43,34.77
2006-10-13,50,34.89
2006-10-20,100,28.42
2006-10-27,78,29.25
2006-11-03,52,29.02
2006-11-10,39,29.17
2006-11-17,45,30.44
2006-11-24,41,30.68
2006-12-01,41,29.00
2006-12-08,0,28.62
2006-12-15,0,29.20
2006-12-22,0,26.99
2006-12-29,0,27.05
2007-01-05,0,27.85
2007-01-12,36,30.44
2007-01-19,38,28.80
2007-01-26,96,31.10
2007-02-02,34,31.90
2007-02-09,37,31.45
2007-02-16,38,31.43
2007-02-23,38,33.06
2007-03-02,56,31.26
2007-03-09,33,32.00
2007-03-16,30,31.18
2007-03-23,33,32.48
2007-03-30,45,32.03
2007-04-06,57,
2007-04-13,38,33.66
2007-04-20,38,34.24
2007-04-27,32,33.24
2007-05-04,42,31.90
2007-05-11,35,31.65
2007-05-18,30,30.72
2007-05-25,31,32.87
2007-06-01,32,33.79
2007-06-08,33,33.62
2007-06-15,40,34.29
2007-06-22,30,33.45
2007-06-29,38,33.67
2007-07-06,36,33.98
2007-07-13,38,34.42
2007-07-20,61,37.40
2007-07-27,46,35.91
2007-08-03,33,35.74
2007-08-10,44,33.77
2007-08-17,54,32.69
2007-08-24,57,36.10
2007-08-31,39,36.35
2007-09-07,44,35.37
2007-09-14,49,37.92
2007-09-21,32,38.82
2007-09-28,46,40.32
2007-10-05,34,40.39
2007-10-12,38,42.10
2007-10-19,55,39.65
2007-10-26,45,42.06
2007-11-02,37,43.11
2007-11-09,47,41.79
2007-11-16,43,37.82
2007-11-23,33,36.69
2007-11-30,39,36.98
2007-12-07,49,38.70
2007-12-14,26,38.15
2007-12-21,33,37.85
2007-12-28,28,37.90
2008-01-04,28,37.38
2008-01-11,28,34.59
2008-01-18,37,33.69
2008-01-25,41,33.61
2008-02-01,27,34.71
2008-02-08,34,34.50
2008-02-15,52,35.87
2008-02-22,28,34.57
2008-02-29,28,32.93
2008-03-07,30,32.73
2008-03-14,31,30.80
2008-03-21,34,
2008-03-28,20,30.56
2008-04-04,20,31.75
2008-04-11,29,31.89
2008-04-18,31,32.27
2008-04-25,57,32.23
2008-05-02,20,33.85
2008-05-09,22,33.92
2008-05-16,21,35.77
2008-05-23,25,33.72
2008-05-30,29,34.23
2008-06-06,34,34.68
2008-06-13,30,33.20
2008-06-20,30,30.92
2008-06-27,30,29.80
2008-07-04,29,
2008-07-11,28,27.96
2008-07-18,30,27.82
2008-07-25,24,25.69
2008-08-01,32,27.03
2008-08-08,32,30.68
2008-08-15,24,31.41
2008-08-22,21,31.00
2008-08-29,20,30.27
2008-09-05,20,28.65
2008-09-12,23,29.01
2008-09-19,37,28.49
2008-09-26,28,28.02
2008-10-03,31,21.00
2008-10-10,36,20.20
2008-10-17,32,21.28
2008-10-24,42,21.63
2008-10-31,21,25.77
2008-11-07,22,24.12
2008-11-14,26,22.95
2008-11-21,16,22.89
2008-11-28,16,26.66
2008-12-05,16,25.12
2008-12-12,18,23.03
2008-12-19,16,22.80
2008-12-26,16,22.88
2009-01-02,16,24.36
2009-01-09,16,22.56
2009-01-16,21,23.23
2009-01-23,26,22.99
2009-01-30,31,21.04
2009-02-06,21,23.86
2009-02-13,21,23.28
2009-02-20,21,22.18
2009-02-27,22,20.58
2009-03-06,22,21.76
2009-03-13,22,23.09
2009-03-20,16,22.50
2009-03-27,16,22.71
2009-04-03,21,24.35
2009-04-10,15,
2009-04-17,15,26.66
2009-04-24,24,25.84
2009-05-01,32,27.51
2009-05-08,19,27.45
2009-05-15,14,27.62
2009-05-22,14,29.73
2009-05-29,27,31.41
2009-06-05,28,31.97
2009-06-12,25,34.10
2009-06-19,32,32.43
2009-06-26,25,31.94
2009-07-03,16,
2009-07-10,14,32.20
2009-07-17,19,34.99
2009-07-24,32,35.53
2009-07-31,28,35.60
2009-08-07,19,36.32
2009-08-14,22,35.60
2009-08-21,27,35.38
2009-08-28,29,35.91
2009-09-04,16,36.02
2009-09-11,15,36.13
2009-09-18,17,37.22
2009-09-25,20,37.40
2009-10-02,17,37.95
2009-10-09,32,41.75
2009-10-16,26,41.96
2009-10-23,29,39.34
2009-10-30,14,36.76
2009-11-06,14,38.88
2009-11-13,19,39.41
2009-11-20,23,37.84
2009-11-27,16,37.88
2009-12-04,19,39.47
2009-12-11,21,38.28
2009-12-18,22,39.44
2009-12-25,18,
2010-01-01,18,
2010-01-08,18,43.82
2010-01-15,17,43.22
2010-01-22,15,41.40
2010-01-29,24,41.55
2010-02-05,20,41.79
2010-02-12,18,43.16
2010-02-19,25,44.74
2010-02-26,22,43.01
2010-03-05,28,44.61
2010-03-12,34,48.08
2010-03-19,24,48.34
2010-03-26,25,48.09
2010-04-02,26,
2010-04-09,17,48.25
2010-04-16,12,48.47
2010-04-23,30,48.45
2010-04-30,15,47.03
2010-05-07,16,43.62
2010-05-14,18,46.51
2010-05-21,19,44.67
2010-05-28,14,43.61
2010-06-04,13,43.30
2010-06-11,13,43.97
2010-06-18,13,46.09
2010-06-25,12,45.12
2010-07-02,12,42.11
2010-07-09,12,44.62
2010-07-16,14,45.36
2010-07-23,18,47.85
2010-07-30,52,55.02
2010-08-06,36,58.32
2010-08-13,29,56.76
2010-08-20,25,59.21
2010-08-27,12,58.68
2010-09-03,22,61.94
2010-09-10,20,63.69
2010-09-17,20,68.21
2010-09-24,21,70.55
2010-10-01,30,67.94
2010-10-08,33,59.66
2010-10-15,28,59.19
2010-10-22,43,60.80
2010-10-29,20,64.13
2010-11-05,14,65.31
2010-11-12,25,64.79
2010-11-19,11,65.93
2010-11-26,15,68.74
2010-12-03,19,70.26
2010-12-10,27,70.88
2010-12-17,20,69.21
2010-12-24,14,
2010-12-31,14,68.41
2011-01-07,15,68.42
2011-01-14,17,68.05
2011-01-21,19,65.23
2011-01-28,29,63.76
2011-02-04,18,66.40
2011-02-11,20,69.81
2011-02-18,28,72.63
2011-02-25,11,70.93
2011-03-04,11,71.88
2011-03-11,13,71.74
2011-03-18,11,66.64
2011-03-25,14,70.14
2011-04-01,17,75.26
2011-04-08,14,73.42
2011-04-15,14,74.46
2011-04-22,18,
2011-04-29,29,84.34
2011-05-06,12,81.76
2011-05-13,12,83.73
2011-05-20,16,84.28
2011-05-27,18,87.16
2011-06-03,15,83.56
2011-06-10,16,80.01
2011-06-17,14,74.19
2011-06-24,12,76.24
2011-07-01,10,80.78
2011-07-08,14,82.98
2011-07-15,19,76.47
2011-07-22,12,75.27
2011-07-29,23,72.04
2011-08-05,19,64.41
2011-08-12,20,60.75
2011-08-19,20,50.31
2011-08-26,20,55.21
2011-09-02,16,57.35
2011-09-09,13,53.58
2011-09-16,11,58.24
2011-09-23,16,53.12
2011-09-30,11,54.53
2011-10-07,10,54.94
2011-10-14,13,63.02
2011-10-21,14,64.44
2011-10-28,29,73.37
2011-11-04,18,74.23
2011-11-11,15,73.99
2011-11-18,14,70.54
2011-11-25,13,64.47
2011-12-02,7,70.78
2011-12-09,13,71.26
2011-12-16,14,64.08
2011-12-23,16,62.04
2011-12-30,13,60.72
2012-01-06,13,62.02
2012-01-13,13,64.85
2012-01-20,13,68.12
2012-01-27,25,65.14
2012-02-03,10,68.78
2012-02-10,11,71.46
2012-02-17,16,74.77
2012-02-24,8,75.16
2012-03-02,13,75.43
2012-03-09,9,76.27
2012-03-16,16,78.20
2012-03-23,10,77.68
2012-03-30,17,78.91
2012-04-06,19,
2012-04-13,14,75.12
2012-04-20,17,77.78
2012-04-27,27,85.78
2012-05-04,19,82.85
2012-05-11,15,79.46
2012-05-18,17,74.82
2012-05-25,18,75.43
2012-06-01,11,70.79
2012-06-08,13,77.12
2012-06-15,13,80.12
2012-06-22,16,80.14
2012-06-29,19,83.94
2012-07-06,14,77.45
2012-07-13,8,76.63
2012-07-20,14,80.75
2012-07-27,22,77.81
2012-08-03,26,72.44
2012-08-10,14,76.26
2012-08-17,17,78.08
2012-08-24,16,77.00
2012-08-31,8,77.69
2012-09-07,14,80.59
2012-09-14,13,81.74
2012-09-21,11,81.19
2012-09-28,10,76.53
2012-10-05,7,71.57
2012-10-12,14,67.70
2012-10-19,15,64.16
2012-10-26,15,62.82
2012-11-02,11,62.77
2012-11-09,14,60.17
2012-11-16,10,59.21
2012-11-23,9,61.77
2012-11-30,12,61.16
2012-12-07,11,62.03
2012-12-14,14,65.02
2012-12-21,12,66.15
2012-12-28,9,64.30
2013-01-04,9,66.55
2013-01-11,14,71.47
2013-01-18,12,67.65
2013-01-25,10,71.55
2013-02-01,35,74.03
2013-02-08,12,72.91
2013-02-15,15,72.62
2013-02-22,9,72.91
2013-03-01,17,71.36
2013-03-08,15,74.43
2013-03-15,11,73.79
2013-03-22,12,71.01
2013-03-29,7,
2013-04-05,10,68.90
2013-04-12,11,70.39
2013-04-19,9,67.17
2013-04-26,24,61.80
2013-05-03,15,63.49
2013-05-10,10,66.56
2013-05-17,8,66.84
2013-05-24,11,63.43
2013-05-31,10,64.38
2013-06-07,8,63.61
2013-06-14,9,61.23
2013-06-21,15,59.99
2013-06-28,11,60.36
2013-07-05,10,63.36
2013-07-12,14,67.41
2013-07-19,20,65.07
2013-07-26,25,67.78
2013-08-02,17,73.12
2013-08-09,13,72.96
2013-08-16,11,71.60
2013-08-23,11,72.71
2013-08-30,14,70.77
2013-09-06,11,71.38
2013-09-13,13,73.79
2013-09-20,13,76.08
2013-09-27,12,70.80
2013-10-04,10,70.48
2013-10-11,31,59.08
2013-10-18,21,57.26
2013-10-25,19,57.98
2013-11-01,15,56.82
2013-11-08,14,59.79
2013-11-15,20,56.90
2013-11-22,11,59.00
2013-11-29,8,59.32
2013-12-06,11,60.03
2013-12-13,5,57.99
2013-12-20,10,61.73
2013-12-27,10,61.67
2014-01-03,8,62.48
2014-01-10,8,60.13
2014-01-17,11,60.44
2014-01-24,9,58.90
2014-01-31,31,54.07
2014-02-07,18,55.28
2014-02-14,11,57.14
2014-02-21,16,59.80
2014-02-28,14,60.05
2014-03-07,15,60.99
2014-03-14,10,59.80
2014-03-21,13,62.02
2014-03-28,11,57.47
2014-04-04,13,56.53
2014-04-11,13,54.56
2014-04-18,11,
2014-04-25,24,59.42
2014-05-02,0,
