Date,WMT,Price
2004-01-09,31,
2004-01-16,30,
2004-01-23,36,
2004-01-30,32,
2004-02-06,26,57.58
2004-02-13,28,56.32
2004-02-20,29,59.43
2004-02-27,31,59.56
2004-03-05,55,60.24
2004-03-12,26,58.48
2004-03-19,26,58.60
2004-03-26,49,59.41
2004-04-02,34,58.60
2004-04-09,29,
2004-04-16,29,58.44
2004-04-23,30,58.97
2004-04-30,30,57.00
2004-05-07,30,53.90
2004-05-14,30,55.06
2004-05-21,35,55.09
2004-05-28,32,55.73
2004-06-04,23,56.59
2004-06-11,35,
2004-06-18,24,55.62
2004-06-25,24,52.51
2004-07-02,24,51.93
2004-07-09,25,51.76
2004-07-16,26,52.65
2004-07-23,27,53.16
2004-07-30,23,53.01
2004-08-06,24,51.33
2004-08-13,25,53.40
2004-08-20,26,54.65
2004-08-27,23,53.56
2004-09-03,23,53.25
2004-09-10,23,53.45
2004-09-17,21,52.48
2004-09-24,29,52.81
2004-10-01,38,53.13
2004-10-08,23,52.85
2004-10-15,25,52.53
2004-10-22,29,51.99
2004-10-29,28,53.92
2004-11-05,29,56.47
2004-11-12,25,56.85
2004-11-19,25,55.25
2004-11-26,22,55.32
2004-12-03,31,52.93
2004-12-10,28,52.71
2004-12-17,28,52.02
2004-12-24,27,
2004-12-31,32,52.82
2005-01-07,38,53.99
2005-01-14,29,53.99
2005-01-21,39,53.01
2005-01-28,30,52.43
2005-02-04,33,53.46
2005-02-11,35,52.10
2005-02-18,37,52.72
2005-02-25,28,51.49
2005-03-04,34,53.10
2005-03-11,33,51.60
2005-03-18,26,51.45
2005-03-25,23,
2005-04-01,31,48.99
2005-04-08,53,48.57
2005-04-15,41,47.70
2005-04-22,43,46.81
2005-04-29,56,47.14
2005-05-06,38,48.96
2005-05-13,56,47.13
2005-05-20,45,47.18
2005-05-27,48,47.27
2005-06-03,50,47.35
2005-06-10,38,47.98
2005-06-17,45,48.93
2005-06-24,38,47.37
2005-07-01,42,48.28
2005-07-08,47,49.90
2005-07-15,57,50.25
2005-07-22,39,49.54
2005-07-29,49,49.35
2005-08-05,42,49.32
2005-08-12,45,48.70
2005-08-19,54,46.58
2005-08-26,48,45.70
2005-09-02,48,44.55
2005-09-09,35,45.89
2005-09-16,44,43.87
2005-09-23,64,43.20
2005-09-30,53,43.82
2005-10-07,53,44.03
2005-10-14,66,45.04
2005-10-21,41,45.72
2005-10-28,72,45.50
2005-11-04,90,47.69
2005-11-11,66,49.00
2005-11-18,100,49.50
2005-11-25,68,50.49
2005-12-02,89,47.97
2005-12-09,87,48.08
2005-12-16,76,49.27
2005-12-23,69,48.34
2005-12-30,86,46.80
2006-01-06,64,45.88
2006-01-13,59,45.40
2006-01-20,53,45.00
2006-01-27,65,45.84
2006-02-03,87,45.49
2006-02-10,69,45.75
2006-02-17,56,46.10
2006-02-24,71,45.45
2006-03-03,57,45.33
2006-03-10,57,45.33
2006-03-17,61,46.69
2006-03-24,61,48.19
2006-03-31,48,47.24
2006-04-07,51,46.02
2006-04-14,50,
2006-04-21,56,45.82
2006-04-28,53,45.03
2006-05-05,59,47.25
2006-05-12,57,46.54
2006-05-19,54,47.32
2006-05-26,56,49.65
2006-06-02,60,47.83
2006-06-09,45,47.13
2006-06-16,53,48.31
2006-06-23,44,47.94
2006-06-30,35,48.17
2006-07-07,45,46.00
2006-07-14,48,43.05
2006-07-21,57,43.72
2006-07-28,58,44.46
2006-08-04,44,44.87
2006-08-11,44,44.69
2006-08-18,67,44.49
2006-08-25,62,43.88
2006-09-01,48,45.45
2006-09-08,42,46.72
2006-09-15,65,48.22
2006-09-22,75,48.29
2006-09-29,59,49.32
2006-10-06,70,48.32
2006-10-13,60,48.46
2006-10-20,57,49.37
2006-10-27,76,50.73
2006-11-03,77,47.53
2006-11-10,57,46.47
2006-11-17,78,47.50
2006-11-24,52,47.90
2006-12-01,75,45.87
2006-12-08,53,46.35
2006-12-15,59,46.45
2006-12-22,53,45.54
2006-12-29,40,46.18
2007-01-05,56,47.39
2007-01-12,45,47.98
2007-01-19,39,48.31
2007-01-26,42,47.67
2007-02-02,36,48.08
2007-02-09,45,47.97
2007-02-16,47,48.48
2007-02-23,48,49.57
2007-03-02,67,47.81
2007-03-09,48,47.42
2007-03-16,33,46.21
2007-03-23,37,47.91
2007-03-30,40,46.95
2007-04-06,35,
2007-04-13,49,47.41
2007-04-20,43,49.76
2007-04-27,42,48.34
2007-05-04,36,48.27
2007-05-11,44,47.78
2007-05-18,40,47.27
2007-05-25,36,46.91
2007-06-01,42,49.47
2007-06-08,60,50.08
2007-06-15,46,49.34
2007-06-22,33,47.83
2007-06-29,28,48.11
2007-07-06,30,48.39
2007-07-13,41,49.15
2007-07-20,46,48.06
2007-07-27,49,45.94
2007-08-03,36,45.52
2007-08-10,50,46.07
2007-08-17,60,43.49
2007-08-24,44,43.74
2007-08-31,43,43.63
2007-09-07,44,42.39
2007-09-14,45,43.32
2007-09-21,42,44.23
2007-09-28,44,43.65
2007-10-05,39,45.37
2007-10-12,53,47.06
2007-10-19,38,44.98
2007-10-26,47,44.64
2007-11-02,50,44.19
2007-11-09,49,42.90
2007-11-16,60,46.34
2007-11-23,43,45.73
2007-11-30,38,47.90
2007-12-07,48,49.02
2007-12-14,39,47.63
2007-12-21,46,48.21
2007-12-28,38,48.08
2008-01-04,32,45.72
2008-01-11,40,47.72
2008-01-18,45,47.58
2008-01-25,45,48.09
2008-02-01,47,51.18
2008-02-08,51,48.76
2008-02-15,42,49.44
