Date,Home Depot,Price
2004-01-09,49,
2004-01-16,45,
2004-01-23,48,
2004-01-30,46,
2004-02-06,43,36.33
2004-02-13,45,36.17
2004-02-20,47,35.70
2004-02-27,47,36.31
2004-03-05,47,37.45
2004-03-12,51,36.09
2004-03-19,51,36.68
2004-03-26,53,36.93
2004-04-02,58,36.68
2004-04-09,59,
2004-04-16,58,36.20
2004-04-23,59,36.49
2004-04-30,60,35.19
2004-05-07,58,33.00
2004-05-14,56,33.80
2004-05-21,59,34.47
2004-05-28,62,35.92
2004-06-04,60,35.33
2004-06-11,61,
2004-06-18,61,35.37
2004-06-25,59,35.25
2004-07-02,59,34.69
2004-07-09,68,34.37
2004-07-16,63,33.92
2004-07-23,63,33.00
2004-07-30,61,33.72
2004-08-06,63,32.90
2004-08-13,57,33.14
2004-08-20,58,36.36
2004-08-27,56,36.59
2004-09-03,56,37.48
2004-09-10,58,37.54
2004-09-17,56,38.31
2004-09-24,51,38.43
2004-10-01,51,39.25
2004-10-08,51,39.02
2004-10-15,52,39.81
2004-10-22,46,39.17
2004-10-29,46,41.08
2004-11-05,47,42.29
2004-11-12,50,43.22
2004-11-19,52,42.70
2004-11-26,48,43.37
2004-12-03,53,41.79
2004-12-10,52,42.64
2004-12-17,52,42.01
2004-12-24,51,
2004-12-31,61,42.74
2005-01-07,55,41.42
2005-01-14,50,41.90
2005-01-21,51,40.90
2005-01-28,47,40.41
2005-02-04,48,42.42
2005-02-11,47,42.81
2005-02-18,48,42.02
2005-02-25,51,40.58
2005-03-04,50,40.09
2005-03-11,51,39.42
2005-03-18,52,38.88
2005-03-25,56,
2005-04-01,59,37.60
2005-04-08,61,37.48
2005-04-15,60,36.11
2005-04-22,60,36.02
2005-04-29,60,35.37
2005-05-06,63,37.16
2005-05-13,60,36.29
2005-05-20,61,39.63
2005-05-27,66,39.97
2005-06-03,65,39.72
2005-06-10,68,39.50
2005-06-17,66,40.20
2005-06-24,65,38.24
2005-07-01,65,39.49
2005-07-08,63,40.08
2005-07-15,65,41.61
2005-07-22,68,43.47
2005-07-29,64,43.51
